Date,Open,High,Low,Close,Volume,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Dividend,SplitFactor
2002-01-08,20.3,20.3,20,20.05,4700,1.4266090755410632,1.4266090755410632,1.405526182799077,1.4090399982560746,17178,0,1
2002-01-09,19.95,19.95,19.8,19.8,3000,1.4020123673420792,1.4020123673420792,1.3914709209710863,1.3914709209710863,10964,0,1
2002-01-10,19.71,19.71,19.5,19.5,1500,1.3851460531484905,1.3851460531484905,1.3703880282291,1.3703880282291,5482,0,1
2002-01-11,19.4,19.4,19.3,19.3,2500,1.3633603973151045,1.3633603973151045,1.3563327664011093,1.3563327664011093,9137,0,1
2002-01-14,19.55,19.55,19.45,19.45,20200,1.3739018436860977,1.3739018436860977,1.3668742127721023,1.3668742127721023,73828,0,1
2002-01-15,19.46,19.46,19.4,19.4,1100,1.367576975863502,1.367576975863502,1.3633603973151045,1.3633603973151045,4020,0,1
2002-01-16,19.3,19.3,19.2,19.2,1000,1.3563327664011093,1.3563327664011093,1.3493051354871137,1.3493051354871137,3654,0,1
2002-01-17,19.1,19.1,19.1,19.1,500,1.3422775045731186,1.3422775045731186,1.3422775045731186,1.3422775045731186,1827,0,1
2002-01-18,18.8,18.8,18.6,18.6,2100,1.3211946118311324,1.3211946118311324,1.3071393500031416,1.3071393500031416,7675,0,1
2002-01-22,18.6,18.65,18.6,18.65,2100,1.3071393500031416,1.3106531654601392,1.3071393500031416,1.3106531654601392,7675,0,1
2002-01-23,18.4,18.4,18,18,4000,1.2930840881751506,1.2930840881751506,1.2649735645191693,1.2649735645191693,14619,0,1
2002-01-24,18,18.16,18,18.16,54900,1.2649735645191693,1.2762177739815619,1.2649735645191693,1.2762177739815619,200653,0,1
2002-01-25,18.15,18.15,18.15,18.15,200,1.2755150108901623,1.2755150108901623,1.2755150108901623,1.2755150108901623,730,0,1
2002-01-28,18,18,18,18,500,1.2649735645191693,1.2649735645191693,1.2649735645191693,1.2649735645191693,1827,0,1
2002-01-29,18,18,18,18,0,1.2649735645191693,1.2649735645191693,1.2649735645191693,1.2649735645191693,0,0,1
2002-01-30,18,18,18,18,0,1.2649735645191693,1.2649735645191693,1.2649735645191693,1.2649735645191693,0,0,1
2002-01-31,17.95,17.95,17.95,17.95,5400,1.2614597490621715,1.2614597490621715,1.2614597490621715,1.2614597490621715,19736,0,1
2002-02-01,17.95,17.95,17.9,17.9,6500,1.2614597490621715,1.2614597490621715,1.2579459336051737,1.2579459336051737,23756,0,1
2002-02-04,17.55,17.55,17.48,17.48,1400,1.2333492254061902,1.2333492254061902,1.2284298837663934,1.2284298837663934,5116,0,1
2002-02-05,17.5,17.5,17.5,17.5,200,1.2298354099491924,1.2298354099491924,1.2298354099491924,1.2298354099491924,730,0,1
2002-02-06,17.5,17.5,17.5,17.5,0,1.2298354099491924,1.2298354099491924,1.2298354099491924,1.2298354099491924,0,0,1
2002-02-07,16.6,17.15,16.6,17,139000,1.166586731723234,1.2052387017502084,1.166586731723234,1.1946972553792155,508030,0,1
2002-02-08,17.1,17.12,17,17,6000,1.2017248862932108,1.20313041247601,1.1946972553792155,1.1946972553792155,21929,0,1
2002-02-11,17,17,17,17,0,1.1946972553792155,1.1946972553792155,1.1946972553792155,1.1946972553792155,0,0,1
2002-02-12,17,17,17,17,0,1.1946972553792155,1.1946972553792155,1.1946972553792155,1.1946972553792155,0,0,1
2002-02-13,16.92,16.92,16.92,16.92,4000,1.1890751506480193,1.1890751506480193,1.1890751506480193,1.1890751506480193,14619,0,1
2002-02-14,16.85,16.85,16.8,16.8,2600,1.1841558090082225,1.1841558090082225,1.1806419935512247,1.1806419935512247,9502,0,1
2002-02-15,16.9,16.9,16.8,16.86,7000,1.1876696244652198,1.1876696244652198,1.1806419935512247,1.1848585720996219,25584,0,1
2002-02-19,16.8,16.8,16.66,16.66,20400,1.1806419935512247,1.1806419935512247,1.170803310271631,1.170803310271631,74559,0,1
2002-02-20,16.7,16.7,16.7,16.7,7000,1.1736143626372293,1.1736143626372293,1.1736143626372293,1.1736143626372293,25584,0,1
2002-02-21,16.8,16.8,16.7,16.7,11000,1.1806419935512247,1.1806419935512247,1.1736143626372293,1.1736143626372293,40203,0,1
2002-02-22,16.69,16.69,16.55,16.55,1700,1.17291159954583,1.17291159954583,1.1630729162662363,1.1630729162662363,6213,0,1
2002-02-25,16.4,16.4,16.3,16.3,1500,1.152531469895243,1.152531469895243,1.1455038389812477,1.1455038389812477,5482,0,1
2002-02-26,16.2,16.2,16.2,16.2,500,1.1384762080672524,1.1384762080672524,1.1384762080672524,1.1384762080672524,1827,0,1
2002-02-27,15.75,16,15.75,16,9900,1.106851868954273,1.1244209462392616,1.106851868954273,1.1244209462392616,36183,0,1
2002-02-28,16.1,16.25,16.1,16.25,2500,1.131448577153257,1.14199002352425,1.131448577153257,1.14199002352425,9137,0,1
2002-03-01,16.56,17,16.56,17,2300,1.1637756793576357,1.1946972553792155,1.1637756793576357,1.1946972553792155,8406,0,1
2002-03-04,17.3,17.85,17.3,17.74,4000,1.2157801481212016,1.2544321181481763,1.2157801481212016,1.2467017241427811,14619,0,1
2002-03-05,18.3,18.3,18.15,18.15,1200,1.2860564572611555,1.2860564572611555,1.2755150108901623,1.2755150108901623,4385,0,1
2002-03-06,18.3,18.6,18.3,18.5,9800,1.2860564572611555,1.3071393500031416,1.2860564572611555,1.3001117190891462,35817,0,1
2002-03-07,18.95,19,18.9,18.9,12000,1.3317360582021254,1.3352498736591232,1.3282222427451276,1.3282222427451276,43858,0,1
2002-03-08,19.05,19.15,19,19.15,10700,1.3387636891161208,1.3457913200301161,1.3352498736591232,1.3457913200301161,39107,0,1
2002-03-11,19.16,19.16,19.16,19.16,100,1.3464940831215158,1.3464940831215158,1.3464940831215158,1.3464940831215158,365,0,1
2002-03-12,19.16,19.16,19.16,19.16,0,1.3464940831215158,1.3464940831215158,1.3464940831215158,1.3464940831215158,0,0,1
