Date,Open,High,Low,Close,Volume,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Dividend,SplitFactor
1993-09-21,14.75,14.75,13.75,13.88,474200,1.7873435529696835,1.7873435529696835,1.6661677188700441,1.6819205773029973,2133900,0,1
1993-09-22,14,14.5,14,14.13,360400,1.696461677394954,1.7570495944447737,1.696461677394954,1.712214535827907,1621800,0,1
1993-09-23,14.5,14.5,14,14.5,49667,1.7570495944447737,1.7570495944447737,1.696461677394954,1.7570495944447737,223501,0,1
1993-09-24,14.5,14.75,14.25,14.5,54400,1.7570495944447737,1.7873435529696835,1.726755635919864,1.7570495944447737,244800,0,1
1993-09-27,14.5,14.75,14.25,14.63,30000,1.7570495944447737,1.7873435529696835,1.726755635919864,1.7728024528777269,135000,0,1
1993-09-28,14.25,15,14.25,15,73467,1.726755635919864,1.8176375114945935,1.726755635919864,1.8176375114945935,330601,0,1
1993-09-29,14.25,15.25,14.25,15,34267,1.726755635919864,1.8479314700195033,1.726755635919864,1.8176375114945935,154201,0,1
1993-09-30,15,15.75,15,15.75,32467,1.8176375114945935,1.9085193870693231,1.8176375114945935,1.9085193870693231,146101,0,1
1993-10-01,15.25,16.5,15.25,16,20867,1.8479314700195033,1.999401262644053,1.8479314700195033,1.9388133455942331,93901,0,1
1993-10-04,16.5,16.5,15.75,15.75,11200,1.999401262644053,1.999401262644053,1.9085193870693231,1.9085193870693231,50400,0,1
1993-10-05,16.5,16.5,15.5,15.5,33200,1.999401262644053,1.999401262644053,1.8782254285444133,1.8782254285444133,149400,0,1
1993-10-06,16.25,16.25,15.5,16.25,11600,1.969107304119143,1.969107304119143,1.8782254285444133,1.969107304119143,52200,0,1
1993-10-07,16.25,16.25,15,15,9600,1.969107304119143,1.969107304119143,1.8176375114945935,1.8176375114945935,43200,0,1
1993-10-08,15.75,15.75,15,15.25,3267,1.9085193870693231,1.9085193870693231,1.8176375114945935,1.8479314700195033,14701,0,1
1993-10-11,15,15.25,15,15.25,12000,1.8176375114945935,1.8479314700195033,1.8176375114945935,1.8479314700195033,54000,0,1
1993-10-12,15.25,15.5,15,15.5,13600,1.8479314700195033,1.8782254285444133,1.8176375114945935,1.8782254285444133,61200,0,1
1993-10-13,15.5,15.5,15,15.5,9667,1.8782254285444133,1.8782254285444133,1.8176375114945935,1.8782254285444133,43501,0,1
1993-10-14,15.5,15.75,15,15.25,35667,1.8782254285444133,1.9085193870693231,1.8176375114945935,1.8479314700195033,160501,0,1
1993-10-15,15.5,15.75,15.25,15.5,11400,1.8782254285444133,1.9085193870693231,1.8479314700195033,1.8782254285444133,51300,0,1
1993-10-18,16,16,16,16,5267,1.9388133455942331,1.9388133455942331,1.9388133455942331,1.9388133455942331,23701,0,1
1993-10-19,16,16,16,16,67,1.9388133455942331,1.9388133455942331,1.9388133455942331,1.9388133455942331,301,0,1
1993-10-20,16,16,15.5,16,13067,1.9388133455942331,1.9388133455942331,1.8782254285444133,1.9388133455942331,58801,0,1
1993-10-21,16,16,15.5,15.5,4267,1.9388133455942331,1.9388133455942331,1.8782254285444133,1.8782254285444133,19201,0,1
1993-10-22,15.5,16,15.5,16,25267,1.8782254285444133,1.9388133455942331,1.8782254285444133,1.9388133455942331,113701,0,1
1993-10-25,15.75,15.75,15.25,15.5,4267,1.9085193870693231,1.9085193870693231,1.8479314700195033,1.8782254285444133,19201,0,1
1993-10-26,15.75,16.25,15.75,15.88,28800,1.9085193870693231,1.969107304119143,1.9085193870693231,1.9242722455022765,129600,0,1
1993-10-27,16.25,16.25,15.5,16.25,5800,1.969107304119143,1.969107304119143,1.8782254285444133,1.969107304119143,26100,0,1
1993-10-28,16.25,16.25,16,16,6467,1.969107304119143,1.969107304119143,1.9388133455942331,1.9388133455942331,29101,0,1
1993-10-29,16.25,16.25,16.25,16.25,667,1.969107304119143,1.969107304119143,1.969107304119143,1.969107304119143,3001,0,1
1993-11-01,15.5,16.25,15.5,15.63,2467,1.8782254285444133,1.969107304119143,1.8782254285444133,1.8939782869773665,11101,0,1
1993-11-02,16.25,16.25,15.75,16.25,2000,1.969107304119143,1.969107304119143,1.9085193870693231,1.969107304119143,9000,0,1
1993-11-03,15.75,16.25,15.75,16.25,1867,1.9085193870693231,1.969107304119143,1.9085193870693231,1.969107304119143,8401,0,1
