Date,Open,High,Low,Close,Volume,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Dividend,SplitFactor
2025-06-04,31,31,31,31,0,31,31,31,31,0,0,1
2025-06-05,69,103.75,64,83.23,47784339,69,103.75,64,83.23,47784339,0,1
2025-06-06,96.39,123.515,92.95,107.7,60706262,96.39,123.515,92.95,107.7,60706262,0,1
2025-06-09,132.72,138.57,108.4,115.25,45521142,132.72,138.57,108.4,115.25,45521142,0,1
2025-06-10,115,115,101.51,105.91,25517793,115,115,101.51,105.91,25517793,0,1
2025-06-11,107,120.49,106.5,117.2,26481377,107,120.49,106.5,117.2,26481377,0,1
2025-06-12,116.79,117.9309,104.26,106.54,13416512,116.79,117.9309,104.26,106.54,13416512,0,1
2025-06-13,108.81,134.72,108.8,133.56,34013580,108.81,134.72,108.8,133.56,34013580,0,1
2025-06-16,147.54,165.6,145.88,151.06,43781546,147.54,165.6,145.88,151.06,43781546,0,1
2025-06-17,156.36,164.42,143.53,149.15,31234204,156.36,164.42,143.53,149.15,31234204,0,1
2025-06-18,153.22,200.9,148,199.59,63566766,153.22,200.9,148,199.59,63566766,0,1
2025-06-20,231.5,248.88,206.17,240.28,92427231,231.5,248.88,206.17,240.28,92427231,0,1
2025-06-23,238.46,298.99,232.48,263.45,99128739,238.46,298.99,232.48,263.45,99128739,0,1
2025-06-24,250.42,265,217.579,222.65,68222564,250.42,265,217.579,222.65,68222564,0,1
2025-06-25,218.545,227.54,198,198.62,49283191,218.545,227.54,198,198.62,49283191,0,1
2025-06-26,209.04,226.95,205.68,213.63,45550341,209.04,226.95,205.68,213.63,45550341,0,1
2025-06-27,223.6469,223.6469,175.6,180.43,48112124,223.6469,223.6469,175.6,180.43,48112124,0,1
2025-06-30,181.77,192.5,178,181.29,34461533,181.77,192.5,178,181.29,34461533,0,1
2025-07-01,184.67,194,171.5,192.53,31252118,184.67,194,171.5,192.53,31252118,0,1
2025-07-02,187.21,189,176,177.97,18546015,187.21,189,176,177.97,18546015,0,1
2025-07-03,182.17,192.5,181.3901,188.77,17191952,182.17,192.5,181.3901,188.77,17191952,0,1
2025-07-07,193.75,208.6,186.6,207.46,31640759,193.75,208.6,186.6,207.46,31640759,0,1
