Date,Open,High,Low,Close,Volume,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Dividend,SplitFactor
2007-05-03,21.75,21.95,20.55,20.72,8052800,18.65432597108752,18.825860003005566,17.625121779579242,17.77092570670958,8052800,0,1
2007-05-04,21.05,21.35,20.7,20.98,5437300,18.05395685937436,18.311257907251427,17.753772303517778,17.993919948203043,5437300,0,1
2007-05-07,21.2,21.29,20.2,20.36,2646300,18.18260738331289,18.259797697676014,17.32493722372266,17.4621644492571,2646300,0,1
2007-05-08,20,20,19.3,19.63,4166100,17.153403191804614,17.153403191804614,16.553034080091454,16.83606523275623,4166100,0,1
2007-05-09,19.75,20.2,19.63,19.79,7541100,16.938985651907057,17.32493722372266,16.83606523275623,16.973292458290665,7541100,0,1
2007-05-10,19.79,19.99,19.55,19.7,3170600,16.973292458290665,17.14482649020871,16.76745161998901,16.896102143927546,3170600,0,1
2007-05-11,19.71,19.8,19.11,19.3,3539400,16.90467884552345,16.98186915988657,16.39007674976931,16.553034080091454,3539400,0,1
2007-05-14,19.15,19.39,18.75,18.89,1924800,16.424383556152918,16.630224394454576,16.081315492316826,16.20138931465946,1924800,0,1
2007-05-15,18.66,18.85,18.15,18.2,3438700,16.004125177953707,16.16708250827585,15.566713396562687,15.6095969045422,3438700,0,1
2007-05-16,18.06,18.48,18.02,18.34,2607600,15.489523082199566,15.849744549227465,15.455216275815959,15.729670726884832,2607600,0,1
2007-05-17,18.75,19.75,18.67,19.02,8979000,16.081315492316826,16.938985651907057,16.01270187954961,16.312886435406188,8979000,0,1
2007-05-18,19.25,19.49,18.54,19.31,6562200,16.510150572111943,16.715991410413597,15.901204758802878,16.561610781687357,6562200,0,1
2007-05-21,19.2,19.34,19,19,2077700,16.46726706413243,16.58734088647506,16.295733032214386,16.295733032214386,2077700,0,1
2007-05-22,19.1,19.53,19,19.48,4014700,16.381500048173407,16.75029821679721,16.295733032214386,16.707414708817694,4014700,0,1
2007-05-23,19.5,19.7,19.1,19.21,2387100,16.7245681120095,16.896102143927546,16.381500048173407,16.475843765728335,2387100,0,1
2007-05-24,19.21,19.33,18.85,19.02,2362000,16.475843765728335,16.57876418487916,16.16708250827585,16.312886435406188,2362000,0,1
2007-05-25,19.02,19.05,18.69,18.76,895000,16.312886435406188,16.338616540193897,16.029855282741416,16.089892193912732,895000,0,1
2007-05-29,18.91,19.2,18.85,19.09,2918800,16.218542717851264,16.46726706413243,16.16708250827585,16.372923346577505,2918800,0,1
2007-05-30,19.05,19.15,18.81,18.98,2829300,16.338616540193897,16.424383556152918,16.13277570189224,16.27857962902258,2829300,0,1
2007-05-31,19.15,19.28,19.03,19.05,3435200,16.424383556152918,16.53588067689965,16.32146313700209,16.338616540193897,3435200,0,1
2007-06-01,19.1,19.8,19.05,19.55,2299400,16.381500048173407,16.98186915988657,16.338616540193897,16.76745161998901,2299400,0,1
2007-06-04,18.73,19.05,18.69,18.84,5692700,16.064162089125023,16.338616540193897,16.029855282741416,16.158505806679948,5692700,0,1
2007-06-05,18.85,19.04,18.73,18.95,4510000,16.16708250827585,16.330039838597994,16.064162089125023,16.252849524234872,4510000,0,1
2007-06-06,18.7,18.93,18.65,18.93,2595300,16.038431984337315,16.23569612104307,15.995548476357802,16.23569612104307,2595300,0,1
2007-06-07,18.77,18.85,18.15,18.48,3062100,16.09846889550863,16.16708250827585,15.566713396562687,15.849744549227465,3062100,0,1
2007-06-08,18.2,18.83,18.2,18.83,2124100,15.6095969045422,16.149929105084045,15.6095969045422,16.149929105084045,2124100,0,1
2007-06-11,18.55,18.82,18.22,18.38,1870000,15.909781460398781,16.141352403488142,15.626750307734003,15.76397753326844,1870000,0,1
2007-06-12,18.03,18.71,18.02,18.4,8636200,15.463792977411861,16.047008685933218,15.455216275815959,15.781130936460245,8636200,0,1
2007-06-13,18.48,18.7,18.36,18.64,3110200,15.849744549227465,16.038431984337315,15.746824130076636,15.986971774761901,3110200,0,1
2007-06-14,18.5,19.01,18.425,18.9,8069700,15.866897952419269,16.30430973381029,15.802572690450003,16.20996601625536,8069700,0,1
2007-06-15,18.89,19.14,18.45,18.88,3418900,16.20138931465946,16.41580685455702,15.824014444439756,16.192812613063555,3418900,0,1
2007-06-18,18.65,18.9,18.5,18.54,1339900,15.995548476357802,16.20996601625536,15.866897952419269,15.901204758802878,1339900,0,1
2007-06-19,18.59,19.08,18.55,18.87,3113000,15.944088266782389,16.3643466449816,15.909781460398781,16.184235911467656,3113000,0,1
2007-06-20,19,19.49,18.82,19.36,4031500,16.295733032214386,16.715991410413597,16.141352403488142,16.604494289666867,4031500,0,1
2007-06-21,19.2,19.6,19.02,19.51,3985700,16.46726706413243,16.810335127968525,16.312886435406188,16.733144813605403,3985700,0,1
2007-06-22,19.5,19.85,19.37,19.75,11822000,16.7245681120095,17.024752667866082,16.61307099126277,16.938985651907057,11822000,0,1
2007-06-25,19.69,19.74,19.11,19.43,1974400,16.887525442331643,16.930408950311154,16.39007674976931,16.664531200838184,1974400,0,1
2007-06-26,19.5,19.66,19.27,19.49,2237000,16.7245681120095,16.86179533754394,16.527303975303745,16.715991410413597,2237000,0,1
2007-06-27,19.4,19.59,19.13,19.42,2216000,16.638801096050475,16.801758426372622,16.407230152961112,16.655954499242284,2216000,0,1
2007-06-28,19.75,19.89,19.6225,19.67,2547200,16.938985651907057,17.05905947424969,16.829632706559302,16.87037203913984,2547200,0,1
