Date,Open,High,Low,Close,Volume,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Dividend,SplitFactor
1983-12-30,44,44.5,43.5,44,47000,2.4024921814773075,2.4297932289940953,2.37519113396052,2.4024921814773075,211500,0,1
1984-01-03,43.94,44.25,43.62,44,85667,2.399216055775293,2.416142705235701,2.381743385364549,2.4024921814773075,385501,0,1
1984-01-04,44.84,45.87,44.25,45.87,65000,2.448357941305511,2.504598099190093,2.416142705235701,2.504598099190093,292500,0,1
1984-01-05,46.81,47.38,46.25,47.38,76467,2.5559240685216538,2.587047262690792,2.5253468953028517,2.587047262690792,344101,0,1
1984-01-06,46.88,47.38,46.38,46.88,43200,2.559746215174004,2.587047262690792,2.5324451676572166,2.559746215174004,194400,0,1
1984-01-09,47,47.38,46.62,47,48067,2.5662984665780333,2.587047262690792,2.5455496704652743,2.5662984665780333,216301,0,1
1984-01-10,47.69,48.25,47.12,47.88,31800,2.6039739121511998,2.6345510853700023,2.572850717982062,2.6143483102075793,143100,0,1
1984-01-11,47.88,49,47.38,48.87,88400,2.6143483102075793,2.6755026566451834,2.587047262690792,2.6684043842908185,397800,0,1
1984-01-12,48.87,49.63,48.63,49.37,66200,2.6684043842908185,2.709901976516336,2.655299881482761,2.695705431807606,297900,0,1
1984-01-13,49.87,50.25,49.5,49.63,131400,2.7230064793243938,2.7437552754371524,2.7028037041619712,2.709901976516336,591300,0,1
1984-01-16,49.37,49.63,49.13,49.13,23067,2.695705431807606,2.709901976516336,2.6826009289995483,2.6826009289995483,103801,0,1
1984-01-17,49.13,49.13,48,48.25,29800,2.6826009289995483,2.6826009289995483,2.620900561611608,2.6345510853700023,134100,0,1
1984-01-18,48.94,49.5,48.38,49.37,300600,2.6722265309431688,2.7028037041619712,2.641649357724367,2.695705431807606,1352700,0,1
1984-01-19,49.37,49.63,49.13,49.37,54467,2.695705431807606,2.709901976516336,2.6826009289995483,2.695705431807606,245101,0,1
1984-01-20,49.37,49.37,48.75,49,37400,2.695705431807606,2.695705431807606,2.6618521328867897,2.6755026566451834,168300,0,1
1984-01-23,49.44,49.75,49.13,49.63,54667,2.6995275784599566,2.716454227920365,2.6826009289995483,2.709901976516336,246001,0,1
1984-01-24,49.94,50.25,49.63,50.25,65000,2.726828625976744,2.7437552754371524,2.709901976516336,2.7437552754371524,292500,0,1
1984-01-25,50.94,51.25,50.62,50.75,54000,2.7814307210103193,2.7983573704707276,2.763958050599575,2.7710563229539398,243000,0,1
1984-01-26,50.75,50.88,50.13,50.25,47200,2.7710563229539398,2.778154595308305,2.7372030240331235,2.7437552754371524,212400,0,1
