Date,Open,High,Low,Close,Volume,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Dividend,SplitFactor
1970-01-02,43,44.25,43,44.25,23256,0.16487749868065368,0.16967044922369592,0.16487749868065368,0.16967044922369592,2825603,0,1
1970-01-05,44.25,45,44,45,18193,0.16967044922369592,0.1725462195495213,0.1687118591150875,0.1725462195495213,2210449,0,1
1970-01-06,45,45.75,45,45.25,16059,0.1725462195495213,0.17542198987534663,0.1725462195495213,0.17350480965812973,1951168,0,1
1970-01-07,45.25,45.75,45,45,22459,0.17350480965812973,0.17542198987534663,0.1725462195495213,0.1725462195495213,2728768,0,1
1970-01-08,45,45.38,45,45,18456,0.1725462195495213,0.17400327651460615,0.1725462195495213,0.1725462195495213,2242404,0,1
1970-01-09,45,45.13,43.5,43.75,27062,0.1725462195495213,0.17304468640599768,0.16679467889787059,0.16775326900647902,3288032,0,1
1970-01-12,43.75,43.87,41.5,42,20267,0.16775326900647902,0.16821339225861107,0.15912595802900295,0.16104313824621985,2462440,0,1
1970-01-13,41.75,41.75,40.88,41.25,19595,0.16008454813761142,0.16008454813761142,0.156748654559654,0.1581673679203945,2380792,0,1
1970-01-14,41.25,41.37,40.88,41.37,8263,0.1581673679203945,0.15862749117252656,0.156748654559654,0.15862749117252656,1003954,0,1
1970-01-15,41.37,41.37,40.88,41.13,15388,0.15862749117252656,0.15862749117252656,0.156748654559654,0.15770724466826247,1869641,0,1
1970-01-16,41.13,41.25,40.25,40.75,13458,0.15770724466826247,0.1581673679203945,0.1543330074859607,0.1562501877031776,1635146,0,1
1970-01-19,40.75,40.88,39.13,39.13,10588,0.1562501877031776,0.156748654559654,0.15003852379939486,0.15003852379939486,1286442,0,1
1970-01-20,39.13,40.25,38.25,40.25,23467,0.15003852379939486,0.1543330074859607,0.1466642866170931,0.1543330074859607,2851240,0,1
1970-01-21,40.25,41.25,40,40,9784,0.1543330074859607,0.1581673679203945,0.15337441737735225,0.15337441737735225,1188756,0,1
1970-01-22,40,40.5,39.13,39.25,16184,0.15337441737735225,0.15529159759456915,0.15003852379939486,0.1504986470515269,1966355,0,1
1970-01-23,39.5,40,39.5,39.62,15058,0.15145723716013534,0.15337441737735225,0.15145723716013534,0.1519173604122674,1829546,0,1
1970-01-26,39.37,39.37,38.88,39,13992,0.15095877030365895,0.15095877030365895,0.1490799336907864,0.14954005694291844,1700027,0,1
1970-01-27,39,39.13,38.75,39,15256,0.14954005694291844,0.15003852379939486,0.14858146683431,0.14954005694291844,1853603,0,1
