Date,Open,High,Low,Close,Volume,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Dividend,SplitFactor
2016-01-04,13.39,13.73,12.77,13.22,98955,13.39,13.73,12.77,13.22,98955,0,1
2016-01-05,13.22,13.3,12.95,13.24,30689,13.22,13.3,12.95,13.24,30689,0,1
2016-01-06,13.06,13.3,12.67,13.2,42632,13.06,13.3,12.67,13.2,42632,0,1
2016-01-07,12.94,13.02,12.58,12.6,49951,12.94,13.02,12.58,12.6,49951,0,1
2016-01-08,12.6,12.98,12.25,12.3,60896,12.6,12.98,12.25,12.3,60896,0,1
2016-01-11,12.34,12.62,11.515,12.5,36964,12.34,12.62,11.515,12.5,36964,0,1
2016-01-12,12.66,12.96,12.35,12.75,65352,12.66,12.96,12.35,12.75,65352,0,1
2016-01-13,12.77,12.77,12.28,12.31,55783,12.77,12.77,12.28,12.31,55783,0,1
2016-01-14,12.46,12.67,12.23,12.45,38291,12.46,12.67,12.23,12.45,38291,0,1
2016-01-15,12.08,12.38,11.8,12.09,49276,12.08,12.38,11.8,12.09,49276,0,1
2016-01-19,12.27,12.36,11.63,11.99,40271,12.27,12.36,11.63,11.99,40271,0,1
2016-01-20,11.78,12.58,11.58,12.31,87260,11.78,12.58,11.58,12.31,87260,0,1
2016-01-21,12.31,12.49,12.11,12.16,35152,12.31,12.49,12.11,12.16,35152,0,1
2016-01-22,12.34,12.56,11.99,12.54,62606,12.34,12.56,11.99,12.54,62606,0,1
2016-01-25,12.51,12.61,12.17,12.2,30188,12.51,12.61,12.17,12.2,30188,0,1
2016-01-26,12.25,12.59,12.25,12.43,32314,12.25,12.59,12.25,12.43,32314,0,1
2016-01-27,12.37,12.56,12.16,12.24,98058,12.37,12.56,12.16,12.24,98058,0,1
2016-01-28,12.55,12.55,12.12,12.16,33960,12.55,12.55,12.12,12.16,33960,0,1
2016-01-29,12.33,12.44,12.1,12.36,186204,12.33,12.44,12.1,12.36,186204,0,1
2016-02-01,12.27,12.6,12.25,12.46,33925,12.27,12.6,12.25,12.46,33925,0,1
2016-02-02,12.31,12.55,12.11,12.24,35624,12.31,12.55,12.11,12.24,35624,0,1
2016-02-03,12.39,12.39,11.865,12.18,29002,12.39,12.39,11.865,12.18,29002,0,1
2016-02-04,12.17,12.49,12.17,12.44,27118,12.17,12.49,12.17,12.44,27118,0,1
2016-02-05,12.39,12.39,11.68,11.73,97800,12.39,12.39,11.68,11.73,97800,0,1
2016-02-08,11.45,12.16,11.23,12.06,65752,11.45,12.16,11.23,12.06,65752,0,1
2016-02-09,11.89,12.379,11.89,12.09,51066,11.89,12.379,11.89,12.09,51066,0,1
2016-02-10,12.2,12.55,12.18,12.2,26852,12.2,12.55,12.18,12.2,26852,0,1
2016-02-11,11.98,12.31,11.59,11.9,37188,11.98,12.31,11.59,11.9,37188,0,1
2016-02-12,12.02,12.45,11.96,12.42,30959,12.02,12.45,11.96,12.42,30959,0,1
2016-02-16,12.62,12.64,12.51,12.59,27648,12.62,12.64,12.51,12.59,27648,0,1
2016-02-17,12.66,12.87,12.53,12.57,39736,12.66,12.87,12.53,12.57,39736,0,1
2016-02-18,12.55,12.64,12.35,12.38,20100,12.55,12.64,12.35,12.38,20100,0,1
2016-02-19,12.34,12.61,12.1,12.17,43333,12.34,12.61,12.1,12.17,43333,0,1
2016-02-22,12.25,12.57,12.185,12.38,59306,12.25,12.57,12.185,12.38,59306,0,1
2016-02-23,12.36,12.73,12.35,12.39,98129,12.36,12.73,12.35,12.39,98129,0,1
2016-02-24,12.35,12.8,12.35,12.75,33028,12.35,12.8,12.35,12.75,33028,0,1
2016-02-25,12.76,12.95,12.6,12.74,25248,12.76,12.95,12.6,12.74,25248,0,1
2016-02-26,12.83,12.83,12.53,12.59,23817,12.83,12.83,12.53,12.59,23817,0,1
2016-02-29,12.54,13,12.54,12.87,172166,12.54,13,12.54,12.87,172166,0,1
2016-03-01,12.92,13,12.83,12.91,23787,12.92,13,12.83,12.91,23787,0,1
2016-03-02,12.81,13.08,12.71,12.85,131055,12.81,13.08,12.71,12.85,131055,0,1
2016-03-03,12.96,13.43,12.9,13.18,143766,12.96,13.43,12.9,13.18,143766,0,1
2016-03-04,13.06,13.75,12.9,13.51,70295,13.06,13.75,12.9,13.51,70295,0,1
2016-03-07,13.48,13.69,13.43,13.61,28103,13.48,13.69,13.43,13.61,28103,0,1
2016-03-08,13.57,13.57,13.29,13.31,43417,13.57,13.57,13.29,13.31,43417,0,1
2016-03-09,13.35,13.72,13.35,13.68,21738,13.35,13.72,13.35,13.68,21738,0,1
2016-03-10,13.68,13.68,13.12,13.15,22773,13.68,13.68,13.12,13.15,22773,0,1
2016-03-11,13.1301,13.58,13.1301,13.53,40387,13.1301,13.58,13.1301,13.53,40387,0,1
2016-03-14,13.53,13.54,13.19,13.24,29497,13.53,13.54,13.19,13.24,29497,0,1
2016-03-15,13.17,13.2,12.88,12.98,41700,13.17,13.2,12.88,12.98,41700,0,1
2016-03-16,12.83,13.66,12.83,13.1,58546,12.83,13.66,12.83,13.1,58546,0,1
2016-03-17,13.06,13.66,13.05,13.57,40342,13.06,13.66,13.05,13.57,40342,0,1
2016-03-18,13.67,13.83,13.43,13.7,107066,13.67,13.83,13.43,13.7,107066,0,1
2016-03-21,13.64,14.61,13.475,13.98,332989,13.64,14.61,13.475,13.98,332989,0,1
2016-03-22,13.97,14.05,13.67,13.92,45616,13.97,14.05,13.67,13.92,45616,0,1
2016-03-23,13.69,13.71,13.4,13.65,64487,13.69,13.71,13.4,13.65,64487,0,1
2016-03-24,13.53,14.07,13.43,14.05,77872,13.53,14.07,13.43,14.05,77872,0,1
2016-03-28,14,14.21,13.93,14.07,40392,14,14.21,13.93,14.07,40392,0,1
2016-03-29,14,14.45,13.99,14.06,154264,14,14.45,13.99,14.06,154264,0,1
2016-03-30,14.02,14.25,13.9854,14.13,73701,14.02,14.25,13.9854,14.13,73701,0,1
2016-03-31,14.08,14.315,14.07,14.16,49861,14.08,14.315,14.07,14.16,49861,0,1
2016-04-01,14.03,14.16,13.85,14.05,67629,14.03,14.16,13.85,14.05,67629,0,1
2016-04-04,14.01,14.28,13.97,14.08,41605,14.01,14.28,13.97,14.08,41605,0,1
2016-04-05,14.02,14.34,13.99,14.3,70067,14.02,14.34,13.99,14.3,70067,0,1
2016-04-06,14.35,14.41,14.18,14.31,48323,14.35,14.41,14.18,14.31,48323,0,1
2016-04-07,14.18,14.25,13.72,13.9,43013,14.18,14.25,13.72,13.9,43013,0,1
2016-04-08,14,14.18,13.93,14.17,37592,14,14.18,13.93,14.17,37592,0,1
2016-04-11,14.21,14.37,13.98,14.08,43209,14.21,14.37,13.98,14.08,43209,0,1
2016-04-12,14.07,14.43,14.02,14.3,38169,14.07,14.43,14.02,14.3,38169,0,1
2016-04-13,14.34,14.5,14.34,14.44,121847,14.34,14.5,14.34,14.44,121847,0,1
2016-04-14,14.41,14.72,14.35,14.54,36396,14.41,14.72,14.35,14.54,36396,0,1
2016-04-15,14.45,14.71,14.41,14.54,32596,14.45,14.71,14.41,14.54,32596,0,1
2016-04-18,14.38,14.84,14.38,14.81,75397,14.38,14.84,14.38,14.81,75397,0,1
2016-04-19,14.84,14.95,14.72,14.94,72292,14.84,14.95,14.72,14.94,72292,0,1
2016-04-20,14.92,15.03,14.82,14.94,84907,14.92,15.03,14.82,14.94,84907,0,1
2016-04-21,14.95,14.95,14.57,14.65,60284,14.95,14.95,14.57,14.65,60284,0,1
2016-04-22,14.69,14.91,14.65,14.84,51662,14.69,14.91,14.65,14.84,51662,0,1
2016-04-25,14.69,14.81,14.58,14.68,23790,14.69,14.81,14.58,14.68,23790,0,1
2016-04-26,14.67,14.98,14.67,14.94,67084,14.67,14.98,14.67,14.94,67084,0,1
2016-04-27,14.93,15,14.72,14.74,39449,14.93,15,14.72,14.74,39449,0,1
2016-04-28,14.64,14.72,14.49,14.53,29032,14.64,14.72,14.49,14.53,29032,0,1
2016-04-29,14.88,14.88,14.38,14.55,32232,14.88,14.88,14.38,14.55,32232,0,1
2016-05-02,14.53,14.78,14.4,14.63,36611,14.53,14.78,14.4,14.63,36611,0,1
2016-05-03,14.49,14.77,14.3,14.35,67039,14.49,14.77,14.3,14.35,67039,0,1
2016-05-04,14.44,14.445,14.06,14.12,56443,14.44,14.445,14.06,14.12,56443,0,1
2016-05-05,14.14,14.35,13.98,14.09,64877,14.14,14.35,13.98,14.09,64877,0,1
2016-05-06,13.14,14.22,13.14,14.15,43742,13.14,14.22,13.14,14.15,43742,0,1
2016-05-09,13.99,14.36,13.81,14.29,45711,13.99,14.36,13.81,14.29,45711,0,1
2016-05-10,14.3,14.81,14.3,14.75,32626,14.3,14.81,14.3,14.75,32626,0,1
2016-05-11,14.76,14.8,14.4,14.77,69351,14.76,14.8,14.4,14.77,69351,0,1
2016-05-12,14.9596,15.04,14.64,14.97,82008,14.9596,15.04,14.64,14.97,82008,0,1
2016-05-13,14.855,15.06,14.7275,14.76,34936,14.855,15.06,14.7275,14.76,34936,0,1
2016-05-16,14.75,15.06,14.75,15.02,80963,14.75,15.06,14.75,15.02,80963,0,1
2016-05-17,15.03,15.03,14.72,14.9,83304,15.03,15.03,14.72,14.9,83304,0,1
2016-05-18,14.86,15,14.75,14.94,43598,14.86,15,14.75,14.94,43598,0,1
2016-05-19,14.68,15,14.57,14.68,67443,14.68,15,14.57,14.68,67443,0,1
2016-05-20,14.78,15.02,14.66,15.02,70130,14.78,15.02,14.66,15.02,70130,0,1
2016-05-23,15.04,15.05,14.85,14.97,55947,15.04,15.05,14.85,14.97,55947,0,1
2016-05-24,15.03,15.16,14.98,15.05,161429,15.03,15.16,14.98,15.05,161429,0,1
2016-05-25,15,15.196,14.95,15.15,46205,15,15.196,14.95,15.15,46205,0,1
2016-05-26,15.18,15.32,14.86,15.22,45641,15.18,15.32,14.86,15.22,45641,0,1
2016-05-27,15.24,15.36,15.22,15.35,86963,15.24,15.36,15.22,15.35,86963,0,1
2016-05-31,15.41,15.41,14.62,15.31,170369,15.41,15.41,14.62,15.31,170369,0,1
2016-06-01,15.24,15.59,15.24,15.54,67678,15.24,15.59,15.24,15.54,67678,0,1
2016-06-02,15.55,15.8,15.3,15.77,66768,15.55,15.8,15.3,15.77,66768,0,1
2016-06-03,16.04,16.31,15.2101,16,120805,16.04,16.31,15.2101,16,120805,0,1
2016-06-06,15.96,16,15.81,16,80198,15.96,16,15.81,16,80198,0,1
