Date,Open,High,Low,Close,Volume,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Dividend,SplitFactor
2021-04-22,9.9,9.9908,9.9,9.9,11800,9.9,9.9908,9.9,9.9,11800,0,1
2021-04-23,9.92,9.92,9.9,9.91,11618,9.92,9.92,9.9,9.91,11618,0,1
2021-04-26,9.91,9.91,9.91,9.91,15,9.91,9.91,9.91,9.91,15,0,1
2021-04-27,9.91,9.91,9.91,9.91,9,9.91,9.91,9.91,9.91,9,0,1
2021-04-28,9.91,9.91,9.9,9.91,12011,9.91,9.91,9.9,9.91,12011,0,1
2021-04-29,9.93,9.93,9.93,9.93,1057,9.93,9.93,9.93,9.93,1057,0,1
2021-04-30,9.91,9.93,9.9,9.93,2175,9.91,9.93,9.9,9.93,2175,0,1
2021-05-03,9.93,9.93,9.93,9.93,269,9.93,9.93,9.93,9.93,269,0,1
2021-05-04,9.95,9.95,9.9,9.9,14000,9.95,9.95,9.9,9.9,14000,0,1
2021-05-05,9.9,9.9,9.9,9.9,6257,9.9,9.9,9.9,9.9,6257,0,1
2021-05-06,9.91,9.91,9.9,9.9,20003,9.91,9.91,9.9,9.9,20003,0,1
2021-05-07,9.9,9.91,9.9,9.9,18102,9.9,9.91,9.9,9.9,18102,0,1
2021-05-10,9.93,9.93,9.9,9.9,6862,9.93,9.93,9.9,9.9,6862,0,1
2021-05-11,9.89,9.9,9.85,9.85,340011,9.89,9.9,9.85,9.85,340011,0,1
2021-05-12,9.85,9.85,9.85,9.85,30,9.85,9.85,9.85,9.85,30,0,1
2021-05-13,9.85,9.85,9.85,9.85,6,9.85,9.85,9.85,9.85,6,0,1
2021-05-14,9.89,9.89,9.8,9.8,7011,9.89,9.89,9.8,9.8,7011,0,1
2021-05-17,9.8,9.8,9.8,9.8,10,9.8,9.8,9.8,9.8,10,0,1
2021-05-18,9.8,9.8,9.8,9.8,0,9.8,9.8,9.8,9.8,0,0,1
2021-05-19,9.85,9.85,9.8,9.8,1160,9.85,9.85,9.8,9.8,1160,0,1
2021-05-20,9.85,9.85,9.78,9.78,1601,9.85,9.85,9.78,9.78,1601,0,1
2021-05-21,9.95,10.04,9.79,9.8,9460,9.95,10.04,9.79,9.8,9460,0,1
2021-05-24,9.8,9.8,9.8,9.8,0,9.8,9.8,9.8,9.8,0,0,1
2021-05-25,9.81,10.04,9.77,9.8,4650,9.81,10.04,9.77,9.8,4650,0,1
2021-05-26,10.39,10.39,9.79,9.79,9616,10.39,10.39,9.79,9.79,9616,0,1
2021-05-27,9.79,9.79,9.75,9.75,13317,9.79,9.79,9.75,9.75,13317,0,1
2021-05-28,9.76,9.76,9.75,9.76,3529,9.76,9.76,9.75,9.76,3529,0,1
2021-06-01,10.05,10.05,9.71,9.72,5383,10.05,10.05,9.71,9.72,5383,0,1
2021-06-02,9.78,9.78,9.7663,9.7663,680,9.78,9.78,9.7663,9.7663,680,0,1
2021-06-03,9.81,9.81,9.81,9.81,105,9.81,9.81,9.81,9.81,105,0,1
2021-06-04,9.8188,9.95,9.81,9.86,207805,9.8188,9.95,9.81,9.86,207805,0,1
2021-06-07,9.82,9.835,9.8,9.8,2610,9.82,9.835,9.8,9.8,2610,0,1
2021-06-08,9.75,9.79,9.75,9.775,5369,9.75,9.79,9.75,9.775,5369,0,1
2021-06-09,9.775,9.8,9.775,9.8,7625,9.775,9.8,9.775,9.8,7625,0,1
2021-06-10,9.78,9.84,9.74,9.81,43162,9.78,9.84,9.74,9.81,43162,0,1
2021-06-11,9.74,9.78,9.73,9.765,141147,9.74,9.78,9.73,9.765,141147,0,1
2021-06-14,9.8,9.8,9.75,9.77,14357,9.8,9.8,9.75,9.77,14357,0,1
2021-06-15,9.76,9.78,9.76,9.77,4372,9.76,9.78,9.76,9.77,4372,0,1
2021-06-16,9.77,9.8,9.77,9.79,2611,9.77,9.8,9.77,9.79,2611,0,1
2021-06-17,9.79,9.8,9.75,9.76,15203,9.79,9.8,9.75,9.76,15203,0,1
2021-06-18,9.77,9.77,9.75,9.75,5092,9.77,9.77,9.75,9.75,5092,0,1
2021-06-21,9.76,9.76,9.74,9.74,5438,9.76,9.76,9.74,9.74,5438,0,1
2021-06-22,9.77,9.77,9.73,9.73,5308,9.77,9.77,9.73,9.73,5308,0,1
2021-06-23,9.78,9.785,9.77,9.785,1633,9.78,9.785,9.77,9.785,1633,0,1
2021-06-24,9.76,9.78,9.76,9.76,940,9.76,9.78,9.76,9.76,940,0,1
2021-06-25,9.78,9.78,9.73,9.74,33476,9.78,9.78,9.73,9.74,33476,0,1
2021-06-28,9.72,9.73,9.72,9.73,188860,9.72,9.73,9.72,9.73,188860,0,1
2021-06-29,9.73,9.75,9.73,9.75,16681,9.73,9.75,9.73,9.75,16681,0,1
