Date,Open,High,Low,Close,Volume,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Dividend,SplitFactor
1983-12-01,12,12,11.88,11.88,296,0.8332871149893031,0.8332871149893031,0.8249542438394101,0.8249542438394101,1998,0,1
1983-12-02,11.88,11.88,11.88,11.88,178,1.2374313657591152,1.2374313657591152,1.2374313657591152,1.2374313657591152,801,0,1.5
1983-12-05,11.88,12.25,11.88,12.25,5644,1.2374313657591152,1.2759708948273703,1.2374313657591152,1.2759708948273703,25398,0,1
1983-12-06,12.75,12.75,12.75,12.75,667,1.3280513395142017,1.3280513395142017,1.3280513395142017,1.3280513395142017,3001,0,1
1983-12-07,12.75,13,12.5,12.75,1467,1.3280513395142017,1.3540915618576175,1.302011117170786,1.3280513395142017,6601,0,1
1983-12-08,12.75,13.5,12.75,13.5,2444,1.3280513395142017,1.406172006544449,1.3280513395142017,1.406172006544449,10998,0,1
1983-12-09,13.13,13.13,13.13,13.13,44,1.3676324774761937,1.3676324774761937,1.3676324774761937,1.3676324774761937,198,0,1
1983-12-12,13.13,13.5,12.75,13.13,2044,1.3676324774761937,1.406172006544449,1.3280513395142017,1.3676324774761937,9198,0,1
1983-12-13,13.13,13.13,12.75,12.75,267,1.3676324774761937,1.3676324774761937,1.3280513395142017,1.3280513395142017,1201,0,1
1983-12-14,12.75,12.75,12.75,12.75,844,1.3280513395142017,1.3280513395142017,1.3280513395142017,1.3280513395142017,3798,0,1
1983-12-15,12.75,12.75,12.5,12.5,1867,1.3280513395142017,1.3280513395142017,1.302011117170786,1.302011117170786,8401,0,1
1983-12-16,12.5,12.5,12.5,12.5,0,1.302011117170786,1.302011117170786,1.302011117170786,1.302011117170786,0,0,1
1983-12-19,12.5,12.5,12.25,12.5,1067,1.302011117170786,1.302011117170786,1.2759708948273703,1.302011117170786,4801,0,1
1983-12-20,12.38,12.38,12.13,12.38,844,1.2895118104459466,1.2895118104459466,1.263471588102531,1.2895118104459466,3798,0,1
1983-12-21,12.38,12.5,12.38,12.5,44,1.2895118104459466,1.302011117170786,1.2895118104459466,1.302011117170786,198,0,1
1983-12-22,12.25,12.25,11.5,11.5,2800,1.2759708948273703,1.2759708948273703,1.1978502277971232,1.1978502277971232,12600,0,1
1983-12-23,11.5,11.63,11,11,3200,1.1978502277971232,1.2113911434156994,1.1457697831102918,1.1457697831102918,14400,0,1
1983-12-27,11.13,11.38,11.13,11.38,667,1.159310698728868,1.1853509210722837,1.159310698728868,1.1853509210722837,3001,0,1
1983-12-28,11.63,12.25,11.63,12,3600,1.2113911434156994,1.2759708948273703,1.2113911434156994,1.2499306724839545,16200,0,1
1983-12-29,12.25,12.25,12.25,12.25,444,1.2759708948273703,1.2759708948273703,1.2759708948273703,1.2759708948273703,1998,0,1
1983-12-30,12.25,12.38,12.25,12.38,444,1.2759708948273703,1.2895118104459466,1.2759708948273703,1.2895118104459466,1998,0,1
1984-01-03,12.25,12.25,12.25,12.25,44,1.2759708948273703,1.2759708948273703,1.2759708948273703,1.2759708948273703,198,0,1
1984-01-04,12,12,12,12,267,1.2499306724839545,1.2499306724839545,1.2499306724839545,1.2499306724839545,1201,0,1
1984-01-05,12,12.25,12,12.25,2444,1.2499306724839545,1.2759708948273703,1.2499306724839545,1.2759708948273703,10998,0,1
1984-01-06,12.38,12.75,12.38,12.75,667,1.2895118104459466,1.3280513395142017,1.2895118104459466,1.3280513395142017,3001,0,1
1984-01-09,12.75,12.75,12.75,12.75,0,1.3280513395142017,1.3280513395142017,1.3280513395142017,1.3280513395142017,0,0,1
1984-01-10,12.75,13,12.75,13,2800,1.3280513395142017,1.3540915618576175,1.3280513395142017,1.3540915618576175,12600,0,1
1984-01-11,13,13,12.75,12.75,44,1.3540915618576175,1.3540915618576175,1.3280513395142017,1.3280513395142017,198,0,1
1984-01-12,12.75,12.75,12.5,12.75,2800,1.3280513395142017,1.3280513395142017,1.302011117170786,1.3280513395142017,12600,0,1
1984-01-13,12.75,12.75,12.38,12.38,1467,1.3280513395142017,1.3280513395142017,1.2895118104459466,1.2895118104459466,6601,0,1
1984-01-16,12.75,13,12.75,13,844,1.3280513395142017,1.3540915618576175,1.3280513395142017,1.3540915618576175,3798,0,1
