Date,Open,High,Low,Close,Volume,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Dividend,SplitFactor
2006-03-15,23.95,24.69,23.45,24.1,7251200,8.796772055407352,9.06857211056399,8.613123369490706,8.851866661182347,7251200,0,1
2006-03-16,24.1,24.35,23.89,24.27,649100,8.851866661182347,8.94369100414067,8.774734213097355,8.914307214394006,649100,0,1
2006-03-17,24.25,25.12,24.15,25.01,287000,8.90696126695734,9.226509980452304,8.87023152977401,9.186107269550643,287000,0,1
2006-03-20,25.17,25.61,24.75,24.9,282800,9.24487484904397,9.406485692650618,9.090609952873987,9.14570455864898,282800,0,1
2006-03-21,24.89,24.89,24,24.2,274700,9.142031584930647,9.142031584930647,8.815136923999017,8.888596398365676,274700,0,1
2006-03-22,24.05,24.3,24,24.16,103000,8.833501792590683,8.925326135549005,8.815136923999017,8.873904503492344,103000,0,1
2006-03-23,24.09,24.2,23.99,24.1,106200,8.848193687464013,8.888596398365676,8.811463950280684,8.851866661182347,106200,0,1
2006-03-24,24.3,24.99,24.24,24.5,101300,8.925326135549005,9.178761322113976,8.903288293239006,8.998785609915663,101300,0,1
2006-03-27,24.65,25.75,24.45,24.75,111700,9.053880215690658,9.457907324707278,8.980420741323998,9.090609952873987,111700,0,1
2006-03-28,24.73,24.86,24.55,24.7,115400,9.083264005437321,9.131012663775648,9.017150478507329,9.072245084282322,115400,0,1
2006-03-29,24.95,25.05,24.75,24.9,81900,9.164069427240644,9.200799164423975,9.090609952873987,9.14570455864898,81900,0,1
2006-03-30,24.95,25.45,24.95,25.45,132400,9.164069427240644,9.34771811315729,9.164069427240644,9.34771811315729,132400,0,1
2006-03-31,25.5,25.96,25.5,25.75,100100,9.366082981748956,9.53503977279227,9.366082981748956,9.457907324707278,100100,0,1
2006-04-03,25.8,25.8,24.8,24.9,291800,9.476272193298945,9.476272193298945,9.108974821465651,9.14570455864898,291800,0,1
