Date,Open,High,Low,Close,Volume,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Dividend,SplitFactor
2023-07-17,10.12,10.1593,10.07,10.07,10476,10.12,10.1593,10.07,10.07,10476,0,1
2023-07-18,10.07,10.09,10.07,10.0895,1791,10.07,10.09,10.07,10.0895,1791,0,1
2023-07-19,10.095,10.15,10.08,10.11,631376,10.095,10.15,10.08,10.11,631376,0,1
2023-07-20,10.11,10.12,10.11,10.12,3530,10.11,10.12,10.11,10.12,3530,0,1
2023-07-21,10.11,10.1279,10.11,10.1279,36942,10.11,10.1279,10.11,10.1279,36942,0,1
2023-07-24,10.12,10.15,10.1,10.12,22802,10.12,10.15,10.1,10.12,22802,0,1
2023-07-25,10.11,10.13,10.1,10.1,148020,10.11,10.13,10.1,10.1,148020,0,1
2023-07-26,10.12,10.13,10.11,10.11,39165,10.12,10.13,10.11,10.11,39165,0,1
2023-07-27,10.11,10.12,10.11,10.12,3249,10.11,10.12,10.11,10.12,3249,0,1
2023-07-28,10.11,10.11,10.11,10.11,1315,10.11,10.11,10.11,10.11,1315,0,1
2023-07-31,10.11,10.1101,10.11,10.1101,11455,10.11,10.1101,10.11,10.1101,11455,0,1
2023-08-01,10.11,10.12,10.11,10.12,575069,10.11,10.12,10.11,10.12,575069,0,1
2023-08-02,10.12,10.12,10.115,10.115,231690,10.12,10.12,10.115,10.115,231690,0,1
2023-08-03,10.12,10.12,10.11,10.11,62314,10.12,10.12,10.11,10.11,62314,0,1
2023-08-04,10.115,10.12,10.11,10.12,40053,10.115,10.12,10.11,10.12,40053,0,1
2023-08-07,10.12,10.12,10.12,10.12,26,10.12,10.12,10.12,10.12,26,0,1
2023-08-08,10.12,10.12,10.11,10.11,8470,10.12,10.12,10.11,10.11,8470,0,1
2023-08-09,10.12,10.13,10.12,10.1268,191787,10.12,10.13,10.12,10.1268,191787,0,1
2023-08-10,10.13,10.14,10.12,10.13,510810,10.13,10.14,10.12,10.13,510810,0,1
2023-08-11,10.135,10.15,10.13,10.13,400814,10.135,10.15,10.13,10.13,400814,0,1
2023-08-14,10.13,10.135,10.13,10.13,532704,10.13,10.135,10.13,10.13,532704,0,1
2023-08-15,10.13,10.14,10.13,10.13,37379,10.13,10.14,10.13,10.13,37379,0,1
2023-08-16,10.13,10.14,10.13,10.13,51964,10.13,10.14,10.13,10.13,51964,0,1
2023-08-17,10.13,10.14,10.13,10.13,111323,10.13,10.14,10.13,10.13,111323,0,1
2023-08-18,10.1329,10.145,10.1329,10.135,57273,10.1329,10.145,10.1329,10.135,57273,0,1
2023-08-21,10.14,10.14,10.13,10.13,1817,10.14,10.14,10.13,10.13,1817,0,1
2023-08-22,10.13,10.145,10.13,10.145,13563,10.13,10.145,10.13,10.145,13563,0,1
2023-08-23,10.15,10.2,10.14,10.14,27552,10.15,10.2,10.14,10.14,27552,0,1
2023-08-24,10.17,10.17,10.13,10.14,19026,10.17,10.17,10.13,10.14,19026,0,1
2023-08-25,10.14,10.17,10.14,10.17,1496,10.14,10.17,10.14,10.17,1496,0,1
2023-08-28,10.15,10.15,10.14,10.14,234,10.15,10.15,10.14,10.14,234,0,1
2023-08-29,10.17,10.17,10.17,10.17,206,10.17,10.17,10.17,10.17,206,0,1
2023-08-30,10.165,10.17,10.16,10.16,8817,10.165,10.17,10.16,10.16,8817,0,1
2023-08-31,10.165,10.165,10.165,10.165,900,10.165,10.165,10.165,10.165,900,0,1
2023-09-01,10.165,10.165,10.165,10.165,1,10.165,10.165,10.165,10.165,1,0,1
2023-09-05,10.18,10.18,10.18,10.18,335,10.18,10.18,10.18,10.18,335,0,1
2023-09-06,10.17,10.17,10.17,10.17,832,10.17,10.17,10.17,10.17,832,0,1
2023-09-07,10.1708,10.1708,10.17,10.17,8201,10.1708,10.1708,10.17,10.17,8201,0,1
2023-09-08,10.17,10.17,10.17,10.17,674,10.17,10.17,10.17,10.17,674,0,1
2023-09-11,10.17,10.18,10.17,10.17,785358,10.17,10.18,10.17,10.17,785358,0,1
2023-09-12,10.17,10.17,10.1664,10.17,168850,10.17,10.17,10.1664,10.17,168850,0,1
2023-09-13,10.17,10.17,10.17,10.17,659,10.17,10.17,10.17,10.17,659,0,1
2023-09-14,10.17,10.2,10.17,10.19,94893,10.17,10.2,10.17,10.19,94893,0,1
2023-09-15,10.2,10.21,10.2,10.2,159410,10.2,10.21,10.2,10.2,159410,0,1
2023-09-18,10.207,10.21,10.207,10.21,771,10.207,10.21,10.207,10.21,771,0,1
2023-09-19,10.22,10.22,10.2,10.2,129007,10.22,10.22,10.2,10.2,129007,0,1
2023-09-20,10.23,10.23,10.21,10.21,2222,10.23,10.23,10.21,10.21,2222,0,1
2023-09-21,10.22,10.22,10.22,10.22,201,10.22,10.22,10.22,10.22,201,0,1
2023-09-22,10.22,10.22,10.22,10.22,340,10.22,10.22,10.22,10.22,340,0,1
2023-09-25,10.21,10.22,10.19,10.19,73484,10.21,10.22,10.19,10.19,73484,0,1
2023-09-26,10.2,10.2176,10.2,10.2176,43662,10.2,10.2176,10.2,10.2176,43662,0,1
2023-09-27,10.22,10.22,10.22,10.22,5232,10.22,10.22,10.22,10.22,5232,0,1
2023-09-28,10.22,10.22,10.22,10.22,0,10.22,10.22,10.22,10.22,0,0,1
2023-09-29,10.2184,10.2184,10.2184,10.2184,295,10.2184,10.2184,10.2184,10.2184,295,0,1
2023-10-02,10.2184,10.2184,10.2184,10.2184,50,10.2184,10.2184,10.2184,10.2184,50,0,1
2023-10-03,10.22,10.22,10.22,10.22,119,10.22,10.22,10.22,10.22,119,0,1
2023-10-04,10.22,10.22,10.22,10.22,10,10.22,10.22,10.22,10.22,10,0,1
2023-10-05,10.22,10.22,10.22,10.22,200,10.22,10.22,10.22,10.22,200,0,1
2023-10-06,10.22,10.22,10.22,10.22,0,10.22,10.22,10.22,10.22,0,0,1
2023-10-09,10.22,10.22,10.22,10.22,10,10.22,10.22,10.22,10.22,10,0,1
2023-10-10,10.22,10.22,10.22,10.22,7,10.22,10.22,10.22,10.22,7,0,1
2023-10-11,10.22,10.22,10.22,10.22,66,10.22,10.22,10.22,10.22,66,0,1
2023-10-12,10.22,10.23,10.21,10.22,130759,10.22,10.23,10.21,10.22,130759,0,1
2023-10-13,10.22,10.22,10.22,10.22,1,10.22,10.22,10.22,10.22,1,0,1
2023-10-16,10.21,10.22,10.21,10.22,604,10.21,10.22,10.21,10.22,604,0,1
2023-10-17,10.22,10.23,10.22,10.22,27258,10.22,10.23,10.22,10.22,27258,0,1
2023-10-18,10.22,10.24,10.22,10.24,67033,10.22,10.24,10.22,10.24,67033,0,1
2023-10-19,10.23,10.24,10.21,10.21,293658,10.23,10.24,10.21,10.21,293658,0,1
2023-10-20,10.22,10.25,10.22,10.2452,302452,10.22,10.25,10.22,10.2452,302452,0,1
2023-10-23,10.2452,10.2452,10.2452,10.2452,379,10.2452,10.2452,10.2452,10.2452,379,0,1
2023-10-24,10.235,10.25,10.23,10.25,119192,10.235,10.25,10.23,10.25,119192,0,1
2023-10-25,10.24,10.24,10.23,10.23,169410,10.24,10.24,10.23,10.23,169410,0,1
2023-10-26,10.23,10.23,10.22,10.22,11611,10.23,10.23,10.22,10.22,11611,0,1
2023-10-27,10.22,10.23,10.22,10.23,180148,10.22,10.23,10.22,10.23,180148,0,1
2023-10-30,10.23,10.2332,10.23,10.23,15500,10.23,10.2332,10.23,10.23,15500,0,1
2023-10-31,10.23,10.23,10.23,10.23,0,10.23,10.23,10.23,10.23,0,0,1
2023-11-01,10.23,10.24,10.23,10.23,177959,10.23,10.24,10.23,10.23,177959,0,1
2023-11-02,10.23,10.24,10.23,10.235,24716,10.23,10.24,10.23,10.235,24716,0,1
2023-11-03,10.24,10.25,10.24,10.24,7563,10.24,10.25,10.24,10.24,7563,0,1
2023-11-06,10.243,10.243,10.243,10.243,1476,10.243,10.243,10.243,10.243,1476,0,1
2023-11-07,10.252,10.255,10.24,10.255,2904,10.252,10.255,10.24,10.255,2904,0,1
2023-11-08,10.255,10.255,10.255,10.255,13,10.255,10.255,10.255,10.255,13,0,1
2023-11-09,10.24,10.24,10.24,10.24,2540,10.24,10.24,10.24,10.24,2540,0,1
2023-11-10,10.24,10.24,10.24,10.24,1,10.24,10.24,10.24,10.24,1,0,1
2023-11-13,10.2496,10.27,10.24,10.24,2497,10.2496,10.27,10.24,10.24,2497,0,1
2023-11-14,10.2487,10.27,10.24,10.24,6336,10.2487,10.27,10.24,10.24,6336,0,1
2023-11-15,10.24,10.25,10.24,10.25,25923,10.24,10.25,10.24,10.25,25923,0,1
2023-11-16,10.25,10.25,10.25,10.25,25819,10.25,10.25,10.25,10.25,25819,0,1
2023-11-17,10.26,10.26,10.26,10.26,50157,10.26,10.26,10.26,10.26,50157,0,1
2023-11-20,10.27,10.275,10.27,10.27,67807,10.27,10.275,10.27,10.27,67807,0,1
2023-11-21,10.27,10.28,10.27,10.27,779483,10.27,10.28,10.27,10.27,779483,0,1
2023-11-22,10.27,10.28,10.27,10.27,68515,10.27,10.28,10.27,10.27,68515,0,1
2023-11-24,10.27,10.27,10.27,10.27,48,10.27,10.27,10.27,10.27,48,0,1
2023-11-27,10.27,10.275,10.27,10.2722,24894,10.27,10.275,10.27,10.2722,24894,0,1
2023-11-28,10.29,10.29,10.27,10.2803,101726,10.29,10.29,10.27,10.2803,101726,0,1
2023-11-29,10.3,10.305,10.28,10.29,491832,10.3,10.305,10.28,10.29,491832,0,1
