Date,Open,High,Low,Close,Volume,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Dividend,SplitFactor
2020-08-27,23.1,25,21.2,21.22,82219698,23.1,25,21.2,21.22,82219698,0,1
2020-08-28,23.98,24.4,22.02,22.79,44847272,23.98,24.4,22.02,22.79,44847272,0,1
2020-08-31,22.69,22.79,20.33,20.5,20815988,22.69,22.79,20.33,20.5,20815988,0,1
2020-09-01,20.98,21.79,20.1,21.61,15291396,20.98,21.79,20.1,21.61,15291396,0,1
2020-09-02,21.99,22,20.38,21.09,9090101,21.99,22,20.38,21.09,9090101,0,1
2020-09-03,20.93,21.05,20,20.03,7897129,20.93,21.05,20,20.03,7897129,0,1
2020-09-04,19.98,20.18,18.01,19.03,10957355,19.98,20.18,18.01,19.03,10957355,0,1
2020-09-08,17.91,18.56,17.37,17.73,8723960,17.91,18.56,17.37,17.73,8723960,0,1
2020-09-09,18.575,18.65,17.91,18.07,5888958,18.575,18.65,17.91,18.07,5888958,0,1
2020-09-10,18.3135,19.505,18.31,19.28,15465150,18.3135,19.505,18.31,19.28,15465150,0,1
2020-09-11,19.49,19.55,18.36,19.1,4259731,19.49,19.55,18.36,19.1,4259731,0,1
2020-09-14,19.14,20.56,18.38,20.48,6296597,19.14,20.56,18.38,20.48,6296597,0,1
2020-09-15,20.59,21.14,20.26,21.12,4332355,20.59,21.14,20.26,21.12,4332355,0,1
2020-09-16,20.66,20.78,19.62,19.92,4062698,20.66,20.78,19.62,19.92,4062698,0,1
2020-09-17,19.01,19.67,19.01,19.24,2887950,19.01,19.67,19.01,19.24,2887950,0,1
2020-09-18,19.44,19.48,18.86,18.9,2789432,19.44,19.48,18.86,18.9,2789432,0,1
2020-09-21,18.27,18.38,17.425,18.15,5191224,18.27,18.38,17.425,18.15,5191224,0,1
2020-09-22,18.5,19.58,18.17,19.31,4131309,18.5,19.58,18.17,19.31,4131309,0,1
2020-09-23,19.42,19.42,18.1,18.41,3273928,19.42,19.42,18.1,18.41,3273928,0,1
2020-09-24,18,18.17,17.1101,17.45,3995250,18,18.17,17.1101,17.45,3995250,0,1
2020-09-25,17.81,18,17.12,17.93,5330766,17.81,18,17.12,17.93,5330766,0,1
2020-09-28,19.02,19.45,18.5,19.06,5507480,19.02,19.45,18.5,19.06,5507480,0,1
2020-09-29,19.06,19.2,18.53,18.78,5856080,19.06,19.2,18.53,18.78,5856080,0,1
2020-09-30,19.94,20.09,19.16,20.07,10406023,19.94,20.09,19.16,20.07,10406023,0,1
2020-10-01,20.15,20.23,18.51,18.67,10024385,20.15,20.23,18.51,18.67,10024385,0,1
2020-10-02,18,18.56,17.98,18.19,4524988,18,18.56,17.98,18.19,4524988,0,1
2020-10-05,19.58,20.39,19.22,20.04,14572347,19.58,20.39,19.22,20.04,14572347,0,1
2020-10-06,20.44,20.91,19.2,19.7,7053987,20.44,20.91,19.2,19.7,7053987,0,1
2020-10-07,19.98,20.59,19.85,20.16,4938635,19.98,20.59,19.85,20.16,4938635,0,1
2020-10-08,20.51,20.63,19.72,19.86,3516681,20.51,20.63,19.72,19.86,3516681,0,1
2020-10-09,19.75,20.06,19.51,20,2932144,19.75,20.06,19.51,20,2932144,0,1
2020-10-12,20.45,20.53,19.76,19.88,4898774,20.45,20.53,19.76,19.88,4898774,0,1
2020-10-13,19.7,19.8,19.31,19.64,3823965,19.7,19.8,19.31,19.64,3823965,0,1
2020-10-14,20.31,22.55,20.18,22.05,18411579,20.31,22.55,20.18,22.05,18411579,0,1
2020-10-15,21.93,22.76,21.05,22.16,10449204,21.93,22.76,21.05,22.16,10449204,0,1
2020-10-16,22.98,23.1,21.32,21.77,6261649,22.98,23.1,21.32,21.77,6261649,0,1
2020-10-19,21.82,21.93,19.82,19.84,8204079,21.82,21.93,19.82,19.84,8204079,0,1
2020-10-20,20.2135,20.65,20,20.14,5993605,20.2135,20.65,20,20.14,5993605,0,1
2020-10-21,20.2,20.47,20.01,20.42,4159677,20.2,20.47,20.01,20.42,4159677,0,1
2020-10-22,20.77,20.89,20.1399,20.82,6382558,20.77,20.89,20.1399,20.82,6382558,0,1
2020-10-23,20.9,20.93,19.95,20.05,4465778,20.9,20.93,19.95,20.05,4465778,0,1
