Ticker,Semana,Close,RSI,RSI_max_5a,Fecha_max,RSI_min_5a,Fecha_min,Posicion,Semanas_ventana,Semanas_totales,Lectura
KOID,2026-09-11,35.89,46.47,80.11,2025-10-03,44.72,2026-03-27,4.95,53,67,piso de 53 semanas
MCD,2026-09-11,252.53,30.61,72.62,2024-10-18,26.59,2023-10-06,8.73,260,2959,piso de 5 anios
USAR,2026-09-11,15.56,42.98,95.4,2024-12-13,37.08,2025-03-28,10.11,151,165,parte baja
XPEV,2026-09-11,10.54,31.31,82.31,2025-03-14,25.08,2022-10-28,10.88,260,316,parte baja
ATAT,2026-09-11,32.41,41.43,79.46,2024-10-04,36.66,2025-04-11,11.16,187,201,parte baja
HESAY,2026-09-11,161.75,33.72,78.21,2021-11-19,26.94,2026-03-27,13.22,260,890,parte baja
TDG,2026-09-11,1140.32,39.7,80.79,2024-02-23,33.31,2026-03-27,13.46,260,1070,parte baja
COST,2026-09-11,904.77,38.92,83.28,2021-11-26,31.71,2022-05-20,13.98,260,2097,parte baja
NOC,2026-09-11,518.97,40.51,79.75,2026-03-06,31.26,2026-06-26,19.07,260,2333,parte baja
IONQ,2026-09-11,36.75,43.51,88.38,2024-12-06,32.69,2022-07-01,19.43,260,297,parte baja
WMT,2026-09-11,107.15,41.59,86.82,2024-12-06,29.76,2022-05-20,20.74,260,2821,parte baja
RRX,2026-09-11,162.29,37.11,79.07,2026-02-13,25.31,2025-04-04,21.94,260,2233,parte baja
RCL,2026-09-11,260.14,41.09,86.08,2024-12-06,27.1,2022-06-17,23.73,260,1742,parte baja
BABA,2026-09-11,109.3,41.03,81.92,2025-10-03,26.67,2021-10-01,26.0,260,626,
CASH,2026-09-11,78.62,40.9,78.71,2021-10-22,24.7,2022-05-20,30.0,260,1721,
LMT,2026-09-11,524.19,44.58,86.5,2024-10-18,26.48,2023-10-06,30.15,260,2593,
LLY,2026-09-11,1115.7,50.96,83.83,2023-09-08,36.61,2025-08-08,30.39,260,2833,
RGTI,2026-09-11,15.27,43.72,97.91,2025-01-03,18.56,2022-03-18,31.7,260,282,
GLD,2026-09-11,398.77,49.0,85.17,2025-10-17,31.5,2022-09-23,32.6,260,1139,
ENSG,2026-09-11,173.98,48.11,82.14,2024-08-30,31.26,2021-10-22,33.12,260,984,
MCHI,2026-09-11,52.96,41.44,78.39,2024-10-04,22.76,2022-10-28,33.58,260,807,
GOOGL,2026-09-11,338.5,49.3,83.23,2025-12-05,31.2,2025-04-04,34.79,260,1152,
TSLA,2026-09-11,365.44,47.91,86.27,2021-11-05,27.43,2023-01-06,34.81,260,846,
CB,2026-09-11,338.25,52.24,81.17,2024-02-23,36.53,2023-03-24,35.2,260,2193,
FSLR,2026-09-11,209.03,45.78,78.85,2024-05-24,27.73,2025-03-28,35.32,260,1035,
FLEX,2026-09-11,115.78,52.95,90.57,2026-05-08,31.58,2025-04-04,36.23,260,1696,
NEE,2026-09-11,82.31,40.39,77.27,2024-05-31,18.68,2023-10-06,37.06,260,2258,
BATT,2026-09-11,15.0562,48.31,82.19,2025-10-03,27.49,2024-02-02,38.07,260,432,
SCCO,2026-09-11,193.49,54.42,88.61,2026-02-27,32.0,2022-07-15,39.61,260,1602,
COIN,2026-09-11,175.26,48.45,82.2,2023-12-22,20.64,2022-05-20,45.18,260,283,
BCH,2026-09-11,41.72,57.25,81.93,2026-02-06,35.66,2021-10-15,46.65,260,1288,
QTUM,2026-09-11,147.41,54.64,82.17,2026-05-29,30.53,2022-10-14,46.69,260,419,
QCOM,2026-09-11,181.97,52.57,78.27,2024-05-24,28.25,2025-04-04,48.61,260,1813,
IBDRY,2026-09-11,93.76,55.15,82.97,2025-04-17,27.3,2021-10-01,50.04,260,1001,
DAL,2026-09-11,79.91,50.8,75.29,2023-07-07,26.01,2025-04-04,50.3,260,1011,
MU,2026-09-11,975.26,60.63,87.96,2026-01-30,31.94,2022-06-17,51.21,260,1948,
UNH,2026-09-11,379.09,48.95,72.02,2021-12-31,24.35,2025-08-01,51.6,260,1903,
NOVT,2026-09-11,146.56,50.58,75.38,2021-09-24,18.38,2025-04-04,56.48,260,558,
CVX,2026-09-11,214.06,65.32,84.99,2026-03-27,34.46,2024-09-06,61.08,260,2959,
JPM,2026-09-11,356.23,64.77,84.75,2024-03-28,30.43,2022-03-11,63.22,260,2229,
CRCL,2026-09-11,90.6,52.78,60.71,2026-03-20,37.79,2026-07-17,65.42,53,67,
MSFT,2026-09-11,495.63,61.14,80.06,2021-11-19,25.32,2026-03-27,65.44,260,2114,
SONY,2026-09-11,23.9,56.37,72.7,2025-02-28,22.61,2022-09-30,67.4,260,2721,
KO,2026-09-11,88.29,62.97,78.99,2024-08-30,23.93,2023-10-13,70.91,260,3376,
