Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2022-11-11,14.4878,15.9366,11.2164,12.0389,1841104,,,,,0
2022-11-18,13.7214,14.6748,10.2972,12.2726,6618301,,,,,0
2022-11-25,11.7772,12.3006,10.4219,10.8799,1139775,,,,,0
2022-12-02,11.422,17.6471,11.2351,16.5348,6314021,,,,,0
2022-12-09,17.3854,17.3947,13.3942,15.4599,3287807,,,,,0
2022-12-16,14.3943,16.5956,14.3476,15.5908,1450356,,,,,0
2022-12-23,14.8617,17.5812,14.6654,17.2919,1276860,,,,,0
2022-12-30,17.5069,17.6751,15.2917,16.8433,1943530,,,,,0
2023-01-06,16.9274,18.694,16.6376,17.1611,1547439,,,,,0
2023-01-13,18.1509,23.8348,17.6751,23.7413,1856209,,,,,0
2023-01-20,22.9001,25.564,20.2829,25.321,1456143,,,,,0
2023-01-27,25.6388,27.4801,22.2458,23.3674,1667297,,,,,0
2023-02-03,22.9001,26.8165,21.9654,23.3955,1437811,,,,,0
2023-02-10,23.2086,26.3398,21.3018,23.6292,1119822,,,,,0
2023-02-17,24.003,25.9596,21.7598,22.2458,560793,72.47,72.47,72.47,,1
2023-02-24,22.1991,25.1247,21.5635,22.4982,836008,72.79,72.79,72.47,100.0,2
2023-03-03,22.9936,25.7033,22.6945,24.5452,589475,75.34,75.34,72.47,100.0,3
2023-03-10,24.7228,25.4665,21.4887,21.9561,751333,66.82,75.34,66.82,0.0,4
2023-03-17,21.9561,24.5153,18.8846,22.4514,950722,67.58,75.34,66.82,8.87,5
2023-03-24,22.0589,22.9655,20.096,21.7598,501324,65.34,75.34,65.34,0.0,6
2023-03-31,21.657,25.2368,21.6314,24.4984,1105676,69.63,75.34,65.34,42.87,7
2023-04-06,24.3021,25.7042,22.2458,24.4891,661068,69.6,75.34,65.34,42.55,8
2023-04-14,24.3489,25.3303,20.8718,21.3392,828368,59.74,75.34,59.74,0.0,9
2023-04-21,21.6102,23.5357,21.2083,21.5167,586129,60.08,75.34,59.74,2.2,10
2023-04-28,21.5167,21.7878,18.7874,20.0399,1348743,55.82,75.34,55.82,0.0,11
2023-05-05,20.1427,20.2643,18.236,18.4322,519883,51.54,75.34,51.54,0.0,12
2023-05-12,18.5444,18.6566,15.759,16.6189,1214514,47.14,75.34,47.14,0.0,13
2023-05-19,16.918,18.6379,16.3759,17.4789,867543,49.35,75.34,47.14,7.82,14
2023-05-26,17.7686,17.834,15.1608,16.8246,1792004,47.72,75.34,47.14,2.04,15
2023-06-02,17.0769,17.2919,15.1047,16.7124,933419,47.43,75.34,47.14,1.01,16
2023-06-09,16.7965,16.8246,13.8335,14.7308,6266573,42.52,75.34,42.52,0.0,17
2023-06-16,14.7495,17.5303,14.7495,16.1329,4093035,46.72,75.34,42.52,12.8,18
2023-06-23,15.9086,15.9086,14.4878,14.7028,1144655,43.25,75.34,42.52,2.22,19
2023-06-30,14.7776,15.6001,14.7215,15.1795,1562069,44.72,75.34,42.52,6.72,20
2023-07-07,15.5908,17.2452,15.5908,16.2264,1457608,47.92,75.34,42.52,16.47,21
2023-07-14,16.2637,18.9183,16.2637,18.049,2117047,53.02,75.34,42.52,32.01,22
2023-07-21,17.9369,18.4229,17.348,17.3947,1101286,51.09,75.34,42.52,26.11,23
2023-07-28,17.3386,19.6287,16.9554,19.1987,2090872,55.87,75.34,42.52,40.68,24
2023-08-04,19.6287,20.0119,18.264,19.666,2692282,57.04,75.34,42.52,44.24,25
2023-08-11,19.666,20.0493,19.0024,19.5726,2377307,56.72,75.34,42.52,43.26,26
2023-08-18,19.3482,21.4981,18.4229,18.8342,3574087,54.1,75.34,42.52,35.29,27
2023-08-25,18.8435,19.6474,18.0584,18.0864,3333621,51.51,75.34,42.52,27.39,28
2023-09-01,18.1986,19.5165,17.591,18.3388,3417537,52.34,75.34,42.52,29.92,29
2023-09-08,18.1149,18.3881,16.9091,17.3895,1502096,48.95,75.34,42.52,19.58,30
2023-09-15,17.6345,18.6801,17.4366,18.3692,1866282,52.38,75.34,42.52,30.04,31
