Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2014-09-19,92.7,99.7,89.95,93.89,271879400,,,,,0
2014-09-26,92.7,92.95,86.62,90.46,183924600,,,,,0
2014-10-03,89.62,90.88,85.611,88.1,113643638,,,,,0
2014-10-10,89.15,90.35,85.24,85.88,69240261,,,,,0
2014-10-17,86.85,90.9,82.81,87.91,79813602,,,,,0
2014-10-24,88.0,98.0,87.86,95.76,106091586,,,,,0
2014-10-31,97.0,100.67,96.3,98.6,122608113,,,,,0
2014-11-07,99.67,114.77,99.05,114.56,241735403,,,,,0
2014-11-14,117.27,120.0,113.35,115.1,292552294,,,,,0
2014-11-21,115.44,115.63,107.22,110.73,174305196,,,,,0
2014-11-28,112.0,115.17,111.11,111.64,63993566,,,,,0
2014-12-05,110.02,111.68,103.8961,107.9,96457040,,,,,0
2014-12-12,105.97,107.95,101.2,105.11,92662652,,,,,0
2014-12-19,106.39,111.2,103.7,110.65,93145082,,,,,0
2014-12-26,110.63,110.98,103.88,105.95,44505957,60.17,60.17,60.17,,1
2015-01-02,105.95,107.66,102.52,103.6,40853420,57.71,60.17,57.71,0.0,2
2015-01-09,102.76,105.3399,99.9,103.02,68143653,57.09,60.17,57.09,0.0,3
2015-01-16,103.2,103.36,95.52,96.89,68854763,50.86,60.17,50.86,0.0,4
2015-01-23,98.3,105.2,97.59,103.11,48532879,56.09,60.17,50.86,56.22,5
2015-01-30,104.4,105.13,87.36,89.08,181698911,44.56,60.17,44.56,0.0,6
2015-02-06,91.13,91.88,85.42,85.68,93531006,42.29,60.17,42.29,0.0,7
2015-02-13,85.83,89.3,85.47,89.05,66343198,45.26,60.17,42.29,16.64,8
2015-02-20,88.78,88.99,86.38,86.64,38020333,43.54,60.17,42.29,6.97,9
2015-02-27,86.51,87.16,83.88,85.12,55988138,42.43,60.17,42.29,0.82,10
2015-03-06,85.0,86.27,80.03,84.4,116136463,41.89,60.17,41.89,0.0,11
2015-03-13,84.35,84.35,80.65,81.86,68083184,39.96,60.17,39.96,0.0,12
2015-03-20,82.01,87.04,81.94,85.2,121753959,43.64,60.17,39.96,18.22,13
2015-03-27,85.25,85.53,82.39,84.58,60828366,43.12,60.17,39.96,15.61,14
2015-04-02,85.03,85.15,81.25,82.28,56592022,41.12,60.17,39.96,5.76,15
2015-04-10,82.05,87.69,81.6139,84.58,94472084,43.91,60.17,39.96,19.55,16
2015-04-17,85.16,85.71,81.61,81.9,74561384,41.45,60.17,39.96,7.37,17
2015-04-24,82.25,84.99,81.52,84.57,69359353,44.77,60.17,39.96,23.81,18
2015-05-01,85.53,86.27,80.11,81.17,81710867,41.54,60.17,39.96,7.81,19
2015-05-08,81.17,89.29,77.77,87.06,178658928,48.48,60.17,39.96,42.16,20
2015-05-15,86.7,88.96,86.06,88.46,80356550,50.0,60.17,39.96,49.68,21
2015-05-22,87.61,95.06,86.47,93.27,126884346,54.92,60.17,39.96,74.02,22
2015-05-29,93.65,93.92,89.32,89.32,53257423,50.52,60.17,39.96,52.27,23
2015-06-05,90.09,91.6,89.49,90.71,49230966,51.98,60.17,39.96,59.48,24
2015-06-12,90.65,91.6,86.12,86.63,68028705,47.55,60.17,39.96,37.57,25
2015-06-19,86.3,87.8,85.17,85.74,53433566,46.62,60.17,39.96,32.96,26
2015-06-26,86.07,86.4,82.82,83.28,49576995,44.05,60.17,39.96,20.23,27
2015-07-02,81.64,83.69,80.8,82.07,40531015,42.8,60.17,39.96,14.05,28
2015-07-10,80.56,81.5,76.21,80.3,99791298,40.97,60.17,39.96,4.98,29
2015-07-17,80.92,83.7,80.21,83.36,50485309,45.33,60.17,39.96,26.54,30
2015-07-24,83.56,85.38,82.0,83.02,41289106,44.93,60.17,39.96,24.58,31
2015-07-31,80.85,81.7,78.2,78.34,51103475,39.77,60.17,39.77,0.0,32
2015-08-07,78.2,80.75,77.11,78.82,43254882,40.52,60.17,39.77,3.7,33
2015-08-14,79.86,80.99,71.03,74.76,111017728,36.37,60.17,36.37,0.0,34
2015-08-21,74.85,75.24,68.18,68.18,92114542,30.85,60.17,30.85,0.0,35
2015-08-28,58.16,71.59,58.0,70.07,116362392,33.95,60.17,30.85,10.57,36
2015-09-04,69.12,69.3,63.34,63.91,89278578,29.34,60.17,29.34,0.0,37
2015-09-11,65.78,66.81,60.25,64.63,114468702,30.53,60.17,29.34,3.85,38
2015-09-18,62.55,68.08,61.11,65.75,118318535,32.43,60.17,29.34,10.03,39
2015-09-25,65.38,66.4,58.21,59.24,97566594,27.68,60.17,27.68,0.0,40
2015-10-02,58.81,63.24,57.2,63.2,84386077,34.01,60.17,27.68,19.48,41
2015-10-09,63.47,69.45,62.2,68.71,72425714,41.66,60.17,27.68,43.03,42
2015-10-16,69.64,73.64,67.425,71.99,75038661,45.7,60.17,27.68,55.46,43
2015-10-23,71.8,75.76,68.89,75.62,72151326,49.84,60.17,27.68,68.19,44
2015-10-30,75.44,84.44,75.13,83.83,137793167,57.69,60.17,27.68,92.35,45
2015-11-06,83.52,86.42,80.77,83.61,108344708,57.43,60.17,27.68,91.55,46
2015-11-13,83.44,83.47,75.64,75.85,113763365,49.05,60.17,27.68,65.77,47
2015-11-20,75.83,80.785,75.77,79.95,82955731,52.96,60.17,27.68,77.79,48
2015-11-27,80.45,82.675,79.27,81.38,62972495,54.27,60.17,27.68,81.84,49
2015-12-04,81.5,85.82,81.38,84.85,199276665,57.39,60.17,27.68,91.43,50
2015-12-11,84.8,85.2,79.422,79.74,79705143,51.79,60.17,27.68,74.2,51
2015-12-18,80.15,85.32,78.99,82.65,66873766,54.51,60.17,27.68,82.58,52
2015-12-24,83.15,85.1,82.43,83.71,35882051,55.5,60.17,27.68,85.61,53
2015-12-31,82.56,83.51,81.25,81.27,29986764,52.67,60.17,27.68,76.91,54
2016-01-08,78.18,78.68,70.67,70.8,96920391,42.63,60.17,27.68,46.01,55
2016-01-15,71.29,73.239,67.541,69.59,81328522,41.64,60.17,27.68,42.97,56
2016-01-22,71.94,73.34,65.34,70.37,69258034,42.57,60.17,27.68,45.81,57
2016-01-29,70.8,73.15,65.4,67.03,103216652,39.67,60.17,27.68,36.9,58
2016-02-05,66.5,67.7399,60.87,62.64,103026914,36.19,60.17,27.68,26.17,59
2016-02-12,60.9,63.09,59.25,60.89,66559284,34.87,60.17,27.68,22.13,60
2016-02-19,64.42,68.5,64.04,67.28,63059394,43.01,60.17,27.68,47.19,61
2016-02-26,68.3,69.53,64.66,66.91,63864293,42.68,60.17,27.68,46.17,62
2016-03-04,67.64,72.96,67.56,72.22,64845019,48.8,60.17,27.68,65.01,63
2016-03-11,72.2,74.01,70.605,74.01,49648446,50.71,60.17,27.68,70.89,64
2016-03-18,74.01,76.3,71.75,76.25,49914417,53.07,60.17,27.68,78.15,65
2016-03-24,77.09,79.6804,73.53,75.86,44277374,52.6,60.17,27.68,76.7,66
2016-04-01,76.45,79.84,74.9,78.73,49891136,55.72,60.17,27.68,86.31,67
2016-04-08,78.33,79.55,76.621,77.47,47820627,54.04,60.17,27.68,81.13,68
2016-04-15,78.07,79.858,76.87,78.97,53474644,55.76,60.17,27.68,86.41,69
2016-04-22,78.52,85.89,77.71,79.89,54878218,56.82,60.17,27.68,89.68,70
2016-04-29,79.8,79.84,75.66,76.94,50406421,52.46,60.17,27.68,76.28,71
2016-05-06,76.89,79.94,75.01,79.2,70849735,55.29,60.17,27.68,84.98,72
2016-05-13,78.94,80.485,76.97,77.16,51049174,52.27,60.17,27.68,75.68,73
2016-05-20,77.86,80.2,77.59,78.79,51078314,54.41,60.17,27.68,82.27,74
2016-05-27,78.95,81.31,74.12,80.97,125079241,57.18,60.17,27.68,90.8,75
2016-06-03,81.0,82.03,75.71,76.62,210375494,50.58,60.17,27.68,70.47,76
2016-06-10,77.11,78.53,75.76,75.92,63072645,49.59,60.17,27.68,67.42,77
2016-06-17,75.25,78.7686,74.85,77.0,77534876,51.18,60.17,27.68,72.32,78
2016-06-24,77.9,79.46,75.43,76.29,53166533,50.06,60.17,27.68,68.87,79
2016-07-01,75.8,80.05,73.3,79.65,57726051,55.07,60.17,27.68,84.28,80
2016-07-08,79.04,79.55,77.68,78.99,35429804,53.92,60.17,27.68,80.76,81
2016-07-15,79.33,82.88,79.24,81.25,61718379,57.2,60.17,27.68,90.85,82
2016-07-22,80.6,85.0,80.6,84.49,52048950,61.44,61.44,27.68,100.0,83
2016-07-29,84.47,84.79,81.945,82.48,48691849,57.63,61.44,27.68,88.71,84
2016-08-05,82.79,85.08,82.59,84.59,46587148,60.4,61.44,27.68,96.94,85
2016-08-12,84.99,98.35,84.3,98.25,181182166,72.82,72.82,27.68,100.0,86
2016-08-19,98.28,98.86,95.05,96.86,105576634,70.4,72.82,27.68,94.64,87
2016-08-26,96.47,96.63,93.12,95.06,65752571,67.28,72.82,27.68,87.74,88
2016-09-02,94.6,99.665,94.21,99.25,82287726,70.55,72.82,27.68,94.98,89
2016-09-09,100.45,104.3,99.05,99.62,85274933,70.83,72.82,27.68,95.59,90
2016-09-16,97.38,105.39,97.0,104.64,98116442,74.35,74.35,27.68,100.0,91
2016-09-23,105.16,109.76,100.93,107.71,109790757,76.24,76.24,27.68,100.0,92
2016-09-30,106.52,109.87,104.57,105.79,96494181,72.64,76.24,27.68,92.57,93
2016-10-07,105.45,107.55,104.98,106.0,53923358,72.79,76.24,27.68,92.88,94
2016-10-14,106.79,109.0,99.0,101.85,80028533,65.11,76.24,27.68,77.07,95
2016-10-21,101.5,104.99,101.27,103.94,45549307,67.0,76.24,27.68,80.96,96
2016-10-28,104.98,105.3,101.55,101.93,44741862,63.44,76.24,27.68,73.63,97
2016-11-04,102.65,104.1,96.46,97.57,100587473,56.44,76.24,27.68,59.22,98
2016-11-11,100.07,100.62,91.1,92.99,91292712,50.18,76.24,27.68,46.33,99
2016-11-18,92.451,95.3,87.88,93.39,78568833,50.69,76.24,27.68,47.39,100
2016-11-25,94.05,94.66,91.45,93.01,35973756,50.16,76.24,27.68,46.3,101
2016-12-02,93.02,96.055,89.18,90.48,75663988,46.67,76.24,27.68,39.09,102
2016-12-09,90.05,93.64,89.5,93.28,50017814,50.76,76.24,27.68,47.52,103
2016-12-16,92.05,93.73,88.56,88.67,59551514,44.68,76.24,27.68,35.0,104
2016-12-23,88.61,90.43,86.01,86.79,48450926,42.45,76.24,27.68,30.4,105
2016-12-30,86.72,88.75,86.71,87.81,24324601,44.08,76.24,27.68,33.77,106
2017-01-06,89.0,94.81,88.08,93.89,44735098,52.69,76.24,27.68,51.51,107
2017-01-13,94.16,97.904,93.31,96.27,53458393,55.58,76.24,27.68,57.45,108
2017-01-20,96.32,97.15,95.0,96.06,29700194,55.26,76.24,27.68,56.79,109
2017-01-27,96.48,104.57,96.26,102.07,95098590,62.01,76.24,27.68,70.68,110
2017-02-03,101.2,102.38,100.06,100.39,33445586,59.31,76.24,27.68,65.13,111
2017-02-10,100.17,104.18,100.02,102.36,38813206,61.43,76.24,27.68,69.49,112
2017-02-17,102.82,104.44,100.11,100.52,48072656,58.38,76.24,27.68,63.2,113
2017-02-24,101.03,105.2,100.91,102.95,41417872,61.12,76.24,27.68,68.86,114
2017-03-03,102.5,104.99,102.03,103.31,39512463,61.53,76.24,27.68,69.7,115
2017-03-10,102.76,104.29,102.1,103.39,26985468,61.62,76.24,27.68,69.89,116
2017-03-17,103.52,106.5,102.6,105.61,56786620,64.28,76.24,27.68,75.36,117
2017-03-24,106.23,109.13,103.98,108.04,54466777,66.97,76.24,27.68,80.91,118
2017-03-31,106.65,110.45,106.51,107.83,42562629,66.51,76.24,27.68,79.95,119
2017-04-07,108.85,109.47,106.76,108.99,36036849,67.84,76.24,27.68,82.69,120
2017-04-13,109.0,111.88,108.84,110.21,39766733,69.23,76.24,27.68,85.55,121
2017-04-21,110.91,113.6,110.3,113.11,47778310,72.29,76.24,27.68,91.85,122
2017-04-28,114.04,115.99,114.02,115.5,47926349,74.54,76.24,27.68,96.48,123
2017-05-05,115.63,118.69,114.8,116.04,42047696,75.03,76.24,27.68,97.5,124
2017-05-12,116.9,120.5,116.2,120.34,52228575,78.58,78.58,27.68,100.0,125
2017-05-19,121.03,126.4,114.0,123.22,107401337,80.58,80.58,27.68,100.0,126
2017-05-26,124.98,125.675,121.95,123.99,56271937,81.09,81.09,27.68,100.0,127
2017-06-02,124.08,124.88,122.0,124.13,36164955,81.18,81.18,27.68,100.0,128
2017-06-09,124.02,148.29,123.87,139.44,164466263,88.23,88.23,27.68,100.0,129
2017-06-16,139.17,142.244,133.1,134.87,172830357,78.75,88.23,27.68,84.34,130
2017-06-23,137.81,144.68,137.4,143.01,104931996,82.38,88.23,27.68,90.34,131
2017-06-30,144.03,145.36,137.52,140.9,85823318,78.63,88.23,27.68,84.14,132
2017-07-07,141.75,145.0,139.495,142.43,43909501,79.36,88.23,27.68,85.35,133
2017-07-14,143.0,152.25,142.25,151.83,61076219,83.18,88.23,27.68,91.66,134
2017-07-21,153.53,156.41,150.31,151.89,75660611,83.21,88.23,27.68,91.7,135
2017-07-28,152.77,160.39,150.85,157.56,73568660,85.13,88.23,27.68,94.88,136
2017-08-04,158.9,159.39,149.1,153.33,71136731,77.96,88.23,27.68,83.03,137
2017-08-11,154.83,159.84,147.5,151.7,83943932,75.32,88.23,27.68,78.68,138
2017-08-18,154.77,169.5,153.1,167.5,142807449,81.76,88.23,27.68,89.3,139
2017-08-25,168.29,177.0,166.98,171.74,113675773,83.03,88.23,27.68,91.42,140
2017-09-01,171.15,172.9,164.35,171.04,89355419,82.01,88.23,27.68,89.73,141
2017-09-08,169.47,171.93,167.0,169.0,62204723,78.96,88.23,27.68,84.69,142
2017-09-15,171.5,179.93,171.5,176.7,104636083,81.73,88.23,27.68,89.25,143
2017-09-22,178.89,180.87,175.3,178.14,80365106,82.2,88.23,27.68,90.03,144
2017-09-29,176.48,177.0,166.79,172.71,104476304,74.41,88.23,27.68,77.17,145
2017-10-06,174.57,180.0,172.57,179.2,59668889,77.19,88.23,27.68,81.77,146
