Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2018-06-08,16.8005,16.8916,16.1795,16.3183,325642,,,,,0
2018-06-15,16.3699,16.3699,15.5171,15.5667,171840,,,,,0
2018-06-22,15.3763,15.4757,14.805,15.0741,157310,,,,,0
2018-06-29,14.8298,14.8381,14.0846,14.5317,116185,,,,,0
2018-07-06,14.4489,14.4655,14.1931,14.333,17040,,,,,0
2018-07-13,14.5483,14.6973,14.2833,14.5648,38070,,,,,0
2018-07-20,14.4489,14.4489,13.9521,13.9521,51591,,,,,0
2018-07-27,13.8527,14.1839,13.7948,14.0018,38017,,,,,0
2018-08-03,14.068,14.068,13.5547,13.5985,14909,,,,,0
2018-08-10,13.5712,13.6954,13.1572,13.1903,26801,,,,,0
2018-08-17,13.0992,13.0992,12.2257,12.6273,17938,,,,,0
2018-08-24,12.677,12.975,12.6687,12.9013,14304,,,,,0
2018-08-31,12.9171,13.2731,12.6273,12.6273,17843,,,,,0
2018-09-07,12.4203,12.4203,11.7661,11.7993,20643,,,,,0
2018-09-14,11.8407,12.3101,11.6833,12.205,30132,15.93,15.93,15.93,,1
2018-09-21,12.1636,13.1075,12.1636,13.0371,21539,26.8,26.8,15.93,100.0,2
2018-09-28,13.0413,13.052,12.7432,12.7846,24552,25.71,26.8,15.93,90.01,3
2018-10-05,12.884,12.9171,12.3457,12.3457,18553,23.9,26.8,15.93,73.33,4
2018-10-12,12.1305,12.1396,11.2279,11.377,47742,20.47,26.8,15.93,41.76,5
2018-10-19,11.377,11.4929,10.934,10.963,14108,19.2,26.8,15.93,30.09,6
2018-10-26,11.2031,11.2031,10.4579,10.4579,22925,17.75,26.8,15.93,16.79,7
2018-11-02,10.5075,11.5094,10.3916,11.4432,12584,28.99,28.99,15.93,100.0,8
2018-11-09,11.468,11.8572,11.3024,11.3356,16796,28.53,28.99,15.93,96.49,9
2018-11-16,11.3356,11.3356,10.9878,11.2528,14554,28.16,28.99,15.93,93.66,10
2018-11-23,11.2196,11.2196,10.5903,10.6323,11871,25.5,28.99,15.93,73.29,11
2018-11-30,10.5158,10.8139,10.2923,10.8056,13240,27.56,28.99,15.93,89.06,12
2018-12-07,11.2528,11.324,10.4413,10.4413,10234,25.93,28.99,15.93,76.63,13
2018-12-14,10.3916,10.5821,10.1763,10.284,9161,25.24,28.99,15.93,71.34,14
2018-12-21,10.2923,10.3188,9.4394,9.4477,26650,21.9,28.99,15.93,45.75,15
2018-12-28,9.4146,9.6539,9.3152,9.6539,13840,24.55,28.99,15.93,66.06,16
2019-01-04,9.6919,9.9742,9.5741,9.9742,28709,28.61,28.99,15.93,97.12,17
2019-01-11,10.067,10.4362,10.067,10.4362,13950,34.11,34.11,15.93,100.0,18
2019-01-18,10.3886,10.7103,10.3569,10.6768,9975,36.84,36.84,15.93,100.0,19
2019-01-25,10.5098,10.5098,10.2341,10.4697,32835,35.48,36.84,15.93,93.48,20
2019-02-01,10.3594,10.6768,10.2959,10.6167,8738,37.25,37.25,15.93,100.0,21
2019-02-08,10.6276,10.7103,10.3184,10.3794,14689,35.55,37.25,15.93,92.03,22
2019-02-15,10.3928,10.4513,10.2842,10.4179,6765,36.06,37.25,15.93,94.42,23
2019-02-22,10.4346,11.0194,10.4346,10.9821,22444,43.16,43.16,15.93,100.0,24
2019-03-01,11.1865,11.3176,11.0277,11.0603,14552,44.08,44.08,15.93,100.0,25
2019-03-08,11.0946,11.0946,10.3761,10.4555,10331,38.82,44.08,15.93,81.29,26
2019-03-15,10.549,10.7604,10.5365,10.7604,19009,42.54,44.08,15.93,94.53,27
