Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2002-01-11,5.5542,5.5542,5.2806,5.2806,42762,,,,,0
2002-01-18,5.349,5.349,5.0891,5.0891,91006,,,,,0
2002-01-25,5.0891,5.1027,4.9249,4.9659,223679,,,,,0
2002-02-01,4.9249,4.9249,4.8975,4.8975,45320,,,,,0
2002-02-08,4.8018,4.8018,4.5419,4.6513,535807,,,,,0
2002-02-15,4.6513,4.6513,4.5966,4.613,49706,,,,,0
2002-02-22,4.5966,4.5966,4.5282,4.5282,146561,,,,,0
2002-03-01,4.4871,4.6513,4.3093,4.6513,61036,,,,,0
2002-03-08,4.7334,5.2395,4.7334,5.2395,137789,,,,,0
2002-03-15,5.2423,5.4311,5.2423,5.4311,49341,,,,,0
2002-03-22,5.4037,5.4037,5.0617,5.0891,205039,,,,,0
2002-03-28,5.0918,5.0918,4.9659,4.9659,36548,,,,,0
2002-04-05,4.9659,4.9659,4.706,4.8839,201750,,,,,0
2002-04-12,4.8839,4.8975,4.8839,4.8839,39838,,,,,0
2002-04-19,4.8839,4.8975,4.8702,4.8702,121708,40.74,40.74,40.74,,1
2002-04-26,4.8702,4.8729,4.7197,4.7471,106722,38.44,40.74,38.44,0.0,2
2002-05-03,4.706,4.706,4.6376,4.6869,78580,37.33,40.74,37.33,0.0,3
2002-05-10,4.6869,4.7197,4.6869,4.7197,193343,38.38,40.74,37.33,30.65,4
2002-05-17,4.7197,4.8702,4.706,4.8702,78580,43.06,43.06,37.33,100.0,5
2002-05-24,4.8702,4.8702,4.8155,4.8155,57381,41.82,43.06,37.33,78.27,6
2002-05-31,4.8155,4.8155,4.7607,4.7662,21563,40.68,43.06,37.33,58.38,7
2002-06-07,4.7881,4.7881,4.5966,4.6239,227334,37.5,43.06,37.33,2.88,8
2002-06-14,4.6294,4.7744,4.6103,4.7744,91006,42.61,43.06,37.33,92.07,9
2002-06-21,4.7744,4.7744,4.4735,4.4735,107819,36.23,43.06,36.23,0.0,10
2002-06-28,4.3777,4.4598,4.3284,4.4598,1252898,35.96,43.06,35.96,0.0,11
2002-07-05,4.4598,4.4598,4.2135,4.3093,250725,33.11,43.06,33.11,0.0,12
2002-07-12,4.2682,4.2682,4.1041,4.1041,175800,29.65,43.06,29.65,0.0,13
2002-07-19,4.0767,4.0767,3.9372,4.0247,63595,28.42,43.06,28.42,0.0,14
2002-07-26,4.0439,4.1041,3.9536,3.9536,164104,27.32,43.06,27.32,0.0,15
2002-08-02,3.9536,4.0083,3.9536,4.0083,34352,29.57,43.06,27.32,14.33,16
2002-08-09,4.0083,4.3093,3.9946,4.2983,25580,40.17,43.06,27.32,81.65,17
2002-08-16,4.2983,4.3777,4.178,4.1862,41801,37.8,43.06,27.32,66.6,18
2002-08-23,4.2272,4.3093,4.2272,4.2682,15595,40.57,43.06,27.32,84.14,19
2002-08-30,4.2819,4.2819,4.1588,4.1588,20588,38.13,43.06,27.32,68.7,20
2002-09-06,4.1369,4.1369,4.0767,4.0904,69877,36.65,43.06,27.32,59.3,21
2002-09-13,4.0904,4.0904,4.0904,4.0904,0,36.65,43.06,27.32,59.3,22
2002-09-20,4.0904,4.0904,4.0494,4.0494,3121,35.69,43.06,27.32,53.18,23
2002-09-27,4.022,4.022,3.9399,4.022,32130,35.03,43.06,27.32,48.98,24
2002-10-04,4.0357,4.0357,3.9536,4.0357,60207,35.67,43.06,27.32,53.06,25
2002-10-11,4.0357,4.1725,4.022,4.1588,102940,41.29,43.06,27.32,88.75,26
2002-10-18,4.1314,4.1588,4.0083,4.0494,45854,38.1,43.06,27.32,68.51,27
2002-10-25,4.0494,4.063,4.022,4.063,93583,38.74,43.06,27.32,72.55,28
2002-11-01,4.0603,4.0603,4.0247,4.0247,44297,37.58,43.06,27.32,65.15,29
2002-11-08,4.1232,4.3777,4.1232,4.3503,249874,51.05,51.05,27.32,100.0,30
2002-11-15,4.364,4.3777,4.364,4.3777,282943,51.99,51.99,27.32,100.0,31
2002-11-22,4.3777,4.3914,4.3202,4.3914,13724,52.48,52.48,27.32,100.0,32
2002-11-29,4.364,4.364,4.1998,4.2135,109804,45.91,52.48,27.32,73.91,33
2002-12-06,4.2682,4.3558,4.2272,4.3093,7799,49.57,52.48,27.32,88.45,34
2002-12-13,4.2847,4.4789,4.2847,4.4598,20273,54.75,54.75,27.32,100.0,35
2002-12-20,4.4598,4.6787,4.4598,4.5829,44611,58.5,58.5,27.32,100.0,36
2002-12-27,4.5829,4.5829,4.4023,4.4023,4678,51.72,58.5,27.32,78.26,37
2003-01-03,4.4023,4.4598,4.3531,4.4598,47104,53.57,58.5,27.32,84.17,38
2003-01-10,4.4598,4.7197,4.4598,4.6923,49914,60.19,60.19,27.32,100.0,39
2003-01-17,4.6923,4.8975,4.6923,4.8975,154419,64.95,64.95,27.32,100.0,40
2003-01-24,4.8428,4.9249,4.706,4.7197,175321,58.43,64.95,27.32,82.69,41
2003-01-31,4.7005,4.8565,4.665,4.8155,29948,60.72,64.95,27.32,88.76,42
2003-02-07,4.8155,4.9659,4.8155,4.8702,58339,62.0,64.95,27.32,92.18,43
2003-02-14,4.7881,4.8428,4.7334,4.7334,102326,56.99,64.95,27.32,78.84,44
2003-02-21,4.7443,4.799,4.6841,4.6841,125406,55.25,64.95,27.32,74.23,45
2003-02-28,4.706,4.706,4.5419,4.6376,88908,53.59,64.95,27.32,69.83,46
2003-03-07,4.8565,4.8975,4.81,4.8291,93272,59.04,64.95,27.32,84.31,47
2003-03-14,4.8291,4.8702,4.6103,4.7881,110122,57.49,64.95,27.32,80.17,48
2003-03-21,4.8155,4.8155,4.6951,4.706,203084,54.39,64.95,27.32,71.96,49
2003-03-28,4.7197,4.7744,4.706,4.7607,30569,56.09,64.95,27.32,76.46,50
2003-04-04,4.706,4.8702,4.6923,4.8702,91715,59.35,64.95,27.32,85.11,51
2003-04-11,4.9112,5.0754,4.9112,5.0754,343461,64.64,64.95,27.32,99.18,52
2003-04-17,5.048,5.3681,5.048,5.3627,517218,70.44,70.44,27.32,100.0,53
2003-04-25,5.3572,5.4448,5.2779,5.297,82359,67.71,70.44,27.32,93.66,54
2003-05-02,5.4174,5.4666,5.3764,5.39,379337,69.51,70.44,27.32,97.85,55
