Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1993-09-24,1.7873,1.7873,1.6662,1.757,938667,,,,,0
1993-10-01,1.757,1.9994,1.7268,1.9388,191068,,,,,0
1993-10-08,1.9994,1.9994,1.8176,1.8479,68867,,,,,0
1993-10-15,1.8176,1.9085,1.8176,1.8782,82334,,,,,0
1993-10-22,1.9388,1.9388,1.8782,1.9388,47935,,,,,0
1993-10-29,1.9085,1.9691,1.8479,1.9691,46001,,,,,0
1993-11-05,1.8782,1.9691,1.8782,1.9388,15334,,,,,0
1993-11-12,1.9388,1.9691,1.8782,1.8782,17800,,,,,0
1993-11-19,1.9691,2.06,1.8782,2.06,31134,,,,,0
1993-11-26,1.9994,1.9994,1.9388,1.9388,3734,,,,,0
1993-12-03,1.9085,1.9691,1.9085,1.9085,4601,,,,,0
1993-12-10,1.9085,1.9085,1.8176,1.8176,11667,,,,,0
1993-12-17,1.8637,1.8782,1.757,1.757,9467,,,,,0
1993-12-23,1.757,1.8479,1.757,1.757,7800,,,,,0
1993-12-31,1.8479,1.8479,1.7268,1.7873,9134,51.52,51.52,51.52,,1
1994-01-07,1.8479,1.9085,1.8176,1.8334,22934,53.81,53.81,51.52,100.0,2
1994-01-14,1.8322,1.9085,1.8176,1.9085,1067,57.35,57.35,51.52,100.0,3
1994-01-21,1.8176,1.9085,1.8176,1.8176,1534,52.14,57.35,51.52,10.72,4
1994-01-28,1.9085,1.9085,1.8176,1.8782,87801,55.07,57.35,51.52,60.94,5
1994-02-04,1.8176,1.8782,1.8176,1.8479,138001,53.31,57.35,51.52,30.82,6
1994-02-11,1.8176,1.8479,1.7728,1.7873,160734,49.88,57.35,49.88,0.0,7
1994-02-18,1.7873,1.8479,1.757,1.8176,15134,51.56,57.35,49.88,22.47,8
1994-02-25,1.8176,1.8176,1.7268,1.7728,41667,48.95,57.35,48.95,0.0,9
1994-03-04,1.7716,1.7728,1.7268,1.757,23467,48.03,57.35,48.03,0.0,10
1994-03-11,1.7425,1.8479,1.7268,1.8479,23334,53.47,57.35,48.03,58.33,11
1994-03-18,1.757,1.8479,1.757,1.8479,3667,53.47,57.35,48.03,58.33,12
1994-03-25,1.8479,1.8479,1.7268,1.7268,15867,46.02,57.35,46.02,0.0,13
1994-03-31,1.6965,1.757,1.6056,1.6965,14734,44.36,57.35,44.36,0.0,14
1994-04-08,1.5753,1.6965,1.5753,1.6965,10601,44.36,57.35,44.36,0.0,15
1994-04-15,1.6359,1.6965,1.6359,1.6662,7467,42.58,57.35,42.58,0.0,16
1994-04-22,1.6516,1.6965,1.6056,1.6516,39201,41.71,57.35,41.71,0.0,17
