Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1984-09-07,3.9267,3.9267,3.8642,3.8642,118404,,,,,0
1984-09-14,3.8642,4.1042,3.8333,4.1042,3512808,,,,,0
1984-09-21,4.1142,4.1458,4.0,4.0208,4845612,,,,,0
1984-09-28,4.0208,4.0208,3.9067,3.9267,1380816,,,,,0
1984-10-05,3.9267,3.9583,3.7392,3.9583,3919212,,,,,0
1984-10-12,3.9583,4.1358,3.9583,4.1142,3221616,,,,,0
1984-10-19,4.1142,4.4267,4.1042,4.2708,4727220,,,,,0
1984-10-26,4.1767,4.1767,3.8958,3.8958,13282416,,,,,0
1984-11-02,3.8958,3.9892,3.875,3.875,7669620,,,,,0
1984-11-09,3.875,4.0517,3.8642,4.0208,12465612,,,,,0
1984-11-16,4.0208,4.0517,3.9583,3.9583,6707220,,,,,0
1984-11-23,3.9583,4.0733,3.875,4.0733,1802412,,,,,0
1984-11-30,4.0733,4.1142,3.9267,3.9483,4994412,,,,,0
1984-12-07,3.9483,3.9583,3.8333,3.8333,3112812,,,,,0
1984-12-14,3.8333,4.0108,3.8125,3.9892,5006412,53.33,53.33,53.33,,1
1984-12-21,3.9892,4.2608,3.9892,4.1767,7918416,57.86,57.86,53.33,100.0,2
1984-12-28,4.1767,4.3233,4.1767,4.2608,1920000,59.75,59.75,53.33,100.0,3
1985-01-04,4.2608,4.3858,4.2183,4.2708,2732004,59.98,59.98,53.33,100.0,4
1985-01-11,4.2708,4.3233,4.1458,4.25,8460012,59.23,59.98,53.33,88.6,5
1985-01-18,4.25,4.2608,4.1983,4.2392,7527216,58.81,59.98,53.33,82.35,6
1985-01-25,4.2392,4.4167,4.2292,4.3958,4208808,62.87,62.87,53.33,100.0,7
1985-02-01,4.3958,4.8333,4.3542,4.8333,5001612,71.37,71.37,53.33,100.0,8
1985-02-08,4.8333,5.2183,4.8017,5.0,5276016,73.83,73.83,53.33,100.0,9
1985-02-15,5.0,5.1667,4.9267,5.1567,5353620,75.92,75.92,53.33,100.0,10
1985-02-22,5.1567,5.1767,4.9167,4.9583,1031208,68.46,75.92,53.33,66.97,11
1985-03-01,4.9167,5.1042,4.8125,5.0833,2680008,70.43,75.92,53.33,75.7,12
1985-03-08,5.0833,5.1142,4.8433,4.8958,2062404,63.97,75.92,53.33,47.1,13
1985-03-15,4.8958,4.9167,4.8017,4.8125,2969616,61.28,75.92,53.33,35.19,14
1985-03-22,4.7817,4.9483,4.6767,4.8233,1262412,61.51,75.92,53.33,36.19,15
1985-03-29,4.8233,4.8233,4.7292,4.7708,5139204,59.68,75.92,53.33,28.12,16
1985-04-04,4.7817,4.9067,4.7817,4.8333,11156808,61.16,75.92,53.33,34.65,17
1985-04-12,4.8333,4.9683,4.75,4.9267,5888016,63.32,75.92,53.33,44.22,18
1985-04-19,4.9267,4.9583,4.875,4.8958,2379216,62.09,75.92,53.33,38.78,19
1985-04-26,4.8958,5.6567,4.875,5.5,7687212,73.1,75.92,53.33,87.53,20
1985-05-03,5.4792,5.8333,5.3958,5.7817,2964012,76.53,76.53,53.33,100.0,21
1985-05-10,5.75,5.9167,5.6667,5.8858,3004008,77.66,77.66,53.33,100.0,22
1985-05-17,5.8858,5.9483,5.75,5.7917,2334408,74.17,77.66,53.33,85.68,23
1985-05-24,5.7917,5.8125,5.6767,5.7392,2540016,72.23,77.66,53.33,77.68,24
1985-05-31,5.7392,6.125,5.7292,6.125,1444008,77.0,77.66,53.33,97.31,25
1985-06-07,6.125,6.2083,6.0417,6.1042,3474408,76.24,77.66,53.33,94.17,26
1985-06-14,6.1042,6.1358,5.875,5.8858,1320012,68.58,77.66,53.33,62.68,27
1985-06-21,5.8642,6.25,5.8333,6.25,1657608,73.38,77.66,53.33,82.43,28
1985-06-28,6.1458,6.2083,6.0933,6.1983,2072016,71.71,77.66,53.33,75.54,29
1985-07-05,6.1667,6.2183,6.0833,6.0933,858408,68.3,77.66,53.33,61.52,30
1985-07-12,6.0933,6.25,6.0,6.1667,2804016,69.39,77.66,53.33,66.02,31
1985-07-19,6.1667,6.4167,6.0,6.0417,2518404,65.25,77.66,53.33,49.01,32
1985-07-26,6.0417,6.0417,5.5625,5.6875,4104804,55.21,77.66,53.33,7.71,33
1985-08-02,5.6875,6.0417,5.6458,5.9892,6796812,60.75,77.66,53.33,30.5,34
1985-08-09,5.9583,5.9583,5.6875,5.8642,2377608,57.57,77.66,53.33,17.43,35
1985-08-16,5.8433,5.9067,5.7708,5.7917,2062416,55.75,77.66,53.33,9.94,36
1985-08-23,5.8125,5.8958,5.8125,5.8333,2808816,56.6,77.66,53.33,13.43,37
1985-08-30,5.8333,6.1358,5.8333,6.0733,1056804,61.22,77.66,53.33,32.43,38
1985-09-06,6.0733,6.125,6.0,6.0625,3710412,60.91,77.66,53.33,31.14,39
1985-09-13,6.0625,6.0625,5.7392,5.8433,5848008,54.76,77.66,53.33,5.88,40
1985-09-20,5.8433,5.9483,5.8017,5.9267,4676016,56.56,77.66,53.33,13.26,41
1985-09-26,5.9267,5.9892,5.6042,5.625,5845608,48.98,77.66,48.98,0.0,42
1985-10-04,5.6667,5.8333,5.375,5.4375,4137612,44.95,77.66,44.95,0.0,43
1985-10-11,5.4375,5.6142,5.375,5.5625,4341612,48.02,77.66,44.95,9.39,44
1985-10-18,5.5733,5.7392,5.5733,5.7392,5647200,52.09,77.66,44.95,21.82,45
1985-10-25,5.7708,6.1567,5.7708,6.11,2794948,59.29,77.66,44.95,43.84,46
1985-11-01,6.11,6.3125,6.0938,6.235,858400,61.4,77.66,44.95,50.28,47
1985-11-08,6.2975,6.6562,6.2975,6.5775,2364800,66.51,77.66,44.95,65.91,48
1985-11-15,6.5775,6.7812,6.5625,6.7025,1848000,68.17,77.66,44.95,70.98,49
1985-11-22,6.7025,6.75,6.5,6.6725,2200800,67.31,77.66,44.95,68.35,50
1985-11-29,6.6725,6.7812,6.5,6.765,1338400,68.62,77.66,44.95,72.37,51
1985-12-06,6.765,7.2025,6.7188,7.0312,2034400,72.1,77.66,44.95,83.01,52
1985-12-13,7.0312,7.14,6.9225,7.125,2965600,73.23,77.66,44.95,86.45,53
1985-12-20,7.125,7.1725,6.5625,6.6875,3047200,60.88,77.66,44.95,48.7,54
1985-12-27,6.6562,6.75,6.4062,6.7188,1011200,61.38,77.66,44.95,50.23,55
1986-01-03,6.7188,7.0312,6.625,7.0312,778400,66.06,77.66,44.95,64.54,56
1986-01-10,7.0312,7.2025,6.75,6.8125,2941600,60.53,77.66,44.95,47.63,57
1986-01-17,6.8125,7.4688,6.75,7.36,6246400,67.8,77.66,44.95,69.85,58
1986-01-24,7.36,7.64,7.3125,7.4375,1815200,68.68,77.66,44.95,72.54,59
1986-01-31,7.4688,8.0625,7.4688,7.7025,4121600,71.54,77.66,44.95,81.28,60
1986-02-07,7.7188,8.0475,7.7188,7.9525,7008800,73.95,77.66,44.95,88.67,61
1986-02-14,7.9525,8.11,7.8438,8.0775,4269600,75.09,77.66,44.95,92.16,62
1986-02-21,8.0775,8.2025,8.015,8.0938,2248800,75.24,77.66,44.95,92.62,63
1986-02-28,8.0938,8.235,7.89,8.235,2567200,76.58,77.66,44.95,96.7,64
1986-03-07,8.235,8.485,8.1875,8.2188,1917600,76.07,77.66,44.95,95.15,65
1986-03-14,8.2188,9.375,8.11,9.3275,6719200,83.91,83.91,44.95,100.0,66
1986-03-21,9.3275,9.7025,9.1725,9.2025,3094400,80.7,83.91,44.95,91.76,67
1986-03-27,9.2025,9.235,8.8275,9.11,2480000,78.31,83.91,44.95,85.63,68
1986-04-04,8.9062,9.11,8.4688,8.5938,7269600,66.49,83.91,44.95,55.28,69
1986-04-11,8.5938,9.1875,8.5625,9.0938,3487200,71.05,83.91,44.95,66.99,70
1986-04-18,9.0938,9.2188,8.875,9.1562,2658400,71.57,83.91,44.95,68.32,71
1986-04-25,9.1562,9.2812,9.0,9.11,3628800,70.56,83.91,44.95,65.73,72
1986-05-02,9.11,9.1725,8.515,8.89,4043200,65.8,83.91,44.95,53.5,73
1986-05-09,8.9062,9.265,8.7812,8.8125,4719200,64.15,83.91,44.95,49.29,74
1986-05-16,8.8125,8.9225,8.625,8.7188,4673600,62.13,83.91,44.95,44.1,75
1986-05-23,8.7188,9.25,8.5938,9.125,5622400,66.99,83.91,44.95,56.56,76
1986-05-30,9.2025,9.765,9.2025,9.5625,2454400,71.26,83.91,44.95,67.52,77
1986-06-06,9.4688,9.4688,8.7188,8.86,9419200,58.23,83.91,44.95,34.08,78
1986-06-13,8.6875,8.6875,8.1725,8.4375,12120000,52.06,83.91,44.95,18.25,79
1986-06-20,8.4375,8.5475,8.1875,8.3438,3767200,50.78,83.91,44.95,14.96,80
1986-06-27,8.3438,8.625,8.1875,8.61,4037600,54.23,83.91,44.95,23.82,81
1986-07-03,8.625,9.125,8.61,9.0312,2971200,59.12,83.91,44.95,36.37,82
1986-07-11,9.0312,9.11,8.485,8.7188,5556000,54.47,83.91,44.95,24.44,83
1986-07-18,8.6875,8.735,8.4375,8.4525,2264800,50.81,83.91,44.95,15.03,84
1986-07-25,8.4688,9.0312,8.4375,9.015,4689600,57.34,83.91,44.95,31.8,85
1986-08-01,8.985,8.985,8.75,8.8125,2688000,54.53,83.91,44.95,24.59,86
1986-08-08,8.7812,8.8275,8.625,8.7025,2672000,53.01,83.91,44.95,20.69,87
1986-08-15,8.6875,9.625,8.6875,9.625,5760800,62.45,83.91,44.95,44.93,88
1986-08-22,9.4525,9.6875,9.235,9.36,3873600,58.8,83.91,44.95,35.54,89
1986-08-29,9.36,9.5312,9.25,9.4525,3099200,59.69,83.91,44.95,37.82,90
1986-09-05,9.4225,9.4375,8.75,8.8275,3341600,51.6,83.91,44.95,17.08,91
1986-09-12,8.75,8.75,7.6562,7.89,8424800,42.34,83.91,42.34,0.0,92
1986-09-19,7.89,8.0938,7.7188,8.0938,4500000,44.67,83.91,42.34,5.59,93
1986-09-26,7.9062,8.375,7.9062,8.1562,3983200,45.39,83.91,42.34,7.34,94
1986-10-03,8.1562,8.4375,7.9225,8.39,5005600,48.14,83.91,42.34,13.95,95
1986-10-10,8.36,8.5,8.2812,8.375,2729600,47.97,83.91,42.34,13.54,96
1986-10-17,8.375,8.64,8.265,8.5938,3051200,50.66,83.91,42.34,20.0,97
1986-10-24,8.5475,8.7025,8.4375,8.64,4032000,51.23,83.91,42.34,21.38,98
1986-10-31,8.64,8.875,8.25,8.25,6975200,46.34,83.91,42.34,9.63,99
1986-11-07,8.2812,8.3275,7.875,7.985,9925600,43.32,83.91,42.34,2.36,100
1986-11-14,8.0,8.015,7.25,7.5,12372000,38.39,83.91,38.39,0.0,101
1986-11-21,7.4688,7.61,7.0475,7.4525,9748000,37.93,83.91,37.93,0.0,102
1986-11-28,7.5,7.86,7.4525,7.86,6427200,44.07,83.91,37.93,13.34,103
1986-12-05,7.86,8.25,7.6875,8.125,6225600,47.69,83.91,37.93,21.22,104
1986-12-12,8.0775,8.125,7.6562,7.765,3056000,43.56,83.91,37.93,12.24,105
1986-12-19,7.6875,7.7812,7.4688,7.625,4201600,42.04,83.91,37.93,8.93,106
1986-12-26,7.5625,7.8125,7.515,7.515,2414400,40.83,83.91,37.93,6.3,107
1987-01-02,7.515,7.61,7.25,7.61,3439200,42.37,83.91,37.93,9.65,108
1987-01-09,7.625,8.4062,7.5625,8.36,7624000,52.81,83.91,37.93,32.37,109
1987-01-16,8.3275,8.375,7.86,7.9375,8980000,47.58,83.91,37.93,20.99,110
1987-01-23,7.9062,7.9688,7.4525,7.7025,15491200,44.92,83.91,37.93,15.19,111
1987-01-30,7.7025,7.89,7.5312,7.765,6893600,45.79,83.91,37.93,17.09,112
1987-02-06,7.8125,8.235,7.7188,8.1875,12268000,51.38,83.91,37.93,29.24,113
1987-02-13,8.1875,8.25,7.89,8.1562,5988000,50.96,83.91,37.93,28.33,114
1987-02-20,8.1725,8.625,8.125,8.625,6937600,56.66,83.91,37.93,40.73,115
1987-02-27,8.5312,8.86,8.4375,8.765,6802400,58.22,83.91,37.93,44.13,116
1987-03-06,8.8125,9.1875,8.8125,8.9062,7064000,59.8,83.91,37.93,47.55,117
1987-03-13,8.89,8.89,8.4525,8.515,5734400,53.75,83.91,37.93,34.41,118
1987-03-20,8.375,8.6725,8.2975,8.625,5519200,55.13,83.91,37.93,37.4,119
1987-03-27,8.5938,8.7025,8.5312,8.5938,5932000,54.63,83.91,37.93,36.32,120
1987-04-03,8.3125,8.375,8.015,8.125,6606400,47.69,83.91,37.93,21.23,121
1987-04-10,8.1562,8.1875,7.4688,7.5,12773600,40.34,83.91,37.93,5.24,122
1987-04-16,7.5,7.5,6.7188,7.0938,15702400,36.41,83.91,36.41,0.0,123
1987-04-24,7.125,7.1562,6.7975,6.86,6488000,34.34,83.91,34.34,0.0,124
1987-05-01,6.765,7.485,6.765,7.485,13836000,43.58,83.91,34.34,18.65,125
1987-05-08,7.485,7.75,7.39,7.485,10012000,43.58,83.91,34.34,18.65,126
1987-05-15,7.515,7.5938,7.2188,7.36,4992800,42.21,83.91,34.34,15.87,127
1987-05-22,7.2812,7.3125,7.0775,7.14,5788000,39.82,83.91,34.34,11.06,128
1987-05-29,7.3125,7.375,7.1562,7.25,3299200,41.6,83.91,34.34,14.65,129
1987-06-05,7.2812,7.5938,7.265,7.4525,4200800,44.83,83.91,34.34,21.17,130
1987-06-12,7.4525,8.125,7.4375,8.0,6712000,52.49,83.91,34.34,36.62,131
1987-06-19,8.0475,8.1562,7.8125,7.8275,7688800,50.13,83.91,34.34,31.85,132
1987-06-26,8.0312,8.0312,7.5625,7.625,7190400,47.43,83.91,34.34,26.41,133
1987-07-02,7.6562,7.875,7.6562,7.8438,3105600,50.53,83.91,34.34,32.66,134
1987-07-10,7.875,7.9225,7.625,7.7025,4708000,48.54,83.91,34.34,28.65,135
1987-07-17,7.735,7.7975,7.6875,7.75,4641600,49.26,83.91,34.34,30.11,136
1987-07-24,7.7188,7.7188,7.375,7.5,3038400,45.63,83.91,34.34,22.78,137
1987-07-31,7.5,7.89,7.4688,7.765,4715200,49.85,83.91,34.34,31.29,138
1987-08-07,7.7188,8.1875,7.6562,8.0625,6838400,54.16,83.91,34.34,39.98,139
1987-08-14,8.0938,8.5475,8.015,8.39,8136800,58.39,83.91,34.34,48.52,140
1987-08-21,8.39,8.75,8.1875,8.7188,7694400,62.17,83.91,34.34,56.14,141
1987-08-28,8.7025,8.7188,8.2975,8.3125,3423200,55.47,83.91,34.34,42.62,142
1987-09-04,8.265,8.4225,7.9525,7.9525,3002400,50.29,83.91,34.34,32.19,143
1987-09-11,7.9375,8.125,7.8275,8.015,2059200,51.14,83.91,34.34,33.9,144
1987-09-18,8.0312,8.125,7.86,7.9375,3648800,50.0,83.91,34.34,31.6,145
1987-09-25,7.9525,8.1562,7.9062,8.11,2172800,52.55,83.91,34.34,36.73,146
1987-10-02,8.235,8.4062,8.0,8.4062,5178400,56.63,83.91,34.34,44.97,147
1987-10-09,8.5,8.625,8.2975,8.39,5397600,56.34,83.91,34.34,44.39,148
1987-10-16,8.4062,8.7025,8.36,8.4525,8810400,57.24,83.91,34.34,46.2,149
1987-10-23,8.125,8.2025,6.4375,7.5475,11402400,43.36,83.91,34.34,18.21,150
1987-10-30,7.3125,7.5625,7.14,7.485,6302400,42.6,83.91,34.34,16.66,151
1987-11-06,7.5,7.8125,7.4062,7.4525,7248000,42.18,83.91,34.34,15.82,152
1987-11-13,7.3125,7.8125,7.235,7.6562,5942400,45.77,83.91,34.34,23.07,153
1987-11-20,7.6562,7.6562,7.2812,7.3438,4484800,41.51,83.91,34.34,14.47,154
1987-11-27,7.3275,7.4375,7.2812,7.2975,2480000,40.9,83.91,34.34,13.24,155
1987-12-04,7.125,7.2188,6.5625,6.5938,6135200,32.99,83.91,32.99,0.0,156
1987-12-11,6.5,6.7025,6.39,6.4062,4327200,31.26,83.91,31.26,0.0,157
1987-12-18,6.36,6.8125,6.36,6.735,4996800,37.47,83.91,31.26,11.79,158
1987-12-24,6.735,6.86,6.5625,6.86,2726400,39.7,83.91,31.26,16.02,159
1987-12-31,6.7975,6.985,6.625,6.985,2394400,41.93,83.91,31.26,20.26,160
1988-01-08,7.0312,7.36,6.5,6.5,4757600,36.32,83.91,31.26,9.6,161
1988-01-15,6.625,7.2188,6.5625,7.1725,3397600,46.92,83.91,31.26,29.75,162
1988-01-22,7.2025,7.4062,7.0938,7.1875,2923200,47.13,83.91,31.26,30.15,163
1988-01-29,7.2188,7.75,7.1875,7.625,5468000,53.01,83.91,31.26,41.32,164
1988-02-05,7.5775,7.5938,7.1562,7.1875,3104800,47.34,83.91,31.26,30.54,165
1988-02-12,7.2025,7.4225,7.11,7.4062,3024000,50.21,83.91,31.26,35.99,166
1988-02-19,7.375,7.5625,7.2812,7.5625,3686400,52.21,83.91,31.26,39.79,167
1988-02-26,7.5938,7.8438,7.5312,7.6562,3720800,53.42,83.91,31.26,42.09,168
1988-03-04,7.6875,7.8438,7.5312,7.735,3090400,54.47,83.91,31.26,44.07,169
1988-03-11,7.6875,7.9225,7.6725,7.765,12499200,54.88,83.91,31.26,44.86,170
1988-03-18,7.6875,7.7812,7.5475,7.625,3962400,52.48,83.91,31.26,40.3,171
1988-03-25,7.625,7.625,7.1875,7.2025,3186400,45.95,83.91,31.26,27.89,172
1988-03-31,7.1875,7.1875,7.0,7.0938,1964000,44.41,83.91,31.26,24.98,173
1988-04-08,7.0625,7.265,7.0625,7.1725,5382400,45.82,83.91,31.26,27.66,174
1988-04-15,7.2025,7.2188,6.625,6.64,6509600,38.68,83.91,31.26,14.09,175
1988-04-22,6.64,6.6562,6.4225,6.515,6955200,37.21,83.91,31.26,11.31,176
1988-04-29,6.5,6.8438,6.5,6.61,4372000,39.1,83.91,31.26,14.9,177
1988-05-06,6.625,6.7975,6.5625,6.5625,5036000,38.48,83.91,31.26,13.71,178
1988-05-13,6.5625,6.625,6.4062,6.625,2421600,39.84,83.91,31.26,16.29,179
1988-05-20,6.5775,6.735,6.5625,6.7188,1853600,41.91,83.91,31.26,20.23,180
1988-05-27,6.735,7.0,6.735,6.9688,4125600,47.14,83.91,31.26,30.17,181
1988-06-03,6.985,7.235,6.985,7.2025,3497600,51.54,83.91,31.26,38.51,182
1988-06-10,7.235,7.25,7.0625,7.1725,2772800,50.95,83.91,31.26,37.4,183
1988-06-17,7.0938,7.2188,7.0312,7.11,3468000,49.69,83.91,31.26,35.0,184
1988-06-24,7.0775,7.1875,6.9062,7.11,4483200,49.69,83.91,31.26,35.0,185
1988-07-01,7.11,7.11,6.9225,7.0,4793600,47.29,83.91,31.26,30.44,186
1988-07-08,6.985,7.2812,6.985,7.1875,4268800,51.58,83.91,31.26,38.59,187
1988-07-15,7.1562,7.235,6.5775,6.875,13106400,45.0,83.91,31.26,26.1,188
1988-07-22,6.8125,6.8275,6.5775,6.6875,10848800,41.58,83.91,31.26,19.59,189
1988-07-29,6.64,6.86,6.5938,6.86,7290400,45.67,83.91,31.26,27.38,190
1988-08-05,6.86,7.015,6.8125,6.985,3818400,48.49,83.91,31.26,32.73,191
1988-08-12,6.9688,6.985,6.7025,6.75,2377600,43.88,83.91,31.26,23.97,192
1988-08-19,6.6875,6.875,6.6562,6.765,2071200,44.25,83.91,31.26,24.67,193
1988-08-26,6.7188,6.86,6.625,6.8275,3337600,45.83,83.91,31.26,27.66,194
1988-09-02,6.7975,7.0938,6.765,7.0775,2884000,51.71,83.91,31.26,38.85,195
1988-09-09,7.125,7.3125,7.0625,7.3125,2457600,56.5,83.91,31.26,47.94,196
1988-09-16,7.3275,7.3275,7.0775,7.235,7008000,54.58,83.91,31.26,44.29,197
1988-09-23,7.1562,7.3125,7.125,7.2975,3018400,55.88,83.91,31.26,46.76,198
1988-09-30,7.3125,7.3438,7.235,7.2812,2249600,55.44,83.91,31.26,45.92,199
1988-10-07,7.3438,7.375,7.2188,7.375,2831200,57.54,83.91,31.26,49.91,200
1988-10-14,7.375,7.375,7.14,7.2025,2529600,52.62,83.91,31.26,40.57,201
1988-10-21,7.25,7.3438,7.0938,7.2812,2866400,54.53,83.91,31.26,44.2,202
1988-10-28,7.265,7.2812,7.1562,7.2188,1955200,52.71,83.91,31.26,40.75,203
1988-11-04,7.1875,7.1875,7.0,7.0475,3536800,47.99,83.91,31.26,31.78,204
1988-11-11,7.0312,7.0625,6.875,6.89,3448000,44.09,83.91,31.26,24.36,205
1988-11-18,6.9225,6.9375,6.7188,6.8438,2690400,42.98,83.91,31.26,22.26,206
1988-11-25,6.875,6.985,6.7975,6.89,1457600,44.48,83.91,31.26,25.11,207
1988-12-02,6.9225,7.0775,6.875,7.015,2826400,48.43,83.91,31.26,32.61,208
1988-12-09,7.015,7.235,6.985,7.14,3133600,52.1,83.91,31.26,39.59,209
1988-12-16,7.0938,7.1725,7.0775,7.125,1928800,51.63,83.91,31.26,38.68,210
1988-12-23,7.125,7.3125,7.125,7.265,2176800,55.69,83.91,31.26,46.4,211
