Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2021-04-16,381.0,429.54,310.0,342.0,143498146,,,,,0
2021-04-23,337.26,341.01,282.07,291.6,64474796,,,,,0
2021-04-30,304.29,306.7,291.0,297.64,19821448,,,,,0
2021-05-07,304.0,305.03,250.51,263.7,26701924,,,,,0
2021-05-14,266.4,306.98,252.26,258.37,47917450,,,,,0
2021-05-21,250.0,252.165,208.0,224.35,51388026,,,,,0
2021-05-28,227.28,249.39,224.04,236.54,38791012,,,,,0
2021-06-04,238.51,244.7094,227.5,228.79,14212685,,,,,0
2021-06-11,229.9179,232.56,217.4,223.92,21878752,,,,,0
2021-06-18,231.265,239.76,226.28,229.29,17867620,,,,,0
2021-06-25,223.14,230.5231,210.77,224.54,19653024,,,,,0
2021-07-02,227.64,261.15,226.13,240.72,25415459,,,,,0
2021-07-09,243.0,256.99,232.3362,253.88,15824374,,,,,0
2021-07-16,254.0,254.89,220.37,225.01,17347446,,,,,0
2021-07-23,216.92,237.15,213.22,224.92,14057878,23.74,23.74,23.74,,1
2021-07-30,240.0835,249.8,229.12,236.58,19771933,27.81,27.81,23.74,100.0,2
2021-08-06,237.28,263.9,226.91,258.26,20284377,34.77,34.77,23.74,100.0,3
2021-08-13,267.85,294.0,255.2,261.25,43269717,35.69,35.69,23.74,100.0,4
2021-08-20,265.26,265.43,239.1916,257.32,16186409,35.0,35.69,23.74,94.15,5
2021-08-27,263.6663,266.5,248.0863,259.12,18603403,35.62,35.69,23.74,99.35,6
2021-09-03,256.3482,280.61,256.2501,278.44,18146179,42.03,42.03,23.74,100.0,7
2021-09-10,277.0,278.87,247.4,248.32,15946406,36.01,42.03,23.74,67.06,8
2021-09-17,246.51,251.88,238.75,245.19,14463330,35.44,42.03,23.74,63.95,9
2021-09-24,234.45,245.8,229.1701,231.82,14878832,33.04,42.03,23.74,50.83,10
2021-10-01,231.88,235.76,225.04,231.15,14993111,32.92,42.03,23.74,50.17,11
2021-10-08,231.49,256.18,224.51,248.14,17420087,38.99,42.03,23.74,83.34,12
2021-10-15,249.57,281.72,244.56,280.61,27628706,48.56,48.56,23.74,100.0,13
