Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1986-07-11,6.3307,6.5899,6.2567,6.2567,589306,,,,,0
1986-07-18,6.2937,6.2937,5.5162,6.0716,1506474,,,,,0
1986-07-25,6.0716,6.1086,5.8124,5.9605,815573,,,,,0
1986-08-01,5.9605,6.0716,5.7754,5.7754,817073,,,,,0
1986-08-08,5.8124,5.8124,4.8128,5.2571,2972232,,,,,0
1986-08-15,5.3311,5.9797,5.2571,5.5533,1140994,,,,,0
1986-08-22,5.5903,5.8494,5.4792,5.5533,1053002,,,,,0
1986-08-29,5.6273,5.6273,5.3681,5.4052,768386,,,,,0
1986-09-05,5.4422,5.5903,5.146,5.3311,736304,,,,,0
1986-09-12,5.4052,5.4052,4.4796,4.5166,2647842,,,,,0
1986-09-19,4.5166,5.183,4.1835,5.072,1419512,,,,,0
1986-09-26,5.072,5.146,4.7758,4.9239,500469,,,,,0
1986-10-03,4.9609,5.183,4.7758,4.9609,700375,,,,,0
1986-10-10,5.035,5.109,4.8869,4.9239,394935,,,,,0
1986-10-17,4.9609,5.2201,4.7758,5.035,484709,31.03,31.03,31.03,,1
1986-10-24,4.9979,5.035,4.7758,4.9239,817636,29.92,31.03,29.92,0.0,2
1986-10-31,4.9609,5.4422,4.8869,5.3311,721294,38.6,38.6,29.92,100.0,3
1986-11-07,5.2571,5.3681,5.072,5.2023,439587,37.04,38.6,29.92,81.99,4
1986-11-14,5.2201,5.3504,4.8498,4.9609,633114,34.24,38.6,29.92,49.76,5
1986-11-21,4.9609,5.3311,4.8498,5.2941,781145,40.88,40.88,29.92,100.0,6
1986-11-28,5.2201,5.4792,5.2201,5.3311,362852,41.59,41.59,29.92,100.0,7
1986-12-05,5.3311,5.4422,5.035,5.072,876642,38.15,41.59,29.92,70.57,8
1986-12-12,5.035,5.109,4.7018,4.7758,670637,34.63,41.59,29.92,40.4,9
1986-12-19,4.7758,5.183,4.7388,4.9609,730863,38.46,41.59,29.92,73.15,10
1986-12-26,4.9979,5.109,4.8869,4.9609,240056,38.46,41.59,29.92,73.15,11
1987-01-02,4.9239,4.9609,4.8128,4.9431,396154,38.21,41.59,29.92,71.02,12
1987-01-09,4.9609,5.8494,4.9609,5.7754,1209474,53.4,53.4,29.92,100.0,13
1987-01-16,5.7384,5.7754,5.2201,5.2571,1598311,45.84,53.4,29.92,67.8,14
1987-01-23,5.2571,5.8494,5.2571,5.5903,1163884,50.68,53.4,29.92,88.39,15
1987-01-30,5.6273,5.9605,5.4422,5.7576,754596,52.95,53.4,29.92,98.07,16
1987-02-06,5.7754,6.0716,5.5903,5.8124,994184,53.7,53.7,29.92,100.0,17
1987-02-13,5.8494,6.2937,5.6273,6.0716,958537,57.18,57.18,29.92,100.0,18
1987-02-20,6.1086,6.4788,6.0716,6.4048,798312,61.23,61.23,29.92,100.0,19
1987-02-27,6.4048,6.7009,6.2937,6.5528,769138,62.9,62.9,29.92,100.0,20
1987-03-06,6.5528,6.775,6.3307,6.6269,681332,63.75,63.75,29.92,100.0,21
1987-03-13,6.6269,7.4784,6.5351,7.1822,1329268,69.37,69.37,29.92,100.0,22
1987-03-20,7.2192,7.4784,7.1822,7.4043,1219606,71.29,71.29,29.92,100.0,23
1987-03-27,7.4043,7.6635,7.3303,7.5524,1169792,72.53,72.53,29.92,100.0,24
1987-04-03,7.5524,7.5524,6.775,7.1452,901313,64.33,72.53,29.92,80.75,25
1987-04-10,7.1452,7.3303,7.0341,7.0341,436585,62.26,72.53,29.92,75.9,26
1987-04-16,6.9971,7.0341,6.2567,6.4418,899438,52.55,72.53,29.92,53.12,27
1987-04-24,6.4418,6.5528,5.9975,6.0345,638556,47.12,72.53,29.92,40.36,28
1987-05-01,6.0345,6.4048,5.6273,6.2567,1213790,50.15,72.53,29.92,47.47,29
1987-05-08,6.2567,6.3677,6.0716,6.3307,825328,51.15,72.53,29.92,49.83,30
1987-05-15,6.3677,6.6639,6.2196,6.5158,778143,53.67,72.53,29.92,55.73,31
1987-05-22,6.5528,6.5528,6.3307,6.4048,863977,51.94,72.53,29.92,51.67,32
1987-05-29,6.3677,6.5528,6.2937,6.4048,520075,51.94,72.53,29.92,51.67,33
1987-06-05,6.4048,6.5158,6.1456,6.4418,590995,52.53,72.53,29.92,53.06,34
1987-06-12,6.4418,7.1452,6.3677,7.1082,755815,61.66,72.53,29.92,74.5,35
1987-06-19,7.1082,7.2563,6.812,6.886,961819,57.68,72.53,29.92,65.15,36
1987-06-26,6.9601,7.0711,6.5899,6.775,811163,55.74,72.53,29.92,60.6,37
1987-07-02,6.812,6.849,6.5899,6.812,542871,56.27,72.53,29.92,61.83,38
1987-07-10,6.738,7.0711,6.738,6.9971,1175797,58.91,72.53,29.92,68.03,39
1987-07-17,6.9231,7.2933,6.886,6.9601,1475985,58.15,72.53,29.92,66.25,40
1987-07-24,6.9601,7.0711,6.7009,6.849,474673,55.84,72.53,29.92,60.82,41
1987-07-31,6.812,7.0711,6.7009,7.0711,557880,59.32,72.53,29.92,69.01,42
1987-08-07,7.0341,7.3866,6.9231,7.2933,543620,62.51,72.53,29.92,76.49,43
1987-08-14,7.2933,7.7746,7.2933,7.5154,1527017,65.43,72.53,29.92,83.33,44
1987-08-21,7.4784,7.6265,7.1452,7.6265,572420,66.82,72.53,29.92,86.6,45
1987-08-28,7.5524,7.6265,7.3303,7.4043,516604,61.49,72.53,29.92,74.1,46
1987-09-04,7.3673,7.4414,7.0534,7.0711,548687,54.48,72.53,29.92,57.63,47
1987-09-11,7.0711,7.1452,6.6269,6.886,865760,51.0,72.53,29.92,49.46,48
1987-09-18,6.9231,6.9601,6.2937,6.7009,838836,47.71,72.53,29.92,41.76,49
1987-09-25,6.7009,6.9971,6.2567,6.9971,1042308,52.93,72.53,29.92,54.01,50
1987-10-02,7.0341,7.1822,6.775,6.9601,590995,52.23,72.53,29.92,52.36,51
1987-10-09,6.9231,6.9601,5.9797,6.0345,1274202,38.49,72.53,29.92,20.1,52
1987-10-16,5.9975,5.9975,5.3311,5.4052,2185836,32.27,72.53,29.92,5.51,53
1987-10-23,5.3311,5.3311,4.2945,4.4796,2791557,25.7,72.53,25.7,0.0,54
1987-10-30,4.4796,4.6647,3.9613,4.5907,1967167,27.6,72.53,25.7,4.07,55
1987-11-06,4.5907,4.7758,4.4426,4.4796,1088368,26.86,72.53,25.7,2.49,56
1987-11-13,4.4056,4.5907,4.2205,4.2945,932928,25.62,72.53,25.62,0.0,57
1987-11-20,4.3315,4.3686,3.8503,4.0354,1378987,23.96,72.53,23.96,0.0,58
1987-11-27,4.0354,4.4426,3.9983,4.1464,710787,26.17,72.53,23.96,4.55,59
1987-12-04,4.1464,4.1464,3.48,3.5719,1572515,22.52,72.53,22.52,0.0,60
1987-12-11,3.5911,4.2945,3.5171,4.1464,1316511,32.64,72.53,22.52,20.23,61
1987-12-18,4.1094,4.8128,4.0354,4.7758,1106379,41.63,72.53,22.52,38.21,62
1987-12-24,4.7388,4.9239,4.6277,4.8128,656379,42.12,72.53,22.52,39.18,63
1987-12-31,4.8128,4.8869,4.5907,4.8498,813509,42.63,72.53,22.52,40.22,64
1988-01-08,4.8128,5.3311,4.6825,4.7018,1327392,41.05,72.53,22.52,37.06,65
1988-01-15,4.6277,5.035,4.5907,4.9609,713696,44.91,72.53,22.52,44.76,66
1988-01-22,5.035,5.2571,4.8498,4.9239,728611,44.46,72.53,22.52,43.87,67
1988-01-29,4.9239,5.2763,4.8498,5.2763,452908,49.6,72.53,22.52,54.16,68
1988-02-05,5.2941,5.5162,5.183,5.4792,982645,52.34,72.53,22.52,59.63,69
1988-02-12,5.4792,5.7384,5.3681,5.7384,1168198,55.65,72.53,22.52,66.25,70
1988-02-19,5.7013,5.9975,5.6643,5.8865,1158535,57.47,72.53,22.52,69.89,71
1988-02-26,5.8865,5.9975,5.7754,5.8687,1179549,57.17,72.53,22.52,69.28,72
1988-03-04,5.8865,5.9235,5.5903,5.7013,950001,54.27,72.53,22.52,63.48,73
1988-03-11,5.6643,5.7754,5.4792,5.6273,923265,52.98,72.53,22.52,60.92,74
1988-03-18,5.6273,5.8494,5.6273,5.8124,757692,55.8,72.53,22.52,66.54,75
1988-03-25,5.8124,5.8124,5.4422,5.4792,892964,50.0,72.53,22.52,54.95,76
1988-03-31,5.4052,5.6836,5.3311,5.5533,854315,51.21,72.53,22.52,57.38,77
1988-04-08,5.4792,5.5533,5.3311,5.5355,963884,50.89,72.53,22.52,56.74,78
