Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2025-06-06,31.0,123.515,31.0,107.7,108490601,,,,,0
2025-06-13,132.72,138.57,101.51,133.56,144950404,,,,,0
2025-06-20,147.54,248.88,143.53,240.28,231009747,,,,,0
2025-06-27,238.46,298.99,175.6,180.43,310296959,,,,,0
2025-07-03,181.77,194.0,171.5,188.77,101451618,,,,,0
2025-07-11,193.75,215.6,182.5,187.33,102368191,,,,,0
2025-07-18,189.27,262.97,185.54,223.78,146305312,,,,,0
2025-07-25,226.4,231.88,187.5,192.86,63913136,,,,,0
2025-08-01,196.975,197.9,167.3,168.1,47072229,,,,,0
2025-08-08,172.1,172.1,149.0,159.03,46948852,,,,,0
2025-08-15,161.005,189.92,136.4,149.26,104450045,,,,,0
2025-08-22,148.695,149.45,129.1,135.04,46611026,,,,,0
2025-08-29,134.36,135.97,124.16,131.98,36640193,,,,,0
2025-09-05,128.56,131.69,108.02,114.56,37521422,,,,,0
2025-09-12,114.0,136.49,110.05,125.32,66364436,52.46,52.46,52.46,,1
2025-09-19,129.9,147.7,125.0801,144.14,76756846,55.0,55.0,52.46,100.0,2
2025-09-26,139.88,141.6,122.83,126.99,40422888,52.26,55.0,52.26,0.0,3
2025-10-03,129.5,156.47,127.6,145.78,66056779,54.91,55.0,52.26,96.73,4
2025-10-10,154.01,159.47,132.605,132.94,67487749,52.75,55.0,52.26,18.08,5
2025-10-17,138.06,141.38,123.09,126.49,42245241,51.65,55.0,51.65,0.0,6
2025-10-24,129.79,144.03,122.5,142.05,50327352,54.13,55.0,51.65,74.14,7
2025-10-31,146.93,147.44,122.49,126.98,42534861,51.39,55.0,51.39,0.0,8
2025-11-07,125.75,125.75,96.1,103.14,46067606,47.29,55.0,47.29,0.0,9
2025-11-14,107.8,110.535,81.38,81.89,146093546,43.93,55.0,43.93,0.0,10
2025-11-21,81.79,81.9,64.92,71.33,108903000,42.33,55.0,42.33,0.0,11
2025-11-28,72.0,81.48,68.0519,79.93,66406301,44.12,55.0,42.33,14.16,12
2025-12-05,77.49,88.27,75.23,85.62,81249667,45.33,55.0,42.33,23.72,13
2025-12-12,86.945,91.3,81.34,83.47,58575669,44.94,55.0,42.33,20.59,14
2025-12-19,83.85,86.3,74.7335,86.13,65295002,45.57,55.0,42.33,25.6,15
2025-12-26,87.74,91.2,79.7101,81.27,32657946,44.56,55.0,42.33,17.63,16
2026-01-02,79.245,84.58,78.77,83.47,29098706,45.15,55.0,42.33,22.3,17
2026-01-09,84.575,88.06,78.85,82.9,36240834,45.02,55.0,42.33,21.24,18
2026-01-16,81.14,88.46,75.58,78.61,56538221,43.96,55.0,42.33,12.88,19
2026-01-23,75.7,77.4699,69.88,71.33,33106723,42.15,55.0,42.15,0.0,20
2026-01-30,70.01,77.0,61.8846,63.93,66353212,40.33,55.0,40.33,0.0,21
2026-02-06,61.5,61.87,49.9,57.04,78656477,38.65,55.0,38.65,0.0,22
2026-02-13,56.33,62.2,55.31,60.04,47447476,39.82,55.0,38.65,7.17,23
2026-02-20,59.27,65.5,57.02,63.02,33569584,41.03,55.0,38.65,14.53,24
2026-02-27,62.095,90.6,59.46,83.44,142062236,48.62,55.0,38.65,60.96,25
2026-03-06,80.8,110.12,80.23,101.91,130958014,54.34,55.0,38.65,95.98,26
2026-03-13,105.21,123.395,104.9,115.38,88758664,58.02,58.02,38.65,100.0,27
2026-03-20,120.15,136.65,119.77,126.03,100800220,60.71,60.71,38.65,100.0,28
2026-03-27,124.15,127.48,90.85,93.66,125985971,50.18,60.71,38.65,52.26,29
2026-04-02,96.26,99.4592,84.27,90.26,53105208,49.21,60.71,38.65,47.88,30
2026-04-10,93.09,101.82,84.6,88.04,50727821,48.55,60.71,38.65,44.9,31
2026-04-17,86.34,111.199,86.27,105.91,65902036,53.89,60.71,38.65,69.1,32
2026-04-24,102.48,106.5,95.79,99.66,51752894,51.86,60.71,38.65,59.91,33
2026-05-01,98.56,100.01,89.9,99.7,43847636,51.88,60.71,38.65,59.96,34
2026-05-08,107.13,122.86,106.9,113.67,112718455,56.15,60.71,38.65,79.34,35
2026-05-15,118.85,140.0,105.36,114.0,140278354,56.25,60.71,38.65,79.79,36
2026-05-22,112.1,118.85,107.21,113.12,50802501,55.89,60.71,38.65,78.15,37
2026-05-29,112.22,114.4399,97.69,113.0,60737151,55.83,60.71,38.65,77.91,38
2026-06-05,108.72,109.5,78.41,80.28,82235537,43.72,60.71,38.65,22.99,39
2026-06-12,84.01,87.38,77.61,77.84,53808513,42.97,60.71,38.65,19.59,40
2026-06-18,82.89,87.3,76.84,80.23,50092989,43.98,60.71,38.65,24.18,41
2026-06-26,81.25,84.86,67.365,73.57,55166850,41.76,60.71,38.65,14.1,42
2026-07-02,75.18,76.15,61.7725,64.62,89723354,38.91,60.71,38.65,1.19,43
2026-07-10,64.56,72.855,61.6662,66.14,76223797,39.67,60.71,38.65,4.6,44
2026-07-17,64.42,66.845,58.68,60.46,60170082,37.79,60.71,37.79,0.0,45
