Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1970-01-02,2.8624,2.9257,2.8624,2.9257,131600,,,,,0
1970-01-09,2.9257,2.9677,2.8624,2.9537,819200,,,,,0
1970-01-16,2.9537,2.9744,2.765,2.793,648400,,,,,0
1970-01-23,2.793,2.793,2.7157,2.7297,654800,,,,,0
1970-01-30,2.7297,2.7297,2.5617,2.5824,821600,,,,,0
1970-02-06,2.5824,2.6037,2.5477,2.5617,1013200,,,,,0
1970-02-13,2.5617,2.5757,2.3657,2.4357,935600,,,,,0
1970-02-20,2.4637,2.5757,2.429,2.5757,867600,,,,,0
1970-02-27,2.5757,2.7157,2.5544,2.6597,936400,,,,,0
1970-03-06,2.6597,2.6597,2.541,2.5824,662800,,,,,0
1970-03-13,2.5824,2.6177,2.5057,2.5337,756400,,,,,0
1970-03-20,2.513,2.5617,2.4217,2.4777,733600,,,,,0
1970-03-26,2.4637,2.569,2.429,2.4637,881600,,,,,0
1970-04-03,2.4637,2.541,2.4425,2.5197,959200,,,,,0
1970-04-10,2.5197,2.5337,2.4637,2.4917,502000,29.33,29.33,29.33,,1
1970-04-17,2.4917,2.5057,2.4077,2.429,614800,27.56,29.33,27.56,0.0,2
1970-04-24,2.429,2.4497,2.3657,2.373,539600,26.05,29.33,26.05,0.0,3
1970-05-01,2.373,2.3937,2.2398,2.3378,863600,25.11,29.33,25.11,0.0,4
1970-05-08,2.3378,2.345,2.2185,2.2398,863200,22.67,29.33,22.67,0.0,5
1970-05-15,2.2398,2.2958,2.1625,2.2958,883200,27.03,29.33,22.67,65.44,6
1970-05-22,2.2958,2.345,2.2118,2.233,514000,25.31,29.33,22.67,39.6,7
1970-05-29,2.2258,2.4425,2.1905,2.4357,552000,38.86,38.86,22.67,100.0,8
1970-06-05,2.4357,2.5197,2.3517,2.3585,590800,36.16,38.86,22.67,83.36,9
1970-06-12,2.3585,2.3797,2.2538,2.3025,421200,34.31,38.86,22.67,71.9,10
1970-06-19,2.2958,2.3865,2.2745,2.345,492400,36.96,38.86,22.67,88.25,11
1970-06-26,2.3378,2.3378,2.2398,2.261,412400,34.04,38.86,22.67,70.24,12
1970-07-02,2.2538,2.261,2.2258,2.233,295200,33.1,38.86,22.67,64.44,13
1970-07-10,2.233,2.233,2.1278,2.2185,781200,32.6,38.86,22.67,61.34,14
1970-07-17,2.2258,2.3657,2.2185,2.3657,701200,42.17,42.17,22.67,100.0,15
1970-07-24,2.3657,2.513,2.3517,2.4357,897200,46.09,46.09,22.67,100.0,16
1970-07-31,2.4357,2.4917,2.4077,2.4637,659600,47.61,47.61,22.67,100.0,17
1970-08-07,2.4637,2.5057,2.3657,2.4917,465600,49.17,49.17,22.67,100.0,18
1970-08-14,2.4917,2.5057,2.3865,2.3865,409600,43.9,49.17,22.67,80.12,19
1970-08-21,2.3865,2.6104,2.3585,2.6037,1178400,54.69,54.69,22.67,100.0,20
1970-08-28,2.6104,2.6877,2.5824,2.6457,940800,56.43,56.43,22.67,100.0,21
1970-09-04,2.6457,2.6877,2.6177,2.6664,654400,57.31,57.31,22.67,100.0,22
1970-09-11,2.6664,2.6877,2.597,2.6104,438400,54.15,57.31,22.67,90.88,23
1970-09-18,2.6104,2.653,2.5264,2.6177,950400,54.5,57.31,22.67,91.89,24
1970-09-25,2.6177,2.6384,2.5197,2.6177,974000,54.5,57.31,22.67,91.89,25
1970-10-02,2.6177,2.6317,2.5337,2.625,648800,54.9,57.31,22.67,93.05,26
1970-10-09,2.6317,2.7784,2.6317,2.6737,1088000,57.59,57.59,22.67,100.0,27
1970-10-16,2.6737,2.737,2.6457,2.7224,492000,60.15,60.15,22.67,100.0,28
1970-10-23,2.7157,2.7157,2.6384,2.6877,534000,57.49,60.15,22.67,92.89,29
1970-10-30,2.6877,2.6944,2.5824,2.6944,722400,57.87,60.15,22.67,93.93,30
1970-11-06,2.6944,2.709,2.653,2.709,671200,58.75,60.15,22.67,96.28,31
1970-11-13,2.709,2.7297,2.6877,2.6944,563600,57.46,60.15,22.67,92.83,32
1970-11-20,2.6944,2.7017,2.6457,2.653,402800,53.83,60.15,22.67,83.14,33
1970-11-27,2.653,2.7997,2.6384,2.7997,763200,62.79,62.79,22.67,100.0,34
1970-12-04,2.7997,2.9117,2.7997,2.8624,1636800,65.85,65.85,22.67,100.0,35
1970-12-11,2.8624,2.9957,2.8417,2.9744,1457600,70.5,70.5,22.67,100.0,36
1970-12-18,2.9744,2.989,2.8837,2.9744,466800,70.5,70.5,22.67,100.0,37
1970-12-24,2.9744,3.0237,2.9464,3.0097,549200,71.9,71.9,22.67,100.0,38
1970-12-31,3.0097,3.073,2.9744,3.0517,576400,73.51,73.51,22.67,100.0,39
1971-01-08,3.045,3.0584,2.9744,3.0377,753600,72.03,73.51,22.67,97.08,40
1971-01-15,3.0377,3.0657,2.7717,2.8557,1512800,56.17,73.51,22.67,65.9,41
1971-01-22,2.8557,2.9957,2.849,2.9677,1000000,61.75,73.51,22.67,76.87,42
1971-01-29,2.9537,2.989,2.877,2.9817,776400,62.4,73.51,22.67,78.14,43
1971-02-05,2.9957,3.0517,2.8904,2.9817,970000,62.4,73.51,22.67,78.14,44
1971-02-12,2.9817,3.0304,2.933,3.0237,821200,64.48,73.51,22.67,82.24,45
1971-02-19,3.0377,3.073,3.0237,3.0657,818800,66.48,73.51,22.67,86.17,46
1971-02-26,3.0657,3.1289,2.9957,3.073,1040800,66.83,73.51,22.67,86.85,47
1971-03-05,3.073,3.2477,3.0584,3.2409,909600,73.64,73.64,22.67,100.0,48
1971-03-12,3.2409,3.2756,3.2129,3.2477,681200,73.87,73.87,22.67,100.0,49
1971-03-19,3.2477,3.3316,3.2197,3.2197,740000,71.07,73.87,22.67,94.54,50
1971-03-26,3.2197,3.2617,3.1077,3.1849,695200,67.65,73.87,22.67,87.86,51
1971-04-02,3.1849,3.1917,3.1217,3.1637,412000,65.57,73.87,22.67,83.79,52
1971-04-08,3.1704,3.3736,3.1704,3.3384,666000,72.94,73.87,22.67,98.18,53
