Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2007-05-04,21.75,21.95,20.55,20.98,13490100,,,,,0
2007-05-11,21.2,21.29,19.11,19.3,21063500,,,,,0
2007-05-18,19.15,19.75,18.02,19.31,23512300,,,,,0
2007-05-25,19.2,19.7,18.69,18.76,11736500,,,,,0
2007-06-01,18.91,19.8,18.81,19.55,11482700,,,,,0
2007-06-08,18.73,19.05,18.15,18.83,17984200,,,,,0
2007-06-15,18.55,19.14,18.02,18.88,25105000,,,,,0
2007-06-22,18.65,19.85,18.5,19.75,24292100,,,,,0
2007-06-29,19.69,19.89,19.11,19.7,10996800,,,,,0
2007-07-06,19.57,20.9,19.53,20.83,9399500,,,,,0
2007-07-13,20.94,21.39,20.0,20.5,12834700,,,,,0
2007-07-20,20.45,21.8,20.31,21.4,29171000,,,,,0
2007-07-27,21.4,21.6,18.37,18.59,27596400,,,,,0
2007-08-03,18.5,19.5,17.18,18.7,30432600,,,,,0
2007-08-10,18.94,19.0,16.95,17.56,18326200,34.65,34.65,34.65,,1
2007-08-17,17.65,18.05,14.94,16.0,21791000,30.11,34.65,30.11,0.0,2
2007-08-24,16.1,18.65,15.86,18.24,15431600,41.89,41.89,30.11,100.0,3
2007-08-31,17.61,18.23,16.82,16.88,6104700,37.73,41.89,30.11,64.7,4
2007-09-07,17.04,18.3,16.9701,17.62,7580000,41.15,41.89,30.11,93.76,5
2007-09-14,17.73,17.99,17.06,17.65,9007400,41.29,41.89,30.11,94.96,6
2007-09-21,17.57,18.34,16.87,17.56,9622900,40.98,41.89,30.11,92.27,7
2007-09-28,17.52,18.04,15.9,17.95,16571500,43.02,43.02,30.11,100.0,8
2007-10-05,18.0,19.7,17.81,19.19,16671400,49.05,49.05,30.11,100.0,9
2007-10-12,19.12,19.98,19.08,19.96,11082000,52.42,52.42,30.11,100.0,10
2007-10-19,19.77,20.56,19.17,19.5,22042900,50.28,52.42,30.11,90.41,11
2007-10-26,19.21,21.05,19.2,19.74,17670400,51.39,52.42,30.11,95.41,12
2007-11-02,19.59,20.94,19.5,19.93,14459000,52.3,52.42,30.11,99.49,13
2007-11-09,19.8,20.09,16.2,16.5,22822000,38.33,52.42,30.11,36.87,14
2007-11-16,16.88,21.1,16.77,19.97,39920000,52.23,52.42,30.11,99.18,15
2007-11-23,19.5,19.75,16.27,18.15,15436200,46.33,52.42,30.11,72.73,16
2007-11-30,18.35,19.87,17.25,19.76,21044900,51.55,52.42,30.11,96.11,17
2007-12-07,19.75,20.0,17.86,18.7,18676700,48.23,52.42,30.11,81.22,18
2007-12-14,18.73,18.86,14.45,15.6,24828200,40.09,52.42,30.11,44.74,19
2007-12-21,15.42,15.63,14.04,15.08,20136100,38.9,52.42,30.11,39.43,20
2007-12-28,15.1,15.45,14.2,14.6,8899800,37.79,52.42,30.11,34.44,21
2008-01-04,14.64,15.25,12.6601,13.37,24638700,35.03,52.42,30.11,22.07,22
2008-01-11,13.43,16.93,11.5,15.48,47093900,42.76,52.42,30.11,56.7,23
2008-01-18,15.25,16.47,14.68,15.14,23383000,41.89,52.42,30.11,52.83,24
2008-01-25,13.7,16.5,13.7,16.21,14132500,45.62,52.42,30.11,69.53,25
2008-02-01,16.21,18.64,15.83,18.53,24307200,52.7,52.7,30.11,100.0,26
2008-02-08,18.44,18.99,16.5,18.19,28255800,51.64,52.7,30.11,95.3,27
2008-02-15,18.59,18.59,16.81,17.32,18810500,48.92,52.7,30.11,83.28,28
2008-02-22,17.32,17.63,15.62,16.37,13204200,46.08,52.7,30.11,70.67,29
2008-02-29,16.4,16.54,13.24,13.35,19771000,38.42,52.7,30.11,36.77,30
2008-03-07,12.68,14.6,12.5,12.89,21787900,37.4,52.7,30.11,32.26,31
2008-03-14,12.92,13.26,9.38,9.6,27394400,31.05,52.7,30.11,4.16,32
2008-03-20,9.41,11.06,8.61,10.0,28943500,32.55,52.7,30.11,10.8,33
2008-03-28,10.14,10.39,7.94,8.61,49205800,30.1,52.7,30.1,0.0,34
2008-04-04,8.65,9.38,8.15,8.75,41560200,30.67,52.7,30.1,2.5,35
2008-04-11,9.1,10.55,8.43,10.01,37864400,35.71,52.7,30.1,24.82,36
2008-04-18,10.69,10.89,8.4,8.75,76432100,33.11,52.7,30.1,13.34,37
2008-04-25,8.61,8.73,6.5,7.01,78835200,29.89,52.7,29.89,0.0,38
2008-05-02,6.95,9.02,6.82,8.5,65744200,35.67,52.7,29.89,25.36,39
2008-05-09,8.38,8.4,7.27,7.65,43850500,33.95,52.7,29.89,17.81,40
2008-05-16,7.98,8.18,7.25,7.5,39862900,33.64,52.7,29.89,16.46,41
2008-05-23,7.48,7.55,5.37,5.5,67888200,29.76,52.7,29.76,0.0,42
2008-05-30,5.71,6.35,5.53,6.15,42162300,32.49,52.7,29.76,11.89,43
2008-06-06,6.25,7.03,5.75,6.3,69745100,33.13,52.7,29.76,14.7,44
2008-06-13,6.4,6.5,4.797,5.32,67931100,31.04,52.7,29.76,5.6,45
2008-06-20,5.19,6.38,5.06,5.68,58206500,32.72,52.7,29.76,12.91,46
2008-06-27,5.89,5.89,4.84,5.52,87588500,32.34,52.7,29.76,11.27,47
2008-07-03,5.42,5.76,4.71,4.95,42298900,30.98,52.7,29.76,5.31,48
2008-07-11,5.34,5.9,4.59,4.93,71477700,30.93,52.7,29.76,5.09,49
2008-07-18,4.9,7.25,4.0,6.93,94854000,41.05,52.7,29.76,49.22,50
2008-07-25,6.77,8.79,6.45,7.34,138970200,42.9,52.7,29.76,57.27,51
2008-08-01,7.19,8.44,6.7,7.7,90281600,44.54,52.7,29.76,64.44,52
2008-08-08,7.8,9.4,7.41,9.12,95487600,50.59,52.7,29.76,90.78,53
2008-08-15,9.14,10.26,8.21,9.41,108652600,51.74,52.7,29.76,95.82,54
2008-08-22,9.25,9.78,7.42,8.63,71552900,48.46,52.7,29.76,81.5,55
2008-08-29,8.51,8.92,6.92,8.13,77343100,46.42,52.7,29.76,72.63,56
2008-09-05,9.32,9.9,8.81,8.81,84226200,49.53,52.7,29.76,86.16,57
2008-09-12,8.79,9.09,6.46,8.13,86586700,46.62,52.7,29.76,73.48,58
2008-09-19,8.35,10.1,7.96,9.67,136680500,53.31,53.31,29.76,100.0,59
2008-09-26,9.35,9.43,7.84,7.95,80776500,46.33,53.31,29.76,70.35,60
2008-10-03,8.32,8.98,6.76,7.86,75560000,45.99,53.31,29.76,68.91,61
2008-10-10,7.74,7.8,5.1,6.03,92259900,39.63,53.31,29.76,41.92,62
2008-10-17,6.56,9.19,6.09,9.19,94009900,51.97,53.31,29.76,94.35,63
2008-10-24,8.9,10.66,7.84,8.31,87686800,48.97,53.31,29.76,81.59,64
2008-10-31,8.56,11.9,7.2,10.98,111008900,57.08,57.08,29.76,100.0,65
2008-11-07,11.14,12.0,9.17,9.46,83433300,52.01,57.08,29.76,81.46,66
2008-11-14,9.05,9.3901,7.11,7.85,66586900,47.23,57.08,29.76,63.96,67
2008-11-21,7.8,8.49,6.29,6.82,63224600,44.42,57.08,29.76,53.66,68
2008-11-28,6.9,8.86,6.57,8.81,42742200,50.55,57.08,29.76,76.1,69
2008-12-05,8.6,10.43,7.8,10.36,60743800,54.73,57.08,29.76,91.42,70
2008-12-12,10.78,11.64,9.4,10.5,69813800,55.1,57.08,29.76,92.77,71
2008-12-19,10.26,11.5,10.1,10.57,69877700,55.3,57.08,29.76,93.49,72
2008-12-26,10.5,10.8,9.96,10.6,27168000,55.39,57.08,29.76,93.82,73
2009-01-02,10.24,12.56,10.22,12.13,34456400,59.84,59.84,29.76,100.0,74
2009-01-09,11.85,12.65,11.3,11.76,56988200,58.32,59.84,29.76,94.96,75
2009-01-16,11.89,12.24,10.1,11.43,51651200,56.94,59.84,29.76,90.36,76
2009-01-23,11.4,11.86,9.04,10.26,57117400,52.21,59.84,29.76,74.63,77
2009-01-30,10.6,10.6,6.74,6.9,90623400,41.53,59.84,29.76,39.15,78
2009-02-06,7.09,7.67,6.06,7.34,76900200,43.17,59.84,29.76,44.59,79
2009-02-13,7.43,7.5,6.16,7.11,56437300,42.5,59.84,29.76,42.37,80
2009-02-20,6.81,6.83,4.86,5.56,62354100,38.2,59.84,29.76,28.05,81
2009-02-27,5.84,6.28,4.95,5.03,79437500,36.82,59.84,29.76,23.48,82
2009-03-06,4.85,4.99,3.51,4.06,83948600,34.39,59.84,29.76,15.38,83
2009-03-13,3.9,6.1,3.81,5.82,72175700,41.9,59.84,29.76,40.36,84
2009-03-20,6.14,6.35,4.85,5.02,63326700,39.68,59.84,29.76,32.97,85
2009-03-27,5.2,6.45,4.9,6.04,61965600,43.77,59.84,29.76,46.59,86
2009-04-03,5.87,6.78,5.29,6.64,56029700,46.09,59.84,29.76,54.31,87
2009-04-09,6.5,7.44,6.5,7.39,46469500,48.93,59.84,29.76,63.74,88
2009-04-17,7.27,7.54,6.599,7.32,65915900,48.67,59.84,29.76,62.88,89
2009-04-24,7.19,8.27,6.73,7.88,72312000,50.9,59.84,29.76,70.28,90
2009-05-01,6.82,7.0,5.98,6.42,121118400,45.37,59.84,29.76,51.92,91
2009-05-08,6.72,7.88,6.67,6.96,75980200,47.64,59.84,29.76,59.44,92
2009-05-15,6.77,7.1401,6.14,6.33,53491700,45.28,59.84,29.76,51.6,93
2009-05-22,6.47,6.96,6.14,6.22,42326400,44.86,59.84,29.76,50.22,94
2009-05-29,6.19,6.365,5.4,5.81,101983400,43.26,59.84,29.76,44.89,95
2009-06-05,6.09,7.25,5.96,7.02,75268500,49.04,59.84,29.76,64.11,96
2009-06-12,6.78,6.9399,6.25,6.4,54035400,46.43,59.84,29.76,55.43,97
2009-06-19,6.2,6.45,5.9,6.07,49723000,45.06,59.84,29.76,50.86,98
2009-06-26,6.01,6.09,5.31,5.7,75415300,43.5,59.84,29.76,45.69,99
2009-07-02,5.75,6.14,5.57,5.89,42850100,44.56,59.84,29.76,49.21,100
2009-07-10,5.91,6.02,5.56,5.9,40467200,44.62,59.84,29.76,49.4,101
2009-07-17,5.99,6.26,5.7,6.08,49946400,45.73,59.84,29.76,53.11,102
2009-07-24,6.01,6.438,5.58,6.2,70462400,46.51,59.84,29.76,55.68,103
2009-07-31,6.14,6.95,6.14,6.93,52115500,51.08,59.84,29.76,70.87,104
2009-08-07,7.04,7.79,6.78,7.41,70842900,53.87,59.84,29.76,80.15,105
2009-08-14,7.42,7.42,6.82,7.02,43659300,51.31,59.84,29.76,71.64,106
2009-08-21,6.76,7.13,6.55,7.13,29357800,52.0,59.84,29.76,73.94,107
2009-08-28,7.14,7.69,7.02,7.34,51575300,53.36,59.84,29.76,78.48,108
2009-09-04,7.16,7.46,6.74,7.39,52700900,53.7,59.84,29.76,79.6,109
2009-09-11,7.4,8.52,7.17,8.06,63849200,58.08,59.84,29.76,94.15,110
2009-09-18,8.09,9.84,7.94,8.96,105935500,63.12,63.12,29.76,100.0,111
2009-09-25,8.75,9.88,8.71,9.05,67950000,63.59,63.59,29.76,100.0,112
2009-10-02,9.18,9.3,7.9,8.32,64378900,57.2,63.59,29.76,81.11,113
2009-10-09,8.36,8.85,8.26,8.67,43036900,59.31,63.59,29.76,87.35,114
2009-10-16,8.74,9.19,8.57,9.03,53373700,61.42,63.59,29.76,93.58,115
2009-10-23,8.95,9.2,7.73,8.24,90347900,54.72,63.59,29.76,73.78,116
2009-10-30,8.24,8.42,6.92,7.14,61748500,47.03,63.59,29.76,51.04,117
2009-11-06,7.14,7.95,6.78,7.79,50463400,51.38,63.59,29.76,63.9,118
2009-11-13,7.92,8.16,7.68,7.8,36857500,51.44,63.59,29.76,64.09,119
2009-11-20,7.91,8.125,7.4,7.62,31561400,50.12,63.59,29.76,60.19,120
2009-11-27,7.71,7.93,7.49,7.91,27233600,52.25,63.59,29.76,66.47,121
2009-12-04,7.87,9.99,7.82,9.94,72375600,63.86,63.86,29.76,100.0,122
2009-12-11,9.66,11.45,9.43,11.25,97079800,69.09,69.09,29.76,100.0,123
2009-12-18,11.51,11.99,10.61,11.66,83694200,70.52,70.52,29.76,100.0,124
2009-12-24,11.2,12.08,11.2,11.77,43107600,70.91,70.91,29.76,100.0,125
2009-12-31,11.44,11.52,11.03,11.38,40090600,67.5,70.91,29.76,91.7,126
2010-01-08,11.22,12.86,10.95,12.47,98932900,71.61,71.61,29.76,100.0,127
2010-01-15,12.34,13.33,12.13,12.74,62043400,72.54,72.54,29.76,100.0,128
2010-01-22,12.8,13.73,12.69,13.29,76918700,74.38,74.38,29.76,100.0,129
2010-01-29,13.38,13.6425,12.19,12.23,96555000,65.31,74.38,29.76,79.69,130
2010-02-05,12.37,13.07,10.93,11.3,69373400,58.57,74.38,29.76,64.57,131
2010-02-12,11.31,12.55,11.14,12.25,80028700,62.8,74.38,29.76,74.04,132
