Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2007-11-09,7.2965,7.652,7.0253,7.5491,2102081,,,,,0
2007-11-16,7.4836,7.7877,7.3994,7.7081,1425618,,,,,0
2007-11-23,7.6473,7.6894,7.479,7.521,107968,,,,,0
2007-11-30,7.5304,7.7175,7.4883,7.7175,221069,,,,,0
2007-12-07,7.7175,7.7222,7.4602,7.5117,108824,,,,,0
2007-12-14,7.5351,7.5959,7.1328,7.2965,466939,,,,,0
2007-12-21,7.2965,7.3386,5.6595,5.6595,2005871,,,,,0
2007-12-28,5.6829,6.9832,5.6829,6.609,970438,,,,,0
2008-01-04,6.7522,6.913,5.0421,5.145,1079048,,,,,0
2008-01-11,5.1731,5.5192,5.0047,5.0374,1455977,,,,,0
2008-01-18,5.0281,5.6127,4.724,5.1263,771817,,,,,0
2008-01-25,5.5379,5.5659,4.8877,4.9018,638406,,,,,0
2008-02-01,4.7895,5.2619,4.4995,4.579,2127737,,,,,0
2008-02-08,4.579,4.9719,4.579,4.6936,937513,,,,,0
2008-02-15,4.7007,4.9298,4.1534,4.2516,1127367,23.89,23.89,23.89,,1
2008-02-22,4.3171,4.551,4.1394,4.2236,540058,23.78,23.89,23.78,0.0,2
2008-02-29,4.6258,4.6258,3.9149,4.0505,497940,23.05,23.89,23.05,0.0,3
2008-03-07,4.0225,4.1674,3.508,4.0458,872517,23.03,23.89,23.03,0.0,4
2008-03-14,4.2095,5.0889,4.1347,4.9158,541769,34.69,34.69,23.03,100.0,5
2008-03-20,5.0094,5.0094,3.8868,4.2236,501788,30.7,34.69,23.03,65.82,6
2008-03-28,4.3124,4.3686,4.0552,4.1534,261477,30.32,34.69,23.03,62.56,7
2008-04-04,4.4341,4.4434,4.261,4.42,268746,33.69,34.69,23.03,91.38,8
2008-04-11,4.551,4.5744,4.2891,4.3405,737823,33.17,34.69,23.03,86.97,9
2008-04-18,4.406,4.7194,4.2797,4.7053,1009563,37.86,37.86,23.03,100.0,10
2008-04-25,4.724,4.8036,4.4902,4.7661,205889,38.63,38.63,23.03,100.0,11
2008-05-02,4.7708,4.8457,4.4434,4.5089,131700,36.56,38.63,23.03,86.73,12
2008-05-09,4.4715,4.5603,4.0505,4.4621,1547056,36.18,38.63,23.03,84.3,13
2008-05-16,4.42,4.6726,4.3078,4.4481,381419,36.06,38.63,23.03,83.52,14
2008-05-23,4.5136,4.9392,4.4621,4.7474,398737,40.62,40.62,23.03,100.0,15
2008-05-30,4.7474,5.0982,4.7474,4.869,658717,42.42,42.42,23.03,100.0,16
2008-06-06,4.9345,5.3508,4.9252,5.2619,445131,47.91,47.91,23.03,100.0,17
2008-06-13,5.304,5.5847,5.2526,5.4677,644820,50.56,50.56,23.03,100.0,18
2008-06-20,5.5706,5.7297,5.1918,5.3181,767755,48.62,50.56,23.03,92.95,19
2008-06-27,5.3976,5.4303,5.145,5.3695,2235920,49.34,50.56,23.03,95.56,20
2008-07-03,5.3601,5.4724,5.1684,5.2713,467366,47.96,50.56,23.03,90.54,21
2008-07-11,5.3789,5.5659,4.9813,5.449,544976,50.65,50.65,23.03,100.0,22
2008-07-18,5.3976,5.4864,4.8924,5.3835,482332,49.63,50.65,23.03,96.31,23
2008-07-25,5.3835,5.9729,5.276,5.9401,308085,57.47,57.47,23.03,100.0,24
2008-08-01,5.898,6.1225,5.5893,6.0524,692498,58.86,58.86,23.03,100.0,25
2008-08-08,6.0337,7.2498,5.7343,7.0159,1954987,68.41,68.41,23.03,100.0,26
2008-08-15,7.1282,7.8858,7.0206,7.6801,1615045,73.05,73.05,23.03,100.0,27
2008-08-22,7.6801,7.8999,6.9411,7.4369,763907,69.05,73.05,23.03,92.0,28
2008-08-29,7.5117,7.8999,7.1094,7.783,1082683,71.45,73.05,23.03,96.79,29
2008-09-05,7.8765,7.8812,7.4836,7.6193,1073276,68.73,73.05,23.03,91.37,30
