Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1994-03-18,1.4365,1.4365,1.3423,1.3659,20359364,,,,,0
1994-03-25,1.3423,1.3894,1.2952,1.3075,7001252,,,,,0
1994-03-31,1.2952,1.3188,1.1775,1.1775,3859977,,,,,0
1994-04-08,1.1539,1.1662,1.1304,1.1304,1173068,,,,,0
1994-04-15,1.1304,1.2481,1.1304,1.201,4882298,,,,,0
1994-04-22,1.1775,1.2133,0.8242,0.9184,2045703,,,,,0
1994-04-29,0.9184,1.0597,0.9184,1.0362,225059,,,,,0
1994-05-06,1.0597,1.3188,1.0362,1.201,1793042,,,,,0
1994-05-13,1.201,1.2246,1.1304,1.1775,1451207,,,,,0
1994-05-20,1.1426,1.201,1.1068,1.1304,2440618,,,,,0
1994-05-27,1.1775,1.1775,1.0833,1.1181,1040368,,,,,0
1994-06-03,1.0833,1.1304,0.9947,1.0126,726134,,,,,0
1994-06-10,1.0597,1.1304,0.9891,1.1068,2877997,,,,,0
1994-06-17,1.0833,1.1539,1.0833,1.1539,439502,,,,,0
1994-06-24,1.1068,1.1539,0.9184,0.9655,548847,35.59,35.59,35.59,,1
1994-07-01,0.9184,0.9542,0.8242,0.8949,8684949,33.75,35.59,33.75,0.0,2
1994-07-08,0.8949,0.9891,0.8949,0.942,973487,36.13,36.13,33.75,100.0,3
1994-07-15,0.942,1.0362,0.9363,1.0249,1764379,40.2,40.2,33.75,100.0,4
1994-07-22,1.0597,1.1068,0.9655,1.0362,1179437,40.75,40.75,33.75,100.0,5
1994-07-29,1.0597,1.0833,1.0126,1.0126,1387511,39.92,40.75,33.75,88.14,6
1994-08-05,1.0362,1.0362,0.9655,0.9655,786645,38.24,40.75,33.75,64.18,7
1994-08-12,0.9655,1.0833,0.8478,1.072,6172142,43.98,43.98,33.75,100.0,8
1994-08-19,1.0126,1.1068,1.0126,1.0475,3473555,42.99,43.98,33.75,90.33,9
1994-08-26,1.1068,1.2246,1.1068,1.2189,1646541,51.26,51.26,33.75,100.0,10
1994-09-02,1.1775,1.3894,1.1775,1.3894,2886490,57.81,57.81,33.75,100.0,11
1994-09-09,1.3659,1.413,1.2717,1.3894,2053134,57.81,57.81,33.75,100.0,12
1994-09-16,1.413,1.5543,1.3423,1.413,8238015,58.7,58.7,33.75,100.0,13
1994-09-23,1.413,1.413,1.201,1.2246,2126384,49.68,58.7,33.75,63.85,14
1994-09-30,1.2246,1.3894,1.2246,1.3781,6171080,55.66,58.7,33.75,87.82,15
1994-10-07,1.3894,1.3894,1.1539,1.2368,1863108,49.79,58.7,33.75,64.31,16
1994-10-14,1.2481,1.2481,1.201,1.2133,500013,48.87,58.7,33.75,60.61,17
1994-10-21,1.2481,1.2952,1.201,1.2246,4467212,49.35,58.7,33.75,62.55,18
1994-10-28,1.2594,1.2952,1.201,1.2481,411900,50.41,58.7,33.75,66.79,19
1994-11-04,1.2717,1.3894,1.1775,1.2717,4218798,51.5,58.7,33.75,71.16,20
1994-11-11,1.2952,1.2952,1.201,1.2717,2165664,51.5,58.7,33.75,71.16,21
1994-11-18,1.2952,1.413,1.2594,1.3423,1377956,54.95,58.7,33.75,84.98,22
1994-11-25,1.2717,1.3659,1.201,1.3659,1172006,56.07,58.7,33.75,89.47,23
1994-12-02,1.3659,1.4836,1.2952,1.4365,1653972,59.34,59.34,33.75,100.0,24
1994-12-09,1.5072,1.5543,1.3423,1.413,2509622,57.79,59.34,33.75,93.97,25
1994-12-16,1.3423,1.4601,1.2717,1.4488,3374826,59.52,59.52,33.75,100.0,26
1994-12-23,1.413,1.5072,1.413,1.4488,462857,59.52,59.52,33.75,100.0,27
1994-12-30,1.4714,1.5543,1.413,1.4365,2853580,58.57,59.52,33.75,96.32,28
1995-01-06,1.4365,1.672,1.413,1.6249,6002286,67.23,67.23,33.75,100.0,29
1995-01-13,1.6485,1.6485,1.5307,1.5778,2502191,63.65,67.23,33.75,89.3,30
1995-01-20,1.5778,1.7662,1.5307,1.6485,3293083,66.53,67.23,33.75,97.91,31
1995-01-27,1.5778,1.6485,1.4365,1.4365,5550044,52.97,67.23,33.75,57.41,32
1995-02-03,1.5072,1.5194,1.413,1.4714,1501102,54.61,67.23,33.75,62.31,33
1995-02-10,1.4601,1.5072,1.413,1.4836,1347170,55.2,67.23,33.75,64.07,34
1995-02-17,1.4836,1.5778,1.413,1.4488,2419386,53.08,67.23,33.75,57.75,35
1995-02-24,1.413,1.4959,1.413,1.4959,514875,55.56,67.23,33.75,65.15,36
