Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2006-11-17,24.5,25.18,23.5,24.74,18358000,,,,,0
2006-11-24,24.69,27.96,24.29,27.75,4480000,,,,,0
2006-12-01,28.39,28.95,27.56,27.89,2415700,,,,,0
2006-12-08,28.0,28.4,26.4,27.53,1614100,,,,,0
2006-12-15,27.32,29.28,26.5,29.05,4058900,,,,,0
2006-12-22,29.32,29.87,26.5401,27.53,2261800,,,,,0
2006-12-29,27.63,30.0,27.04,29.84,2627500,,,,,0
2007-01-05,30.17,30.29,27.73,28.15,1336800,,,,,0
2007-01-12,28.26,29.77,28.26,29.53,1356300,,,,,0
2007-01-19,29.56,30.47,27.7,27.71,1082700,,,,,0
2007-01-26,27.75,30.3,27.54,29.14,1799400,,,,,0
2007-02-02,29.15,33.89,29.0,31.2,2623600,,,,,0
2007-02-09,31.2,34.47,31.1401,32.86,1772800,,,,,0
2007-02-16,32.91,46.86,32.6,45.26,9933700,,,,,0
2007-02-23,44.97,51.89,44.9,49.43,5010000,84.8,84.8,84.8,,1
2007-03-02,49.7,52.7,45.2,46.27,6333000,77.38,84.8,77.38,0.0,2
2007-03-09,45.0,54.1,42.6,52.06,6442800,80.71,84.8,77.38,44.88,3
2007-03-16,51.99,57.94,50.23,51.52,10500800,79.54,84.8,77.38,29.03,4
2007-03-23,53.21,59.88,51.7101,58.25,8438500,82.88,84.8,77.38,74.14,5
2007-03-30,59.09,59.58,51.5,52.01,8265600,71.24,84.8,71.24,0.0,6
2007-04-05,52.1,58.46,52.08,56.46,4964100,74.04,84.8,71.24,20.65,7
2007-04-13,57.43,63.7,56.0,61.258,9591300,76.68,84.8,71.24,40.09,8
2007-04-20,61.87,65.13,59.25,60.91,8523000,76.08,84.8,71.24,35.64,9
2007-04-27,61.16,65.6,61.02,63.64,6067700,77.57,84.8,71.24,46.64,10
2007-05-04,63.68,67.5,54.2,66.7,15180800,79.14,84.8,71.24,58.22,11
2007-05-11,66.95,72.48,65.77,67.87,12662700,79.72,84.8,71.24,62.53,12
2007-05-18,67.96,68.95,61.9,63.42,11654200,71.52,84.8,71.24,2.01,13
2007-05-25,62.5,67.71,61.43,66.72,10345000,73.68,84.8,71.24,17.97,14
2007-06-01,67.1,69.11,65.36,68.17,5367000,74.59,84.8,71.24,24.7,15
2007-06-08,67.34,73.26,67.224,71.22,7117000,76.44,84.8,71.24,38.36,16
2007-06-15,71.22,78.33,68.35,78.1,8577000,79.99,84.8,71.24,64.48,17
2007-06-22,78.68,84.9,77.0,84.64,11590500,82.66,84.8,71.24,84.17,18
2007-06-29,84.85,91.1,84.65,89.29,12066100,84.26,84.8,71.24,96.02,19
2007-07-06,89.35,98.87,88.6,96.29,7353900,86.32,86.32,71.24,100.0,20
2007-07-13,105.43,119.85,105.43,115.97,21143100,90.2,90.2,71.24,100.0,21
2007-07-20,114.49,116.3,105.5,110.14,14874300,82.72,90.2,71.24,60.54,22
2007-07-27,110.49,114.0,105.02,110.6899,8687900,82.86,90.2,71.24,61.3,23
2007-08-03,112.0,123.21,96.41,100.05,19039000,70.58,90.2,70.58,0.0,24
2007-08-10,100.6,112.8,92.79,94.4201,18077300,65.08,90.2,65.08,0.0,25
2007-08-17,96.0,98.07,74.77,85.21,16220500,57.23,90.2,57.23,0.0,26
2007-08-24,89.99,99.85,88.21,97.55,11882000,63.57,90.2,57.23,19.24,27
