Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2004-11-19,44.43,44.92,44.07,44.78,17647300,,,,,0
2004-11-26,44.75,45.6,44.72,45.29,24368000,,,,,0
2004-12-03,45.1,46.0,44.68,45.6,20329800,,,,,0
2004-12-10,45.39,45.47,43.2,43.44,19066000,,,,,0
2004-12-17,43.61,44.22,43.51,44.19,11486200,,,,,0
2004-12-23,44.33,44.37,43.89,44.27,6661100,,,,,0
2004-12-31,44.29,44.56,43.35,43.8,10870100,,,,,0
2005-01-07,42.98,43.17,41.7,41.84,17289900,,,,,0
2005-01-14,41.99,42.79,41.89,42.32,6251700,,,,,0
2005-01-21,42.22,42.82,42.11,42.74,4411700,,,,,0
2005-01-28,42.74,42.82,42.1,42.69,5889500,,,,,0
2005-02-04,42.21,42.3,41.39,41.47,8003600,,,,,0
2005-02-11,41.55,42.16,41.02,42.08,16199700,,,,,0
2005-02-18,42.37,42.82,42.2,42.75,9649500,,,,,0
2005-02-25,43.39,43.63,43.15,43.5,7232700,43.87,43.87,43.87,,1
2005-03-04,43.68,43.74,42.9,43.38,8028500,43.33,43.87,43.33,0.0,2
2005-03-11,43.32,44.67,43.26,44.43,11714600,49.19,49.19,43.33,100.0,3
2005-03-18,44.26,44.35,43.6,43.892,7077500,46.53,49.19,43.33,54.69,4
2005-03-24,43.24,43.25,42.35,42.39,10508700,40.04,49.19,40.04,0.0,5
2005-04-01,42.45,42.87,42.41,42.62,6914900,41.39,49.19,40.04,14.75,6
2005-04-08,42.43,42.81,42.23,42.69,8273700,41.82,49.19,40.04,19.43,7
2005-04-15,42.84,42.96,42.16,42.4,8487700,40.5,49.19,40.04,4.98,8
2005-04-22,42.55,43.52,42.52,43.39,8022900,46.69,49.19,40.04,72.73,9
2005-04-29,43.35,43.7,42.99,43.35,11197200,46.48,49.19,40.04,70.42,10
2005-05-06,43.13,43.17,42.34,42.52,7625700,42.23,49.19,40.04,23.89,11
2005-05-13,42.54,42.83,41.83,41.95,4506900,39.55,49.19,39.55,0.0,12
2005-05-20,41.77,42.11,41.61,41.65,5505400,38.18,49.19,38.18,0.0,13
2005-05-27,41.69,41.96,41.55,41.88,11016700,39.9,49.19,38.18,15.64,14
