Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2004-08-20,5.0005,5.454,4.798,5.4155,1349866000,,,,,0
2004-08-27,5.538,5.674,5.1785,5.3075,1119970000,,,,,0
2004-09-03,5.264,5.2745,4.947,5.0005,790474000,,,,,0
2004-09-10,5.0505,5.328,4.9805,5.2665,471872000,,,,,0
2004-09-17,5.3315,5.8745,5.323,5.8745,962496000,,,,,0
2004-09-24,5.8475,6.205,5.8385,5.9915,861952000,,,,,0
2004-10-01,5.978,6.751,5.89,6.629,1667886000,,,,,0
2004-10-08,6.7637,6.994,6.612,6.8865,1331236000,,,,,0
2004-10-15,6.8505,7.275,6.67,7.2055,1310812000,,,,,0
2004-10-22,7.156,9.0085,6.98,8.6215,3154570000,,,,,0
2004-10-29,8.814,9.9975,8.6275,9.532,4173300000,,,,,0
2004-11-05,9.675,10.08,8.4275,8.4675,2865232000,,,,,0
2004-11-12,8.543,9.49,8.2635,9.1,2582676000,,,,,0
2004-11-19,9.0225,9.416,8.2865,8.47,3050968000,,,,,0
2004-11-26,8.43,9.0015,8.0655,8.9695,1859838000,72.86,72.86,72.86,,1
2004-12-03,9.0128,9.15,8.8755,9.02,1532892000,73.05,73.05,72.86,100.0,2
2004-12-10,8.9565,9.035,8.4235,8.5825,1304204000,68.6,73.05,68.6,0.0,3
2004-12-17,8.6015,9.0345,8.4725,9.004,1731742000,70.47,73.05,68.6,41.94,4
2004-12-23,9.1,9.43,9.0935,9.395,913976000,72.12,73.05,68.6,79.15,5
2004-12-31,9.4715,9.994,9.455,9.6395,1058966000,73.14,73.14,68.6,100.0,6
2005-01-07,9.87,10.182,9.386,9.6925,2313148000,73.36,73.36,68.6,100.0,7
2005-01-14,9.725,10.0005,9.525,9.9985,1565062000,74.69,74.69,68.6,100.0,8
2005-01-21,10.0445,10.265,9.406,9.414,1705898000,67.76,74.69,67.76,0.0,9
2005-01-28,9.4345,9.735,8.8145,9.517,2230776000,68.31,74.69,67.76,8.05,10
2005-02-04,9.6845,10.84,9.5315,10.218,3558132000,71.88,74.69,67.76,59.51,11
2005-02-11,10.263,10.32,9.2625,9.37,2945470000,62.69,74.69,62.69,0.0,12
2005-02-18,9.304,9.992,9.05,9.8975,3987108000,65.63,74.69,62.69,24.54,13
2005-02-25,9.825,9.945,9.1115,9.2935,2591702000,59.81,74.69,59.81,0.0,14
2005-03-04,9.3,9.4935,9.2155,9.295,1550354000,59.82,74.69,59.81,0.06,15
2005-03-11,9.389,9.4925,8.8575,8.89,1880620000,55.96,74.69,55.96,0.0,16
2005-03-18,8.9165,9.02,8.6285,9.002,1759258000,56.79,74.69,55.96,4.43,17
2005-03-24,8.9635,9.1085,8.8625,8.9625,865754000,56.39,74.69,55.96,2.28,18
2005-04-01,9.084,9.24,8.882,9.002,1374528000,56.72,74.69,55.96,4.05,19
2005-04-08,8.9975,9.755,8.992,9.6025,1473500000,61.51,74.69,55.96,29.61,20
2005-04-15,9.6545,9.74,9.233,9.25,1479152000,57.49,74.69,55.96,8.14,21
2005-04-22,9.229,11.2,9.1745,10.7905,3252288000,67.49,74.69,55.96,61.55,22
2005-04-29,10.891,11.237,10.837,11.0,2606578000,68.57,74.69,55.96,67.33,23
2005-05-06,11.1025,11.494,11.0105,11.401,2154022000,70.59,74.69,55.96,78.12,24
2005-05-13,11.4,11.6115,11.236,11.462,1587412000,70.9,74.69,55.96,79.75,25
2005-05-20,11.484,12.0835,11.4285,12.0805,1745538000,73.87,74.69,55.96,95.62,26
2005-05-27,12.158,13.3025,12.1355,13.3,3765028000,78.52,78.52,55.96,100.0,27
2005-06-03,13.478,14.6445,13.4685,14.013,3763626000,80.69,80.69,55.96,100.0,28
2005-06-10,14.1195,14.9795,13.9,14.125,4063428000,81.01,81.01,55.96,100.0,29
2005-06-17,13.991,14.2095,13.3715,14.015,2664328000,79.6,81.01,55.96,94.36,30
2005-06-24,13.804,14.9,13.5865,14.8625,3135200000,82.18,82.18,55.96,100.0,31
2005-07-01,14.945,15.4625,14.461,14.5625,3175222000,78.4,82.18,55.96,85.59,32
2005-07-08,14.6,14.88,14.4255,14.8115,1343610000,79.25,82.18,55.96,88.84,33
2005-07-15,14.82,15.3375,14.5465,15.0595,1790172000,80.1,82.18,55.96,92.06,34
2005-07-22,15.0,15.89,14.8165,15.12,3049574000,80.31,82.18,55.96,92.86,35
2005-07-29,15.1195,15.1645,14.3495,14.388,1637654000,70.6,82.18,55.96,55.82,36
2005-08-05,14.424,14.986,14.405,14.6175,1201170000,71.75,82.18,55.96,60.22,37
2005-08-12,14.68,14.7825,14.031,14.4861,1248382000,70.05,82.18,55.96,53.75,38
2005-08-19,14.499,14.6385,13.75,14.0,1461848000,64.03,82.18,55.96,30.78,39
2005-08-26,14.062,14.251,13.6675,14.179,1173208000,65.22,82.18,55.96,35.3,40
2005-09-02,14.112,14.4995,14.112,14.4225,875344000,66.82,82.18,55.96,41.41,41
2005-09-09,14.45,14.964,14.264,14.9545,907712000,70.07,82.18,55.96,53.79,42
2005-09-16,15.0875,15.7765,14.8955,15.01,2198124000,70.39,82.18,55.96,55.04,43
2005-09-23,15.05,15.961,15.0355,15.768,1867036000,74.47,82.18,55.96,70.6,44
2005-09-30,15.975,16.0475,15.28,15.823,1579614000,74.74,82.18,55.96,71.64,45
2005-10-07,15.6815,16.064,15.4,15.6495,1654224000,72.13,82.18,55.96,61.68,46
2005-10-14,15.6655,15.741,14.5343,14.807,1698606000,60.99,82.18,55.96,19.17,47
2005-10-21,14.875,17.3215,14.728,16.995,2336028000,72.76,82.18,55.96,64.07,48
2005-10-28,17.1685,17.9475,17.1095,17.9085,1448760000,76.01,82.18,55.96,76.48,49
2005-11-04,18.012,19.5895,17.9755,19.5215,2299202000,80.45,82.18,55.96,93.42,50
2005-11-11,19.755,19.8735,18.8715,19.52,1764170000,80.44,82.18,55.96,93.36,51
2005-11-18,19.606,20.225,19.5475,20.0105,1652972000,81.64,82.18,55.96,97.93,52
2005-11-25,19.9585,21.4375,19.6745,21.431,1392852000,84.58,84.58,55.96,100.0,53
2005-12-02,21.491,21.562,19.778,20.885,2612950000,79.32,84.58,55.96,81.6,54
2005-12-09,20.85,20.875,19.9505,20.46,2143210000,75.38,84.58,55.96,67.85,55
2005-12-16,20.7315,21.625,20.4975,21.5075,1763054000,78.25,84.58,55.96,77.86,56
2005-12-23,21.61,22.3105,21.0055,21.5465,2213186000,78.35,84.58,55.96,78.21,57
2005-12-30,21.593,21.593,20.687,20.743,1133006000,71.03,84.58,55.96,52.64,58
2006-01-06,21.126,23.525,20.911,23.283,2276628000,78.02,84.58,55.96,77.06,59
2006-01-13,23.3075,23.7555,23.047,23.3125,1945180000,78.08,84.58,55.96,77.29,60
2006-01-20,23.2105,23.495,19.737,19.973,3373020000,57.13,84.58,55.96,4.08,61
2006-01-27,20.369,22.7115,20.2865,21.6745,3129826000,62.63,84.58,55.96,23.3,62
2006-02-03,21.4695,21.98,18.6285,19.0778,3511156000,51.72,84.58,51.72,0.0,63
2006-02-10,19.2625,19.495,17.657,18.1305,2937478000,48.41,84.58,48.41,0.0,64
2006-02-17,17.215,18.607,16.8915,18.4375,3314856000,49.54,84.58,48.41,3.12,65
2006-02-24,18.316,19.062,18.193,18.87,1366552000,51.16,84.58,48.41,7.6,66
2006-03-03,19.06,19.877,16.9255,18.909,3676446000,51.31,84.58,48.41,8.02,67
2006-03-10,19.033,19.17,16.5775,16.875,2569428000,43.68,84.58,43.68,0.0,68
2006-03-17,16.986,17.6185,16.631,16.9895,2534668000,44.19,84.58,43.68,1.23,69
2006-03-24,17.1005,18.5045,16.875,18.29,2015978000,49.68,84.58,43.68,14.67,70
2006-03-31,18.3625,19.95,18.25,19.5,3445750000,54.2,84.58,43.68,25.72,71
2006-04-07,19.4875,20.7285,19.3965,20.308,2112812000,56.98,84.58,43.68,32.51,72
2006-04-13,20.3805,20.955,20.025,20.108,1318562000,56.07,84.58,43.68,30.29,73
2006-04-21,20.189,22.536,20.042,21.855,2317738000,61.79,84.58,43.68,44.28,74
2006-04-28,21.967,22.235,20.815,20.897,1656034000,57.38,84.58,43.68,33.49,75
2006-05-05,20.8925,20.972,19.42,19.715,1688490000,52.41,84.58,43.68,21.33,76
2006-05-12,19.7555,20.5855,18.6775,18.7065,1575492000,48.54,84.58,43.68,11.88,77
2006-05-19,18.7965,19.0905,18.0285,18.501,1716608000,47.77,84.58,43.68,9.99,78
2006-05-26,18.3925,19.294,18.2625,19.0675,1558546000,50.13,84.58,43.68,15.76,79
2006-06-02,18.914,19.354,18.339,18.972,997466000,49.72,84.58,43.68,14.76,80
2006-06-09,18.809,19.7715,18.7075,19.4145,1648206000,51.68,84.58,43.68,19.55,81
2006-06-16,19.3425,19.6125,18.906,19.535,1300312000,52.23,84.58,43.68,20.89,82
2006-06-23,19.5425,20.4875,19.3255,20.243,1264494000,55.42,84.58,43.68,28.69,83
2006-06-30,20.3375,20.9665,20.0505,20.9665,970420000,58.47,84.58,43.68,36.15,84
2006-07-07,21.002,21.3945,20.782,21.0225,674174000,58.7,84.58,43.68,36.72,85
