Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2009-08-28,13.0474,13.0474,13.0474,13.0474,300,,,,,0
2009-09-04,13.0474,13.0474,11.4165,11.4165,300,,,,,0
2009-09-11,11.4165,11.4165,11.4165,11.4165,0,,,,,0
2009-09-18,11.4165,11.4165,11.4165,11.4165,0,,,,,0
2009-09-25,11.4165,11.4165,11.4165,11.4165,300,,,,,0
2009-10-02,11.4165,11.4165,11.4165,11.4165,100,,,,,0
2009-10-09,11.4165,11.4165,11.4165,11.4165,0,,,,,0
2009-10-16,11.4165,11.4165,11.4165,11.4165,0,,,,,0
2009-10-23,11.4165,11.4165,11.4165,11.4165,0,,,,,0
2009-10-30,11.4165,11.8242,11.4165,11.8242,200,,,,,0
2009-11-06,11.8242,11.8242,11.8242,11.8242,0,,,,,0
2009-11-13,11.8242,11.8242,11.8242,11.8242,425,,,,,0
2009-11-20,11.8242,11.8242,11.8242,11.8242,0,,,,,0
2009-11-27,11.8242,11.8242,11.8242,11.8242,0,,,,,0
2009-12-04,11.8242,11.8242,11.8242,11.8242,0,20.0,20.0,20.0,,1
2009-12-11,11.8242,11.8242,11.8242,11.8242,0,20.0,20.0,20.0,,2
2009-12-18,11.8242,11.8242,11.8242,11.8242,0,20.0,20.0,20.0,,3
2009-12-24,11.8242,11.8242,11.8242,11.8242,0,20.0,20.0,20.0,,4
2009-12-31,11.8242,11.8242,10.601,10.601,325,11.07,20.0,11.07,0.0,5
2010-01-08,10.601,10.601,10.601,10.601,0,11.07,20.0,11.07,0.0,6
2010-01-15,10.601,10.601,10.601,10.601,0,11.07,20.0,11.07,0.0,7
2010-01-22,10.601,10.601,10.601,10.601,0,11.07,20.0,11.07,0.0,8
2010-01-29,10.601,10.601,10.601,10.601,0,11.07,20.0,11.07,0.0,9
2010-02-05,10.601,10.601,10.601,10.601,0,11.07,20.0,11.07,0.0,10
2010-02-12,10.601,10.601,10.601,10.601,0,11.07,20.0,11.07,0.0,11
2010-02-19,10.601,10.601,10.601,10.601,0,11.07,20.0,11.07,0.0,12
2010-02-26,10.601,10.601,10.601,10.601,200,11.07,20.0,11.07,0.0,13
2010-03-05,10.601,10.601,10.601,10.601,0,11.07,20.0,11.07,0.0,14
2010-03-12,10.601,10.601,10.601,10.601,0,11.07,20.0,11.07,0.0,15
2010-03-19,10.601,10.601,10.601,10.601,0,11.07,20.0,11.07,0.0,16
2010-03-26,10.601,10.601,10.601,10.601,0,11.07,20.0,11.07,0.0,17
