Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2007-07-13,21.057,21.2279,21.057,21.057,26738,,,,,0
2007-07-20,21.1709,22.2912,21.1709,21.4557,76274,,,,,0
2007-07-27,21.7975,22.1013,20.8102,20.8861,178086,,,,,0
2007-08-03,20.9621,21.5696,20.6583,20.6583,49322,,,,,0
2007-08-10,20.8671,22.0064,20.6393,20.7532,64243,,,,,0
2007-08-17,21.038,21.1899,19.462,20.0507,64486,,,,,0
2007-08-24,19.9557,20.6393,18.9874,20.5633,62986,,,,,0
2007-08-31,20.4684,21.1709,20.1266,21.076,62605,,,,,0
2007-09-07,20.9621,21.057,19.8038,19.8988,36807,,,,,0
2007-09-14,20.0127,20.2595,19.6329,19.8722,63876,,,,,0
2007-09-21,19.8608,21.5658,19.7962,21.5089,74285,,,,,0
2007-09-28,21.6076,22.3481,21.5507,22.3481,50581,,,,,0
2007-10-05,22.3709,22.6519,22.0975,22.538,162564,,,,,0
2007-10-12,22.0253,23.1646,21.3608,23.0507,49271,,,,,0
2007-10-19,22.8608,24.4367,22.3481,23.3583,162769,64.93,64.93,64.93,,1
2007-10-26,23.6203,24.1899,20.9621,24.1899,33418,68.58,68.58,64.93,100.0,2
2007-11-02,24.019,25.481,23.5443,25.2532,176648,72.52,72.52,64.93,100.0,3
2007-11-09,25.2152,27.3418,24.6646,26.6393,220459,76.63,76.63,64.93,100.0,4
2007-11-16,25.8228,26.2975,25.4279,26.1076,61566,72.17,76.63,64.93,61.88,5
2007-11-23,25.6557,26.3507,25.4241,25.576,32404,67.91,76.63,64.93,25.5,6
2007-11-30,25.7848,25.9937,24.6836,25.1962,52985,64.96,76.63,64.93,0.31,7
2007-12-07,25.1393,25.1545,24.2848,24.3608,136160,58.9,76.63,58.9,0.0,8
2007-12-14,24.0152,24.4557,23.0127,23.0848,131627,51.07,76.63,51.07,0.0,9
2007-12-21,22.9177,23.1456,22.7659,22.7848,91075,49.41,76.63,49.41,0.0,10
2007-12-28,22.9367,23.5208,22.7848,23.3484,43503,52.54,76.63,49.41,11.49,11
2008-01-04,23.1416,23.6932,22.7623,23.3331,38202,52.44,76.63,49.41,11.14,12
2008-01-11,23.8464,25.0914,22.3908,23.4825,162285,53.33,76.63,49.41,14.4,13
2008-01-18,23.6357,23.7507,21.1841,21.9885,86378,44.42,76.63,44.42,0.0,14
2008-01-25,18.9431,21.4522,17.0545,20.9121,96491,39.32,76.63,39.32,0.0,15
2008-02-01,20.8776,23.8081,20.303,23.4825,55287,53.15,76.63,39.32,37.06,16
2008-02-08,23.0841,23.3101,21.843,22.2797,44114,47.67,76.63,39.32,22.38,17
2008-02-15,22.793,23.3676,21.5288,22.996,44039,50.92,76.63,39.32,31.08,18
2008-02-22,23.1952,23.4251,21.9311,22.3524,55941,48.04,76.63,39.32,23.36,19
2008-02-29,22.1226,22.8696,21.4522,22.1418,237644,47.1,76.63,39.32,20.84,20
2008-03-07,21.8353,23.7698,21.5288,23.4021,60496,53.01,76.63,39.32,36.7,21
2008-03-14,23.4634,25.5358,23.2718,24.7122,50896,58.24,76.63,39.32,50.72,22
2008-03-20,24.5934,25.2791,23.7124,24.3253,28691,56.25,76.63,39.32,45.38,23
2008-03-28,24.1146,25.283,23.3676,24.2678,67048,55.95,76.63,39.32,44.56,24
2008-04-04,23.8464,24.1337,23.0611,23.8733,75445,53.78,76.63,39.32,38.76,25
2008-04-11,23.3714,23.6357,22.226,22.2605,71899,45.96,76.63,39.32,17.8,26
2008-04-18,22.2184,23.9231,22.1073,23.7124,64446,52.64,76.63,39.32,35.7,27
2008-04-25,23.2757,23.5783,22.7738,22.9079,67160,49.02,76.63,39.32,26.01,28
2008-05-02,22.9615,23.1378,22.1609,22.2758,63294,46.33,76.63,39.32,18.79,29
2008-05-09,22.3716,22.4827,21.8583,22.1609,63961,45.84,76.63,39.32,17.47,30
2008-05-16,22.6589,23.3025,22.475,22.8888,41194,49.5,76.63,39.32,27.29,31
2008-05-23,23.2718,23.3293,22.2375,22.2375,112594,46.47,76.63,39.32,19.17,32
2008-05-30,22.6206,22.6934,21.8353,22.1073,68293,45.87,76.63,39.32,17.55,33
2008-06-06,21.1458,22.2184,20.7857,20.9504,56288,40.79,76.63,39.32,3.95,34
2008-06-13,21.0308,21.7395,20.7052,21.5901,70454,44.45,76.63,39.32,13.76,35
2008-06-20,21.2798,21.4331,20.0157,20.0157,175611,38.2,76.63,38.2,0.0,36
2008-06-27,20.3413,20.6478,19.5489,20.6188,110825,41.59,76.63,38.2,8.83,37
2008-07-03,20.1519,20.8328,19.7279,20.5021,64891,41.12,76.63,38.2,7.6,38
2008-07-11,22.4472,22.6807,20.0547,20.3504,75833,40.48,76.63,38.2,5.94,39
2008-07-18,19.9574,21.3969,19.4322,21.3969,48809,46.65,76.63,38.2,22.01,40
2008-07-25,20.6966,21.3969,19.2377,19.2766,42279,38.04,76.63,38.04,0.0,41
2008-08-01,19.4245,21.3969,19.2572,20.2648,97655,43.29,76.63,38.04,13.62,42
2008-08-08,20.2687,20.541,19.6073,20.113,54121,42.7,76.63,38.04,12.06,43
