Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2021-01-08,11.1252,12.35,10.5,11.01,723172,,,,,0
2021-01-15,11.8,11.8,10.8,11.22,1319736,,,,,0
2021-01-22,11.4,12.2,11.09,12.0,1913873,,,,,0
2021-01-29,12.5,12.58,11.1,11.35,2650306,,,,,0
2021-02-05,11.45,12.21,11.4,11.76,872949,,,,,0
2021-02-12,11.98,11.99,11.56,11.8,1120039,,,,,0
2021-02-19,11.8,13.19,11.61,12.71,1307869,,,,,0
2021-02-26,12.66,15.39,11.4,14.47,11985171,,,,,0
2021-03-05,14.61,14.84,10.86,12.7,5113965,,,,,0
2021-03-12,12.15,12.29,10.76,11.51,12760152,,,,,0
2021-03-19,11.92,11.93,10.75,11.05,5487699,,,,,0
2021-03-26,11.25,11.25,10.18,10.52,4094315,,,,,0
2021-04-01,10.57,10.94,10.31,10.57,1644445,,,,,0
2021-04-09,10.77,11.0887,10.55,11.03,2116697,,,,,0
2021-04-16,11.0,11.02,10.25,10.37,2196482,46.76,46.76,46.76,,1
2021-04-23,10.42,10.61,10.12,10.49,2105513,47.45,47.45,46.76,100.0,2
2021-04-30,10.5,10.8,10.29,10.78,1225547,49.16,49.16,46.76,100.0,3
2021-05-07,10.85,10.85,9.99,10.21,1174270,45.99,49.16,45.99,0.0,4
2021-05-14,10.2,10.29,9.92,10.05,2271510,45.11,49.16,45.11,0.0,5
2021-05-21,10.0,10.03,9.88,10.0,4073657,44.83,49.16,44.83,0.0,6
2021-05-28,10.02,10.04,9.92,9.98,1165545,44.7,49.16,44.7,0.0,7
2021-06-04,10.0,10.11,9.96,10.1,891160,45.67,49.16,44.7,21.62,8
2021-06-11,10.21,10.89,10.125,10.57,3514677,49.38,49.38,44.7,100.0,9
2021-06-18,10.67,10.77,10.24,10.29,745937,47.31,49.38,44.7,55.63,10
2021-06-25,10.34,10.44,10.0,10.39,1922731,48.15,49.38,44.7,73.55,11
2021-07-02,10.54,10.8,10.3101,10.48,1673694,48.93,49.38,44.7,90.38,12
2021-07-09,10.53,10.65,10.33,10.5,1297690,49.12,49.38,44.7,94.33,13
2021-07-16,10.53,10.59,10.04,10.12,1123595,45.73,49.38,44.7,21.92,14
2021-07-23,10.2,10.2,9.9,9.95,3007525,44.26,49.38,44.26,0.0,15
2021-07-30,9.94,10.03,9.91,9.92,1166790,43.99,49.38,43.99,0.0,16
2021-08-06,9.93,10.0,9.91,9.94,1181037,44.23,49.38,43.99,4.51,17
2021-08-13,9.99,10.05,9.95,10.02,2970634,45.26,49.38,43.99,23.5,18
2021-08-20,10.03,10.04,9.945,9.99,2007789,44.92,49.38,43.99,17.32,19
2021-08-27,9.99,10.0,9.92,9.98,2586991,44.8,49.38,43.99,15.13,20
2021-09-03,9.97,10.0,9.95,9.98,1957229,44.8,49.38,43.99,15.13,21
2021-09-10,10.0,10.09,9.98,10.0,2776671,45.14,49.38,43.99,21.35,22
2021-09-17,10.04,10.46,9.99,10.06,7516063,46.2,49.38,43.99,40.93,23
2021-09-24,10.0,11.47,9.98,11.3,23732100,62.34,62.34,43.99,100.0,24
2021-10-01,11.45,12.95,8.33,9.2,29859246,40.29,62.34,40.29,0.0,25
2021-10-08,9.4,9.5,7.07,8.41,21449361,35.24,62.34,35.24,0.0,26
2021-10-15,8.77,10.5,8.39,10.05,16592338,49.42,62.34,35.24,52.3,27
2021-10-22,10.05,11.87,9.38,9.66,17243145,46.79,62.34,35.24,42.62,28
2021-10-29,9.6,16.0294,9.51,15.04,40988534,70.25,70.25,35.24,100.0,29
2021-11-05,15.87,19.39,14.21,19.27,33990376,78.34,78.34,35.24,100.0,30
2021-11-12,21.45,23.14,17.0173,20.15,45814471,79.58,79.58,35.24,100.0,31
