Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1983-12-30,9.7778,9.8889,9.6667,9.7778,211500,,,,,0
1984-01-06,9.7644,10.5289,9.6933,10.4178,1216503,,,,,0
1984-01-13,10.4444,11.1667,10.36,11.0289,1646401,,,,,0
1984-01-20,10.9711,11.0289,10.6667,10.8889,2004003,,,,,0
1984-01-27,10.9867,11.3889,10.9178,11.1111,1176903,,,,,0
1984-02-03,11.0556,11.3889,10.9711,11.0556,1227906,,,,,0
1984-02-10,10.8756,11.0289,10.5822,10.8067,1104003,,,,,0
1984-02-17,10.8067,11.4178,10.7511,11.14,2019001,,,,,0
1984-02-24,11.14,11.1933,10.4711,10.6667,838201,,,,,0
1984-03-02,10.6667,11.0,10.4711,10.8889,1596604,,,,,0
1984-03-09,10.8889,10.9444,10.3333,10.3333,1404306,,,,,0
1984-03-16,10.3333,10.6667,10.0289,10.5289,1624806,,,,,0
1984-03-23,10.3756,10.7511,10.2489,10.4711,690903,,,,,0
1984-03-30,10.4711,10.5289,10.0822,10.0822,1033803,,,,,0
1984-04-06,10.1667,10.2489,9.5,9.5289,996304,47.35,47.35,47.35,,1
1984-04-13,9.5289,10.0556,9.3889,9.9711,869107,52.2,52.2,47.35,100.0,2
1984-04-19,9.8333,10.0833,9.75,10.0,355401,52.5,52.5,47.35,100.0,3
1984-04-27,10.0,10.6267,9.75,10.5,853800,57.59,57.59,47.35,100.0,4
1984-05-04,10.5,11.0833,10.4167,10.75,666000,59.9,59.9,47.35,100.0,5
1984-05-11,10.75,11.0,9.8333,9.9167,1224900,50.1,59.9,47.35,21.89,6
1984-05-18,9.8133,10.0433,9.75,9.9567,854400,50.52,59.9,47.35,25.22,7
1984-05-25,9.9567,9.9567,9.0433,9.1667,5199300,42.87,59.9,42.87,0.0,8
1984-06-01,9.1667,9.2067,7.8333,8.0,2410500,34.55,59.9,34.55,0.0,9
1984-06-08,8.3333,8.6667,8.1667,8.6667,7933500,41.53,59.9,34.55,27.54,10
1984-06-15,8.4567,8.4567,7.8333,8.0,2288100,37.25,59.9,34.55,10.66,11
1984-06-22,8.0833,9.0833,8.0,8.7933,1350000,44.57,59.9,34.55,39.53,12
1984-06-29,8.7067,8.8733,7.8333,8.0,1491600,39.6,59.9,34.55,19.91,13
1984-07-06,8.0,8.5433,7.9167,8.4167,1260600,43.18,59.9,34.55,34.06,14
1984-07-13,8.3733,8.9167,8.3733,8.6667,983100,45.28,59.9,34.55,42.34,15
1984-07-20,8.6267,9.0833,8.25,8.2933,1186800,42.74,59.9,34.55,32.32,16
1984-07-27,8.25,9.1267,8.0433,9.1267,2050200,49.55,59.9,34.55,59.15,17
1984-08-03,8.9167,9.4167,8.5433,9.2933,3069000,50.81,59.9,34.55,64.12,18
1984-08-10,9.5,10.0833,9.2933,9.8333,3277800,54.75,59.9,34.55,79.66,19
1984-08-17,9.8333,9.8333,9.1267,9.5,990000,51.98,59.9,34.55,68.74,20
1984-08-24,9.5,9.7933,9.3333,9.6267,1665600,52.95,59.9,34.55,72.58,21
1984-08-31,9.6267,9.6667,9.0433,9.1667,825600,49.06,59.9,34.55,57.24,22
1984-09-07,9.25,9.3733,9.0,9.2933,3715200,50.15,59.9,34.55,61.53,23
1984-09-14,9.0433,10.5833,9.0433,10.5,3407100,59.09,59.9,34.55,96.81,24
1984-09-21,10.4167,10.9167,10.25,10.5833,1899900,59.63,59.9,34.55,98.93,25
1984-09-28,10.5833,10.6267,10.0833,10.1667,1162800,55.68,59.9,34.55,83.36,26
1984-10-05,9.9167,9.9167,9.2067,9.3333,2374500,48.73,59.9,34.55,55.95,27
1984-10-12,9.3333,10.0,9.0833,9.9167,3242400,53.14,59.9,34.55,73.34,28
1984-10-19,9.8333,10.4567,9.7933,10.1667,3867900,54.93,59.9,34.55,80.39,29
1984-10-26,10.2067,10.3333,9.8733,9.9167,934200,52.76,59.9,34.55,71.84,30
