Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1962-01-05,0.263,0.2702,0.2526,0.2533,37171200,,,,,0
1962-01-12,0.2513,0.2601,0.2458,0.2572,48844800,,,,,0
1962-01-19,0.2565,0.2565,0.2363,0.2448,59289600,,,,,0
1962-01-26,0.2448,0.2474,0.2331,0.2344,60825600,,,,,0
1962-02-02,0.2344,0.2487,0.2334,0.2474,49766400,,,,,0
1962-02-09,0.2474,0.2474,0.2428,0.2474,22118400,,,,,0
1962-02-16,0.2474,0.2481,0.2396,0.2396,27648000,,,,,0
1962-02-23,0.2415,0.2441,0.2383,0.2383,20275200,,,,,0
1962-03-02,0.2383,0.2441,0.2344,0.2402,177868800,,,,,0
1962-03-09,0.2402,0.2422,0.235,0.237,33792000,,,,,0
1962-03-16,0.2396,0.2454,0.2396,0.2435,45465600,,,,,0
1962-03-23,0.2435,0.2598,0.2435,0.2578,58060800,,,,,0
1962-03-30,0.2578,0.2598,0.2474,0.2474,41164800,,,,,0
1962-04-06,0.2474,0.2519,0.2409,0.25,44851200,,,,,0
1962-04-13,0.2507,0.2526,0.2363,0.2474,39321600,46.76,46.76,46.76,,1
1962-04-19,0.2474,0.2513,0.2461,0.251,39014400,48.95,48.95,46.76,100.0,2
1962-04-27,0.251,0.2539,0.2461,0.2507,29491200,48.74,48.95,46.76,90.71,3
1962-05-04,0.2481,0.251,0.2396,0.2481,45158400,47.14,48.95,46.76,17.34,4
1962-05-11,0.2481,0.25,0.2259,0.2279,59596800,36.9,48.95,36.9,0.0,5
1962-05-18,0.2279,0.2376,0.2181,0.2337,85094400,40.91,48.95,36.9,33.27,6
1962-05-25,0.2337,0.2344,0.2148,0.2168,82022400,34.16,48.95,34.16,0.0,7
1962-06-01,0.2165,0.2207,0.1823,0.2161,153907200,33.93,48.95,33.93,0.0,8
1962-06-08,0.2148,0.2148,0.1992,0.2148,76800000,33.44,48.95,33.44,0.0,9
1962-06-15,0.2148,0.2161,0.1982,0.2077,108441600,30.81,48.95,30.81,0.0,10
1962-06-22,0.2077,0.208,0.1953,0.1953,68198400,26.88,48.95,26.88,0.0,11
1962-06-29,0.1953,0.2025,0.1878,0.1992,124108800,29.92,48.95,26.88,13.78,12
1962-07-06,0.1992,0.207,0.1986,0.2038,41164800,33.4,48.95,26.88,29.55,13
1962-07-13,0.2051,0.2135,0.2048,0.2106,67891200,38.35,48.95,26.88,52.0,14
1962-07-20,0.2106,0.2122,0.2067,0.2113,37785600,38.8,48.95,26.88,54.03,15
1962-07-27,0.2116,0.2165,0.2096,0.2165,24268800,42.56,48.95,26.88,71.07,16
1962-08-03,0.2165,0.2253,0.2145,0.2253,50688000,48.3,48.95,26.88,97.06,17
1962-08-10,0.2253,0.2256,0.2155,0.2168,30105600,43.76,48.95,26.88,76.5,18
1962-08-17,0.2168,0.2253,0.2155,0.2227,43315200,47.44,48.95,26.88,93.18,19
1962-08-24,0.2227,0.2272,0.2227,0.2256,39628800,49.22,49.22,26.88,100.0,20
1962-08-31,0.2256,0.2266,0.2168,0.2217,20889600,46.94,49.22,26.88,89.79,21
1962-09-07,0.2217,0.224,0.2168,0.2194,26419200,45.6,49.22,26.88,83.78,22
1962-09-14,0.2201,0.2227,0.2161,0.2188,23040000,45.2,49.22,26.88,82.01,23
1962-09-21,0.2188,0.2207,0.2077,0.2077,31641600,39.01,49.22,26.88,54.27,24
1962-09-28,0.2074,0.208,0.2025,0.2044,37478400,37.38,49.22,26.88,47.0,25
1962-10-05,0.2044,0.2116,0.2018,0.2116,36249600,43.0,49.22,26.88,72.16,26
1962-10-12,0.2116,0.2168,0.2083,0.2109,25190400,42.63,49.22,26.88,70.48,27
1962-10-19,0.2109,0.2129,0.2005,0.2015,61747200,37.53,49.22,26.88,47.66,28
1962-10-26,0.2012,0.2018,0.1934,0.1976,59904000,35.62,49.22,26.88,39.1,29
1962-11-02,0.2005,0.2161,0.2005,0.2129,89395200,46.96,49.22,26.88,89.86,30
1962-11-09,0.2126,0.2126,0.209,0.2116,25190400,46.21,49.22,26.88,86.52,31
