Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2025-06-06,25.0723,25.7365,24.9137,24.9668,15005,,,,,0
2025-06-13,25.0723,25.4193,24.7009,24.7009,20009,,,,,0
2025-06-20,24.765,25.102,24.6396,24.651,12231,,,,,0
2025-06-27,24.7947,28.3637,24.6757,25.7068,386829,,,,,0
2025-07-03,26.024,26.024,25.3202,25.915,179377,,,,,0
2025-07-11,25.5779,26.1232,25.0822,26.0141,932720,,,,,0
2025-07-18,26.2917,27.2322,26.0736,27.1047,374999,,,,,0
2025-07-25,27.6004,27.6004,26.8766,27.4318,271647,,,,,0
2025-08-01,27.4219,27.4417,26.0462,26.3374,193966,,,,,0
2025-08-08,27.065,27.7491,26.946,27.5805,328841,,,,,0
2025-08-15,27.6698,28.4133,27.4122,28.2348,283346,,,,,0
2025-08-22,28.5323,29.3848,28.1952,29.3551,337449,,,,,0
2025-08-29,29.6426,29.8806,29.3155,29.5831,279434,,,,,0
2025-09-05,29.3551,29.4939,28.1456,28.7999,319022,,,,,0
2025-09-12,29.7814,30.2077,29.3857,30.0301,259700,76.79,76.79,76.79,,1
2025-09-19,30.2375,32.0914,30.2375,31.3581,252486,79.84,79.84,76.79,100.0,2
2025-09-26,31.5957,31.9516,30.9116,31.1,239769,77.7,79.84,76.79,29.92,3
2025-10-03,31.7245,32.3709,31.4222,32.184,258803,80.11,80.11,76.79,100.0,4
2025-10-10,32.359,32.5771,30.4952,30.5844,427218,68.37,80.11,68.37,0.0,5
2025-10-17,31.0801,31.6254,30.2641,30.5051,420599,67.84,80.11,67.84,0.0,6
2025-10-24,31.0405,31.5659,30.5944,31.4271,425511,70.69,80.11,67.84,23.22,7
2025-10-31,31.8633,31.8633,30.9909,31.2586,367732,69.48,80.11,67.84,13.34,8
2025-11-07,31.2487,31.2586,29.2461,29.9599,291977,60.83,80.11,60.83,0.0,9
2025-11-14,30.0392,30.1482,28.7801,29.0512,250069,55.61,80.11,55.61,0.0,10
2025-11-21,28.8495,29.008,27.5012,28.0861,334450,50.64,80.11,50.64,0.0,11
2025-11-28,28.0564,29.6625,28.0564,29.6305,148791,57.23,80.11,50.64,22.35,12
2025-12-05,29.6525,31.1792,29.5831,31.0107,299243,62.1,80.11,50.64,38.86,13
2025-12-12,31.1,31.4865,30.8225,30.931,160596,61.66,80.11,50.64,37.38,14
2025-12-19,30.9513,30.9513,29.95,30.5618,161831,59.57,80.11,50.64,30.3,15
2025-12-26,31.01,31.365,30.85,31.315,130784,62.37,80.11,50.64,39.8,16
2026-01-02,31.35,32.5,31.06,32.4241,123319,66.09,80.11,50.64,52.43,17
2026-01-09,32.9,33.54,32.53,33.5247,236692,69.34,80.11,50.64,63.44,18
2026-01-16,33.68,34.43,33.41,34.28,237080,71.36,80.11,50.64,70.31,19
2026-01-23,33.97,34.889,33.784,34.6252,179578,72.26,80.11,50.64,73.37,20
2026-01-30,34.42,35.125,33.56,33.7,304202,66.25,80.11,50.64,52.95,21
2026-02-06,33.34,34.46,32.94,34.45,292146,68.53,80.11,50.64,60.71,22
2026-02-13,34.67,36.02,34.59,35.83,319330,72.26,80.11,50.64,73.35,23
2026-02-20,35.73,36.4499,35.2301,36.4,255131,73.65,80.11,50.64,78.06,24
2026-02-27,36.33,36.8,35.92,36.25,307872,72.62,80.11,50.64,74.57,25
2026-03-06,35.39,35.829,32.81,32.9125,526970,54.4,80.11,50.64,12.73,26
2026-03-13,32.32,34.3499,31.91,32.57,282631,52.93,80.11,50.64,7.75,27
2026-03-20,32.96,33.2199,30.61,30.81,354362,46.05,80.11,46.05,0.0,28
2026-03-27,31.5,32.22,30.51,30.55,250595,45.12,80.11,45.12,0.0,29
2026-04-02,30.85,32.0696,29.86,31.45,220065,48.97,80.11,45.12,11.01,30
2026-04-10,31.5,34.11,31.04,34.02,577357,58.03,80.11,45.12,36.9,31
2026-04-17,33.8,36.18,33.8,36.02,331625,63.47,80.11,45.12,52.43,32
2026-04-24,36.02,36.5599,35.66,36.29,611992,64.14,80.11,45.12,54.36,33
