Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1972-06-02,4.0644,4.0938,4.0237,4.0938,1096000,,,,,0
1972-06-09,4.0862,4.0862,3.9925,4.0469,2867200,,,,,0
1972-06-16,4.0469,4.2344,4.0156,4.1406,2851200,,,,,0
1972-06-23,4.1406,4.18,4.0625,4.1719,2438400,,,,,0
1972-06-30,4.1719,4.2425,4.1013,4.1562,1699200,,,,,0
1972-07-07,4.1562,4.43,4.1487,4.43,2379200,,,,,0
1972-07-14,4.43,4.5312,4.375,4.5156,3422400,,,,,0
1972-07-21,4.5156,4.57,4.3906,4.57,1876800,,,,,0
1972-07-28,4.57,4.7575,4.5625,4.7188,2569600,,,,,0
1972-08-04,4.7031,4.7344,4.6562,4.6875,1475200,,,,,0
1972-08-11,4.6875,4.7188,4.6719,4.7188,939200,,,,,0
1972-08-18,4.7344,4.8281,4.625,4.7263,1532800,,,,,0
1972-08-25,4.7656,4.875,4.6638,4.6638,1801600,,,,,0
1972-09-01,4.6638,4.7188,4.6325,4.6875,894400,,,,,0
1972-09-08,4.6875,4.6875,4.5781,4.5938,870400,75.0,75.0,75.0,,1
1972-09-15,4.5938,4.6175,4.3906,4.5075,1328000,68.63,75.0,68.63,0.0,2
1972-09-22,4.5075,4.5938,4.4925,4.5,1006400,68.08,75.0,68.08,0.0,3
1972-09-29,4.5,4.555,4.4688,4.5156,1513600,68.64,75.0,68.08,8.03,4
1972-10-06,4.5156,4.5312,4.3281,4.3675,1638400,58.28,75.0,58.28,0.0,5
1972-10-13,4.3906,4.43,4.3438,4.375,1094400,58.62,75.0,58.28,2.04,6
1972-10-20,4.375,4.6487,4.3362,4.6487,1241600,68.67,75.0,58.28,62.15,7
1972-10-27,4.6487,4.9531,4.6487,4.8362,2020800,73.43,75.0,58.28,90.62,8
1972-11-03,4.8362,5.0,4.82,4.9219,1923200,75.28,75.28,58.28,100.0,9
1972-11-10,4.9219,4.9531,4.7812,4.7812,1084800,67.04,75.28,58.28,51.5,10
1972-11-17,4.7656,4.9062,4.7188,4.8281,1065600,68.28,75.28,58.28,58.84,11
1972-11-24,4.7812,4.8125,4.7031,4.7969,1294400,66.48,75.28,58.28,48.22,12
1972-12-01,4.7888,4.7888,4.6875,4.7344,1200000,62.9,75.28,58.28,27.15,13
1972-12-08,4.75,4.7969,4.68,4.7656,1532800,63.94,75.28,58.28,33.3,14
1972-12-15,4.7656,4.8906,4.7263,4.82,1340800,65.75,75.28,58.28,43.95,15
1972-12-22,4.7969,4.8362,4.6875,4.8125,1483200,65.26,75.28,58.28,41.08,16
1972-12-29,4.8125,4.9763,4.8125,4.9763,838400,70.41,75.28,58.28,71.36,17
1973-01-05,4.9688,4.9688,4.9062,4.9531,1900800,68.86,75.28,58.28,62.23,18
1973-01-12,4.9531,4.9688,4.9138,4.93,1449600,67.26,75.28,58.28,52.84,19
1973-01-19,4.93,4.93,4.7812,4.8125,1499200,59.69,75.28,58.28,8.29,20
1973-01-26,4.8125,4.8125,4.5938,4.6719,1228800,52.13,75.28,52.13,0.0,21
1973-02-02,4.6406,4.75,4.5156,4.7112,1894400,53.89,75.28,52.13,7.61,22
1973-02-09,4.7188,4.9375,4.7188,4.93,1800000,62.21,75.28,52.13,43.55,23
1973-02-16,4.93,5.3438,4.93,5.2969,2097600,71.5,75.28,52.13,83.67,24
1973-02-23,5.305,5.3438,5.2188,5.2888,928000,71.08,75.28,52.13,81.87,25
1973-03-02,5.2888,5.3906,5.1094,5.375,3051200,72.89,75.28,52.13,89.68,26
1973-03-09,5.375,5.6094,5.3281,5.4531,2243200,74.45,75.28,52.13,96.4,27
1973-03-16,5.4531,5.6875,5.4531,5.5938,1360000,77.01,77.01,52.13,100.0,28
1973-03-23,5.5938,5.5938,4.93,5.0938,2936000,55.66,77.01,52.13,14.18,29
1973-03-30,5.125,5.4844,5.125,5.3594,2028800,61.73,77.01,52.13,38.58,30
