Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1977-01-07,4.625,5.125,4.435,5.125,1264000,,,,,0
1977-01-14,5.125,5.19,4.75,4.81,936400,,,,,0
1977-01-21,4.875,5.125,4.875,4.875,849600,,,,,0
1977-01-28,5.065,5.5,5.065,5.25,1996600,,,,,0
1977-02-04,5.19,5.19,4.81,5.0,582400,,,,,0
1977-02-11,5.065,5.19,4.75,4.75,707600,,,,,0
1977-02-18,4.69,5.19,4.625,5.065,2018000,,,,,0
1977-02-25,5.125,5.19,4.935,4.935,940400,,,,,0
1977-03-04,4.935,5.19,4.935,5.0,721400,,,,,0
1977-03-11,4.935,5.0,4.81,4.935,555200,,,,,0
1977-03-18,5.0,5.19,5.0,5.0,709800,,,,,0
1977-03-25,5.0,5.0,4.625,4.625,579400,,,,,0
1977-04-01,4.625,4.875,4.625,4.81,741800,,,,,0
1977-04-07,4.875,4.935,4.81,4.935,1181000,,,,,0
1977-04-15,4.75,4.935,4.625,4.935,758400,46.32,46.32,46.32,,1
1977-04-22,4.935,5.0,4.625,4.625,1531200,41.01,46.32,41.01,0.0,2
1977-04-29,4.625,4.625,4.5,4.565,565000,40.05,46.32,40.05,0.0,3
1977-05-06,4.565,5.625,4.435,5.5,5671800,56.92,56.92,40.05,100.0,4
1977-05-13,5.5,6.25,5.435,6.065,7045000,63.58,63.58,40.05,100.0,5
1977-05-20,6.065,6.19,5.69,5.875,1801000,60.21,63.58,40.05,85.66,6
1977-05-27,5.875,5.875,5.5,5.5,1653200,54.11,63.58,40.05,59.72,7
1977-06-03,5.5,6.125,5.5,5.935,1405000,59.27,63.58,40.05,81.64,8
1977-06-10,5.935,6.935,5.875,6.815,6005400,67.28,67.28,40.05,100.0,9
1977-06-17,6.75,7.625,6.56,7.625,5968400,72.62,72.62,40.05,100.0,10
1977-06-24,7.625,8.0,7.435,7.935,6179800,74.34,74.34,40.05,100.0,11
1977-07-01,7.935,7.935,7.25,7.56,4373000,68.7,74.34,40.05,83.55,12
1977-07-08,7.56,7.56,7.125,7.435,2659800,66.88,74.34,40.05,78.24,13
1977-07-15,7.435,9.315,7.375,9.25,7059800,76.59,76.59,40.05,100.0,14
1977-07-22,9.25,9.56,8.315,8.875,4260800,71.9,76.59,40.05,87.17,15
1977-07-29,8.875,9.0,8.315,8.5,3172200,67.45,76.59,40.05,75.0,16
1977-08-05,8.5,9.125,8.375,9.0,2089400,70.11,76.59,40.05,82.26,17
1977-08-12,9.0,9.06,8.75,8.815,1565400,67.9,76.59,40.05,76.22,18
1977-08-19,8.815,8.815,8.25,8.5,1226200,64.19,76.59,40.05,66.08,19
1977-08-26,8.5,9.06,8.435,8.5,2439800,64.19,76.59,40.05,66.08,20
1977-09-02,8.5,8.56,7.375,7.935,2160800,57.65,76.59,40.05,48.17,21
1977-09-09,7.935,8.19,7.56,7.625,767200,54.38,76.59,40.05,39.2,22
1977-09-16,7.625,7.815,7.435,7.75,891200,55.47,76.59,40.05,42.21,23
1977-09-23,7.75,7.75,6.935,7.375,979400,51.47,76.59,40.05,31.25,24
1977-09-30,7.375,8.0,7.19,7.935,1588800,56.52,76.59,40.05,45.06,25
1977-10-07,7.935,7.935,7.25,7.375,762400,50.83,76.59,40.05,29.48,26
1977-10-14,7.375,7.375,6.625,7.125,735000,48.48,76.59,40.05,23.06,27
1977-10-21,7.125,7.375,6.875,7.19,765200,49.14,76.59,40.05,24.86,28
1977-10-28,7.19,7.875,7.06,7.5,1064800,52.27,76.59,40.05,33.43,29
1977-11-04,7.5,7.56,6.935,7.06,402600,47.77,76.59,40.05,21.13,30
1977-11-11,7.125,7.69,7.06,7.69,1738200,53.89,76.59,40.05,37.86,31
1977-11-18,7.69,8.06,7.56,7.875,1906600,55.53,76.59,40.05,42.37,32
1977-11-25,7.875,8.25,7.815,8.25,1216200,58.75,76.59,40.05,51.16,33
1977-12-02,8.25,8.375,7.935,8.0,926600,55.85,76.59,40.05,43.23,34
1977-12-09,7.935,7.935,7.5,7.625,770400,51.73,76.59,40.05,31.95,35
1977-12-16,7.625,7.69,7.375,7.435,397600,49.72,76.59,40.05,26.46,36
1977-12-23,7.375,7.625,7.125,7.625,1173200,51.73,76.59,40.05,31.97,37
1977-12-30,7.625,7.69,7.25,7.5,1079400,50.31,76.59,40.05,28.07,38
1978-01-06,7.5,7.625,6.5,6.5,2016200,40.65,76.59,40.05,1.63,39
