Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1970-01-02,0.1649,0.1697,0.1649,0.1697,23256,,,,,0
1970-01-09,0.1697,0.1754,0.1668,0.1678,102229,,,,,0
1970-01-16,0.1678,0.1682,0.1543,0.1563,76971,,,,,0
1970-01-23,0.1563,0.1582,0.1467,0.1519,75081,,,,,0
1970-01-30,0.151,0.151,0.1424,0.1447,95941,,,,,0
1970-02-06,0.1467,0.1697,0.1467,0.1697,90015,,,,,0
1970-02-13,0.1697,0.1725,0.1601,0.1654,44478,,,,,0
1970-02-20,0.1639,0.1735,0.161,0.1682,57331,,,,,0
1970-02-27,0.1682,0.174,0.1625,0.173,73574,,,,,0
1970-03-06,0.173,0.1745,0.1639,0.1678,59635,,,,,0
1970-03-13,0.1678,0.1716,0.1543,0.1558,114087,,,,,0
1970-03-20,0.1553,0.1649,0.1462,0.1467,135822,,,,,0
1970-03-26,0.1467,0.1716,0.1467,0.1605,72026,,,,,0
1970-04-03,0.1605,0.1682,0.1534,0.1548,101418,,,,,0
1970-04-10,0.1539,0.1539,0.1414,0.1419,210088,38.49,38.49,38.49,,1
1970-04-17,0.1404,0.1409,0.1304,0.1332,144612,35.74,38.49,35.74,0.0,2
1970-04-24,0.1352,0.1447,0.1352,0.1361,55368,37.35,38.49,35.74,58.44,3
1970-05-01,0.1366,0.1471,0.1342,0.1438,79297,41.54,41.54,35.74,100.0,4
1970-05-08,0.1424,0.1424,0.1304,0.1308,230629,37.03,41.54,35.74,22.22,5
1970-05-15,0.1304,0.1304,0.1141,0.1222,280822,34.36,41.54,34.36,0.0,6
1970-05-22,0.1222,0.1285,0.1078,0.1107,125023,31.12,41.54,31.12,0.0,7
1970-05-29,0.1083,0.1275,0.1054,0.1246,186970,38.64,41.54,31.12,72.14,8
1970-06-05,0.1261,0.1409,0.1261,0.1337,140088,43.03,43.03,31.12,100.0,9
1970-06-12,0.1313,0.1313,0.1179,0.1251,120500,40.11,43.03,31.12,75.46,10
1970-06-19,0.1251,0.1361,0.1246,0.1356,195825,45.01,45.01,31.12,100.0,11
1970-06-26,0.1356,0.1356,0.1227,0.1246,104677,41.2,45.01,31.12,72.63,12
1970-07-02,0.1246,0.1313,0.1241,0.127,56850,42.34,45.01,31.12,80.79,13
1970-07-10,0.1265,0.1337,0.1217,0.1318,77353,44.65,45.01,31.12,97.46,14
1970-07-17,0.1318,0.1438,0.1246,0.1419,249482,49.27,49.27,31.12,100.0,15
1970-07-24,0.1419,0.1442,0.1371,0.1419,86840,49.27,49.27,31.12,100.0,16
1970-07-31,0.1419,0.1495,0.139,0.139,143288,47.95,49.27,31.12,92.71,17
1970-08-07,0.139,0.139,0.1227,0.127,629228,42.79,49.27,31.12,64.27,18
1970-08-14,0.127,0.128,0.116,0.1169,100827,39.0,49.27,31.12,43.42,19
