Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2011-04-01,51.69,52.72,51.59,52.62,17100,,,,,0
2011-04-08,53.78,54.02,53.122,53.72,32600,,,,,0
2011-04-15,53.89,53.89,52.26,53.62,42100,,,,,0
2011-04-21,52.83,54.25,52.24,54.25,13300,,,,,0
2011-04-29,54.26,54.26,52.116,52.7748,23200,,,,,0
2011-05-06,53.34,53.34,50.72,51.0191,22300,,,,,0
2011-05-13,51.36,51.8576,50.64,50.75,36100,,,,,0
2011-05-20,50.88,52.15,50.58,51.47,18800,,,,,0
2011-05-27,50.3012,51.41,50.0888,51.2821,28200,,,,,0
2011-06-03,52.38,52.42,50.94,50.95,19700,,,,,0
2011-06-10,50.78,51.12,48.97,49.3,10800,,,,,0
2011-06-17,49.39,49.94,48.27,48.46,174900,,,,,0
2011-06-24,48.3,49.33,46.96,48.375,11800,,,,,0
2011-07-01,48.8,50.63,48.77,50.63,17900,,,,,0
2011-07-08,50.72,50.727,49.883,49.893,5600,38.77,38.77,38.77,,1
2011-07-15,49.22,49.51,48.408,48.83,4900,35.42,38.77,35.42,0.0,2
2011-07-22,48.6,49.932,48.29,49.932,7800,41.09,41.09,35.42,100.0,3
2011-07-29,49.14,49.74,49.1,49.62,19700,40.02,41.09,35.42,81.1,4
2011-08-05,50.0,50.0,43.5,45.0,78200,28.27,41.09,28.27,0.0,5
2011-08-12,43.67,44.16,41.91,43.2,88900,25.17,41.09,25.17,0.0,6
2011-08-19,44.35,44.6,42.22,42.26,15000,23.71,41.09,23.71,0.0,7
2011-08-26,42.05,42.89,41.37,42.45,16700,24.66,41.09,23.71,5.48,8
2011-09-02,43.27,44.8,43.27,43.4,13700,29.41,41.09,23.71,32.79,9
2011-09-09,42.08,42.89,41.76,41.76,11300,26.32,41.09,23.71,15.05,10
2011-09-16,41.24,41.79,40.59,41.79,7900,26.48,41.09,23.71,15.92,11
2011-09-23,40.59,40.59,36.16,36.996,15200,19.54,41.09,19.54,0.0,12
2011-09-30,35.9,38.792,35.9,36.11,15700,18.57,41.09,18.57,0.0,13
2011-10-07,34.9,37.3,33.44,36.42,6600,20.07,41.09,18.57,6.63,14
2011-10-14,37.73,40.42,37.73,40.19,6000,35.54,41.09,18.57,75.33,15
2011-10-21,40.05,40.05,37.32,37.32,94300,30.67,41.09,18.57,53.72,16
2011-10-28,39.71,44.57,39.71,43.6799,18500,47.75,47.75,18.57,100.0,17
2011-11-04,42.43,43.76,40.36,42.41,12800,45.35,47.75,18.57,91.77,18
2011-11-11,43.46,43.6,41.31,42.28,32000,45.1,47.75,18.57,90.91,19
2011-11-18,41.84,42.84,39.93,40.14,21900,41.08,47.75,18.57,77.14,20
2011-11-25,38.6611,39.0565,38.26,38.42,343300,38.14,47.75,18.57,67.07,21
2011-12-02,39.63,42.12,39.2804,41.85,23100,46.38,47.75,18.57,95.32,22
2011-12-09,41.94,42.37,40.53,41.19,51300,45.13,47.75,18.57,91.04,23
2011-12-16,40.03,40.43,39.15,39.57,1314000,42.14,47.75,18.57,80.79,24
2011-12-23,39.69,40.68,39.13,40.68,23400,44.84,47.75,18.57,90.04,25
2011-12-30,40.2,40.238,39.744,40.23,13200,43.95,47.75,18.57,86.97,26
2012-01-06,41.0,41.304,40.16,40.16,33300,43.8,47.75,18.57,86.47,27
2012-01-13,40.91,42.25,40.82,41.8,659500,48.16,48.16,18.57,100.0,28
2012-01-20,43.05,44.21,42.75,44.03,853600,53.44,53.44,18.57,100.0,29
2012-01-27,44.55,45.38,44.35,45.11,328700,55.8,55.8,18.57,100.0,30
2012-02-03,43.85,46.14,43.35,45.95,2587200,57.59,57.59,18.57,100.0,31
2012-02-10,45.22,46.49,44.79,44.79,223600,54.31,57.59,18.57,91.6,32
2012-02-17,45.57,46.79,45.06,46.61,934800,58.32,58.32,18.57,100.0,33
2012-02-24,46.53,46.9275,46.04,46.81,105900,58.75,58.75,18.57,100.0,34
2012-03-02,46.0,47.22,46.0,46.75,138100,58.55,58.75,18.57,99.52,35
2012-03-09,46.41,46.41,43.91,45.9675,515600,55.95,58.75,18.57,93.04,36
2012-03-16,45.77,46.85,45.59,45.92,1434500,55.79,58.75,18.57,92.64,37
2012-03-23,45.04,45.2,43.4,43.807,1010300,49.0,58.75,18.57,75.73,38
2012-03-30,44.13,44.5,42.52,43.52,2070200,48.14,58.75,18.57,73.59,39
2012-04-05,43.39,44.4896,43.23,44.36,208700,50.85,58.75,18.57,80.34,40
2012-04-13,43.59,44.8,42.65,44.45,800800,51.15,58.75,18.57,81.07,41
2012-04-20,44.2439,45.3,43.94,44.98,381700,52.94,58.75,18.57,85.53,42
2012-04-27,44.0,45.009,43.57,45.009,1618600,53.04,58.75,18.57,85.78,43
2012-05-04,45.13,45.766,44.39,44.46,180100,50.81,58.75,18.57,80.23,44
2012-05-11,44.24,44.26,42.18,42.32,103400,43.18,58.75,18.57,61.25,45
2012-05-18,41.54,41.62,39.576,39.63,2702700,35.89,58.75,18.57,43.09,46
2012-05-25,39.83,40.75,39.22,39.43,735200,35.41,58.75,18.57,41.9,47
2012-06-01,40.715,40.95,39.6,39.67,271300,36.5,58.75,18.57,44.63,48
2012-06-08,39.48,41.75,39.13,40.15,527800,38.74,58.75,18.57,50.19,49
2012-06-15,40.81,41.72,40.02,41.65,175500,45.23,58.75,18.57,66.35,50
2012-06-22,41.82,42.68,39.553,39.77,403000,39.57,58.75,18.57,52.26,51
2012-06-29,39.4,40.91,38.7,40.91,822500,44.14,58.75,18.57,63.63,52
2012-07-06,40.93,41.59,40.4,40.71,1136800,43.52,58.75,18.57,62.08,53
