Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1986-03-14,0.0539,0.0623,0.0539,0.0612,4652600,,,,,0
1986-03-21,0.0612,0.0628,0.0554,0.0565,1275200,,,,,0
1986-03-27,0.0565,0.0586,0.0544,0.0586,475600,,,,,0
1986-04-04,0.0586,0.0602,0.057,0.0586,349300,,,,,0
1986-04-11,0.0586,0.0618,0.0565,0.0607,243300,,,,,0
1986-04-18,0.0607,0.0639,0.0591,0.0618,336800,,,,,0
1986-04-25,0.0618,0.0742,0.0602,0.0713,702200,,,,,0
1986-05-02,0.0713,0.0723,0.066,0.0671,571900,,,,,0
1986-05-09,0.0671,0.0681,0.066,0.0671,96400,,,,,0
1986-05-16,0.0671,0.0697,0.0671,0.0681,136700,,,,,0
1986-05-23,0.0681,0.0681,0.0655,0.0655,311000,,,,,0
1986-05-30,0.0655,0.075,0.0655,0.0739,354700,,,,,0
1986-06-06,0.0739,0.0739,0.0708,0.0723,161800,,,,,0
1986-06-13,0.0723,0.0723,0.066,0.0665,138900,,,,,0
1986-06-20,0.0665,0.0681,0.0655,0.0663,136400,55.74,55.74,55.74,,1
1986-06-27,0.0663,0.0676,0.0623,0.0628,366500,51.4,55.74,51.4,0.0,2
1986-07-03,0.0628,0.0665,0.0623,0.066,613500,54.9,55.74,51.4,80.67,3
1986-07-11,0.066,0.066,0.0549,0.0591,481700,46.99,55.74,46.99,0.0,4
1986-07-18,0.0576,0.0634,0.0576,0.0628,244500,51.08,55.74,46.99,46.71,5
1986-07-25,0.0628,0.0665,0.0628,0.066,241000,54.33,55.74,46.99,83.85,6
1986-08-01,0.066,0.066,0.0586,0.0597,280600,47.53,55.74,46.99,6.12,7
1986-08-08,0.0597,0.0602,0.0576,0.0586,143700,46.48,55.74,46.48,0.0,8
1986-08-15,0.0597,0.0649,0.0597,0.0647,177300,52.89,55.74,46.48,69.12,9
1986-08-22,0.0647,0.0649,0.0612,0.0623,379300,50.35,55.74,46.48,41.79,10
1986-08-29,0.0623,0.0623,0.0591,0.0602,179400,48.14,55.74,46.48,17.87,11
1986-09-05,0.0602,0.0644,0.0554,0.0644,310100,52.63,55.74,46.48,66.34,12
1986-09-12,0.0644,0.0665,0.0597,0.0597,410200,47.63,55.74,46.48,12.4,13
1986-09-19,0.0597,0.0639,0.0586,0.0628,151300,50.97,55.74,46.48,48.48,14
1986-09-26,0.0628,0.0639,0.0607,0.0612,78900,49.28,55.74,46.48,30.2,15
1986-10-03,0.0612,0.0612,0.0581,0.0597,282100,47.58,55.74,46.48,11.82,16
1986-10-10,0.0612,0.0744,0.0612,0.0729,1507100,59.98,59.98,46.48,100.0,17
1986-10-17,0.0729,0.0766,0.0697,0.076,867500,62.29,62.29,46.48,100.0,18
1986-10-24,0.076,0.0805,0.0744,0.0792,1327500,64.49,64.49,46.48,100.0,19
1986-10-31,0.0797,0.085,0.0797,0.0818,1491800,66.26,66.26,46.48,100.0,20
1986-11-07,0.0824,0.0961,0.0824,0.0935,897900,72.7,72.7,46.48,100.0,21
1986-11-14,0.0935,0.0935,0.0871,0.0898,429400,68.24,72.7,46.48,82.97,22
1986-11-21,0.0898,0.0998,0.0855,0.0987,1117900,72.63,72.7,46.48,99.74,23
1986-11-28,0.0987,0.1082,0.0956,0.1051,1214400,75.24,75.24,46.48,100.0,24
1986-12-05,0.1051,0.1056,0.1019,0.1035,882800,73.36,75.24,46.48,93.46,25
1986-12-12,0.1035,0.1045,0.0998,0.0998,358600,69.02,75.24,46.48,78.39,26
1986-12-19,0.0998,0.1035,0.0956,0.1024,766300,70.37,75.24,46.48,83.07,27
1986-12-26,0.1024,0.1051,0.1024,0.104,183500,71.18,75.24,46.48,85.89,28
1987-01-02,0.104,0.1051,0.0987,0.1009,358000,67.22,75.24,46.48,72.13,29
1987-01-09,0.1009,0.123,0.1003,0.1225,953900,76.74,76.74,46.48,100.0,30
1987-01-16,0.1225,0.1368,0.1214,0.1304,1586900,79.13,79.13,46.48,100.0,31
1987-01-23,0.1304,0.1637,0.1278,0.1426,2522300,82.15,82.15,46.48,100.0,32
1987-01-30,0.1436,0.1547,0.1389,0.1544,1704100,84.51,84.51,46.48,100.0,33
1987-02-06,0.1544,0.1573,0.1447,0.1455,785600,76.29,84.51,46.48,78.38,34
1987-02-13,0.1452,0.1642,0.141,0.1605,1765800,79.84,84.51,46.48,87.7,35
1987-02-20,0.1605,0.1642,0.1415,0.1436,2100600,67.62,84.51,46.48,55.58,36
1987-02-27,0.1436,0.1679,0.1405,0.1621,1717000,72.56,84.51,46.48,68.58,37
1987-03-06,0.1621,0.1801,0.1552,0.1758,1564400,75.55,84.51,46.48,76.43,38
1987-03-13,0.1758,0.1827,0.1711,0.1748,1155200,74.88,84.51,46.48,74.66,39
1987-03-20,0.1742,0.1927,0.1684,0.1906,1261900,78.05,84.51,46.48,82.99,40
1987-03-27,0.1906,0.198,0.1848,0.1938,1129100,78.63,84.51,46.48,84.52,41
1987-04-03,0.1938,0.2117,0.1869,0.2107,3078000,81.45,84.51,46.48,91.93,42
1987-04-10,0.2107,0.2112,0.1985,0.202,1367500,75.88,84.51,46.48,77.3,43
1987-04-16,0.2017,0.2123,0.1922,0.208,1464200,77.06,84.51,46.48,80.4,44
1987-04-24,0.208,0.2101,0.198,0.2091,1356500,77.27,84.51,46.48,80.94,45
1987-05-01,0.2091,0.2302,0.2054,0.2218,1302900,79.64,84.51,46.48,87.2,46
1987-05-08,0.2218,0.2709,0.2207,0.2672,2565200,85.5,85.5,46.48,100.0,47
1987-05-15,0.2672,0.2672,0.2471,0.2519,1713600,77.41,85.5,46.48,79.27,48
1987-05-22,0.2519,0.2519,0.2265,0.2286,2212600,67.05,85.5,46.48,52.72,49
1987-05-29,0.2286,0.2498,0.2281,0.2434,988500,69.82,85.5,46.48,59.81,50
1987-06-05,0.2434,0.2434,0.226,0.2307,636000,64.79,85.5,46.48,46.93,51
1987-06-12,0.2307,0.2323,0.2054,0.2075,2703200,56.73,85.5,46.48,26.27,52
1987-06-19,0.2075,0.2244,0.2033,0.2207,1273700,59.79,85.5,46.48,34.11,53
1987-06-26,0.2218,0.2239,0.2123,0.2212,1169700,59.92,85.5,46.48,34.43,54
1987-07-02,0.2212,0.2212,0.2086,0.2112,495800,56.41,85.5,46.48,25.44,55
1987-07-10,0.2107,0.2133,0.1869,0.2049,2168600,54.25,85.5,46.48,19.9,56
1987-07-17,0.2049,0.2233,0.2028,0.216,1465800,57.33,85.5,46.48,27.79,57
1987-07-24,0.2154,0.2154,0.1985,0.208,1174200,54.51,85.5,46.48,20.56,58
1987-07-31,0.208,0.2149,0.1943,0.1985,1214700,51.25,85.5,46.48,12.21,59
1987-08-07,0.1985,0.2207,0.1927,0.2186,2729800,57.08,85.5,46.48,27.16,60
1987-08-14,0.2191,0.2207,0.2112,0.2186,1037600,57.08,85.5,46.48,27.16,61
1987-08-21,0.2186,0.2286,0.2123,0.226,974100,59.17,85.5,46.48,32.52,62
1987-08-28,0.226,0.2561,0.2228,0.254,2031400,65.93,85.5,46.48,49.84,63
1987-09-04,0.2529,0.254,0.236,0.2366,1305100,59.34,85.5,46.48,32.96,64
1987-09-11,0.236,0.2461,0.2286,0.2455,889800,61.48,85.5,46.48,38.43,65
1987-09-18,0.2461,0.2534,0.2402,0.2429,1015000,60.47,85.5,46.48,35.85,66
1987-09-25,0.226,0.2746,0.2239,0.2619,3009511,64.92,85.5,46.48,47.26,67
1987-10-02,0.2619,0.3073,0.2608,0.3062,3454867,72.66,85.5,46.48,67.08,68
1987-10-09,0.3105,0.3348,0.2936,0.3031,4887689,71.44,85.5,46.48,63.98,69
1987-10-16,0.3041,0.3158,0.2714,0.2735,4633889,61.19,85.5,46.48,37.68,70
1987-10-23,0.2598,0.2682,0.1816,0.2038,7423089,44.84,85.5,44.84,0.0,71
1987-10-30,0.1964,0.2207,0.1573,0.2101,6030000,46.25,85.5,44.84,3.46,72
1987-11-06,0.208,0.2165,0.1848,0.2006,3146156,44.42,85.5,44.42,0.0,73
1987-11-13,0.1975,0.2197,0.1922,0.2038,2708556,45.2,85.5,44.42,1.89,74
1987-11-20,0.2059,0.2101,0.189,0.2006,2608289,44.53,85.5,44.42,0.26,75
1987-11-27,0.1996,0.207,0.1901,0.1911,1162089,42.49,85.5,42.49,0.0,76
1987-12-04,0.1869,0.1933,0.169,0.1774,3858578,39.66,85.5,39.66,0.0,77
1987-12-11,0.1816,0.2091,0.1785,0.2028,3476378,46.71,85.5,39.66,15.37,78
1987-12-18,0.2028,0.2313,0.2017,0.2197,3190045,50.83,85.5,39.66,24.36,79
1987-12-24,0.2218,0.227,0.2112,0.2249,1154978,52.08,85.5,39.66,27.08,80
1987-12-31,0.2239,0.2366,0.2112,0.2292,1822400,53.1,85.5,39.66,29.31,81
1988-01-08,0.2313,0.2608,0.2302,0.2366,4330978,54.92,85.5,39.66,33.28,82
1988-01-15,0.2355,0.2503,0.2292,0.2439,3756778,56.72,85.5,39.66,37.22,83
