Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1989-05-19,2.45,2.487,2.338,2.412,33396400,,,,,0
1989-05-26,2.438,2.537,2.388,2.487,31000000,,,,,0
1989-06-02,2.5,2.513,2.412,2.438,12295600,,,,,0
1989-06-09,2.438,2.525,2.275,2.513,29459600,,,,,0
1989-06-16,2.525,2.575,2.25,2.312,23368400,,,,,0
1989-06-23,2.312,2.312,2.075,2.213,24618400,,,,,0
1989-06-30,2.225,2.275,1.75,1.85,39946400,,,,,0
1989-07-07,1.85,1.862,1.775,1.837,18536400,,,,,0
1989-07-14,1.85,1.9,1.6,1.65,28078000,,,,,0
1989-07-21,1.612,1.612,1.35,1.487,64185200,,,,,0
1989-07-28,1.475,1.538,1.4,1.438,16308400,,,,,0
1989-08-04,1.438,1.625,1.263,1.612,37132400,,,,,0
1989-08-11,1.638,1.65,1.425,1.475,16572800,,,,,0
1989-08-18,1.462,1.5,1.4,1.438,12297600,,,,,0
1989-08-25,1.45,1.5,1.325,1.4,25896400,19.52,19.52,19.52,,1
1989-09-01,1.388,1.475,1.375,1.413,28671200,20.19,20.19,19.52,100.0,2
1989-09-08,1.413,1.5,1.4,1.462,15401600,22.81,22.81,19.52,100.0,3
1989-09-15,1.475,1.538,1.413,1.45,22861200,22.62,22.81,19.52,94.05,4
1989-09-22,1.45,1.45,1.263,1.288,40984800,20.11,22.81,19.52,17.86,5
1989-09-29,1.263,1.35,1.237,1.3,16345200,20.81,22.81,19.52,39.14,6
1989-10-06,1.275,1.312,1.25,1.288,13298400,20.61,22.81,19.52,33.23,7
1989-10-13,1.288,1.288,1.15,1.188,17188400,19.02,22.81,19.02,0.0,8
1989-10-20,1.15,1.2,1.087,1.163,18330800,18.63,22.81,18.63,0.0,9
1989-10-27,1.175,1.188,0.975,1.038,12296000,16.78,22.81,16.78,0.0,10
1989-11-03,1.025,1.087,1.0,1.0,15242400,16.25,22.81,16.25,0.0,11
1989-11-10,1.0,1.3,0.962,1.212,33071600,29.56,29.56,16.25,100.0,12
1989-11-17,1.237,1.25,1.0,1.025,18378400,25.68,29.56,16.25,70.87,13
1989-11-24,1.038,1.062,0.975,1.038,14236800,26.4,29.56,16.25,76.3,14
1989-12-01,1.038,1.05,0.962,0.962,11721600,24.88,29.56,16.25,64.85,15
1989-12-08,0.988,1.025,0.95,1.0,15334400,27.14,29.56,16.25,81.86,16
1989-12-15,0.975,1.05,0.95,0.962,24688400,26.29,29.56,16.25,75.45,17
1989-12-22,0.962,1.025,0.925,1.013,23250800,29.49,29.56,16.25,99.52,18
1989-12-29,1.013,1.075,0.962,0.975,11314800,28.5,29.56,16.25,92.05,19
1990-01-05,0.962,1.038,0.95,0.988,7484400,29.38,29.56,16.25,98.64,20
1990-01-12,0.988,1.025,0.913,0.938,9498800,27.96,29.56,16.25,87.97,21
1990-01-19,0.962,0.962,0.875,0.913,7317600,27.25,29.56,16.25,82.64,22
1990-01-26,0.913,0.913,0.725,0.8,18726400,24.25,29.56,16.25,60.14,23
1990-02-02,0.8,0.913,0.7,0.9,17670800,31.43,31.43,16.25,100.0,24
1990-02-09,0.887,0.962,0.85,0.863,10908400,30.29,31.43,16.25,92.46,25
1990-02-16,0.887,1.05,0.85,1.025,14828400,40.5,40.5,16.25,100.0,26
1990-02-23,1.013,1.15,0.95,1.138,18333600,46.4,46.4,16.25,100.0,27
1990-03-02,1.125,1.337,1.112,1.237,23648400,50.98,50.98,16.25,100.0,28
1990-03-09,1.25,1.35,1.225,1.3,14536400,53.69,53.69,16.25,100.0,29
1990-03-16,1.3,1.337,1.225,1.325,19471600,54.76,54.76,16.25,100.0,30
1990-03-23,1.325,1.325,1.188,1.212,15130400,49.23,54.76,16.25,85.62,31
1990-03-30,1.225,1.275,1.2,1.225,10891200,49.85,54.76,16.25,87.25,32
