Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1983-06-10,2.2188,2.2269,2.2113,2.2269,4800000,,,,,0
1983-06-17,2.2344,2.2894,2.2188,2.2738,16651200,,,,,0
1983-06-24,2.2738,2.2738,2.2269,2.2344,16646400,,,,,0
1983-07-01,2.2344,2.2581,2.2188,2.2344,12651200,,,,,0
1983-07-08,2.2188,2.2344,2.1875,2.2269,10112000,,,,,0
1983-07-15,2.2344,2.2812,2.2188,2.2656,9326400,,,,,0
1983-07-22,2.2738,2.3438,2.2656,2.3281,17068800,,,,,0
1983-07-29,2.3281,2.3675,2.305,2.3281,8572800,,,,,0
1983-08-05,2.3281,2.3594,2.3125,2.3206,6355200,,,,,0
1983-08-12,2.3206,2.3519,2.3125,2.3438,12908800,,,,,0
1983-08-19,2.3519,2.3594,2.3281,2.3363,13025600,,,,,0
1983-08-26,2.2738,2.3281,2.2581,2.2738,13521600,,,,,0
1983-09-02,2.2656,2.2894,2.2581,2.2812,7028800,,,,,0
1983-09-09,2.2894,2.3438,2.2812,2.3281,8929600,,,,,0
1983-09-16,2.3438,2.3519,2.3206,2.3363,8449600,65.27,65.27,65.27,,1
1983-09-23,2.3363,2.3906,2.3363,2.3906,4704000,70.15,70.15,65.27,100.0,2
1983-09-30,2.4062,2.4531,2.3831,2.4456,11211200,74.11,74.11,65.27,100.0,3
1983-10-07,2.4531,2.5625,2.4456,2.5394,19388800,79.19,79.19,65.27,100.0,4
1983-10-14,2.5394,2.5394,2.4456,2.4531,12116800,66.31,79.19,65.27,7.49,5
1983-10-21,2.4688,2.5394,2.4688,2.5312,10585600,70.92,79.19,65.27,40.62,6
1983-10-28,2.5238,2.6094,2.5,2.5781,9619200,73.29,79.19,65.27,57.6,7
1983-11-04,2.5706,2.6094,2.5625,2.5706,16408000,72.27,79.19,65.27,50.33,8
1983-11-11,2.5781,2.6094,2.555,2.6019,15177600,73.89,79.19,65.27,61.96,9
1983-11-18,2.6019,2.6331,2.5938,2.625,27209600,75.05,79.19,65.27,70.29,10
1983-11-25,2.5625,2.6406,2.5625,2.5938,20308800,70.49,79.19,65.27,37.54,11
1983-12-02,2.5781,2.6019,2.555,2.5625,6388800,66.17,79.19,65.27,6.44,12
1983-12-09,2.5469,2.555,2.5081,2.5312,3176000,62.06,79.19,62.06,0.0,13
1983-12-16,2.5312,2.5312,2.4925,2.5156,8188800,60.06,79.19,60.06,0.0,14
1983-12-23,2.5156,2.5238,2.4531,2.4769,17841600,55.29,79.19,55.29,0.0,15
1983-12-30,2.4769,2.5312,2.4769,2.5156,5728000,58.81,79.19,55.29,14.74,16
1984-01-06,2.5238,2.5238,2.4925,2.5238,6944000,59.53,79.19,55.29,17.76,17
1984-01-13,2.5081,2.5312,2.5,2.5238,4833600,59.53,79.19,55.29,17.76,18
1984-01-20,2.5156,2.5394,2.5,2.5081,12809600,57.3,79.19,55.29,8.41,19
1984-01-27,2.5,2.5,2.4531,2.5,6963200,56.12,79.19,55.29,3.47,20
1984-02-03,2.5,2.5156,2.4769,2.5,7406400,56.12,79.19,55.29,3.47,21
1984-02-10,2.5,2.5156,2.43,2.4375,15740800,47.41,79.19,47.41,0.0,22
1984-02-17,2.43,2.43,2.305,2.3281,10979200,36.68,79.19,36.68,0.0,23
1984-02-24,2.3363,2.3363,2.2344,2.2812,6112000,33.21,79.19,33.21,0.0,24
1984-03-02,2.2812,2.305,2.2581,2.305,8358400,36.49,79.19,33.21,7.13,25
1984-03-09,2.3125,2.3206,2.2656,2.2812,3582400,34.66,79.19,33.21,3.14,26
1984-03-16,2.2581,2.3125,2.2425,2.2969,9753600,36.9,79.19,33.21,8.02,27
1984-03-23,2.2969,2.305,2.2188,2.2812,3808000,35.59,79.19,33.21,5.16,28
1984-03-30,2.2738,2.3363,2.2581,2.3206,3288000,41.27,79.19,33.21,17.52,29
1984-04-06,2.3206,2.3206,2.25,2.2738,6777600,37.08,79.19,33.21,8.4,30
1984-04-13,2.2581,2.3438,2.25,2.3206,5476800,43.28,79.19,33.21,21.9,31
1984-04-19,2.3206,2.3675,2.2969,2.3594,3784000,47.86,79.19,33.21,31.86,32
1984-04-27,2.3594,2.4144,2.3363,2.3906,8240000,51.28,79.19,33.21,39.29,33
1984-05-04,2.3906,2.4144,2.375,2.3831,8169600,50.42,79.19,33.21,37.43,34
1984-05-11,2.3831,2.43,2.3831,2.4219,11380800,54.63,79.19,33.21,46.58,35
1984-05-18,2.4219,2.4456,2.3363,2.3519,27305600,46.89,79.19,33.21,29.75,36
1984-05-25,2.3438,2.3438,2.2269,2.2581,15659200,38.94,79.19,33.21,12.45,37
1984-06-01,2.2581,2.2738,2.2269,2.2738,6752000,40.74,79.19,33.21,16.38,38
1984-06-08,2.2656,2.2894,2.2425,2.2581,7363200,39.49,79.19,33.21,13.64,39
1984-06-15,2.2581,2.2656,2.2188,2.2269,7568000,37.03,79.19,33.21,8.3,40
1984-06-22,2.2188,2.2812,2.2031,2.2581,8680000,40.99,79.19,33.21,16.9,41
1984-06-29,2.2581,2.2812,2.25,2.2656,8419200,41.93,79.19,33.21,18.96,42
1984-07-06,2.25,2.2738,2.2344,2.2581,3216000,41.22,79.19,33.21,17.41,43
1984-07-13,2.2738,2.3363,2.2581,2.3363,9179200,50.6,79.19,33.21,37.81,44
1984-07-20,2.3363,2.375,2.3281,2.3675,8248000,53.77,79.19,33.21,44.72,45
1984-07-27,2.3519,2.3831,2.3206,2.3594,8008000,52.82,79.19,33.21,42.65,46
1984-08-03,2.3438,2.4769,2.3363,2.4456,5852800,60.76,79.19,33.21,59.92,47
1984-08-10,2.43,2.4925,2.43,2.4531,5217600,61.37,79.19,33.21,61.24,48
1984-08-17,2.4531,2.4613,2.4144,2.4375,20926400,59.3,79.19,33.21,56.75,49
