Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1981-12-31,2.8946,2.9017,2.8879,2.8946,5633,,,,,0
1982-01-08,2.8879,2.8946,2.6873,2.8327,201499,,,,,0
1982-01-15,2.6807,2.8188,2.3629,2.4458,349716,,,,,0
1982-01-22,2.4115,2.6116,2.3839,2.6116,343417,,,,,0
1982-01-29,2.6668,2.7359,2.653,2.7155,106867,,,,,0
1982-02-05,2.7359,2.9294,2.7083,2.7636,276333,,,,,0
1982-02-12,2.7287,2.7636,2.501,2.501,63151,,,,,0
1982-02-19,2.5215,2.6188,2.4872,2.6044,60266,,,,,0
1982-02-26,2.5839,2.6254,2.501,2.5287,60283,,,,,0
1982-03-05,2.5287,2.5701,2.5287,2.5425,71799,,,,,0
1982-03-12,2.501,2.5563,2.1694,2.197,222984,,,,,0
1982-03-19,2.197,2.3424,2.1832,2.3424,202051,,,,,0
1982-03-26,2.3971,2.5701,2.3767,2.5563,65384,,,,,0
1982-04-02,2.5629,2.653,2.5425,2.6254,176183,,,,,0
1982-04-08,2.5497,2.6116,2.4872,2.5215,153600,41.12,41.12,41.12,,1
1982-04-16,2.5906,2.7636,2.5563,2.6807,164434,45.56,45.56,41.12,100.0,2
1982-04-23,2.6873,2.6945,2.6254,2.6597,85500,45.08,45.56,41.12,89.12,3
1982-04-30,2.6873,2.7359,2.653,2.6597,64050,45.08,45.56,41.12,89.12,4
1982-05-07,2.7287,3.0123,2.653,2.9156,571717,52.24,52.24,41.12,100.0,5
1982-05-14,2.9156,2.978,2.7978,2.8122,146400,49.43,52.24,41.12,74.79,6
1982-05-21,2.8122,2.8741,2.7564,2.7846,84850,48.68,52.24,41.12,68.03,7
1982-05-28,2.7912,2.805,2.7221,2.7359,162867,47.32,52.24,41.12,55.76,8
1982-06-04,2.7083,2.7287,2.653,2.7221,64500,46.92,52.24,41.12,52.14,9
1982-06-11,2.7155,2.8393,2.6597,2.8188,199284,50.11,52.24,41.12,80.89,10
1982-06-18,2.7912,2.8879,2.7498,2.8255,178367,50.33,52.24,41.12,82.88,11
1982-06-25,2.8327,2.8946,2.6116,2.6116,334550,43.62,52.24,41.12,22.54,12
1982-07-02,2.5563,2.6254,2.4181,2.5701,385133,42.44,52.24,41.12,11.92,13
1982-07-09,2.5629,2.7287,2.5425,2.7287,553367,48.22,52.24,41.12,63.87,14
1982-07-16,2.7774,2.957,2.7287,2.9294,224200,54.45,54.45,41.12,100.0,15
1982-07-23,2.9504,3.0399,2.8741,2.9504,392217,55.06,55.06,41.12,100.0,16
1982-07-30,2.936,2.9985,2.9017,2.9294,276883,54.27,55.06,41.12,94.39,17
1982-08-06,2.9708,3.0123,2.7221,2.7498,599300,48.0,55.06,41.12,49.35,18
1982-08-13,2.7155,2.8879,2.6807,2.8879,190900,52.54,55.06,41.12,81.98,19
1982-08-20,2.8603,2.9432,2.7774,2.9156,207367,53.42,55.06,41.12,88.27,20
1982-08-27,3.0189,3.2196,2.9017,3.0537,390433,57.64,57.64,41.12,100.0,21
1982-09-03,3.0399,3.4545,2.9985,3.413,733216,66.21,66.21,41.12,100.0,22
1982-09-10,3.3644,3.4064,3.3163,3.3439,224216,63.54,66.21,41.12,89.39,23
1982-09-17,3.261,3.3577,3.1643,3.2472,342734,59.91,66.21,41.12,74.92,24
1982-09-24,3.2334,3.4821,3.2057,3.3992,359250,63.45,66.21,41.12,89.01,25
1982-10-01,3.392,3.4545,3.3097,3.3506,204934,61.58,66.21,41.12,81.55,26
1982-10-08,3.3787,3.7585,3.3506,3.5374,522684,65.75,66.21,41.12,98.2,27
1982-10-15,3.5512,3.5855,3.3992,3.4545,233067,62.51,66.21,41.12,85.26,28
1982-10-22,3.4683,4.1592,3.4335,4.1111,848866,73.62,73.62,41.12,100.0,29
1982-10-29,4.0763,4.1177,3.869,4.0901,769751,72.88,73.62,41.12,97.71,30
1982-11-05,4.1454,4.2974,3.9657,3.9729,367183,68.7,73.62,41.12,84.87,31
1982-11-12,3.9381,3.9657,3.2676,3.3992,1001384,52.77,73.62,41.12,35.86,32
1982-11-19,3.4064,3.5578,3.2886,3.4821,795433,54.42,73.62,41.12,40.92,33
1982-11-26,3.4406,3.4545,3.3229,3.4406,227084,53.42,73.62,41.12,37.84,34
1982-12-03,3.3644,3.9381,3.2748,3.7999,394184,60.25,73.62,41.12,58.86,35
1982-12-10,3.9729,4.1454,3.8275,4.0,345966,63.46,73.62,41.12,68.74,36
1982-12-17,3.9795,4.0486,3.8414,3.9243,215017,61.44,73.62,41.12,62.51,37
1982-12-23,3.9171,4.173,3.8966,4.152,160234,65.05,73.62,41.12,73.62,38
1982-12-31,4.1658,4.1868,4.1111,4.1658,149817,65.26,73.62,41.12,74.28,39
1983-01-07,4.1244,4.1592,4.0696,4.0763,192433,62.6,73.62,41.12,66.1,40
