Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2016-01-08,13.39,13.73,12.25,12.3,283123,,,,,0
2016-01-15,12.34,12.96,11.515,12.09,245666,,,,,0
2016-01-22,12.27,12.58,11.58,12.54,225289,,,,,0
2016-01-29,12.51,12.61,12.1,12.36,380724,,,,,0
2016-02-05,12.27,12.6,11.68,11.73,223469,,,,,0
2016-02-12,11.45,12.55,11.23,12.42,211817,,,,,0
2016-02-19,12.62,12.87,12.1,12.17,130817,,,,,0
2016-02-26,12.25,12.95,12.185,12.59,239528,,,,,0
2016-03-04,12.54,13.75,12.54,13.51,541069,,,,,0
2016-03-11,13.48,13.72,13.12,13.53,156418,,,,,0
2016-03-18,13.53,13.83,12.83,13.7,277151,,,,,0
2016-03-24,13.64,14.61,13.4,14.05,520964,,,,,0
2016-04-01,14.0,14.45,13.85,14.05,385847,,,,,0
2016-04-08,14.01,14.41,13.72,14.17,240600,,,,,0
2016-04-15,14.21,14.72,13.98,14.54,272217,73.43,73.43,73.43,,1
2016-04-22,14.38,15.03,14.38,14.84,344542,75.11,75.11,73.43,100.0,2
2016-04-29,14.69,15.0,14.38,14.55,191587,70.47,75.11,70.47,0.0,3
2016-05-06,14.53,14.78,13.14,14.15,268712,64.54,75.11,64.54,0.0,4
2016-05-13,13.99,15.06,13.81,14.76,264632,68.84,75.11,64.54,40.71,5
2016-05-20,14.75,15.06,14.57,15.02,345438,70.49,75.11,64.54,56.26,6
2016-05-27,15.04,15.36,14.85,15.35,396185,72.47,75.11,64.54,75.05,7
2016-06-03,15.41,16.31,14.62,16.0,425620,75.91,75.91,64.54,100.0,8
2016-06-10,15.96,16.43,14.95,15.87,456239,73.92,75.91,64.54,82.51,9
2016-06-17,15.42,15.95,15.23,15.86,288553,73.76,75.91,64.54,81.1,10
2016-06-24,15.86,16.28,14.92,15.57,700951,69.09,75.91,64.54,40.02,11
2016-07-01,15.28,15.435,14.4,15.26,428936,64.4,75.91,64.4,0.0,12
2016-07-08,15.19,15.6,14.9,15.55,202405,66.68,75.91,64.4,19.81,13
2016-07-15,15.71,16.43,14.57,16.32,578732,71.84,75.91,64.4,64.62,14
2016-07-22,16.23,16.29,15.595,15.92,521029,66.11,75.91,64.4,14.89,15
2016-07-29,15.38,15.94,15.38,15.71,239865,63.26,75.91,63.26,0.0,16
2016-08-05,15.67,16.22,15.5,16.21,565717,66.92,75.91,63.26,28.91,17
2016-08-12,16.1,16.5,15.83,16.38,243386,68.08,75.91,63.26,38.11,18
2016-08-19,16.47,17.19,16.3,17.09,532101,72.44,75.91,63.26,72.57,19
2016-08-26,17.15,17.21,16.74,16.85,229819,69.01,75.91,63.26,45.45,20
2016-09-02,16.83,17.15,16.54,17.0,365224,69.97,75.91,63.26,53.02,21
2016-09-09,17.0,17.215,16.44,16.47,241136,62.61,75.91,62.61,0.0,22
2016-09-16,16.31,17.42,16.26,17.3,579845,68.24,75.91,62.61,42.35,23
2016-09-23,17.3,17.42,17.01,17.25,221051,67.58,75.91,62.61,37.39,24
2016-09-30,17.11,17.48,17.0,17.35,382018,68.24,75.91,62.61,42.36,25
2016-10-07,17.24,17.58,16.99,17.24,403338,66.63,75.91,62.61,30.24,26
2016-10-14,17.39,17.64,17.21,17.5,207712,68.52,75.91,62.61,44.47,27
2016-10-21,17.55,17.9,17.2,17.3,217218,65.45,75.91,62.61,21.36,28
2016-10-28,17.35,17.85,16.955,17.65,158815,68.14,75.91,62.61,41.61,29
2016-11-04,17.55,17.845,16.55,16.9,433640,57.75,75.91,57.75,0.0,30
2016-11-11,17.2,19.4,17.05,19.35,526844,72.5,75.91,57.75,81.23,31
2016-11-18,19.5,19.8,18.25,19.5,1022975,73.12,75.91,57.75,84.64,32
2016-11-25,19.6,20.35,19.5,20.3,405738,76.2,76.2,57.75,100.0,33
2016-12-02,20.15,20.95,19.85,20.05,554911,73.37,76.2,57.75,84.68,34
2016-12-09,20.25,21.75,19.95,21.4,891029,78.1,78.1,57.75,100.0,35
2016-12-16,21.35,21.7,20.2,20.45,600859,68.84,78.1,57.75,54.51,36
2016-12-23,20.4,21.1,20.125,20.75,362875,70.05,78.1,57.75,60.44,37
2016-12-30,20.7,21.2,20.7,21.0,209544,71.05,78.1,57.75,65.39,38
2017-01-06,21.25,21.8,20.95,21.05,365218,71.26,78.1,57.75,66.41,39
2017-01-13,21.05,24.15,20.7,23.3,1437022,78.69,78.69,57.75,100.0,40
2017-01-20,23.0,23.25,21.55,22.8,450732,74.1,78.69,57.75,78.12,41
2017-01-27,22.8,23.8,22.75,23.2,710476,75.34,78.69,57.75,84.03,42
2017-02-03,23.0,23.35,22.1,23.2,491179,75.34,78.69,57.75,84.03,43
2017-02-10,23.15,24.4,22.85,24.4,695668,78.85,78.85,57.75,100.0,44
2017-02-17,24.4,24.85,24.12,24.5,759438,79.12,79.12,57.75,100.0,45
2017-02-24,24.55,24.8,23.75,24.55,246280,79.26,79.26,57.75,100.0,46
2017-03-03,24.35,25.55,24.05,25.55,878893,81.9,81.9,57.75,100.0,47
2017-03-10,25.0,26.7,23.76,26.55,898390,84.07,84.07,57.75,100.0,48
2017-03-17,26.5,27.55,25.85,27.5,705867,85.82,85.82,57.75,100.0,49
2017-03-24,27.6,27.7,26.45,26.8,689039,78.95,85.82,57.75,75.54,50
2017-03-31,26.5,26.95,26.3,26.55,700906,76.6,85.82,57.75,67.15,51
2017-04-07,26.55,27.4,25.95,27.15,769222,78.27,85.82,57.75,73.12,52
2017-04-13,27.05,27.5,26.4,26.4,350605,71.39,85.82,57.75,48.59,53
2017-04-21,26.35,27.5,26.0,27.3,631676,74.31,85.82,57.75,59.0,54
2017-04-28,27.5,28.55,27.4,28.05,690106,76.46,85.82,57.75,66.67,55
2017-05-05,28.25,28.54,27.5,28.35,565287,77.29,85.82,57.75,69.6,56
2017-05-12,28.65,32.05,27.98,31.75,855248,84.07,85.82,57.75,93.76,57
2017-05-19,32.0,32.8,31.75,32.6,835221,85.25,85.82,57.75,97.99,58
2017-05-26,32.85,34.45,32.48,33.95,778236,86.92,86.92,57.75,100.0,59
2017-06-02,34.0,35.85,33.35,35.4,870626,88.43,88.43,57.75,100.0,60
2017-06-09,35.5,39.0,35.0,37.05,1747559,89.86,89.86,57.75,100.0,61
2017-06-16,37.2,37.2,33.45,36.15,1856030,83.76,89.86,57.75,81.0,62
2017-06-23,36.6,37.1,35.25,35.9,1864359,82.1,89.86,57.75,75.81,63
2017-06-30,36.0,37.0,35.0,36.0,1000467,82.25,89.86,57.75,76.28,64
2017-07-07,36.35,37.65,35.95,37.15,654304,83.94,89.86,57.75,81.55,65
2017-07-14,37.15,38.1,36.6,37.35,768406,84.22,89.86,57.75,82.43,66
2017-07-21,37.55,38.2,36.605,37.3,564106,83.82,89.86,57.75,81.19,67
2017-07-28,37.3,38.06,36.65,37.1,619382,82.16,89.86,57.75,76.02,68
2017-08-04,37.15,38.85,36.3,37.45,1015393,82.81,89.86,57.75,78.02,69
2017-08-11,37.4,39.65,36.05,36.7,768513,76.45,89.86,57.75,58.23,70
2017-08-18,36.8,38.05,36.8,37.3,559681,77.91,89.86,57.75,62.78,71
2017-08-25,37.2,38.7,36.98,38.2,515157,79.92,89.86,57.75,69.04,72
2017-09-01,38.4,39.3,37.6,39.25,655129,81.98,89.86,57.75,75.46,73
2017-09-08,39.25,40.6,38.638,40.25,541456,83.7,89.86,57.75,80.81,74
2017-09-15,40.65,42.85,39.6,42.7,1492847,86.97,89.86,57.75,91.0,75
2017-09-22,42.85,43.95,42.35,42.65,793918,86.59,89.86,57.75,89.81,76
