Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1991-12-20,0.3214,0.3645,0.3214,0.3453,5727400,,,,,0
1991-12-27,0.3501,0.4269,0.3357,0.4077,940400,,,,,0
1992-01-03,0.4077,0.5468,0.3981,0.5372,1481700,,,,,0
1992-01-10,0.5516,0.5516,0.4173,0.4604,2704000,,,,,0
1992-01-17,0.47,0.5228,0.4557,0.4844,727100,,,,,0
1992-01-24,0.4796,0.4892,0.4509,0.4557,494100,,,,,0
1992-01-31,0.4652,0.47,0.4221,0.4604,383100,,,,,0
1992-02-07,0.4604,0.494,0.4173,0.4509,823000,,,,,0
1992-02-14,0.4365,0.4748,0.4221,0.4461,451100,,,,,0
1992-02-21,0.4461,0.4461,0.4029,0.4029,375900,,,,,0
1992-02-28,0.4029,0.4173,0.3549,0.3933,728700,,,,,0
1992-03-06,0.3933,0.4077,0.3357,0.3549,597200,,,,,0
1992-03-13,0.3597,0.3837,0.3357,0.3693,528400,,,,,0
1992-03-20,0.3693,0.4461,0.3549,0.4269,558100,,,,,0
1992-03-27,0.4365,0.4413,0.4077,0.4125,570100,56.48,56.48,56.48,,1
1992-04-03,0.4125,0.4461,0.3741,0.3981,560100,54.84,56.48,54.84,0.0,2
1992-04-10,0.4029,0.4221,0.3885,0.4125,417200,56.21,56.48,54.84,83.49,3
1992-04-16,0.4125,0.4604,0.4029,0.4388,400900,58.68,58.68,54.84,100.0,4
1992-04-24,0.4317,0.47,0.4317,0.4365,348000,58.37,58.68,54.84,91.92,5
1992-05-01,0.4461,0.4461,0.3933,0.4077,282000,54.49,58.68,54.49,0.0,6
1992-05-08,0.4077,0.4221,0.3981,0.4077,177700,54.49,58.68,54.49,0.0,7
1992-05-15,0.4221,0.4221,0.3549,0.3597,438100,48.29,58.68,48.29,0.0,8
1992-05-22,0.3693,0.3693,0.3309,0.3501,554800,47.14,58.68,47.14,0.0,9
1992-05-29,0.3549,0.3645,0.3405,0.3526,296000,47.49,58.68,47.14,3.05,10
1992-06-05,0.3549,0.3981,0.3501,0.3885,580800,52.39,58.68,47.14,45.56,11
1992-06-12,0.3789,0.3933,0.3357,0.3933,823700,53.03,58.68,47.14,51.03,12
1992-06-19,0.3789,0.3981,0.3405,0.3453,367600,46.4,58.68,46.4,0.0,13
1992-06-26,0.3405,0.3549,0.3261,0.3453,218400,46.4,58.68,46.4,0.0,14
1992-07-02,0.3597,0.3885,0.3549,0.3693,218900,50.02,58.68,46.4,29.51,15
1992-07-10,0.3741,0.3741,0.3597,0.3645,176400,49.3,58.68,46.4,23.66,16
1992-07-17,0.3645,0.3693,0.3309,0.3428,484800,46.08,58.68,46.08,0.0,17
1992-07-24,0.3405,0.3405,0.2878,0.2974,820400,40.16,58.68,40.16,0.0,18
1992-07-31,0.307,0.3405,0.3022,0.3405,573900,47.11,58.68,40.16,37.54,19
1992-08-07,0.3405,0.3501,0.2974,0.3118,265000,43.48,58.68,40.16,17.95,20
1992-08-14,0.3118,0.3118,0.3022,0.3118,165300,43.48,58.68,40.16,17.95,21
1992-08-21,0.307,0.3214,0.2926,0.2974,300600,41.63,58.68,40.16,7.92,22
1992-08-28,0.2926,0.307,0.2926,0.307,101300,43.36,58.68,40.16,17.3,23
1992-09-04,0.2997,0.3118,0.2926,0.3022,312600,42.68,58.68,40.16,13.61,24
1992-09-11,0.3022,0.3118,0.2782,0.2782,411500,39.34,58.68,39.34,0.0,25
1992-09-18,0.2926,0.2926,0.2494,0.2734,456500,38.69,58.68,38.69,0.0,26
1992-09-25,0.2734,0.2734,0.2398,0.2661,532200,37.66,58.68,37.66,0.0,27
1992-10-02,0.2734,0.3549,0.2542,0.3261,1740400,49.5,58.68,37.66,56.33,28
1992-10-09,0.3261,0.4077,0.307,0.3789,1299100,57.19,58.68,37.66,92.94,29
1992-10-16,0.3885,0.4748,0.3741,0.4509,982900,65.02,65.02,37.66,100.0,30
1992-10-23,0.4604,0.4844,0.4365,0.4748,1046300,67.17,67.17,37.66,100.0,31
1992-10-30,0.4748,0.4844,0.4173,0.47,1033500,66.29,67.17,37.66,97.02,32
1992-11-06,0.4557,0.5132,0.4413,0.4796,1527000,67.22,67.22,37.66,100.0,33
1992-11-13,0.4652,0.518,0.4652,0.5132,742900,70.29,70.29,37.66,100.0,34
1992-11-20,0.518,0.5612,0.4988,0.542,866600,72.65,72.65,37.66,100.0,35
1992-11-27,0.542,0.5516,0.5324,0.5468,390500,73.04,73.04,37.66,100.0,36
1992-12-04,0.5468,0.5516,0.4844,0.4892,748100,61.79,73.04,37.66,68.21,37
1992-12-11,0.4988,0.5132,0.47,0.4796,508800,60.13,73.04,37.66,63.51,38
1992-12-18,0.4892,0.494,0.4461,0.4604,215200,56.84,73.04,37.66,54.21,39
1992-12-24,0.4604,0.5372,0.4461,0.518,443200,63.32,73.04,37.66,72.54,40
1992-12-31,0.5372,0.5372,0.4652,0.4652,379500,55.14,73.04,37.66,49.41,41
1993-01-08,0.4652,0.5132,0.4317,0.4821,987500,57.06,73.04,37.66,54.82,42
1993-01-15,0.4796,0.6667,0.47,0.6475,1903500,70.38,73.04,37.66,92.48,43
1993-01-22,0.6427,0.6715,0.566,0.566,1453100,60.42,73.04,37.66,64.35,44
1993-01-29,0.5804,0.6187,0.566,0.566,1082400,60.42,73.04,37.66,64.35,45
1993-02-05,0.5756,0.6859,0.5516,0.6427,2585700,65.72,73.04,37.66,79.31,46
1993-02-12,0.6427,0.7194,0.6139,0.6379,1273800,65.13,73.04,37.66,77.65,47
1993-02-19,0.6379,0.6379,0.5564,0.6091,1590000,61.58,73.04,37.66,67.61,48
1993-02-26,0.6187,0.6523,0.5852,0.6043,1508700,60.98,73.04,37.66,65.93,49
1993-03-05,0.6043,0.7482,0.602,0.7074,2533400,68.13,73.04,37.66,86.12,50
1993-03-12,0.7147,0.7914,0.7003,0.7482,1913300,70.44,73.04,37.66,92.65,51
1993-03-19,0.7722,0.8777,0.7194,0.8298,1677100,74.42,74.42,37.66,100.0,52
1993-03-26,0.8394,0.9017,0.825,0.8729,1710100,76.25,76.25,37.66,100.0,53
1993-04-02,0.8585,1.0024,0.8585,0.9257,1728400,78.29,78.29,37.66,100.0,54
1993-04-08,0.9449,0.988,0.8825,0.9353,1567800,78.65,78.65,37.66,100.0,55
1993-04-16,0.9401,0.9401,0.7578,0.801,2196300,62.95,78.65,37.66,61.7,56
1993-04-23,0.7626,0.9113,0.7386,0.8442,2152800,65.35,78.65,37.66,67.54,57
1993-04-30,0.8537,0.8873,0.7866,0.8729,1213100,66.88,78.65,37.66,71.29,58
1993-05-07,0.8729,0.8777,0.7818,0.8489,1010000,64.32,78.65,37.66,65.05,59
