Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2018-09-07,24.88,24.88,24.5,24.5,12134,,,,,0
2018-09-14,24.58,24.76,24.36,24.76,19024,,,,,0
2018-09-21,24.77,24.91,24.45,24.84,13446,,,,,0
2018-09-28,24.63,24.9,24.63,24.65,6393,,,,,0
2018-10-05,24.75,24.75,23.69,23.78,4626,,,,,0
2018-10-12,23.58,23.59,22.49,22.53,5169,,,,,0
2018-10-19,22.53,23.07,22.53,22.59,2578,,,,,0
2018-10-26,22.38,22.39,21.05,21.35,5542,,,,,0
2018-11-02,21.5,22.6,20.96,22.37,64694,,,,,0
2018-11-09,22.37,22.8,22.11,22.66,9137,,,,,0
2018-11-16,22.24,22.24,21.48,21.99,9401,,,,,0
2018-11-23,22.04,22.04,20.5,20.8045,6594,,,,,0
2018-11-30,21.24,21.8,21.24,21.8,1104,,,,,0
2018-12-07,22.36,22.3628,21.14,21.45,1124,,,,,0
2018-12-14,20.9,21.4,20.81,20.81,1425,29.73,29.73,29.73,,1
2018-12-21,20.2824,20.52,19.17,19.17,21103,24.9,29.73,24.9,0.0,2
2018-12-28,19.14,19.88,18.83,19.858,6518,30.03,30.03,24.9,100.0,3
2019-01-04,19.89,20.12,19.36,20.12,62918,31.94,31.94,24.9,100.0,4
2019-01-11,20.2,20.9,20.1,20.84,1692,37.03,37.03,24.9,100.0,5
2019-01-18,20.67,21.37,20.58,21.37,13280,40.55,40.55,24.9,100.0,6
2019-01-25,21.05,22.18,20.87,22.18,3590,45.56,45.56,24.9,100.0,7
2019-02-01,21.89,22.65,21.81,22.58,14519,47.9,47.9,24.9,100.0,8
2019-02-08,22.63,23.0,22.38,22.55,16390,47.73,47.9,24.9,99.28,9
2019-02-15,22.55,23.43,22.55,23.43,17804,52.87,52.87,24.9,100.0,10
2019-02-22,23.43,23.9433,23.43,23.9433,13249,55.61,55.61,24.9,100.0,11
2019-03-01,24.18,24.299,23.8,23.99,44827,55.86,55.86,24.9,100.0,12
2019-03-08,24.16,24.16,23.04,23.2,17853,50.64,55.86,24.9,83.11,13
2019-03-15,23.34,23.9344,23.34,23.8639,10611,54.49,55.86,24.9,95.56,14
2019-03-22,23.89,24.37,23.68,23.68,8006,53.25,55.86,24.9,91.56,15
2019-03-29,23.44,23.86,23.41,23.84,14225,54.23,55.86,24.9,94.71,16
2019-04-05,24.12,24.79,24.12,24.7,15796,59.16,59.16,24.9,100.0,17
2019-04-12,24.65,24.9,24.5,24.9,10299,60.24,60.24,24.9,100.0,18
2019-04-18,25.0,25.13,24.79,25.07,9812,61.17,61.17,24.9,100.0,19
2019-04-26,25.02,25.48,24.8622,25.1237,13015,61.48,61.48,24.9,100.0,20
2019-05-03,25.23,25.6,25.06,25.6,5511,64.19,64.19,24.9,100.0,21
2019-05-10,25.09,25.32,24.17,24.61,17176,55.45,64.19,24.9,77.75,22
