Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1993-04-30,9.125,9.375,9.0,9.19,10476600,,,,,0
1993-05-07,9.125,9.19,8.81,8.875,2617000,,,,,0
1993-05-14,8.94,9.06,8.69,8.75,827600,,,,,0
1993-05-21,8.75,8.75,7.94,8.19,2534600,,,,,0
1993-05-28,8.25,8.81,7.81,8.69,2549200,,,,,0
1993-06-04,8.75,8.75,8.44,8.56,532200,,,,,0
1993-06-11,8.5,8.81,8.44,8.81,623400,,,,,0
1993-06-18,8.94,9.125,8.75,8.875,1146600,,,,,0
1993-06-25,8.81,9.25,8.75,9.19,629000,,,,,0
1993-07-02,9.19,9.75,9.06,9.5,1203000,,,,,0
1993-07-09,9.5,9.625,9.19,9.5,568200,,,,,0
1993-07-16,9.56,9.75,9.44,9.75,723600,,,,,0
1993-07-23,9.69,10.125,9.69,9.875,852000,,,,,0
1993-07-30,9.875,11.69,9.75,11.69,1641200,,,,,0
1993-08-06,11.69,12.31,11.125,11.94,1469400,77.45,77.45,77.45,,1
1993-08-13,11.94,12.06,11.44,11.69,411200,73.5,77.45,73.5,0.0,2
1993-08-20,11.69,12.25,11.5,12.0,441400,75.19,77.45,73.5,42.79,3
1993-08-27,11.94,12.31,11.44,11.56,1231200,68.51,77.45,68.51,0.0,4
1993-09-03,11.5,12.5,11.5,12.25,717800,72.62,77.45,68.51,45.96,5
1993-09-10,12.06,12.25,11.69,11.75,376400,65.91,77.45,65.91,0.0,6
1993-09-17,11.875,11.875,11.25,11.56,1104200,63.51,77.45,63.51,0.0,7
1993-09-24,11.69,12.125,11.5,12.0,375800,66.55,77.45,63.51,21.8,8
1993-10-01,12.06,12.44,11.81,12.0,208800,66.55,77.45,63.51,21.8,9
1993-10-08,12.0,12.375,11.75,11.81,474800,63.88,77.45,63.51,2.69,10
1993-10-15,11.875,12.19,11.56,11.75,242800,63.02,77.45,63.02,0.0,11
1993-10-22,12.0,12.81,12.0,12.75,1081600,70.21,77.45,63.02,49.81,12
1993-10-29,12.75,13.75,12.75,13.25,1253600,73.03,77.45,63.02,69.37,13
1993-11-05,13.19,13.625,11.75,12.375,359200,61.97,77.45,61.97,0.0,14
1993-11-12,12.375,12.875,12.375,12.81,508600,64.82,77.45,61.97,18.43,15
1993-11-19,12.81,13.375,12.69,12.81,272200,64.82,77.45,61.97,18.43,16
1993-11-26,12.81,12.94,12.31,12.94,63800,65.71,77.45,61.97,24.19,17
1993-12-03,13.0,13.0,12.75,12.94,124800,65.71,77.45,61.97,24.19,18
1993-12-10,13.0,13.0,12.44,12.75,130600,63.01,77.45,61.97,6.71,19
1993-12-17,12.625,12.75,11.75,12.25,210600,56.42,77.45,56.42,0.0,20
1993-12-23,12.125,12.81,12.125,12.75,328200,60.83,77.45,56.42,20.97,21
1993-12-31,12.75,13.5,12.75,13.375,160200,65.52,77.45,56.42,43.3,22
1994-01-07,13.44,13.56,13.125,13.19,219800,63.11,77.45,56.42,31.83,23
1994-01-14,13.25,13.56,13.19,13.44,198800,64.99,77.45,56.42,40.75,24
1994-01-21,13.5,14.19,13.44,14.0,230200,68.81,77.45,56.42,58.94,25
1994-01-28,14.0,14.06,13.56,13.56,156800,62.99,77.45,56.42,31.25,26
1994-02-04,13.56,13.625,13.375,13.375,498600,60.67,77.45,56.42,20.19,27
1994-02-11,13.375,14.5,13.31,13.81,599400,64.03,77.45,56.42,36.18,28
1994-02-18,13.81,13.94,13.375,13.5,207200,60.09,77.45,56.42,17.43,29
1994-02-25,13.375,13.5,13.06,13.44,187400,59.33,77.45,56.42,13.81,30
1994-03-04,13.5,13.69,13.125,13.44,319400,59.33,77.45,56.42,13.81,31
1994-03-11,13.44,13.5,13.125,13.125,229800,55.08,77.45,55.08,0.0,32
1994-03-18,13.06,13.56,13.06,13.5,202800,58.86,77.45,55.08,16.88,33
1994-03-25,13.44,13.75,13.375,13.56,342800,59.44,77.45,55.08,19.51,34
1994-03-31,13.625,13.625,12.375,12.44,233800,46.19,77.45,46.19,0.0,35
1994-04-08,12.19,12.5,11.81,12.375,487400,45.55,77.45,45.55,0.0,36
1994-04-15,12.5,12.94,12.31,12.75,289400,49.84,77.45,45.55,13.43,37
1994-04-22,12.81,12.81,12.44,12.625,167400,48.47,77.45,45.55,9.14,38
1994-04-29,12.69,13.875,12.69,13.875,612600,60.23,77.45,45.55,46.03,39
1994-05-06,13.875,14.0,13.5,13.69,224000,58.12,77.45,45.55,39.4,40
1994-05-13,13.56,13.625,13.19,13.5,136800,55.94,77.45,45.55,32.59,41
1994-05-20,13.5,14.31,13.375,14.31,246800,62.4,77.45,45.55,52.82,42
1994-05-27,14.25,14.5,13.94,14.375,201800,62.87,77.45,45.55,54.3,43
1994-06-03,14.5,14.69,14.19,14.375,148800,62.87,77.45,45.55,54.3,44
1994-06-10,14.375,14.5,13.75,14.06,214800,58.74,77.45,45.55,41.36,45
1994-06-17,14.0,14.44,13.94,14.25,112200,60.43,77.45,45.55,46.65,46
1994-06-24,14.125,14.125,13.375,13.5,371400,51.48,77.45,45.55,18.58,47
1994-07-01,13.56,14.125,13.5,13.875,152800,55.06,77.45,45.55,29.82,48
1994-07-08,13.75,14.56,13.69,14.56,140400,60.76,77.45,45.55,47.7,49
1994-07-15,14.56,15.0,14.44,14.56,327200,60.76,77.45,45.55,47.7,50
1994-07-22,14.625,14.625,14.25,14.44,168200,59.24,77.45,45.55,42.91,51
1994-07-29,14.375,14.56,14.31,14.44,135800,59.24,77.45,45.55,42.91,52
1994-08-05,14.44,14.69,14.31,14.625,104600,60.99,77.45,45.55,48.4,53
1994-08-12,14.5,14.875,14.44,14.75,142000,62.17,77.45,45.55,52.11,54
1994-08-19,14.875,15.0,14.75,14.875,92600,63.37,77.45,45.55,55.87,55
1994-08-26,14.94,14.94,14.625,14.75,211600,61.28,77.45,45.55,49.32,56
1994-09-02,14.625,14.81,13.69,14.06,265200,51.24,77.45,45.55,17.85,57
1994-09-09,14.19,14.375,14.06,14.125,369000,52.04,77.45,45.55,20.35,58
1994-09-16,14.06,14.5,14.06,14.19,101200,52.87,77.45,45.55,22.95,59
1994-09-23,14.19,14.19,13.375,13.44,464000,43.52,77.45,43.52,0.0,60
1994-09-30,13.5,13.5,12.875,13.0,303600,39.14,77.45,39.14,0.0,61
1994-10-07,13.0,13.25,12.94,13.06,633000,40.03,77.45,39.14,2.31,62
1994-10-14,13.125,14.94,13.06,14.5,525400,56.42,77.45,39.14,45.1,63
1994-10-21,14.5,14.75,14.44,14.56,180400,56.94,77.45,39.14,46.48,64
1994-10-28,14.5,15.25,14.44,15.0,597000,60.7,77.45,39.14,56.29,65
1994-11-04,15.06,15.06,14.5,14.625,269000,56.2,77.45,39.14,44.53,66
1994-11-11,14.625,14.625,14.06,14.125,313400,50.79,77.45,39.14,30.41,67
1994-11-18,14.19,14.19,13.75,13.81,234600,47.68,77.45,39.14,22.28,68
1994-11-25,13.81,13.81,13.31,13.625,420800,45.9,77.45,39.14,17.63,69
1994-12-02,13.625,13.81,13.5,13.5,182600,44.68,77.45,39.14,14.46,70
1994-12-09,13.625,13.69,12.875,12.875,322200,39.11,77.45,39.11,0.0,71
1994-12-16,12.81,13.25,12.69,13.25,200800,43.65,77.45,39.11,11.84,72
1994-12-23,13.25,13.875,13.0,13.875,364000,50.3,77.45,39.11,29.19,73
1994-12-30,13.875,14.25,13.5,14.25,93800,53.82,77.45,39.11,38.37,74
1995-01-06,14.25,14.25,13.31,13.5,453600,46.7,77.45,39.11,19.78,75
1995-01-13,13.625,13.625,13.0,13.31,139800,45.07,77.45,39.11,15.54,76
1995-01-20,13.375,13.375,13.06,13.19,171200,44.02,77.45,39.11,12.81,77
1995-01-27,13.19,14.06,13.06,13.875,193000,51.0,77.45,39.11,31.01,78
1995-02-03,13.875,13.875,13.69,13.81,279000,50.36,77.45,39.11,29.34,79
1995-02-10,13.81,13.81,12.0,12.94,1356400,42.63,77.45,39.11,9.18,80
1995-02-17,12.94,13.06,12.44,12.94,621400,42.63,77.45,39.11,9.18,81
1995-02-24,13.06,13.19,12.875,13.06,198200,44.01,77.45,39.11,12.77,82
1995-03-03,13.0,13.0,12.625,12.75,439400,41.26,77.45,39.11,5.59,83
1995-03-10,12.75,12.75,12.375,12.44,254800,38.65,77.45,38.65,0.0,84
1995-03-17,12.375,12.875,12.0,12.75,543200,42.56,77.45,38.65,10.06,85
1995-03-24,12.625,13.0,12.31,12.5,145600,40.33,77.45,38.65,4.31,86
1995-03-31,12.44,13.06,12.44,13.06,213200,47.02,77.45,38.65,21.56,87
1995-04-07,13.0,13.125,12.75,13.125,270600,47.75,77.45,38.65,23.45,88
1995-04-13,13.06,13.375,13.06,13.125,641800,47.75,77.45,38.65,23.45,89
1995-04-21,13.125,13.125,11.875,12.0,867000,37.38,77.45,37.38,0.0,90
1995-04-28,12.0,12.31,11.69,11.94,1226000,36.92,77.45,36.92,0.0,91
1995-05-05,11.875,12.56,11.69,12.44,1085600,43.2,77.45,36.92,15.49,92
1995-05-12,12.375,12.94,12.375,12.94,622800,48.7,77.45,36.92,29.07,93
1995-05-19,12.875,13.0,12.69,12.875,665800,48.05,77.45,36.92,27.46,94
1995-05-26,12.875,13.0,12.69,12.94,296200,48.79,77.45,36.92,29.28,95
1995-06-02,12.94,13.19,11.94,12.0,1103600,39.95,77.45,36.92,7.48,96
1995-06-09,11.875,11.94,11.06,11.31,882400,34.95,77.45,34.95,0.0,97
1995-06-16,11.31,11.5,10.94,11.0,528200,32.95,77.45,32.95,0.0,98
1995-06-23,10.875,11.19,10.69,10.94,590400,32.56,77.45,32.56,0.0,99
1995-06-30,10.875,11.25,10.875,11.0,509000,33.41,77.45,32.56,1.88,100
1995-07-07,10.94,11.125,10.75,11.125,384800,35.23,77.45,32.56,5.93,101
1995-07-14,11.125,11.69,11.0,11.625,674200,42.04,77.45,32.56,21.12,102
1995-07-21,11.56,11.94,11.375,11.44,386400,40.35,77.45,32.56,17.35,103
1995-07-28,11.31,11.625,11.0,11.06,298800,37.05,77.45,32.56,10.0,104
1995-08-04,11.125,11.125,10.69,10.81,569400,35.02,77.45,32.56,5.48,105
1995-08-11,10.69,11.125,10.625,11.0,360000,37.81,77.45,32.56,11.69,106
1995-08-18,10.94,11.44,10.81,11.25,549800,41.37,77.45,32.56,19.63,107
1995-08-25,11.25,11.31,11.06,11.19,565800,40.77,77.45,32.56,18.28,108
1995-09-01,11.19,11.25,10.75,10.75,262200,36.56,77.45,32.56,8.9,109
1995-09-08,10.81,11.5,10.75,11.31,386800,44.43,77.45,32.56,26.43,110
1995-09-15,11.31,11.31,11.06,11.31,463200,44.43,77.45,32.56,26.43,111
1995-09-22,11.31,11.94,11.19,11.75,381000,50.07,77.45,32.56,39.01,112
1995-09-29,11.875,12.19,11.69,12.125,315000,54.33,77.45,32.56,48.5,113
1995-10-06,12.06,12.06,11.375,11.56,322000,47.73,77.45,32.56,33.78,114
1995-10-13,11.625,11.69,11.25,11.625,302800,48.5,77.45,32.56,35.51,115
1995-10-20,11.625,11.875,11.625,11.625,128600,48.5,77.45,32.56,35.51,116
1995-10-27,11.625,11.81,11.56,11.81,196400,50.91,77.45,32.56,40.87,117
1995-11-03,11.75,12.125,11.5,12.125,264000,54.78,77.45,32.56,49.49,118
1995-11-10,12.19,12.25,12.06,12.19,118600,55.56,77.45,32.56,51.23,119
1995-11-17,12.25,12.625,12.0,12.25,430000,56.3,77.45,32.56,52.9,120
1995-11-24,12.31,12.31,12.0,12.06,161400,53.25,77.45,32.56,46.09,121
1995-12-01,12.06,12.375,11.81,11.81,199600,49.44,77.45,32.56,37.61,122
1995-12-08,11.875,12.25,11.375,12.0,428400,52.24,77.45,32.56,43.83,123
1995-12-15,11.94,11.94,11.375,11.5,174400,45.17,77.45,32.56,28.08,124
1995-12-22,11.375,11.375,10.69,10.94,557200,38.83,77.45,32.56,13.96,125
1995-12-29,10.94,11.0,10.44,11.0,402000,39.8,77.45,32.56,16.13,126
1996-01-05,10.94,11.44,10.94,11.06,199600,40.82,77.45,32.56,18.39,127
1996-01-12,11.06,11.19,10.94,11.0,167400,40.09,77.45,32.56,16.77,128
1996-01-19,11.0,11.31,10.875,11.19,121600,43.53,77.45,32.56,24.43,129
1996-01-26,11.19,11.19,10.75,10.94,267400,40.26,77.45,32.56,17.14,130
1996-02-02,10.875,11.44,10.875,11.44,365000,48.58,77.45,32.56,35.69,131
1996-02-09,11.31,12.125,11.06,12.06,669800,56.65,77.45,32.56,53.66,132
1996-02-16,12.06,12.5,12.06,12.375,579000,60.07,77.45,32.56,61.3,133
1996-02-23,12.31,12.31,11.81,12.25,178600,58.11,77.45,32.56,56.92,134
1996-03-01,12.31,12.31,11.69,11.875,202400,52.56,77.45,32.56,44.56,135
1996-03-08,11.875,12.5,11.875,11.875,295000,52.56,77.45,32.56,44.56,136
1996-03-15,11.875,12.125,11.75,11.875,588800,52.56,77.45,32.56,44.56,137
1996-03-22,11.875,11.875,11.56,11.81,256800,51.5,77.45,32.56,42.18,138
1996-03-29,11.94,12.31,11.56,12.19,161200,56.98,77.45,32.56,54.41,139
1996-04-04,12.25,12.44,12.0,12.31,104600,58.58,77.45,32.56,57.96,140
1996-04-12,12.25,13.06,12.0,12.81,728600,64.48,77.45,32.56,71.11,141
1996-04-19,12.81,13.31,12.81,13.31,276400,69.21,77.45,32.56,81.64,142
1996-04-26,13.375,14.19,13.19,14.06,653400,74.65,77.45,32.56,93.78,143
1996-05-03,14.0,14.19,13.875,14.06,527600,74.65,77.45,32.56,93.78,144
1996-05-10,14.06,14.06,13.69,14.06,232200,74.65,77.45,32.56,93.78,145
1996-05-17,14.0,14.19,14.0,14.06,120800,74.65,77.45,32.56,93.78,146
1996-05-24,14.06,14.19,14.0,14.125,191000,75.17,77.45,32.56,94.92,147
1996-05-31,14.0,14.5,14.0,14.375,110000,77.08,77.45,32.56,99.2,148
1996-06-07,14.31,14.56,14.25,14.375,128600,77.08,77.45,32.56,99.2,149
1996-06-14,14.375,14.44,14.19,14.19,479200,72.29,77.45,32.56,88.52,150
1996-06-21,14.125,14.19,13.56,13.56,219600,58.87,77.45,32.56,58.62,151
1996-06-28,13.56,14.25,13.5,14.25,279600,66.26,77.45,32.56,75.08,152
1996-07-05,14.125,14.25,13.94,13.94,353800,60.96,77.45,32.56,63.27,153
1996-07-12,13.875,13.875,13.0,13.0,488200,48.34,77.45,32.56,35.15,154
1996-07-19,13.0,13.06,12.25,12.25,197000,41.04,77.45,32.56,18.88,155
1996-07-26,12.25,12.44,11.44,12.0,361600,38.93,77.45,32.56,14.18,156
1996-08-02,12.0,12.75,12.0,12.69,200200,47.03,77.45,32.56,32.22,157
1996-08-09,12.69,13.0,12.69,13.0,90400,50.22,77.45,32.56,39.34,158
1996-08-16,13.0,13.0,12.875,12.94,152800,49.6,77.45,32.56,37.95,159
1996-08-23,12.875,13.19,12.875,13.125,75000,51.59,77.45,32.56,42.39,160
1996-08-30,13.125,13.25,13.0,13.19,149200,52.31,77.45,32.56,43.98,161
1996-09-06,13.125,13.375,13.06,13.31,64800,53.66,77.45,32.56,47.01,162
1996-09-13,13.31,13.5,13.25,13.5,110400,55.81,77.45,32.56,51.8,163
1996-09-20,13.5,13.5,13.19,13.375,279800,54.04,77.45,32.56,47.84,164
1996-09-27,13.25,13.375,13.125,13.31,82000,53.09,77.45,32.56,45.74,165
1996-10-04,13.25,13.5,13.25,13.31,207200,53.09,77.45,32.56,45.74,166
1996-10-11,13.31,13.625,13.25,13.625,131400,57.29,77.45,32.56,55.09,167
1996-10-18,13.56,13.56,13.19,13.375,199800,53.22,77.45,32.56,46.02,168
1996-10-25,13.31,13.5,13.25,13.25,401400,51.26,77.45,32.56,41.65,169
1996-11-01,13.25,13.5,13.125,13.31,294400,52.17,77.45,32.56,43.68,170
1996-11-08,13.25,13.625,12.75,13.5,175000,55.04,77.45,32.56,50.07,171
1996-11-15,13.56,13.56,12.94,13.0,147000,47.05,77.45,32.56,32.27,172
1996-11-22,13.0,13.06,12.625,12.75,179000,43.63,77.45,32.56,24.66,173
1996-11-29,12.81,13.06,12.81,12.94,1718000,46.79,77.45,32.56,31.7,174
1996-12-06,12.875,13.0,12.69,12.81,257000,44.94,77.45,32.56,27.57,175
1996-12-13,12.75,12.94,12.625,12.625,146000,42.36,77.45,32.56,21.83,176
1996-12-20,12.625,12.625,11.75,12.0,773400,35.06,77.45,32.56,5.56,177
1996-12-27,12.0,12.0,11.5,11.75,470400,32.63,77.45,32.56,0.15,178
1997-01-03,11.69,12.125,11.69,12.0,341600,37.3,77.45,32.56,10.56,179
1997-01-10,12.0,12.5,11.81,11.875,655000,35.96,77.45,32.56,7.57,180
1997-01-17,11.875,11.94,11.625,11.81,374800,35.25,77.45,32.56,5.98,181
1997-01-24,11.81,12.19,11.75,12.06,1037800,40.15,77.45,32.56,16.89,182
1997-01-31,12.06,13.25,12.0,13.19,953600,56.25,77.45,32.56,52.77,183
1997-02-07,13.125,14.375,13.06,13.75,906200,61.74,77.45,32.56,65.01,184
1997-02-14,13.75,14.375,13.125,14.25,2187000,65.86,77.45,32.56,74.2,185
1997-02-21,14.31,14.31,13.875,14.0,796800,62.25,77.45,32.56,66.15,186
1997-02-28,13.875,14.875,13.81,14.625,1223000,67.11,77.45,32.56,76.97,187
1997-03-07,14.625,15.44,14.44,15.31,966800,71.44,77.45,32.56,86.63,188
1997-03-14,15.31,15.56,15.125,15.44,720600,72.19,77.45,32.56,88.3,189
1997-03-21,15.375,16.44,15.06,15.94,1767400,74.92,77.45,32.56,94.37,190
1997-03-27,15.94,16.06,15.5,15.5,633200,68.55,77.45,32.56,80.18,191
1997-04-04,15.44,15.75,15.25,15.31,700000,65.94,77.45,32.56,74.38,192
1997-04-11,15.31,15.625,15.19,15.25,672200,65.1,77.45,32.56,72.5,193
1997-04-18,15.125,15.875,14.94,15.875,563000,69.47,77.45,32.56,82.24,194
1997-04-25,15.875,16.06,15.56,15.94,422800,69.9,77.45,32.56,83.18,195
1997-05-02,15.875,15.94,15.625,15.81,318400,67.87,77.45,32.56,78.67,196
1997-05-09,15.81,16.31,15.56,16.31,818400,71.31,77.45,32.56,86.33,197
1997-05-16,16.44,17.06,16.375,16.81,915000,74.28,77.45,32.56,92.94,198
1997-05-23,16.81,17.31,16.69,17.19,616600,76.28,77.45,32.56,97.41,199
1997-05-30,17.19,17.625,17.125,17.44,145000,77.52,77.52,32.56,100.0,200
1997-06-06,17.44,17.875,17.44,17.69,1103400,78.72,78.72,32.56,100.0,201
1997-06-13,17.75,18.125,17.625,18.125,462600,80.66,80.66,32.56,100.0,202
1997-06-20,18.125,19.69,18.125,18.81,4287600,83.24,83.24,32.56,100.0,203
1997-06-27,18.81,19.0,16.81,17.31,2097200,63.3,83.24,32.56,60.65,204
1997-07-03,17.47,17.94,17.22,17.94,506200,66.89,83.24,32.56,67.73,205
1997-07-11,18.0,18.44,17.94,18.0,744800,67.22,83.24,32.56,68.38,206
1997-07-18,18.0,18.06,17.69,17.69,371600,63.7,83.24,32.56,61.43,207
1997-07-25,17.625,19.625,17.345,18.405,2800800,67.88,83.24,32.56,69.68,208
1997-08-01,18.625,20.375,18.625,19.47,1876200,72.88,83.24,32.56,79.55,209
1997-08-08,19.47,20.125,18.75,19.06,2495200,68.46,83.24,32.56,70.83,210
1997-08-15,18.94,20.28,18.94,20.0,1475600,72.57,83.24,32.56,78.94,211
1997-08-22,19.94,20.0,19.345,19.56,628400,68.1,83.24,32.56,70.11,212
1997-08-29,19.56,21.06,19.56,20.44,697200,71.83,83.24,32.56,77.49,213
1997-09-05,20.405,20.72,19.94,20.19,530600,69.35,83.24,32.56,72.58,214
1997-09-12,20.06,22.0,20.03,21.5,5304600,74.36,83.24,32.56,82.47,215
1997-09-19,21.56,21.875,20.97,21.78,2111200,75.29,83.24,32.56,84.3,216
1997-09-26,21.81,22.94,21.5,21.5,1808600,72.46,83.24,32.56,78.72,217
1997-10-03,21.53,22.125,21.25,21.875,1392200,73.87,83.24,32.56,81.51,218
1997-10-10,21.94,22.155,21.625,22.0,1349800,74.35,83.24,32.56,82.45,219
1997-10-17,21.97,22.44,21.94,22.19,574000,75.09,83.24,32.56,83.9,220
1997-10-24,22.19,23.125,22.06,22.845,814600,77.49,83.24,32.56,88.65,221
1997-10-31,22.75,24.25,20.81,23.22,1496400,78.76,83.24,32.56,91.15,222
1997-11-07,23.25,23.81,22.5,22.72,923200,72.88,83.24,32.56,79.54,223
1997-11-14,22.69,22.94,22.375,22.625,467000,71.78,83.24,32.56,77.38,224
1997-11-21,22.75,24.0,22.75,24.0,1501000,77.14,83.24,32.56,87.96,225
