Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2021-04-23,9.9,9.9908,9.9,9.91,23418,,,,,0
2021-04-30,9.91,9.93,9.9,9.93,15267,,,,,0
2021-05-07,9.93,9.95,9.9,9.9,58631,,,,,0
2021-05-14,9.93,9.93,9.8,9.8,353920,,,,,0
2021-05-21,9.8,10.04,9.78,9.8,12231,,,,,0
2021-05-28,9.8,10.39,9.75,9.76,31112,,,,,0
2021-06-04,10.05,10.05,9.71,9.86,213973,,,,,0
2021-06-11,9.82,9.84,9.73,9.765,199913,,,,,0
2021-06-18,9.8,9.8,9.75,9.75,41635,,,,,0
2021-06-25,9.76,9.785,9.73,9.74,46795,,,,,0
2021-07-02,9.72,9.75,9.7,9.7,227109,,,,,0
2021-07-09,9.7,9.765,9.67,9.73,94880,,,,,0
2021-07-16,9.77,9.84,9.76,9.8,10884,,,,,0
2021-07-23,9.78,9.91,9.72,9.79,538172,,,,,0
2021-07-30,9.77,9.77,9.64,9.71,480303,34.38,34.38,34.38,,1
2021-08-06,9.74,9.74,9.66,9.71,68469,34.38,34.38,34.38,,2
2021-08-13,9.65,9.73,9.65,9.705,297976,34.07,34.38,34.07,0.0,3
2021-08-20,9.66,9.73,9.63,9.69,98432,33.11,34.38,33.11,0.0,4
2021-08-27,9.65,9.7,9.62,9.68,62331,32.45,34.38,32.45,0.0,5
2021-09-03,9.65,9.73,9.65,9.73,66375,38.97,38.97,32.45,100.0,6
2021-09-10,9.69,9.74,9.63,9.74,134223,40.21,40.21,32.45,100.0,7
2021-09-17,9.74,9.8,9.73,9.78,1242361,45.03,45.03,32.45,100.0,8
2021-09-24,9.79,9.79,9.7,9.77,295169,44.08,45.03,32.45,92.4,9
2021-10-01,9.77,9.77,9.75,9.77,15203,44.08,45.03,32.45,92.4,10
2021-10-08,9.72,9.925,9.72,9.85,11810759,53.29,53.29,32.45,100.0,11
2021-10-15,9.89,9.91,9.85,9.85,2252105,53.29,53.29,32.45,100.0,12
2021-10-22,9.87,10.1,9.8601,10.075,8712926,69.61,69.61,32.45,100.0,13
2021-10-29,10.09,10.74,10.04,10.52,6005569,82.58,82.58,32.45,100.0,14
2021-11-05,10.67,10.83,10.22,10.75,5432044,85.92,85.92,32.45,100.0,15
2021-11-12,11.6,11.62,10.34,10.55,6959207,72.83,85.92,32.45,75.52,16
2021-11-19,10.64,12.75,10.44,11.88,17162778,87.01,87.01,32.45,100.0,17
2021-11-26,11.83,12.0,10.47,10.49,4564099,54.82,87.01,32.45,41.0,18
2021-12-03,10.6,11.01,10.1835,10.31,3792198,52.13,87.01,32.45,36.07,19
2021-12-10,10.39,11.02,10.245,10.73,2773460,57.38,87.01,32.45,45.7,20
2021-12-17,10.85,10.85,10.25,10.34,2174050,51.71,87.01,32.45,35.3,21
2021-12-23,10.25,10.56,10.21,10.35,2533305,51.84,87.01,32.45,35.54,22
2021-12-31,10.35,10.49,10.16,10.29,2246272,50.94,87.01,32.45,33.89,23
2022-01-07,10.33,10.54,10.14,10.25,2162523,50.32,87.01,32.45,32.75,24
2022-01-14,10.2,10.2,9.95,9.98,2850729,46.2,87.01,32.45,25.2,25
2022-01-21,9.97,10.0,9.9,9.9,1093161,45.02,87.01,32.45,23.04,26
2022-01-28,9.9,9.96,9.84,9.95,3020491,45.95,87.01,32.45,24.74,27
2022-02-04,9.9,9.99,9.89,9.93,1116785,45.62,87.01,32.45,24.13,28
