Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1983-12-02,0.8333,1.2374,0.825,1.2374,474,,,,,0
1983-12-09,1.2374,1.4062,1.2374,1.3676,10266,,,,,0
1983-12-16,1.3676,1.4062,1.302,1.302,5022,,,,,0
1983-12-23,1.302,1.302,1.1458,1.1458,7955,,,,,0
1983-12-30,1.1593,1.2895,1.1593,1.2895,5155,,,,,0
1984-01-06,1.276,1.3281,1.2499,1.3281,3422,,,,,0
1984-01-13,1.3281,1.3541,1.2895,1.2895,7111,,,,,0
1984-01-20,1.3281,1.3937,1.3281,1.3676,2843,,,,,0
1984-01-27,1.3937,1.4583,1.3937,1.4062,4977,,,,,0
1984-02-03,1.4062,1.4062,1.3541,1.3937,1422,,,,,0
1984-02-10,1.3937,1.4062,1.2239,1.2239,4089,,,,,0
1984-02-17,1.2114,1.3281,1.1593,1.3281,12046,,,,,0
1984-02-24,1.2895,1.2895,1.2499,1.276,622,,,,,0
1984-03-02,1.2895,1.3281,1.2895,1.3281,14176,,,,,0
1984-03-09,1.3281,1.3281,1.276,1.3281,889,54.19,54.19,54.19,,1
1984-03-16,1.302,1.302,1.2895,1.2895,3556,52.19,54.19,52.19,0.0,2
1984-03-23,1.2895,1.302,1.2635,1.2895,1511,52.19,54.19,52.19,0.0,3
1984-03-30,1.2635,1.3281,1.2499,1.3281,6443,54.16,54.19,52.19,98.1,4
1984-04-06,1.3541,1.4197,1.3541,1.3676,2889,56.15,56.15,52.19,100.0,5
1984-04-13,1.3676,1.4458,1.3676,1.4458,52179,59.87,59.87,52.19,100.0,6
1984-04-19,1.4458,1.628,1.4458,1.6145,36933,66.47,66.47,52.19,100.0,7
1984-04-27,1.6145,1.7062,1.576,1.6926,26267,69.01,69.01,52.19,100.0,8
1984-05-04,1.6926,1.7968,1.6541,1.6541,78267,66.34,69.01,52.19,84.11,9
1984-05-11,1.6541,1.6541,1.6145,1.6145,10845,63.62,69.01,52.19,67.92,10
1984-05-18,1.628,1.6666,1.628,1.628,6845,64.16,69.01,52.19,71.14,11
1984-05-25,1.628,1.628,1.5885,1.5885,17333,61.28,69.01,52.19,54.05,12
1984-06-01,1.5885,1.6145,1.5364,1.576,4533,60.36,69.01,52.19,48.58,13
1984-06-08,1.576,1.628,1.576,1.5885,6755,60.99,69.01,52.19,52.33,14
1984-06-15,1.576,1.6145,1.5499,1.5885,16489,60.99,69.01,52.19,52.33,15
