Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1996-01-05,0.5512,0.5923,0.5512,0.5923,22100,,,,,0
1996-01-12,0.5879,0.5971,0.5879,0.5923,29500,,,,,0
1996-01-19,0.5923,0.5923,0.5512,0.5512,73800,,,,,0
1996-01-26,0.5512,0.5971,0.5468,0.5971,242300,,,,,0
1996-02-02,0.6019,0.6845,0.6019,0.6706,162200,,,,,0
1996-02-09,0.6798,0.7533,0.6658,0.7257,235900,,,,,0
1996-02-16,0.7305,0.7864,0.7246,0.7246,271500,,,,,0
1996-02-23,0.6916,0.7151,0.6867,0.6966,124800,,,,,0
1996-03-01,0.6966,0.6966,0.6253,0.6299,201300,,,,,0
1996-03-08,0.6348,0.6397,0.6064,0.6208,62200,,,,,0
1996-03-15,0.6208,0.6348,0.6159,0.6299,171600,,,,,0
1996-03-22,0.6348,0.6348,0.6064,0.6064,132700,,,,,0
1996-03-29,0.6159,0.6159,0.5829,0.5924,108400,,,,,0
1996-04-04,0.5924,0.5924,0.5829,0.5874,31000,,,,,0
1996-04-12,0.5874,0.5874,0.578,0.5829,326700,48.75,48.75,48.75,,1
1996-04-19,0.5829,0.6632,0.578,0.6583,811100,57.84,57.84,48.75,100.0,2
1996-04-26,0.6678,0.7201,0.6583,0.6727,474100,59.32,59.32,48.75,100.0,3
1996-05-03,0.6822,0.739,0.6822,0.7011,474600,62.15,62.15,48.75,100.0,4
1996-05-10,0.706,0.7151,0.6822,0.6916,231000,60.64,62.15,48.75,88.7,5
1996-05-17,0.7011,0.7011,0.6649,0.6649,199400,56.45,62.15,48.75,57.47,6
1996-05-24,0.6603,0.6649,0.6456,0.6552,90400,54.98,62.15,48.75,46.49,7
1996-05-31,0.6506,0.6791,0.6506,0.6745,117800,57.37,62.15,48.75,64.35,8
1996-06-07,0.6695,0.6745,0.6263,0.6506,642700,53.57,62.15,48.75,35.98,9
1996-06-14,0.6406,0.6649,0.6071,0.6071,670900,47.4,62.15,47.4,0.0,10
1996-06-21,0.6071,0.6313,0.6024,0.6117,287500,48.09,62.15,47.4,4.63,11
1996-06-28,0.6117,0.6213,0.5735,0.6071,337500,47.42,62.15,47.4,0.13,12
1996-07-05,0.6117,0.6213,0.5974,0.5974,137300,46.0,62.15,46.0,0.0,13
1996-07-12,0.5928,0.5974,0.5782,0.5782,163500,43.2,62.15,43.2,0.0,14
1996-07-19,0.5782,0.5928,0.5685,0.5828,84100,44.08,62.15,43.2,4.63,15
1996-07-26,0.5782,0.5828,0.5635,0.5828,332800,44.08,62.15,43.2,4.63,16
1996-08-02,0.5878,0.5928,0.5685,0.5828,185100,44.08,62.15,43.2,4.63,17
1996-08-09,0.5878,0.5878,0.5828,0.5878,75200,45.23,62.15,43.2,10.68,18
1996-08-16,0.5828,0.6039,0.5782,0.5988,32600,47.75,62.15,43.2,24.0,19
1996-08-23,0.6039,0.6039,0.5937,0.5937,129800,46.67,62.15,43.2,18.32,20
1996-08-30,0.5889,0.5988,0.5642,0.5988,121000,47.94,62.15,43.2,24.99,21
1996-09-06,0.5937,0.5937,0.5842,0.5889,54000,45.69,62.15,43.2,13.14,22
1996-09-13,0.5889,0.5889,0.5497,0.574,102600,42.44,62.15,42.44,0.0,23
1996-09-20,0.5791,0.5937,0.5693,0.5791,138700,43.91,62.15,42.44,7.47,24
1996-09-27,0.5842,0.5842,0.5642,0.5642,45400,40.64,62.15,40.64,0.0,25
1996-10-04,0.5693,0.5693,0.5497,0.5595,41400,39.64,62.15,39.64,0.0,26
1996-10-11,0.5642,0.574,0.5548,0.5642,70400,41.2,62.15,39.64,6.95,27
1996-10-18,0.5642,0.5693,0.5595,0.5595,47800,40.08,62.15,39.64,1.98,28
1996-10-25,0.5642,0.5642,0.5497,0.5548,118900,38.94,62.15,38.94,0.0,29
1996-11-01,0.5595,0.5642,0.545,0.5497,79900,37.69,62.15,37.69,0.0,30
1996-11-08,0.5497,0.5842,0.5399,0.5791,304500,48.05,62.15,37.69,42.34,31
1996-11-15,0.5791,0.6134,0.5791,0.603,547500,54.64,62.15,37.69,69.29,32
1996-11-22,0.6082,0.6381,0.603,0.6282,392300,60.34,62.15,37.69,92.57,33
1996-11-29,0.6381,0.6533,0.6182,0.6481,262900,64.18,64.18,37.69,100.0,34
1996-12-06,0.6429,0.6429,0.603,0.6082,203900,53.1,64.18,37.69,58.15,35
1996-12-13,0.6082,0.6134,0.5883,0.5883,89400,48.58,64.18,37.69,41.09,36
1996-12-20,0.5935,0.5935,0.5584,0.5683,117800,44.5,64.18,37.69,25.7,37
1996-12-27,0.5731,0.5731,0.5636,0.5731,75700,45.68,64.18,37.69,30.15,38
1997-01-03,0.5831,0.6234,0.5731,0.6234,70800,56.2,64.18,37.69,69.86,39
1997-01-10,0.6234,0.6429,0.6182,0.6381,149500,58.72,64.18,37.69,79.4,40
1997-01-17,0.6282,0.6832,0.6182,0.6832,431000,65.31,65.31,37.69,100.0,41
1997-01-24,0.678,0.6832,0.6581,0.6681,191200,61.74,65.31,37.69,87.08,42
1997-01-31,0.6681,0.6681,0.6182,0.6481,241700,57.31,65.31,37.69,71.03,43
1997-02-07,0.6381,0.6832,0.633,0.678,206100,61.75,65.31,37.69,87.1,44
1997-02-14,0.6832,0.6832,0.6497,0.67,135200,59.94,65.31,37.69,80.55,45
1997-02-21,0.6748,0.6903,0.6651,0.6748,64300,60.69,65.31,37.69,83.26,46
1997-02-28,0.6801,0.6955,0.6748,0.6903,234200,63.04,65.31,37.69,91.8,47
1997-03-07,0.6854,0.6903,0.67,0.6903,160800,63.04,65.31,37.69,91.8,48
1997-03-14,0.7004,0.7154,0.6854,0.7004,104500,64.66,65.31,37.69,97.66,49
1997-03-21,0.7004,0.7004,0.6748,0.6748,65200,57.8,65.31,37.69,72.8,50
1997-03-27,0.6801,0.6955,0.6801,0.6854,36100,59.7,65.31,37.69,79.69,51
1997-04-04,0.6854,0.6955,0.6854,0.6955,22500,61.49,65.31,37.69,86.19,52
1997-04-11,0.6955,0.7154,0.6801,0.7053,291300,63.19,65.31,37.69,92.33,53
1997-04-18,0.7053,0.7309,0.7053,0.726,299700,66.56,66.56,37.69,100.0,54
1997-04-25,0.726,0.7309,0.7106,0.7207,88900,64.93,66.56,37.69,94.35,55
1997-05-02,0.7154,0.741,0.7154,0.7357,200200,67.38,67.38,37.69,100.0,56
1997-05-09,0.741,0.7463,0.726,0.726,189000,64.24,67.38,37.69,89.43,57
1997-05-16,0.7309,0.7763,0.7309,0.7451,369400,67.44,67.44,37.69,100.0,58
1997-05-23,0.7451,0.8279,0.7347,0.8072,277900,75.21,75.21,37.69,100.0,59
1997-05-30,0.8072,0.8229,0.7968,0.8072,82200,75.21,75.21,37.69,100.0,60
1997-06-06,0.8072,0.8535,0.8072,0.8229,300400,76.83,76.83,37.69,100.0,61
