Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1974-07-26,0.3862,0.4088,0.3862,0.3862,49856,,,,,0
1974-08-02,0.3862,0.3933,0.3416,0.3713,858480,,,,,0
1974-08-09,0.3565,0.3785,0.3416,0.3713,264880,,,,,0
1974-08-16,0.3713,0.3785,0.3416,0.3565,495440,,,,,0
1974-08-23,0.3565,0.3713,0.3339,0.3416,570160,,,,,0
1974-08-30,0.3416,0.3713,0.3416,0.3713,561680,,,,,0
1974-09-06,0.3713,0.3785,0.3416,0.3713,313200,,,,,0
1974-09-13,0.3565,0.3565,0.3339,0.3416,591200,,,,,0
1974-09-20,0.3416,0.3487,0.3339,0.3416,441040,,,,,0
1974-09-27,0.3416,0.3487,0.3339,0.3416,267680,,,,,0
1974-10-04,0.3339,0.3339,0.2971,0.3048,456480,,,,,0
1974-10-11,0.3048,0.3339,0.2971,0.3196,588080,,,,,0
1974-10-18,0.3196,0.3339,0.2971,0.2971,572400,,,,,0
1974-10-25,0.2971,0.2971,0.2751,0.2822,322880,,,,,0
1974-11-01,0.2751,0.2971,0.2602,0.2751,375760,22.26,22.26,22.26,,1
1974-11-08,0.2751,0.3048,0.2751,0.2971,360160,30.48,30.48,22.26,100.0,2
1974-11-15,0.3048,0.3339,0.2971,0.3048,248480,33.15,33.15,22.26,100.0,3
1974-11-22,0.2971,0.2971,0.2751,0.2971,200160,31.83,33.15,22.26,87.9,4
1974-11-29,0.2971,0.3119,0.2971,0.2971,96320,31.83,33.15,22.26,87.9,5
1974-12-06,0.2971,0.2971,0.2751,0.2822,330320,29.24,33.15,22.26,64.09,6
1974-12-13,0.2822,0.2971,0.2751,0.2822,391520,29.24,33.15,22.26,64.09,7
1974-12-20,0.2822,0.3339,0.2822,0.3339,457200,46.75,46.75,22.26,100.0,8
1974-12-27,0.3339,0.3416,0.3119,0.3416,125040,48.79,48.79,22.26,100.0,9
1975-01-03,0.3339,0.3416,0.3119,0.3339,117920,46.86,48.79,22.26,92.72,10
1975-01-10,0.3339,0.3416,0.2971,0.3048,208560,40.37,48.79,22.26,68.25,11
1975-01-17,0.3048,0.3196,0.3048,0.3048,218800,40.37,48.79,22.26,68.25,12
1975-01-24,0.3048,0.3196,0.2971,0.3196,649920,44.88,48.79,22.26,85.28,13
1975-01-31,0.3416,0.3785,0.3416,0.3565,1279360,54.16,54.16,22.26,100.0,14
1975-02-07,0.3713,0.4753,0.3713,0.4533,1767680,68.95,68.95,22.26,100.0,15
1975-02-14,0.4533,0.4753,0.4533,0.4604,1153360,69.73,69.73,22.26,100.0,16
1975-02-21,0.4533,0.4753,0.4307,0.4753,932320,71.33,71.33,22.26,100.0,17
1975-02-28,0.4902,0.5199,0.4902,0.4973,809520,73.56,73.56,22.26,100.0,18
1975-03-07,0.4973,0.5941,0.4973,0.5941,2189760,80.7,80.7,22.26,100.0,19
1975-03-14,0.6018,0.6167,0.5418,0.5793,1588160,77.25,80.7,22.26,94.11,20
1975-03-21,0.5793,0.609,0.5567,0.5644,938320,73.86,80.7,22.26,88.3,21
1975-03-27,0.5567,0.5941,0.5199,0.5715,644160,74.44,80.7,22.26,89.29,22
1975-04-04,0.5941,0.6018,0.5644,0.5644,595360,72.7,80.7,22.26,86.32,23
1975-04-11,0.5567,0.6018,0.5567,0.6018,423760,75.89,80.7,22.26,91.77,24
1975-04-18,0.6018,0.6387,0.5793,0.6167,1143680,77.03,80.7,22.26,93.73,25
1975-04-25,0.6167,0.6387,0.6018,0.6387,453280,78.65,80.7,22.26,96.49,26
1975-05-02,0.6387,0.6464,0.6238,0.6387,411280,78.65,80.7,22.26,96.49,27
1975-05-09,0.6387,0.6684,0.6238,0.6535,533120,79.76,80.7,22.26,98.4,28
1975-05-16,0.6535,0.6684,0.6464,0.6684,396000,80.84,80.84,22.26,100.0,29
1975-05-23,0.6684,0.6684,0.6238,0.6464,534480,74.51,80.84,22.26,89.2,30
1975-05-30,0.6464,0.6535,0.6167,0.6238,334160,68.58,80.84,22.26,79.07,31
1975-06-06,0.6387,0.6904,0.6387,0.6832,742320,74.37,80.84,22.26,88.95,32
1975-06-13,0.6832,0.6832,0.6684,0.6832,383840,74.37,80.84,22.26,88.95,33
1975-06-20,0.6832,0.7278,0.6684,0.7201,959920,77.36,80.84,22.26,94.06,34
1975-06-27,0.7201,0.7872,0.7201,0.7575,980720,79.93,80.84,22.26,98.45,35
1975-07-03,0.7575,0.7801,0.7504,0.7504,483600,78.11,80.84,22.26,95.34,36
1975-07-11,0.7504,0.7504,0.7201,0.7278,372000,72.49,80.84,22.26,85.75,37
1975-07-18,0.7278,0.7504,0.6832,0.7052,938560,67.28,80.84,22.26,76.85,38
1975-07-25,0.6904,0.6904,0.6535,0.6535,616240,57.14,80.84,22.26,59.55,39
1975-08-01,0.6535,0.6684,0.6387,0.6464,267520,55.89,80.84,22.26,57.41,40
1975-08-08,0.6535,0.6684,0.6238,0.6464,240720,55.89,80.84,22.26,57.41,41
1975-08-15,0.6464,0.6684,0.6387,0.6535,341200,56.98,80.84,22.26,59.28,42
1975-08-22,0.6535,0.6684,0.6018,0.6018,994880,47.75,80.84,22.26,43.52,43
1975-08-29,0.6018,0.6387,0.5793,0.6387,558480,53.53,80.84,22.26,53.38,44
1975-09-05,0.6387,0.6387,0.6018,0.609,254480,48.84,80.84,22.26,45.38,45
1975-09-12,0.609,0.6167,0.4902,0.5418,2486000,40.26,80.84,22.26,30.72,46
1975-09-19,0.5418,0.5418,0.505,0.5199,202160,37.91,80.84,22.26,26.71,47
1975-09-26,0.4973,0.5199,0.4902,0.505,380800,36.36,80.84,22.26,24.08,48
1975-10-03,0.505,0.505,0.4533,0.505,349600,36.36,80.84,22.26,24.08,49
1975-10-10,0.505,0.5567,0.4973,0.5418,406400,43.04,80.84,22.26,35.47,50
1975-10-17,0.5567,0.5715,0.5567,0.5644,540880,46.72,80.84,22.26,41.77,51
1975-10-24,0.5644,0.5793,0.5567,0.5644,193440,46.72,80.84,22.26,41.77,52
1975-10-31,0.5644,0.6018,0.5567,0.6018,374400,52.62,80.84,22.26,51.83,53
1975-11-07,0.6018,0.6018,0.5793,0.5941,403600,51.36,80.84,22.26,49.68,54
1975-11-14,0.6018,0.6238,0.6018,0.6018,464880,52.58,80.84,22.26,51.77,55
1975-11-21,0.6018,0.6018,0.5941,0.5941,162320,51.19,80.84,22.26,49.4,56
1975-11-28,0.5941,0.6238,0.5941,0.6238,145520,56.01,80.84,22.26,57.62,57
1975-12-05,0.6167,0.6238,0.5793,0.5793,623280,48.31,80.84,22.26,44.47,58
1975-12-12,0.5793,0.6018,0.5644,0.5715,343520,47.1,80.84,22.26,42.41,59
1975-12-19,0.5715,0.5715,0.5347,0.5418,1684080,42.68,80.84,22.26,34.86,60
1975-12-26,0.5418,0.5418,0.5199,0.5418,204320,42.68,80.84,22.26,34.86,61
1976-01-02,0.5418,0.5567,0.5347,0.5567,196160,45.64,80.84,22.26,39.91,62
1976-01-09,0.5567,0.6018,0.5567,0.5941,514960,52.32,80.84,22.26,51.32,63
1976-01-16,0.5941,0.6018,0.5793,0.5941,341600,52.32,80.84,22.26,51.32,64
1976-01-23,0.5941,0.609,0.5941,0.6018,889040,53.68,80.84,22.26,53.64,65
1976-01-30,0.6018,0.609,0.6018,0.6018,354480,53.68,80.84,22.26,53.64,66
1976-02-06,0.6238,0.6959,0.6238,0.6498,853200,61.59,80.84,22.26,67.14,67
1976-02-13,0.6498,0.6684,0.6402,0.6498,612500,61.59,80.84,22.26,67.14,68
1976-02-20,0.6498,0.6498,0.6313,0.6402,597300,59.23,80.84,22.26,63.11,69
1976-02-27,0.6402,0.6498,0.6313,0.6402,864600,59.23,80.84,22.26,63.11,70
1976-03-05,0.6402,0.6498,0.6223,0.6223,533400,54.74,80.84,22.26,55.45,71
1976-03-12,0.6223,0.7427,0.6223,0.7055,2562800,67.23,80.84,22.26,76.76,72
1976-03-19,0.7055,0.7241,0.7055,0.7152,855800,68.32,80.84,22.26,78.63,73
1976-03-26,0.7152,0.7337,0.7055,0.7152,598700,68.32,80.84,22.26,78.63,74
1976-04-02,0.7055,0.7055,0.6498,0.6498,1032900,54.15,80.84,22.26,54.44,75
1976-04-09,0.6498,0.678,0.6402,0.6402,529600,52.42,80.84,22.26,51.48,76
1976-04-15,0.6402,0.6402,0.6223,0.6313,491200,50.8,80.84,22.26,48.73,77
1976-04-23,0.6402,0.678,0.6402,0.678,851000,58.1,80.84,22.26,61.18,78
1976-04-30,0.678,0.6959,0.6498,0.678,616100,58.1,80.84,22.26,61.18,79
1976-05-07,0.6684,0.7055,0.6498,0.7055,706400,61.94,80.84,22.26,67.74,80
1976-05-14,0.7055,0.7427,0.6959,0.7241,987300,64.32,80.84,22.26,71.8,81
1976-05-21,0.7241,0.7516,0.6959,0.7337,1601100,65.53,80.84,22.26,73.86,82
1976-05-28,0.7337,0.7337,0.6959,0.7241,512900,63.22,80.84,22.26,69.93,83
1976-06-04,0.7241,0.7241,0.678,0.678,496400,53.55,80.84,22.26,53.42,84
1976-06-11,0.678,0.6959,0.678,0.678,483700,53.55,80.84,22.26,53.42,85
1976-06-18,0.678,0.7427,0.678,0.7241,1354500,60.55,80.84,22.26,65.37,86
1976-06-25,0.7241,0.7337,0.7055,0.7241,516400,60.55,80.84,22.26,65.37,87
1976-07-02,0.7241,0.7337,0.7152,0.7241,763500,60.55,80.84,22.26,65.37,88
1976-07-09,0.7241,0.7241,0.6959,0.7055,283200,56.28,80.84,22.26,58.08,89
1976-07-16,0.7055,0.7241,0.6959,0.6959,1095300,54.14,80.84,22.26,54.43,90
1976-07-23,0.7241,0.7516,0.7152,0.7152,1200500,57.61,80.84,22.26,60.35,91
1976-07-30,0.7152,0.7337,0.6959,0.7152,217600,57.61,80.84,22.26,60.35,92
1976-08-06,0.7152,0.7241,0.678,0.7055,454100,55.19,80.84,22.26,56.21,93
1976-08-13,0.7055,0.7152,0.6959,0.7055,660700,55.19,80.84,22.26,56.21,94
1976-08-20,0.7055,0.7241,0.678,0.6959,367900,52.62,80.84,22.26,51.84,95
1976-08-27,0.6959,0.6959,0.6498,0.6498,507100,42.48,80.84,22.26,34.53,96
1976-09-03,0.6498,0.6959,0.6498,0.6959,582900,52.37,80.84,22.26,51.4,97
1976-09-10,0.678,0.678,0.6498,0.6684,163000,47.16,80.84,22.26,42.51,98
1976-09-17,0.6498,0.678,0.6402,0.6684,728300,47.16,80.84,22.26,42.51,99
1976-09-24,0.678,0.7241,0.678,0.6959,1110100,52.62,80.84,22.26,51.84,100
1976-10-01,0.6959,0.7055,0.6684,0.6684,404800,47.35,80.84,22.26,42.83,101
1976-10-08,0.6684,0.678,0.6223,0.6498,460800,44.13,80.84,22.26,37.34,102
1976-10-15,0.6498,0.6684,0.6402,0.6498,491100,44.13,80.84,22.26,37.34,103
1976-10-22,0.6498,0.6498,0.6223,0.6223,312200,39.52,80.84,22.26,29.47,104
1976-10-29,0.6223,0.6402,0.6127,0.6313,280200,41.65,80.84,22.26,33.11,105
1976-11-05,0.6313,0.6313,0.603,0.603,391200,37.19,80.84,22.26,25.49,106
1976-11-12,0.5941,0.5941,0.5666,0.5941,638400,35.88,80.84,22.26,23.25,107
1976-11-19,0.5852,0.5852,0.557,0.5666,453500,32.13,80.84,22.26,16.85,108
1976-11-26,0.5666,0.603,0.5473,0.603,555300,40.94,80.84,22.26,31.88,109
1976-12-03,0.5941,0.6313,0.5666,0.6313,898900,46.71,80.84,22.26,41.74,110
1976-12-10,0.6402,0.7152,0.6402,0.7055,1366600,58.28,80.84,22.26,61.48,111
1976-12-17,0.7055,0.7427,0.6684,0.678,747600,53.64,80.84,22.26,53.57,112
1976-12-23,0.678,0.7241,0.6684,0.7152,1540000,58.45,80.84,22.26,61.78,113
1976-12-31,0.7055,0.7055,0.6684,0.678,933700,52.57,80.84,22.26,51.75,114
1977-01-07,0.678,0.6959,0.6498,0.6498,545400,48.58,80.84,22.26,44.93,115
1977-01-14,0.6498,0.6684,0.6313,0.6402,1425700,47.25,80.84,22.26,42.67,116
1977-01-21,0.6402,0.6402,0.6127,0.6402,559900,47.25,80.84,22.26,42.67,117
1977-01-28,0.6402,0.6498,0.6223,0.6313,1348600,45.91,80.84,22.26,40.38,118
1977-02-04,0.6223,0.678,0.603,0.6684,1386600,52.02,80.84,22.26,50.8,119
1977-02-11,0.6684,0.678,0.6498,0.6684,776700,52.02,80.84,22.26,50.8,120
1977-02-18,0.6498,0.6684,0.6498,0.6498,617400,48.82,80.84,22.26,45.35,121
1977-02-25,0.6684,0.7152,0.6684,0.7152,1184600,58.49,80.84,22.26,61.84,122
1977-03-04,0.7152,0.7241,0.678,0.678,973100,52.43,80.84,22.26,51.5,123
1977-03-11,0.678,0.7337,0.678,0.7337,703400,59.25,80.84,22.26,63.14,124
1977-03-18,0.7337,0.7798,0.7241,0.7798,2038600,63.86,80.84,22.26,71.01,125
1977-03-25,0.7798,0.7894,0.7427,0.7612,3074100,60.87,80.84,22.26,65.91,126
1977-04-01,0.7612,0.7612,0.7241,0.7337,1350500,56.64,80.84,22.26,58.69,127
1977-04-07,0.7241,0.7241,0.678,0.7152,511100,53.91,80.84,22.26,54.04,128
