Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2006-03-17,23.95,25.12,23.45,25.01,8187300,,,,,0
2006-03-24,25.17,25.61,23.99,24.5,868000,,,,,0
2006-03-31,24.65,25.96,24.45,25.75,541500,,,,,0
2006-04-07,25.8,25.8,23.9,24.11,798000,,,,,0
2006-04-13,24.05,25.35,23.95,24.38,1087100,,,,,0
2006-04-21,24.39,26.1,23.98,25.45,1199300,,,,,0
2006-04-28,25.45,26.2,24.13,24.73,754400,,,,,0
2006-05-05,24.73,25.2,24.11,24.55,585500,,,,,0
2006-05-12,24.5,25.8,24.46,25.47,372200,,,,,0
2006-05-19,25.39,25.74,25.05,25.4,489500,,,,,0
2006-05-26,25.36,25.53,24.89,25.0,245400,,,,,0
2006-06-02,24.98,26.5,24.78,26.5,247100,,,,,0
2006-06-09,26.4,26.53,24.8,24.8,368000,,,,,0
2006-06-16,24.85,24.85,21.42,23.45,863800,,,,,0
2006-06-23,23.65,25.89,21.85,25.38,339000,51.37,51.37,51.37,,1
2006-06-30,25.4,26.73,23.95,23.95,1117200,46.11,51.37,46.11,0.0,2
2006-07-07,24.2,24.4,22.88,23.0,384300,42.97,51.37,42.97,0.0,3
2006-07-14,23.0,23.76,22.74,23.11,248900,43.45,51.37,42.97,5.73,4
2006-07-21,23.1,25.3,23.08,25.02,236700,51.15,51.37,42.97,97.42,5
2006-07-28,25.2,26.31,24.9,25.5,183300,52.89,52.89,42.97,100.0,6
2006-08-04,26.3,27.46,24.8,24.99,397600,50.82,52.89,42.97,79.16,7
2006-08-11,24.9,24.96,22.96,23.56,146000,45.46,52.89,42.97,25.08,8
2006-08-18,23.71,24.3,23.65,23.82,129700,46.56,52.89,42.97,36.21,9
2006-08-25,23.65,23.65,22.25,22.61,109300,42.27,52.89,42.27,0.0,10
2006-09-01,22.82,23.01,22.12,22.17,164900,40.8,52.89,40.8,0.0,11
2006-09-08,22.13,24.53,22.13,23.95,155000,48.6,52.89,40.8,64.51,12
2006-09-15,23.92,24.28,23.26,23.56,203300,47.13,52.89,40.8,52.39,13
2006-09-22,23.5,24.64,23.15,24.16,213700,49.65,52.89,40.8,73.19,14
2006-09-29,24.18,25.2,23.5,24.42,624800,50.74,52.89,40.8,82.24,15
2006-10-06,24.28,25.09,23.24,24.58,377300,51.44,52.89,40.8,88.02,16
2006-10-13,24.58,25.09,24.45,24.8,480700,52.44,52.89,40.8,96.28,17
2006-10-20,24.8,24.98,24.25,24.8,171700,52.44,52.89,40.8,96.28,18
2006-10-27,24.62,24.8,23.25,23.82,339500,47.4,52.89,40.8,54.61,19
2006-11-03,23.79,24.59,23.45,23.59,154000,46.28,52.89,40.8,45.31,20
2006-11-10,23.7,24.18,23.56,24.17,94600,49.53,52.89,40.8,72.19,21
2006-11-17,24.15,25.53,23.98,24.39,356900,50.74,52.89,40.8,82.26,22
2006-11-24,24.35,24.5,23.99,24.11,147400,49.12,52.89,40.8,68.83,23
2006-12-01,24.0,25.6,23.75,25.6,545800,57.01,57.01,40.8,100.0,24
2006-12-08,25.62,26.35,25.17,26.15,131600,59.5,59.5,40.8,100.0,25
2006-12-15,26.1,27.57,25.65,27.53,384000,64.99,64.99,40.8,100.0,26
2006-12-22,27.55,27.89,25.85,25.89,232300,55.38,64.99,40.8,60.29,27
2006-12-29,26.0,26.86,26.0,26.51,91000,57.92,64.99,40.8,70.76,28
2007-01-05,26.6,26.75,25.27,25.81,126400,54.18,64.99,40.8,55.3,29
2007-01-12,25.7,26.8,25.15,26.8,205200,58.28,64.99,40.8,72.26,30
2007-01-19,26.85,27.24,26.47,27.0,165100,59.08,64.99,40.8,75.55,31
2007-01-26,26.75,31.1,26.5,30.3,713600,69.45,69.45,40.8,100.0,32
2007-02-02,30.55,32.63,30.4,31.49,408600,72.19,72.19,40.8,100.0,33
2007-02-09,31.55,32.15,31.04,31.95,305900,73.19,73.19,40.8,100.0,34
2007-02-16,32.7,33.9,32.13,33.24,330500,75.81,75.81,40.8,100.0,35
2007-02-23,33.29,33.56,32.03,33.28,238300,75.89,75.89,40.8,100.0,36
2007-03-02,33.5,34.15,31.3,32.39,624700,70.39,75.89,40.8,84.33,37
2007-03-09,32.3,32.59,30.5,32.25,396500,69.54,75.89,40.8,81.9,38
2007-03-16,32.15,32.92,30.91,32.67,326000,70.69,75.89,40.8,85.17,39
2007-03-23,32.76,36.68,32.61,36.5,243500,78.61,78.61,40.8,100.0,40
2007-03-30,36.44,37.22,35.12,36.38,362700,77.9,78.61,40.8,98.12,41
2007-04-05,36.4,39.02,36.36,38.47,178400,81.1,81.1,40.8,100.0,42
2007-04-13,38.58,38.96,37.65,38.94,260400,81.74,81.74,40.8,100.0,43
2007-04-20,39.07,39.92,37.83,38.44,193900,78.69,81.74,40.8,92.54,44
2007-04-27,38.1,38.74,36.7,38.74,380500,79.19,81.74,40.8,93.76,45
2007-05-04,38.7,38.7,36.76,37.56,589600,71.99,81.74,40.8,76.19,46
2007-05-11,37.54,37.73,36.26,36.55,193800,66.43,81.74,40.8,62.61,47
2007-05-18,36.5,37.97,35.56,36.05,479800,63.8,81.74,40.8,56.19,48
2007-05-25,35.8,36.2,34.26,35.04,4484000,58.75,81.74,40.8,43.84,49
2007-06-01,34.95,37.6,34.95,37.6,991500,66.08,81.74,40.8,61.76,50
2007-06-08,37.54,38.8,37.07,38.3,1100900,67.77,81.74,40.8,65.88,51
2007-06-15,38.17,40.75,37.9,40.56,977500,72.53,81.74,40.8,77.49,52
2007-06-22,40.68,43.6,40.43,41.32,1293500,73.92,81.74,40.8,80.89,53
2007-06-29,41.1,41.23,39.4,40.46,812900,69.62,81.74,40.8,70.39,54
2007-07-06,40.6,43.1,40.56,43.0,489600,74.36,81.74,40.8,81.98,55
2007-07-13,43.11,43.61,42.05,43.49,496600,75.17,81.74,40.8,83.94,56
2007-07-20,43.39,43.89,42.07,42.26,777200,69.28,81.74,40.8,69.57,57
2007-07-27,42.1,42.72,39.87,40.4,529700,61.44,81.74,40.8,50.43,58
2007-08-03,40.4,43.43,40.22,41.1,891300,63.13,81.74,40.8,54.56,59
2007-08-10,42.01,42.99,34.41,38.0,2693300,52.22,81.74,40.8,27.9,60
