Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2010-07-02,1.2667,2.0279,1.1693,1.28,49312000,,,,,0
2010-07-09,1.3333,1.3333,0.9987,1.16,25550600,,,,,0
2010-07-16,1.1967,1.4333,1.1267,1.376,15438900,,,,,0
2010-07-23,1.4247,1.4833,1.3,1.4193,7175700,,,,,0
2010-07-30,1.4333,1.4333,1.3033,1.3293,3052000,,,,,0
2010-08-06,1.3667,1.4787,1.3013,1.306,4399700,,,,,0
2010-08-13,1.3267,1.332,1.1593,1.2213,4216600,,,,,0
2010-08-20,1.23,1.306,1.2174,1.2733,2410100,,,,,0
2010-08-27,1.2727,1.3593,1.2373,1.3133,3077900,,,,,0
2010-09-03,1.3133,1.42,1.2887,1.4033,2350500,,,,,0
2010-09-10,1.374,1.4033,1.3173,1.3447,1294600,,,,,0
2010-09-17,1.3927,1.544,1.32,1.3487,5583100,,,,,0
2010-09-24,1.378,1.4367,1.3,1.34,3953400,,,,,0
2010-10-01,1.36,1.4767,1.3367,1.3733,6395900,,,,,0
2010-10-08,1.362,1.4187,1.3533,1.362,1697800,54.68,54.68,54.68,,1
2010-10-15,1.3627,1.402,1.3353,1.3693,1312900,55.09,55.09,54.68,100.0,2
2010-10-22,1.368,1.3967,1.3333,1.3813,1298700,55.79,55.79,54.68,100.0,3
2010-10-29,1.396,1.458,1.3673,1.456,1640700,59.95,59.95,54.68,100.0,4
2010-11-05,1.4627,1.6887,1.4033,1.6293,4035900,67.58,67.58,54.68,100.0,5
2010-11-12,1.6333,2.0333,1.602,1.9893,9200800,77.27,77.27,54.68,100.0,6
2010-11-19,2.0147,2.196,1.8947,2.066,6827100,78.73,78.73,54.68,100.0,7
2010-11-26,2.1047,2.4,2.1,2.3547,4883100,83.12,83.12,54.68,100.0,8
2010-12-03,2.3608,2.428,2.058,2.0993,7834500,69.46,83.12,54.68,51.97,9
2010-12-10,2.09,2.1947,1.9707,2.1013,4081100,69.5,83.12,54.68,52.12,10
2010-12-17,2.1093,2.118,1.8507,2.0907,4522100,68.95,83.12,54.68,50.19,11
2010-12-23,2.1093,2.1907,1.9947,2.006,3687000,64.6,83.12,54.68,34.87,12
2010-12-31,1.868,1.9053,1.6667,1.7753,20136400,54.5,83.12,54.5,0.0,13
2011-01-07,1.7893,1.9053,1.7267,1.8827,8226200,57.81,83.12,54.5,11.55,14
2011-01-14,1.878,1.914,1.7073,1.7167,5932900,51.57,83.12,51.57,0.0,15
2011-01-21,1.6987,1.7093,1.4913,1.536,7490100,45.78,83.12,45.78,0.0,16
2011-01-28,1.5687,1.672,1.5487,1.6007,5940600,48.03,83.12,45.78,6.03,17
2011-02-04,1.6033,1.6487,1.5433,1.564,3163600,46.84,83.12,45.78,2.85,18
2011-02-11,1.5507,1.6833,1.5193,1.55,8506200,46.37,83.12,45.78,1.59,19
2011-02-18,1.576,1.6993,1.504,1.5453,11341000,46.2,83.12,45.78,1.14,20
2011-02-25,1.5253,1.59,1.4073,1.574,6071800,47.45,83.12,45.78,4.49,21
2011-03-04,1.5827,1.666,1.5667,1.6633,5041200,51.25,83.12,45.78,14.67,22
2011-03-11,1.662,1.6933,1.5687,1.6047,6306100,48.76,83.12,45.78,7.99,23
2011-03-18,1.588,1.6,1.4533,1.5307,5265000,45.73,83.12,45.73,0.0,24
2011-03-25,1.5367,1.5367,1.4513,1.5167,2447600,45.16,83.12,45.16,0.0,25
2011-04-01,1.5133,1.914,1.5033,1.7773,17419400,56.14,83.12,45.16,28.92,26
2011-04-08,1.7887,1.8627,1.682,1.766,11835200,55.62,83.12,45.16,27.55,27
2011-04-15,1.7647,1.7687,1.6133,1.7053,5865200,52.79,83.12,45.16,20.1,28
2011-04-21,1.6753,1.7987,1.624,1.7827,3805900,55.87,83.12,45.16,28.21,29
2011-04-29,1.78,1.858,1.7313,1.84,5523800,58.05,83.12,45.16,33.97,30
2011-05-06,1.84,1.8533,1.7167,1.808,4943200,56.38,83.12,45.16,29.55,31
2011-05-13,1.8,1.93,1.7767,1.8367,4703700,57.56,83.12,45.16,32.66,32
2011-05-20,1.866,1.896,1.7013,1.8647,6217000,58.74,83.12,45.16,35.76,33
2011-05-27,1.8413,1.984,1.7447,1.97,11194400,62.9,83.12,45.16,46.74,34
2011-06-03,1.9793,2.1,1.892,2.0087,12015900,64.33,83.12,45.16,50.5,35
2011-06-10,1.94,2.0087,1.8013,1.8573,8418900,55.37,83.12,45.16,26.89,36
2011-06-17,1.8713,1.98,1.716,1.7667,8188000,50.8,83.12,45.16,14.86,37
2011-06-24,1.7527,1.8833,1.7,1.8377,9287900,54.0,83.12,45.16,23.29,38
2011-07-01,1.8487,1.9733,1.8207,1.9347,5962000,58.02,83.12,45.16,33.87,39
2011-07-08,1.9347,2.0,1.9033,1.9207,4491400,57.24,83.12,45.16,31.82,40
2011-07-15,1.8933,1.9393,1.8167,1.8387,4955200,52.78,83.12,45.16,20.08,41
2011-07-22,1.8227,2.0293,1.7753,1.9527,6521300,57.71,83.12,45.16,33.07,42
2011-07-29,1.934,1.95,1.8333,1.878,4279300,53.75,83.12,45.16,22.64,43
2011-08-05,1.9113,1.9467,1.522,1.616,9537700,42.69,83.12,42.69,0.0,44
2011-08-12,1.54,1.8093,1.54,1.754,7351700,48.68,83.12,42.69,14.82,45
2011-08-19,1.7747,1.7833,1.4667,1.4867,4351900,39.96,83.12,39.96,0.0,46
2011-08-26,1.5407,1.5967,1.4333,1.582,3981000,43.83,83.12,39.96,8.95,47
2011-09-02,1.6147,1.7,1.512,1.538,3611400,42.47,83.12,39.96,5.8,48
2011-09-09,1.5,1.602,1.486,1.5313,2444000,42.26,83.12,39.96,5.31,49
2011-09-16,1.5157,1.7227,1.4967,1.72,4103600,49.93,83.12,39.96,23.1,50
2011-09-23,1.6633,1.7967,1.588,1.7587,5257600,51.36,83.12,39.96,26.41,51
2011-09-30,1.768,1.7993,1.566,1.626,4598300,46.47,83.12,39.96,15.07,52
2011-10-07,1.6633,1.84,1.5287,1.7993,6533700,52.8,83.12,39.96,29.73,53
2011-10-14,1.8207,1.9033,1.8,1.87,5066600,55.12,83.12,39.96,35.13,54
2011-10-21,1.8573,1.8952,1.7807,1.8687,4689400,55.07,83.12,39.96,35.0,55
2011-10-28,1.858,2.0,1.8267,1.9913,4238900,59.13,83.12,39.96,44.4,56
2011-11-04,1.9667,2.166,1.8667,2.154,8187100,63.79,83.12,39.96,55.22,57
2011-11-11,2.1093,2.3,2.02,2.2427,8003500,66.07,83.12,39.96,60.49,58
2011-11-18,2.2,2.3333,2.1693,2.1733,6302000,62.75,83.12,39.96,52.8,59
2011-11-25,2.1627,2.186,2.07,2.1107,2455600,59.82,83.12,39.96,46.02,60
2011-12-02,2.1333,2.266,2.1087,2.22,3865600,63.06,83.12,39.96,53.52,61
2011-12-09,2.2353,2.3333,1.974,2.0693,7331500,56.33,83.12,39.96,37.91,62
2011-12-16,2.0293,2.062,1.8653,1.8667,4646700,48.78,83.12,39.96,20.43,63
2011-12-23,1.8727,1.9,1.7353,1.86,5136600,48.55,83.12,39.96,19.89,64
2011-12-30,1.844,1.956,1.8427,1.904,2180700,50.22,83.12,39.96,23.77,65
2012-01-06,1.9293,1.9667,1.7607,1.794,3550000,46.18,83.12,39.96,14.41,66
2012-01-13,1.8,1.908,1.5093,1.5193,8470800,37.97,83.12,37.97,0.0,67
2012-01-20,1.7747,1.8493,1.75,1.7733,7820400,47.3,83.12,37.97,20.67,68
2012-01-27,1.7873,1.9813,1.7627,1.9553,4083300,52.78,83.12,37.97,32.81,69
2012-02-03,1.966,2.0887,1.9019,2.0767,3778800,56.06,83.12,37.97,40.08,70
2012-02-10,2.0733,2.1933,1.9893,2.0733,5448700,55.95,83.12,37.97,39.82,71
2012-02-17,2.1033,2.3313,2.06,2.3313,9326900,62.38,83.12,37.97,54.07,72
2012-02-24,2.3247,2.3313,2.1667,2.25,4570700,59.44,83.12,37.97,47.54,73
2012-03-02,2.2273,2.3,2.2,2.2693,3007400,59.92,83.12,37.97,48.62,74
2012-03-09,2.29,2.354,2.1747,2.316,3592400,61.13,83.12,37.97,51.29,75
2012-03-16,2.3127,2.4393,2.3067,2.3547,5117300,62.14,83.12,37.97,53.55,76
2012-03-23,2.3507,2.3547,2.21,2.272,3882800,58.61,83.12,37.97,45.72,77
2012-03-30,2.3727,2.6633,2.3361,2.4827,8317500,64.2,83.12,37.97,58.09,78
2012-04-05,2.4887,2.5646,2.294,2.2987,8117900,56.97,83.12,37.97,42.08,79
2012-04-13,2.2733,2.2987,2.134,2.2393,6292400,54.82,83.12,37.97,37.33,80
2012-04-20,2.2273,2.2487,2.102,2.2107,4634900,53.77,83.12,37.97,34.99,81
2012-04-27,2.1907,2.242,2.0667,2.2227,3293800,54.17,83.12,37.97,35.87,82
2012-05-04,2.218,2.2927,2.0933,2.122,3659000,50.27,83.12,37.97,27.24,83
2012-05-11,2.1307,2.312,1.958,2.15,12980700,51.32,83.12,37.97,29.56,84
2012-05-18,2.128,2.142,1.7887,1.8373,6989200,40.93,83.12,37.97,6.55,85
2012-05-25,1.8387,2.0893,1.808,1.9873,6894400,46.52,83.12,37.97,18.94,86
2012-06-01,2.0007,2.1287,1.8507,1.8767,4961700,43.27,83.12,37.97,11.73,87
2012-06-08,1.8687,2.0127,1.8073,2.0053,3944900,47.84,83.12,37.97,21.85,88
2012-06-15,2.0207,2.0667,1.908,1.994,3568100,47.47,83.12,37.97,21.05,89
2012-06-22,1.996,2.3,1.9667,2.2523,10528800,55.72,83.12,37.97,39.31,90
2012-06-29,2.2627,2.2747,2.0413,2.086,7199500,50.25,83.12,37.97,27.2,91
2012-07-06,2.09,2.12,2.0127,2.066,4300900,49.62,83.12,37.97,25.8,92
2012-07-13,2.0627,2.2933,2.0447,2.2833,4738000,56.07,83.12,37.97,40.09,93
2012-07-20,2.288,2.4,2.0707,2.1193,10199600,50.79,83.12,37.97,28.38,94
2012-07-27,2.07,2.0867,1.8427,1.9673,9664600,46.42,83.12,37.97,18.71,95
2012-08-03,1.9673,2.0165,1.7013,1.818,7747200,42.55,83.12,37.97,10.14,96
2012-08-10,1.8367,2.06,1.8367,1.996,6604300,48.1,83.12,37.97,22.44,97
2012-08-17,1.9793,2.0867,1.9207,2.0007,3366100,48.24,83.12,37.97,22.76,98
2012-08-24,2.01,2.0567,1.9333,1.9667,5616600,47.24,83.12,37.97,20.52,99
2012-08-31,1.9713,1.98,1.8667,1.9013,4788200,45.28,83.12,37.97,16.18,100
2012-09-07,1.9013,1.9713,1.854,1.9567,3186700,47.27,83.12,37.97,20.6,101
2012-09-14,1.9467,2.0433,1.8197,2.026,6664700,49.74,83.12,37.97,26.08,102
2012-09-21,2.1567,2.1853,1.9693,2.0013,8832200,48.87,83.12,37.97,24.13,103
2012-09-28,1.9673,2.0687,1.832,1.952,14611500,47.08,83.12,37.97,20.17,104
2012-10-05,1.9667,2.0067,1.91,1.926,5146100,46.12,83.12,37.97,18.05,105
2012-10-12,1.924,1.96,1.8333,1.8427,4024500,43.09,83.12,37.97,11.34,106
2012-10-19,1.8667,1.9327,1.7907,1.8493,4384400,43.41,83.12,37.97,12.05,107
2012-10-26,1.866,1.904,1.8013,1.8253,3290700,42.48,83.12,37.97,10.0,108
2012-11-02,1.8467,1.97,1.8247,1.9279,2829600,47.63,83.12,37.97,21.39,109
2012-11-09,1.9867,2.1367,1.9553,2.0213,8224400,51.85,83.12,37.97,30.75,110
2012-11-16,2.0193,2.1413,2.0107,2.1227,4318200,56.0,83.12,37.97,39.93,111
2012-11-23,2.138,2.2313,2.1133,2.142,3708400,56.76,83.12,37.97,41.63,112
2012-11-30,2.14,2.286,2.1013,2.2547,5455500,61.02,83.12,37.97,51.05,113
2012-12-07,2.2593,2.3333,2.2333,2.278,5335300,61.85,83.12,37.97,52.9,114
2012-12-14,2.2953,2.3867,2.1833,2.254,7740500,60.42,83.12,37.97,49.72,115
2012-12-21,2.2513,2.3507,2.2387,2.2667,6091200,60.93,83.12,37.97,50.86,116
2012-12-28,2.2427,2.3,2.2,2.2147,1952400,57.61,83.12,37.97,43.51,117
2013-01-04,2.2,2.3633,2.2,2.2933,3205700,61.07,83.12,37.97,51.16,118
2013-01-11,2.32,2.32,2.1407,2.194,4909700,54.97,83.12,37.97,37.66,119
2013-01-18,2.2053,2.3233,2.19,2.3013,8919300,59.66,83.12,37.97,48.04,120
2013-01-25,2.304,2.5147,2.284,2.4653,6742700,65.55,83.12,37.97,61.1,121
2013-02-01,2.4573,2.5807,2.4573,2.5533,6382700,68.24,83.12,37.97,67.04,122
2013-02-08,2.56,2.6667,2.506,2.616,6667800,70.03,83.12,37.97,71.01,123
2013-02-15,2.532,2.61,2.4633,2.4693,9502700,61.32,83.12,37.97,51.71,124
2013-02-22,2.4907,2.6433,2.3027,2.4073,17408500,58.03,83.12,37.97,44.43,125
2013-03-01,2.41,2.45,2.2533,2.31,11123000,53.21,83.12,37.97,33.76,126
2013-03-08,2.318,2.6293,2.3133,2.5647,7065100,62.09,83.12,37.97,53.41,127
2013-03-15,2.5913,2.6327,2.3473,2.3527,8977200,53.06,83.12,37.97,33.43,128
2013-03-22,2.3533,2.4707,2.328,2.4413,5424100,55.95,83.12,37.97,39.82,129
2013-03-28,2.4733,2.568,2.4513,2.526,6642000,58.56,83.12,37.97,45.61,130
2013-04-05,2.824,3.112,2.6807,2.758,30211700,64.75,83.12,37.97,59.31,131
2013-04-12,2.798,3.0093,2.6887,2.9167,12093000,68.24,83.12,37.97,67.04,132
2013-04-19,2.9,3.3253,2.834,3.1887,13359900,73.15,83.12,37.97,77.91,133
2013-04-26,3.24,3.5827,3.1833,3.4133,16721200,76.39,83.12,37.97,85.1,134
2013-05-03,3.4507,3.8787,3.4133,3.6367,18334200,79.1,83.12,37.97,91.09,135
2013-05-10,3.7593,5.4,3.6747,5.1176,74815200,88.5,88.5,37.97,100.0,136
2013-05-17,5.3993,6.4747,5.2073,6.1,117075700,91.3,91.3,37.97,100.0,137
2013-05-24,6.0747,6.53,5.5367,6.472,54061000,92.08,92.08,37.97,100.0,138
2013-05-31,6.77,7.66,6.5153,6.5173,76097100,92.18,92.18,37.97,100.0,139
2013-06-07,6.508,6.86,5.8833,6.8027,60443000,92.75,92.75,37.97,100.0,140
2013-06-14,6.5953,6.8347,6.27,6.6867,38341600,89.86,92.75,37.97,94.72,141
2013-06-21,6.9067,7.142,6.5,6.6367,46265500,88.58,92.75,37.97,92.38,142
2013-06-28,6.4333,7.35,6.3533,7.1573,34064600,90.15,92.75,37.97,95.26,143
2013-07-05,7.2907,8.126,7.2767,8.006,34593100,92.07,92.75,37.97,98.76,144
2013-07-12,8.0913,8.6627,7.9213,8.66,40845200,93.18,93.18,37.97,100.0,145
2013-07-19,8.8687,8.8839,6.9667,7.9787,85611700,80.59,93.18,37.97,77.2,146
2013-07-26,7.9927,8.712,7.9707,8.626,39320600,82.94,93.18,37.97,81.47,147
2013-08-02,8.6213,9.2167,8.5453,9.2,40751100,84.72,93.18,37.97,84.68,148
2013-08-09,9.334,10.592,8.824,10.2,73841900,87.21,93.18,37.97,89.19,149
2013-08-16,9.962,10.0333,9.0,9.4667,52642200,77.26,93.18,37.97,71.16,150
2013-08-23,9.5618,10.82,9.522,10.7893,44246500,81.38,93.18,37.97,78.64,151
2013-08-30,11.01,11.5333,10.6833,11.2667,76942500,82.61,93.18,37.97,80.86,152
2013-09-06,11.56,11.58,11.01,11.1313,38841800,80.98,93.18,37.97,77.91,153
2013-09-13,10.8747,11.193,10.5673,11.036,40706000,79.79,93.18,37.97,75.75,154
