Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1990-03-30,0.2256,0.2344,0.2227,0.2315,255700,,,,,0
1990-04-06,0.2284,0.2493,0.2227,0.2465,453200,,,,,0
1990-04-12,0.2465,0.2493,0.2344,0.2493,365200,,,,,0
1990-04-20,0.2493,0.2522,0.2375,0.2405,506500,,,,,0
1990-04-27,0.2344,0.2465,0.2315,0.2375,174200,,,,,0
1990-05-04,0.2465,0.2909,0.2434,0.2849,1372400,,,,,0
1990-05-11,0.294,0.3146,0.2909,0.3056,2721900,,,,,0
1990-05-18,0.3056,0.3265,0.3056,0.3177,1461000,,,,,0
1990-05-25,0.3177,0.3562,0.3177,0.3472,2631900,,,,,0
1990-06-01,0.3443,0.3681,0.3415,0.3562,1431100,,,,,0
1990-06-08,0.3621,0.3768,0.3355,0.3355,1864900,,,,,0
1990-06-15,0.3355,0.374,0.3324,0.3621,841800,,,,,0
1990-06-22,0.3562,0.4006,0.3502,0.3889,1728700,,,,,0
1990-06-29,0.3918,0.4096,0.374,0.4096,1383400,,,,,0
1990-07-06,0.4037,0.4215,0.3977,0.4155,398100,86.94,86.94,86.94,,1
1990-07-13,0.4184,0.478,0.3859,0.4571,1201300,88.93,88.93,86.94,100.0,2
1990-07-20,0.4602,0.463,0.4006,0.4155,925600,76.4,88.93,76.4,0.0,3
1990-07-27,0.4068,0.4542,0.3859,0.4393,1102600,78.28,88.93,76.4,15.03,4
1990-08-03,0.4393,0.4571,0.3502,0.3889,1089500,66.22,88.93,66.22,0.0,5
1990-08-10,0.3859,0.4215,0.3652,0.4155,2037500,68.94,88.93,66.22,11.99,6
1990-08-17,0.4127,0.4421,0.4127,0.4215,723100,69.53,88.93,66.22,14.59,7
1990-08-24,0.4155,0.4184,0.3502,0.3799,1277300,60.82,88.93,60.82,0.0,8
1990-08-31,0.3925,0.4163,0.3925,0.4075,834200,64.04,88.93,60.82,11.45,9
1990-09-07,0.4013,0.4251,0.3865,0.4013,787900,62.79,88.93,60.82,7.01,10
1990-09-14,0.4163,0.4401,0.4134,0.4372,1614500,66.83,88.93,60.82,21.38,11
1990-09-21,0.4341,0.446,0.4251,0.4282,921200,64.92,88.93,60.82,14.59,12
1990-09-28,0.4282,0.4401,0.3421,0.3837,1682500,56.38,88.93,56.38,0.0,13
1990-10-05,0.3984,0.4163,0.3687,0.3687,831400,53.81,88.93,53.81,0.0,14
1990-10-12,0.3775,0.3837,0.3123,0.333,1977900,48.18,88.93,48.18,0.0,15
1990-10-19,0.3361,0.3925,0.333,0.3837,756000,55.33,88.93,48.18,17.53,16
1990-10-26,0.3806,0.4191,0.3806,0.4013,741400,57.52,88.93,48.18,22.91,17
1990-11-02,0.4075,0.4372,0.3746,0.4282,2236600,60.69,88.93,48.18,30.69,18
1990-11-09,0.4341,0.446,0.4044,0.4103,1126600,57.62,88.93,48.18,23.15,19
1990-11-16,0.4134,0.4788,0.4134,0.4519,1431500,62.4,88.93,48.18,34.9,20
1990-11-23,0.4579,0.4698,0.4401,0.4429,539000,60.8,88.93,48.18,30.96,21
1990-11-30,0.4401,0.4936,0.4372,0.4817,1076400,64.96,88.93,48.18,41.17,22
1990-12-07,0.4817,0.5471,0.4638,0.5293,4801900,69.27,88.93,48.18,51.76,23
1990-12-14,0.5233,0.5293,0.4995,0.5202,1038600,67.57,88.93,48.18,47.58,24
1990-12-21,0.5143,0.559,0.5055,0.544,2058800,69.68,88.93,48.18,52.76,25
1990-12-28,0.544,0.5709,0.5411,0.5471,1533400,69.96,88.93,48.18,53.43,26
1991-01-04,0.5502,0.5709,0.4848,0.5055,1565300,61.86,88.93,48.18,33.56,27
1991-01-11,0.4936,0.5202,0.4757,0.5086,1901000,62.21,88.93,48.18,34.42,28
1991-01-18,0.5026,0.574,0.5026,0.574,2104000,68.74,88.93,48.18,50.46,29
1991-01-25,0.5649,0.6215,0.5649,0.6066,1324000,71.39,88.93,48.18,56.97,30
1991-02-01,0.6125,0.6898,0.6066,0.6839,2924300,76.49,88.93,48.18,69.48,31
1991-02-08,0.6867,0.7077,0.6422,0.6513,2000900,70.77,88.93,48.18,55.43,32
1991-02-15,0.657,0.8057,0.6513,0.7731,3185600,77.53,88.93,48.18,72.04,33
1991-02-22,0.7731,0.7731,0.7105,0.7464,2227300,73.52,88.93,48.18,62.19,34
1991-03-01,0.7493,0.779,0.6989,0.7136,2426200,68.8,88.93,48.18,50.61,35
1991-03-08,0.7196,0.7881,0.7046,0.7433,2666400,70.64,88.93,48.18,55.12,36
1991-03-15,0.7374,0.8028,0.7105,0.7759,5330700,72.55,88.93,48.18,59.81,37
1991-03-22,0.7702,0.9336,0.7702,0.9217,3678200,79.1,88.93,48.18,75.88,38
1991-03-28,0.9217,1.0259,0.9098,0.9336,2501800,79.53,88.93,48.18,76.94,39
1991-04-05,0.9336,1.0347,0.9098,0.9722,2656000,80.9,88.93,48.18,80.29,40
1991-04-12,0.9693,1.0021,0.9129,0.996,2659000,81.71,88.93,48.18,82.29,41
1991-04-19,0.9931,1.0852,0.9931,1.0169,2913700,82.42,88.93,48.18,84.03,42
1991-04-26,1.0109,1.0138,0.8801,0.9753,3114100,76.1,88.93,48.18,68.52,43
1991-05-03,0.9812,1.0081,0.9098,0.99,2963200,76.78,88.93,48.18,70.19,44
1991-05-10,1.005,1.0973,1.005,1.0466,3663200,79.22,88.93,48.18,76.18,45
1991-05-17,1.0585,1.0645,1.005,1.0497,1560600,79.35,88.93,48.18,76.49,46
1991-05-24,1.0526,1.1893,1.0466,1.1456,2700000,82.87,88.93,48.18,85.12,47
1991-05-31,1.1484,1.1753,1.1156,1.1663,1554000,83.52,88.93,48.18,86.72,48
1991-06-07,1.1632,1.1694,1.0204,1.0473,3655300,67.58,88.93,48.18,47.62,49
1991-06-14,1.0473,1.1515,1.0413,1.1306,1646500,71.66,88.93,48.18,57.62,50
1991-06-21,1.1394,1.1603,1.1068,1.1425,1505100,72.2,88.93,48.18,58.94,51
1991-06-28,1.1306,1.1334,1.0532,1.068,1537700,64.01,88.93,48.18,38.84,52
1991-07-05,1.077,1.1572,1.077,1.098,1084600,65.7,88.93,48.18,42.98,53
1991-07-12,1.083,1.2555,1.0801,1.2496,2094700,72.67,88.93,48.18,60.1,54
1991-07-19,1.2615,1.3,1.1901,1.2912,2135300,74.22,88.93,48.18,63.9,55
1991-07-26,1.2912,1.3,1.196,1.2436,1325000,69.38,88.93,48.18,52.01,56
1991-08-02,1.2377,1.2436,1.1663,1.202,2357300,65.36,88.93,48.18,42.15,57
1991-08-09,1.1663,1.2524,1.1127,1.1544,5505400,61.01,88.93,48.18,31.47,58
1991-08-16,1.1603,1.2139,1.1068,1.1901,2685300,63.0,88.93,48.18,36.35,59
1991-08-23,1.1425,1.1901,1.1127,1.1841,1785500,62.42,88.93,48.18,34.95,60
1991-08-30,1.1782,1.315,1.1782,1.2258,1757800,64.83,88.93,48.18,40.85,61
1991-09-06,1.2377,1.2377,1.0532,1.0949,3163000,53.28,88.93,48.18,12.52,62
1991-09-13,1.077,1.2198,0.958,1.2079,5273200,59.92,88.93,48.18,28.81,63
1991-09-20,1.2139,1.2496,1.1484,1.1901,1894100,58.51,88.93,48.18,25.34,64
1991-09-27,1.196,1.2496,1.1901,1.2377,1495600,61.14,88.93,48.18,31.8,65
1991-10-04,1.2258,1.2912,1.2139,1.2377,1317900,61.14,88.93,48.18,31.8,66
1991-10-11,1.2198,1.2822,1.2139,1.2793,760100,63.49,88.93,48.18,37.57,67
1991-10-18,1.2793,1.4162,1.2705,1.4074,691700,69.58,88.93,48.18,52.52,68
1991-10-25,1.4074,1.4371,1.4012,1.4133,612700,69.84,88.93,48.18,53.14,69
1991-11-01,1.4043,1.5412,1.3983,1.5174,694900,73.9,88.93,48.18,63.13,70
1991-11-08,1.5114,1.5114,1.4162,1.4579,705600,68.23,88.93,48.18,49.21,71
1991-11-15,1.4638,1.5293,1.455,1.4995,699800,69.97,88.93,48.18,53.47,72
1991-11-22,1.4964,1.4964,1.3836,1.4312,1166800,63.81,88.93,48.18,38.35,73
1991-11-29,1.434,1.4371,1.4043,1.4312,323500,63.81,88.93,48.18,38.35,74
1991-12-06,1.4281,1.5233,1.4162,1.5085,688700,67.56,88.93,48.18,47.56,75
1991-12-13,1.5143,1.6154,1.5143,1.6126,582100,71.8,88.93,48.18,57.95,76
1991-12-20,1.6154,1.6392,1.5709,1.5888,485100,69.56,88.93,48.18,52.46,77
1991-12-27,1.5888,1.812,1.5888,1.812,351100,76.85,88.93,48.18,70.35,78
1992-01-03,1.8058,1.8863,1.7494,1.8834,712400,78.61,88.93,48.18,74.67,79
1992-01-10,1.8922,2.0084,1.8744,1.9724,594900,80.59,88.93,48.18,79.55,80
1992-01-17,1.9724,2.1124,1.9101,1.9458,1133100,78.25,88.93,48.18,73.8,81
1992-01-24,1.9636,2.0945,1.8744,2.0945,707100,81.49,88.93,48.18,81.73,82
1992-01-31,2.1391,2.154,1.9636,1.9815,711400,72.65,88.93,48.18,60.04,83
1992-02-07,1.9755,2.154,1.9755,2.0469,540400,74.38,88.93,48.18,64.29,84
1992-02-14,2.05,2.2136,2.0469,2.1064,747300,75.88,88.93,48.18,67.96,85
1992-02-21,2.1036,2.1036,1.8534,1.8834,936300,61.4,88.93,48.18,32.45,86
1992-02-28,1.8863,2.0172,1.7256,1.9041,2385700,62.13,88.93,48.18,34.22,87
1992-03-06,1.901,1.9339,1.7613,1.8358,1029200,58.25,88.93,48.18,24.71,88
1992-03-13,1.8418,1.9248,1.8418,1.8922,562300,60.45,88.93,48.18,30.09,89
1992-03-20,1.8951,1.9577,1.8684,1.916,413500,61.37,88.93,48.18,32.36,90
1992-03-27,1.9189,2.0084,1.8982,1.916,421200,61.37,88.93,48.18,32.36,91
1992-04-03,1.9101,1.9339,1.8625,1.9041,466700,60.55,88.93,48.18,30.35,92
1992-04-10,1.9041,1.9101,1.7554,1.8632,708900,57.7,88.93,48.18,23.35,93
1992-04-16,1.8572,1.9346,1.8187,1.8187,511900,54.68,88.93,48.18,15.95,94
1992-04-24,1.7977,1.7977,1.631,1.6339,858200,44.33,88.93,44.33,0.0,95
1992-05-01,1.6489,1.8632,1.646,1.8244,926500,54.0,88.93,44.33,21.68,96
1992-05-08,1.8187,1.8663,1.7501,1.7501,552500,50.33,88.93,44.33,13.45,97
1992-05-15,1.756,1.8334,1.7263,1.8303,546700,53.97,88.93,44.33,21.61,98
1992-05-22,1.8365,2.012,1.8365,1.9882,763200,60.16,88.93,44.33,35.49,99
