Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2023-07-21,10.12,10.1593,10.07,10.1279,684115,,,,,0
2023-07-28,10.12,10.15,10.1,10.11,214551,,,,,0
2023-08-04,10.11,10.12,10.11,10.12,920581,,,,,0
2023-08-11,10.12,10.15,10.11,10.13,1111907,,,,,0
2023-08-18,10.13,10.145,10.13,10.135,790643,,,,,0
2023-08-25,10.14,10.2,10.13,10.17,63454,,,,,0
2023-09-01,10.15,10.17,10.14,10.165,10158,,,,,0
2023-09-08,10.18,10.18,10.17,10.17,10042,,,,,0
2023-09-15,10.17,10.21,10.1664,10.2,1209170,,,,,0
2023-09-22,10.207,10.23,10.2,10.22,132541,,,,,0
2023-09-29,10.21,10.22,10.19,10.2184,122673,,,,,0
2023-10-06,10.2184,10.22,10.2184,10.22,379,,,,,0
2023-10-13,10.22,10.23,10.21,10.22,130843,,,,,0
2023-10-20,10.21,10.25,10.21,10.2452,691005,,,,,0
2023-10-27,10.2452,10.25,10.22,10.23,480740,78.13,78.13,78.13,,1
2023-11-03,10.23,10.25,10.23,10.24,225738,79.35,79.35,78.13,100.0,2
2023-11-10,10.243,10.255,10.24,10.24,6934,79.35,79.35,78.13,100.0,3
2023-11-17,10.2496,10.27,10.24,10.26,110732,81.73,81.73,78.13,100.0,4
2023-11-24,10.27,10.28,10.27,10.27,915853,82.79,82.79,78.13,100.0,5
2023-12-01,10.27,10.305,10.27,10.29,823827,84.71,84.71,78.13,100.0,6
2023-12-08,10.3,10.3,10.29,10.3,598592,85.58,85.58,78.13,100.0,7
2023-12-15,10.3,10.33,10.3,10.32,1232508,87.15,87.15,78.13,100.0,8
2023-12-22,10.3,10.33,10.3,10.32,25418,87.15,87.15,78.13,100.0,9
2023-12-29,10.35,10.38,10.31,10.33,41241,87.91,87.91,78.13,100.0,10
2024-01-05,10.38,10.4,10.33,10.38,26734,90.84,90.84,78.13,100.0,11
2024-01-12,10.4,10.4,10.3301,10.392,4967,91.38,91.38,78.13,100.0,12
2024-01-19,10.35,10.3764,10.35,10.37,4498,81.86,91.38,78.13,28.16,13
2024-01-26,10.37,10.3766,10.37,10.37,44213,81.86,91.38,78.13,28.16,14
2024-02-02,10.3928,10.45,10.38,10.4,1455992,84.42,91.38,78.13,47.53,15
2024-02-09,10.41,10.42,10.4,10.41,87955,85.18,91.38,78.13,53.21,16
2024-02-16,10.45,10.49,10.41,10.42,1003199,85.91,91.38,78.13,58.74,17
2024-02-23,10.49,10.49,10.43,10.43,144661,86.62,91.38,78.13,64.12,18
2024-03-01,10.44,10.49,10.42,10.445,928752,87.63,91.38,78.13,71.74,19
2024-03-08,10.49,10.49,10.44,10.44,584739,85.32,91.38,78.13,54.29,20
2024-03-15,10.49,10.49,10.435,10.44,117949,85.32,91.38,78.13,54.29,21
2024-03-22,10.44,10.5,10.44,10.46,563507,86.92,91.38,78.13,66.37,22
2024-03-28,10.5,10.5,10.45,10.465,561882,87.29,91.38,78.13,69.19,23
2024-04-05,10.5,10.5,10.4351,10.48,72534,88.37,91.38,78.13,77.28,24
2024-04-12,10.52,10.54,10.47,10.51,167477,90.16,91.38,78.13,90.79,25
2024-04-19,10.74,10.74,10.49,10.52,550415,90.67,91.38,78.13,94.68,26
2024-04-26,10.54,10.54,10.52,10.525,67521,90.93,91.38,78.13,96.61,27
2024-05-03,10.54,11.0,10.5,10.53,115652,91.19,91.38,78.13,98.57,28
2024-05-10,10.535,10.54,10.51,10.5107,302268,81.48,91.38,78.13,25.29,29
2024-05-17,10.53,10.53,10.51,10.525,217887,82.93,91.38,78.13,36.24,30
2024-05-24,10.52,10.56,10.52,10.52,2952251,80.55,91.38,78.13,18.31,31
2024-05-31,10.54,10.58,10.53,10.55,1435690,83.59,91.38,78.13,41.23,32
2024-06-07,10.55,10.59,10.55,10.56,1418792,84.46,91.38,78.13,47.81,33
2024-06-14,10.5764,10.59,10.545,10.555,3622918,82.11,91.38,78.13,30.09,34
2024-06-21,10.56,10.58,10.555,10.57,59986,83.59,91.38,78.13,41.21,35
2024-06-28,10.57,10.63,10.57,10.6,129452,86.06,91.38,78.13,59.88,36
2024-07-05,10.6,10.63,10.59,10.61,63205,86.78,91.38,78.13,65.28,37
2024-07-12,10.61,10.65,10.6,10.61,159385,86.78,91.38,78.13,65.28,38
2024-07-19,10.63,10.64,10.61,10.61,130482,86.78,91.38,78.13,65.28,39
2024-07-26,10.62,10.8,10.62,10.66,305536,89.99,91.38,78.13,89.5,40
2024-08-02,10.69,10.69,10.65,10.67,449775,90.48,91.38,78.13,93.26,41
2024-08-09,10.67,10.68,10.655,10.66,1227802,85.89,91.38,78.13,58.58,42
2024-08-16,10.68,10.7,10.65,10.7,284767,88.42,91.38,78.13,77.7,43
2024-08-23,10.77,10.8599,10.68,10.68,1926782,80.63,91.38,78.13,18.88,44
2024-08-30,10.68,10.79,10.67,10.67,848343,76.98,91.38,76.98,0.0,45
2024-09-06,10.79,10.79,10.68,10.705,139491,80.33,91.38,76.98,23.32,46
2024-09-13,10.71,10.74,10.7,10.71,288642,80.77,91.38,76.98,26.32,47
2024-09-20,10.72,10.73,10.7,10.725,185885,82.04,91.38,76.98,35.16,48
2024-09-27,10.73,10.77,10.71,10.765,997632,84.91,91.38,76.98,55.09,49
2024-10-04,10.74,10.78,10.74,10.78,154651,85.82,91.38,76.98,61.44,50
2024-10-11,10.76,10.79,10.76,10.76,490701,78.95,91.38,76.98,13.73,51
2024-10-18,10.7629,10.79,10.76,10.785,1576650,81.0,91.38,76.98,27.95,52
2024-10-25,10.79,10.79,10.78,10.78,526213,79.34,91.38,76.98,16.4,53
2024-11-01,10.7768,10.79,10.76,10.78,537574,79.34,91.38,76.98,16.4,54
2024-11-08,10.78,10.8,10.78,10.785,582078,79.82,91.38,76.98,19.74,55
2024-11-15,10.79,10.82,10.72,10.72,3421573,60.22,91.38,60.22,0.0,56
2024-11-22,10.72,10.77,10.68,10.7,5585,55.69,91.38,55.69,0.0,57
2024-11-29,10.85,10.89,10.6801,10.82,7218,70.18,91.38,55.69,40.62,58
2024-12-06,11.5,11.8521,10.76,11.49,67632,89.95,91.38,55.69,96.01,59
2024-12-13,12.75,15.18,12.15,12.6,136000,95.4,95.4,55.69,100.0,60
2024-12-20,13.1,13.2099,10.85,10.991,64119,51.68,95.4,51.68,0.0,61
2024-12-27,11.04,11.49,10.92,11.406,10145,57.14,95.4,51.68,12.48,62
2025-01-03,11.36,13.87,11.15,12.35,30113,66.42,95.4,51.68,33.73,63
2025-01-10,13.5,13.5,12.14,12.54,19594,67.93,95.4,51.68,37.17,64
2025-01-17,13.12,13.18,12.3,13.0473,34847,71.59,95.4,51.68,45.55,65
2025-01-24,13.11,13.2,11.55,11.85,12016,55.48,95.4,51.68,8.7,66
2025-01-31,12.175,13.7,12.175,13.2,17035,65.04,95.4,51.68,30.55,67
2025-02-07,13.69,13.69,11.93,12.22,28501,55.69,95.4,51.68,9.18,68
2025-02-14,12.39,12.39,11.15,11.3,41274,48.63,95.4,48.63,0.0,69
2025-02-21,11.1034,11.64,11.0,11.0,408513,46.56,95.4,46.56,0.0,70
2025-02-28,11.355,11.67,11.0,11.13,31951,47.6,95.4,46.56,2.13,71
2025-03-07,11.21,13.228,10.2801,12.99,84195,59.71,95.4,46.56,26.93,72
2025-03-14,14.99,19.03,9.24,18.55,507623,76.9,95.4,46.56,62.13,73
2025-03-21,19.9,20.0,10.775,11.1,1825708,47.6,95.4,46.56,2.13,74
2025-03-28,11.01,11.68,5.56,5.95,2018983,37.08,95.4,37.08,0.0,75
2025-04-04,6.16,10.5,5.58,7.55,8308095,41.41,95.4,37.08,7.43,76
2025-04-11,7.31,10.57,7.06,8.31,4478509,43.4,95.4,37.08,10.85,77
2025-04-17,9.72,18.55,9.0,14.09,37121583,55.74,95.4,37.08,31.99,78
2025-04-25,13.02,13.48,9.1201,12.14,10607438,51.65,95.4,37.08,24.98,79
2025-05-02,12.32,14.0,9.0,10.31,6503318,48.08,95.4,37.08,18.87,80
2025-05-09,10.29,11.29,9.4,9.62,4133324,46.77,95.4,37.08,16.62,81
2025-05-16,9.45,9.91,8.26,9.77,3610504,47.11,95.4,37.08,17.2,82
2025-05-23,9.7,10.3599,9.0,9.3,2510089,46.12,95.4,37.08,15.51,83
2025-05-30,9.48,9.48,8.0,8.95,3363291,45.36,95.4,37.08,14.2,84
2025-06-06,9.68,12.02,8.77,11.55,14057963,51.74,95.4,37.08,25.14,85
2025-06-13,12.0,15.0295,11.52,13.24,23049781,55.39,95.4,37.08,31.39,86
2025-06-20,14.09,14.9,11.7,12.14,15219374,52.6,95.4,37.08,26.62,87
2025-06-27,11.99,13.18,10.91,11.185,9081406,50.24,95.4,37.08,22.56,88
2025-07-03,11.0,11.2399,9.68,9.93,5312773,47.24,95.4,37.08,17.42,89
2025-07-11,9.74,11.71,9.32,10.71,15034775,49.27,95.4,37.08,20.9,90
2025-07-18,10.82,16.46,10.55,14.62,47725615,57.99,95.4,37.08,35.86,91
2025-07-25,14.62,14.6685,11.93,12.02,17525916,51.63,95.4,37.08,24.95,92
2025-08-01,12.12,14.0,10.91,13.94,24879083,55.51,95.4,37.08,31.61,93
2025-08-08,14.79,16.73,13.28,16.26,44713495,59.71,95.4,37.08,38.81,94
2025-08-15,16.81,19.682,15.375,17.19,52023204,61.29,95.4,37.08,41.52,95
2025-08-22,16.77,16.85,13.73,15.89,31502562,57.88,95.4,37.08,35.67,96
2025-08-29,16.0,16.91,14.88,14.92,24558314,55.4,95.4,37.08,31.41,97
2025-09-05,14.47,14.5699,13.37,13.86,13474611,52.74,95.4,37.08,26.85,98
2025-09-12,13.68,14.99,13.33,14.06,16209764,53.2,95.4,37.08,27.64,99
2025-09-19,14.18,16.59,13.565,16.25,37832284,57.98,95.4,37.08,35.84,100
2025-09-26,16.0,19.08,15.42,17.325,42177002,60.14,95.4,37.08,39.54,101
2025-10-03,18.65,28.25,16.3,25.96,85590479,72.39,95.4,37.08,60.55,102
2025-10-10,28.0,37.85,25.13,32.61,133448456,78.0,95.4,37.08,70.16,103
2025-10-17,38.57,43.98,25.63,27.73,174151794,67.21,95.4,37.08,51.66,104
2025-10-24,29.71,32.25,23.4,23.57,92621608,59.64,95.4,37.08,38.68,105
2025-10-31,21.35,22.17,18.85,19.45,70909642,53.24,95.4,37.08,27.71,106
2025-11-07,18.99,19.0,14.85,17.36,69237403,50.29,95.4,37.08,22.65,107
2025-11-14,17.65,18.561,13.93,14.49,47531251,46.48,95.4,37.08,16.13,108
2025-11-21,14.51,15.75,11.541,12.24,47665325,43.69,95.4,37.08,11.34,109
2025-11-28,12.4,13.61,11.45,13.45,27153803,45.59,95.4,37.08,14.59,110
2025-12-05,13.36,17.8,12.51,17.22,61963792,51.1,95.4,37.08,24.04,111
2025-12-12,17.51,19.02,16.122,17.04,50253537,50.84,95.4,37.08,23.59,112
2025-12-19,17.01,17.43,13.242,13.84,55068913,46.25,95.4,37.08,15.72,113
2025-12-26,14.185,14.8,13.0,13.51,26205495,45.79,95.4,37.08,14.93,114
2026-01-02,13.15,14.41,11.7245,14.15,32570974,46.89,95.4,37.08,16.82,115
2026-01-09,14.5,18.41,14.34,17.28,60107339,52.02,95.4,37.08,25.62,116
2026-01-16,17.67,19.18,15.732,17.69,63704248,52.67,95.4,37.08,26.73,117
2026-01-23,18.028,25.27,17.78,24.77,104449721,62.14,95.4,37.08,42.97,118
2026-01-30,30.56,32.07,21.03,22.42,280108083,57.99,95.4,37.08,35.86,119
2026-02-06,24.245,26.36,20.455,21.84,172891133,56.98,95.4,37.08,34.12,120
2026-02-13,21.49,23.74,18.69,19.395,79233203,52.8,95.4,37.08,26.96,121
2026-02-20,19.25,19.54,16.82,17.23,60626772,49.35,95.4,37.08,21.04,122
2026-02-27,16.93,20.75,16.84,18.9,65081145,51.96,95.4,37.08,25.51,123
2026-03-06,18.44,21.06,17.44,17.45,57973260,49.57,95.4,37.08,21.42,124
2026-03-13,17.33,21.445,17.11,19.46,63747954,52.81,95.4,37.08,26.97,125
2026-03-20,19.78,20.58,15.8,16.24,79695891,47.54,95.4,37.08,17.94,126
2026-03-27,16.97,17.72,15.05,15.42,53310103,46.28,95.4,37.08,15.77,127
2026-04-02,15.685,16.33,13.865,15.92,50353963,47.2,95.4,37.08,17.36,128
2026-04-10,15.712,18.1499,14.22,16.15,57931515,47.65,95.4,37.08,18.12,129
