Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
1972-08-25,0.0212,0.0216,0.0212,0.0215,7526400,,,,,0
1972-09-01,0.0215,0.0216,0.0208,0.021,13363200,,,,,0
1972-09-08,0.021,0.021,0.0208,0.0208,7987200,,,,,0
1972-09-15,0.0209,0.0211,0.0208,0.0209,10444800,,,,,0
1972-09-22,0.021,0.0211,0.0193,0.0193,19660800,,,,,0
1972-09-29,0.0192,0.0192,0.0182,0.019,12134400,,,,,0
1972-10-06,0.0191,0.0208,0.0191,0.0192,44544000,,,,,0
1972-10-13,0.0194,0.0196,0.0194,0.0195,6451200,,,,,0
1972-10-20,0.0194,0.0208,0.0188,0.0206,64665600,,,,,0
1972-10-27,0.0206,0.0206,0.0202,0.0204,6144000,,,,,0
1972-11-03,0.0204,0.0224,0.0203,0.0221,19353600,,,,,0
1972-11-10,0.0221,0.0224,0.0221,0.0223,5068800,,,,,0
1972-11-17,0.0222,0.0222,0.0218,0.0219,9369600,,,,,0
1972-11-24,0.0219,0.0225,0.0216,0.0222,4608000,,,,,0
1972-12-01,0.0222,0.0228,0.0209,0.0213,45004800,49.0,49.0,49.0,,1
1972-12-08,0.0215,0.0225,0.0215,0.022,39475200,53.05,53.05,49.0,100.0,2
1972-12-15,0.0221,0.0225,0.022,0.0224,11520000,55.45,55.45,49.0,100.0,3
1972-12-22,0.0224,0.0225,0.021,0.0225,36556800,55.91,55.91,49.0,100.0,4
1972-12-29,0.0225,0.0227,0.022,0.0225,5068800,55.91,55.91,49.0,100.0,5
1973-01-05,0.0225,0.0227,0.0222,0.0223,13670400,54.54,55.91,49.0,80.22,6
1973-01-12,0.0223,0.0223,0.0212,0.0216,26419200,49.34,55.91,49.0,5.0,7
1973-01-19,0.0215,0.0221,0.0213,0.0215,15360000,48.11,55.91,48.11,0.0,8
1973-01-26,0.0214,0.0214,0.0203,0.0207,13670400,42.4,55.91,42.4,0.0,9
1973-02-02,0.0205,0.0205,0.0193,0.0197,25344000,36.76,55.91,36.76,0.0,10
1973-02-09,0.0197,0.0199,0.0194,0.0195,19507200,35.9,55.91,35.9,0.0,11
1973-02-16,0.0195,0.0212,0.0195,0.021,19200000,47.72,55.91,35.9,59.06,12
1973-02-23,0.0212,0.0213,0.0206,0.0208,68812800,46.21,55.91,35.9,51.52,13
1973-03-02,0.0207,0.0207,0.0198,0.0199,22579200,41.0,55.91,35.9,25.49,14
1973-03-09,0.0199,0.0199,0.0171,0.0186,75878400,35.21,55.91,35.21,0.0,15
1973-03-16,0.0187,0.019,0.0177,0.0181,17049600,32.86,55.91,32.86,0.0,16
1973-03-23,0.0179,0.0179,0.014,0.0142,38092800,22.2,55.91,22.2,0.0,17
1973-03-30,0.0142,0.0149,0.0142,0.0148,25651200,26.06,55.91,22.2,11.47,18
1973-04-06,0.0148,0.0149,0.0142,0.0142,11366400,24.57,55.91,22.2,7.04,19
1973-04-13,0.0142,0.0143,0.0141,0.0142,6912000,24.57,55.91,22.2,7.04,20
1973-04-19,0.014,0.0142,0.0138,0.0142,7219200,25.17,55.91,22.2,8.81,21
