Semana,Open,High,Low,Close,Volume,RSI,RSI_max_5a,RSI_min_5a,Posicion,Semanas_ventana
2020-08-28,23.1,25.0,21.2,22.79,127066970,,,,,0
2020-09-04,22.69,22.79,18.01,19.03,64051969,,,,,0
2020-09-11,17.91,19.55,17.37,19.1,34337799,,,,,0
2020-09-18,19.14,21.14,18.38,18.9,20369032,,,,,0
2020-09-25,18.27,19.58,17.1101,17.93,21922477,,,,,0
2020-10-02,19.02,20.23,17.98,18.19,36318956,,,,,0
2020-10-09,19.58,20.91,19.2,20.0,33013794,,,,,0
2020-10-16,20.45,23.1,19.31,21.77,43845171,,,,,0
2020-10-23,21.82,21.93,19.82,20.05,29205697,,,,,0
2020-10-30,20.06,21.36,18.5,19.38,33508030,,,,,0
2020-11-06,21.47,39.5,20.25,34.81,273676344,,,,,0
2020-11-13,35.43,51.27,30.49,41.99,351229417,,,,,0
2020-11-20,40.53,56.77,39.0,53.89,208944488,,,,,0
2020-11-27,56.75,74.49,56.54,64.28,275202816,,,,,0
2020-12-04,62.76,63.35,46.01,49.34,207901959,68.68,68.68,68.68,,1
2020-12-11,46.07,51.98,42.84,44.31,171844344,63.81,68.68,63.81,0.0,2
2020-12-18,45.93,51.24,44.3,46.38,137798403,64.92,68.68,63.81,22.64,3
2020-12-24,45.11,47.88,41.64,41.87,67216539,60.59,68.68,60.59,0.0,4
2020-12-31,41.79,44.66,37.5,42.83,97413203,61.18,68.68,60.59,7.33,5
2021-01-08,45.6,47.95,40.6,45.45,127706346,62.83,68.68,60.59,27.66,6
2021-01-15,46.31,54.76,43.6,47.82,143882305,64.3,68.68,60.59,45.86,7
2021-01-22,49.97,58.37,49.85,56.39,111498495,69.07,69.07,60.59,100.0,8
2021-01-29,58.47,60.04,47.05,48.18,81197303,60.7,69.07,60.59,1.31,9
2021-02-05,51.11,51.34,45.8603,46.93,66495561,59.52,69.07,59.52,0.0,10
2021-02-12,46.5,51.19,45.6,46.89,76955484,59.48,69.07,59.48,0.0,11
2021-02-19,47.03,47.35,39.88,40.88,61265733,53.65,69.07,53.65,0.0,12
2021-02-26,39.74,40.47,32.72,34.11,118123127,47.95,69.07,47.95,0.0,13
2021-03-05,35.01,35.82,25.27,28.03,143829763,43.49,69.07,43.49,0.0,14
2021-03-12,29.44,35.27,26.9,35.15,169978293,49.43,69.07,43.49,23.22,15
2021-03-19,36.09,37.7,33.58,37.48,96319670,51.24,69.07,43.49,30.28,16
2021-03-26,38.06,38.39,29.57,32.14,100532589,47.08,69.07,43.49,14.05,17
2021-04-01,31.52,39.24,30.69,36.95,73699822,50.94,69.07,43.49,29.13,18
2021-04-09,37.46,37.54,33.95,34.49,46916394,48.97,69.07,43.49,21.44,19
2021-04-16,34.9,36.14,30.35,30.92,78274589,46.19,69.07,43.49,10.56,20
2021-04-23,31.3,33.44,29.77,33.3,52647754,48.3,69.07,43.49,18.81,21
2021-04-30,33.5,33.59,29.43,29.91,58452008,45.56,69.07,43.49,8.09,22
2021-05-07,30.09,30.24,25.77,26.69,63287756,43.06,69.07,43.06,0.0,23
2021-05-14,26.81,26.81,22.73,25.7,90753925,42.29,69.07,42.29,0.0,24
2021-05-21,25.82,29.38,25.33,28.58,62288068,45.35,69.07,42.29,11.41,25
2021-05-28,28.61,33.09,27.69,32.13,80709651,48.93,69.07,42.29,24.81,26
2021-06-04,33.7,37.725,33.04,37.11,68044263,53.54,69.07,42.29,42.02,27
2021-06-11,37.07,41.77,36.69,41.5,79048987,57.21,69.07,42.29,55.71,28
2021-06-18,41.94,45.75,38.64,45.23,98968189,60.09,69.07,42.29,66.47,29
2021-06-25,44.93,45.0,39.71,42.16,81430169,56.71,69.07,42.29,53.83,30
2021-07-02,42.4,47.98,41.51,43.74,105431178,58.02,69.07,42.29,58.72,31
2021-07-09,42.19,45.33,38.38,39.92,77424174,53.78,69.07,42.29,42.89,32
2021-07-16,39.95,40.89,36.92,39.03,51158263,52.81,69.07,42.29,39.28,33
2021-07-23,38.18,44.42,37.21,41.0,55210728,54.75,69.07,42.29,46.53,34
2021-07-30,39.61,43.02,33.86,40.53,102568527,54.18,69.07,42.29,44.39,35
2021-08-06,42.5035,45.13,40.37,41.22,57564711,54.92,69.07,42.29,47.18,36
2021-08-13,41.39,43.69,39.33,40.15,29576872,53.47,69.07,42.29,41.75,37
2021-08-20,38.61,40.37,35.8,38.69,41143372,51.47,69.07,42.29,34.28,38
2021-08-27,38.97,42.45,38.25,40.28,40279364,53.51,69.07,42.29,41.9,39
2021-09-03,40.45,42.5,39.02,39.75,43278406,52.72,69.07,42.29,38.93,40
2021-09-10,40.21,42.5,38.05,38.54,39702450,50.86,69.07,42.29,31.99,41
2021-09-17,38.89,39.4,36.73,39.01,41581851,51.57,69.07,42.29,34.65,42
2021-09-24,37.5,37.71,35.24,35.34,34614027,45.95,69.07,42.29,13.68,43
2021-10-01,35.18,36.76,34.31,35.46,36374903,46.16,69.07,42.29,14.45,44
2021-10-08,35.18,38.88,33.52,37.66,34825091,49.94,69.07,42.29,28.55,45
2021-10-15,38.0,43.0,37.2,42.79,41302432,57.43,69.07,42.29,56.55,46
2021-10-22,42.22,44.58,41.61,43.14,35981012,57.9,69.07,42.29,58.28,47
2021-10-29,44.75,49.4882,44.24,46.63,75674406,62.3,69.07,42.29,74.73,48
2021-11-05,48.7,49.55,45.67,46.39,55453871,61.82,69.07,42.29,72.94,49
2021-11-12,45.41,50.4,43.83,48.53,51082839,64.45,69.07,42.29,82.74,50
2021-11-19,48.53,50.1,45.88,46.89,45858656,60.99,69.07,42.29,69.82,51
2021-11-26,47.87,54.99,47.11,51.11,89252503,66.04,69.07,42.29,88.69,52
2021-12-03,53.01,56.45,42.78,43.8,112948938,53.19,69.07,42.29,40.69,53
2021-12-10,44.5,48.3652,41.15,46.83,55085345,56.93,69.07,42.29,54.67,54
2021-12-17,45.81,47.3,40.13,41.76,47221233,49.76,69.07,42.29,27.9,55
2021-12-23,40.3,46.32,38.42,46.09,36079340,54.98,69.07,42.29,47.37,56
2021-12-31,45.76,51.14,42.71,50.33,38497517,59.42,69.07,42.29,63.95,57
2022-01-07,51.12,51.5,44.18,45.05,48105749,52.48,69.07,42.29,38.03,58
2022-01-14,44.43,49.72,40.4321,49.69,55345975,57.21,69.07,42.29,55.7,59
2022-01-21,47.97,49.02,41.63,41.81,34844809,48.39,69.07,42.29,22.79,60
2022-01-28,39.95,40.055,30.38,32.15,66348551,40.22,69.07,40.22,0.0,61
2022-02-04,33.84,37.7388,32.62,37.25,51136863,45.46,69.07,40.22,18.16,62
2022-02-11,36.19,41.33,35.56,37.27,49446635,45.48,69.07,40.22,18.23,63
2022-02-18,36.46,40.86,36.2935,37.89,36077770,46.14,69.07,40.22,20.54,64
2022-02-25,36.23,36.918,30.93,35.03,42825135,43.5,69.07,40.22,11.4,65
2022-03-04,34.78,36.52,29.3556,29.53,58432803,38.9,69.07,38.9,0.0,66
2022-03-11,29.19,29.95,22.6201,22.91,89708986,34.21,69.07,34.21,0.0,67
2022-03-18,20.02,29.64,18.01,28.77,140937025,40.99,69.07,34.21,19.47,68
2022-03-25,27.8,30.2364,26.45,27.05,70041388,39.7,69.07,34.21,15.75,69
2022-04-01,27.38,30.95,26.08,29.19,76020074,42.15,69.07,34.21,22.77,70
2022-04-08,30.8,31.56,26.93,27.19,51397901,40.49,69.07,34.21,18.03,71
2022-04-14,25.47,27.95,24.75,26.93,35045054,40.27,69.07,34.21,17.39,72
2022-04-22,26.51,27.4,23.52,23.87,40214462,37.66,69.07,34.21,9.91,73
2022-04-29,23.19,26.23,22.39,24.61,48029456,38.7,69.07,34.21,12.88,74
2022-05-06,24.34,26.95,21.91,22.28,42806702,36.64,69.07,34.21,6.97,75
2022-05-13,21.43,23.12,18.35,22.82,58941665,37.47,69.07,34.21,9.35,76
2022-05-20,22.9,25.14,22.43,23.27,53962382,38.19,69.07,34.21,11.44,77
2022-05-27,22.45,22.8,19.9,22.5,52732155,37.39,69.07,34.21,9.14,78
2022-06-03,23.68,25.23,22.51,23.97,43197541,39.98,69.07,34.21,16.57,79
2022-06-10,25.37,27.755,24.2,25.81,56212041,43.15,69.07,34.21,25.66,80
2022-06-17,24.93,28.65,23.57,28.17,56270360,47.02,69.07,34.21,36.75,81
